ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
699850;1216;62;2019/2020;complete;52205;1;-1;39;;1;0;1;6;10;16;-1;-1;-1;-1;-1;-1;3;2;2;5;5;7;-1;-1;50;50;-1;-1;2.24;2.95;3.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2019-08-23 17:00:00;1216;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;48;73;89;114;0.88;1.12;2;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Kukësi;Partizani Tirana;2.22;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2710;36;Y;N;N;N;N;N;N
699851;1380;1376;2019/2020;complete;52205;1;-1;45;;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2019-08-24 14:00:00;1380;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Vllaznia Shkodër;Laçi;1.28;1.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2710;36;Y;N;N;N;N;N;N
699852;1383;1381;2019/2020;complete;52205;1;-1;30,32,45;;3;0;3;5;1;6;-1;-1;-1;-1;-1;-1;3;0;5;0;8;0;-1;-1;50;50;-1;-1;1.41;3.74;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;2019-08-24 17:00:00;1383;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;28;3;43;21;0.91;0.03;0.94;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Tirana;Luftëtari Gjirokastër;2.06;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2710;36;Y;Y;Y;N;N;N;N
699853;1379;1388;2019/2020;complete;52205;1;-1;34;;1;0;1;3;1;4;-1;-1;-1;-1;-1;-1;2;2;1;1;3;3;-1;-1;50;50;-1;-1;1.64;3.38;5.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2019-08-24 17:00:00;1379;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;20;34;30;46;0.48;0.58;1.05;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Teuta Durrës;Bylis Ballsh;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2710;36;Y;N;N;N;N;N;N
699854;970;1377;2019/2020;complete;52205;1;-1;90;;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.74;3.32;4.16;1.06;1.33;2.1;3.75;7.5;7.5;3;1.73;1.22;1.06;1.91;1.8;0;0;0;0;1.17;1.25;1.91;2.4;2;4.5;2.2;2.4;4.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.57;8.5;2.75;0;0;1.4;3;8;17;2.75;1.33;1.06;1.01;1.22;2.25;5.5;15;3.6;1.53;1.1;1.02;0;0;0;0;1;0;0;1;0;1;0;2019-08-24 17:00:00;970;0;0;0;0;0;1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Skënderbeu Korçë;Flamurtari;2;0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2710;36;Y;N;N;N;N;N;N
699855;1383;1379;2019/2020;complete;52205;2;-1;;;0;0;0;5;7;12;-1;-1;-1;-1;-1;-1;3;3;3;6;6;9;-1;-1;50;50;-1;-1;2.1;2.89;3.42;1.07;1.44;2.48;5;9.5;6.5;2.62;1.51;1.14;1.04;2.14;1.78;0;0;0;0;1.25;1.33;1.62;3.03;1.91;4.52;2.52;2.2;3.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.77;6.15;2.5;3.1;5;1.54;3.64;9.9;16;2.4;1.28;1.05;1.01;1.3;2.6;6.5;21;3;1.4;1.06;1.01;0;0;0;0;0;0;0;0;0;0;0;2019-08-27 17:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;83;65;120;102;1.2;1.25;2.45;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;50;50;50;0;0;5;0;0;1.5;Tirana;Teuta Durrës;2.06;1.17;3;0;3;3;50;50;0;0;0;0;0;0;0.91;0;0.91;2710;36;N;N;N;N;N;N;N
699856;1376;970;2019/2020;complete;52205;2;-1;20;48,66;1;2;3;6;4;10;-1;-1;-1;-1;-1;-1;6;8;12;7;18;15;-1;-1;50;50;-1;-1;2.02;3.58;3.18;1.08;1.43;2.1;4.32;8;7;2.61;1.66;1.2;1.06;2.1;1.76;0;0;0;0;1.37;1.29;1.73;2.88;2.08;4.04;2.62;2.1;3.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.73;7;2.5;3.1;5;1.58;3.48;9;16;2.32;1.3;1.06;1.01;1.33;2.5;5.5;13;3;1.5;1.13;1.02;0;0;0;0;3;1;0;0;2;2;1;2019-08-28 14:00:00;970;0;0;0;0;0;1;-1;3;2;3;2;5;5;-1;-1;-1;-1;-1;-1;1;66;38;112;115;2.03;1.79;3.82;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Laçi;Skënderbeu Korçë;2.28;1.22;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2710;36;Y;Y;Y;N;N;N;Y
699857;1388;1380;2019/2020;complete;52205;2;-1;;;0;0;0;5;2;7;-1;-1;-1;-1;-1;-1;4;2;10;7;14;9;-1;-1;50;50;-1;-1;1.97;3.28;3.56;1.1;1.5;2.7;5.5;10;6;2.5;1.44;1.13;1.03;2.25;1.57;0;0;0;0;1.29;1.33;1.8;2.75;1.91;4.5;2.4;2.2;4.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.67;6.5;2.75;0;0;1.57;3.75;10;41;2.25;1.22;1.03;1;1.36;2.63;6;13;2.9;1.45;1.11;1.02;0;0;0;0;0;0;0;0;0;0;0;2019-08-28 14:00:00;-1;0;0;0;0;0;1;-1;3;1;2;1;4;3;-1;-1;-1;-1;-1;-1;1;79;56;92;86;1.73;1.12;2.84;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Bylis Ballsh;Vllaznia Shkodër;1.83;1.28;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2710;36;N;N;N;N;N;N;N
699858;1381;62;2019/2020;complete;52205;2;-1;;15;0;1;1;5;9;14;-1;-1;-1;-1;-1;-1;5;5;2;5;7;10;-1;-1;50;50;-1;-1;5.75;3.5;1.6;1.08;1.4;2.3;4.5;9.5;6.5;2.75;1.6;1.17;1.04;2.25;1.57;0;0;0;0;2.25;1.29;1.11;6;2.05;2.25;5.5;2.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;7.5;1.44;9;2.3;1.5;3.25;9.5;34;2.5;1.29;1.04;1;1.34;2.5;5.5;13;3;1.5;1.13;1.02;0;0;0;0;1;0;1;0;0;0;1;2019-08-28 14:00:00;62;0;0;0;0;0;1;-1;2;8;3;1;10;4;-1;-1;-1;-1;-1;-1;1;76;89;83;100;1.34;1.62;2.96;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;50;0;0;10;0;0;0.5;Luftëtari Gjirokastër;Partizani Tirana;0.61;1.17;0;0;0;0;50;50;50;50;0;50;50;50;0;1.12;1.12;2710;36;Y;N;N;N;N;N;N
699859;1377;1216;2019/2020;complete;52205;2;-1;;23,62,72;0;3;3;1;5;6;-1;-1;-1;-1;-1;-1;3;6;3;7;6;13;-1;-1;50;50;-1;-1;3.55;3;1.95;1.06;1.41;2.3;4.25;8;6.95;2.65;1.54;1.17;1.04;2;1.69;0;0;0;0;2.2;1.29;1.11;4.33;2;2.63;4.16;2.1;2.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.1;7;1.53;10;2.1;1.61;3.4;9;16;2.26;1.3;1.06;1;1.29;2.5;6;12;3.3;1.5;1.11;1.03;0;0;0;0;3;0;1;0;2;2;1;2019-08-28 17:00:00;1216;0;0;0;0;0;1;-1;1;3;0;2;4;2;-1;-1;-1;-1;-1;-1;1;35;88;88;113;0.85;1.88;2.73;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Flamurtari;Kukësi;0.5;1.44;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2710;36;Y;Y;Y;N;N;N;N
