ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
682443;10688;1305;2019/2020;complete;52041;1;-1;36;;1;0;1;3;3;6;-1;-1;-1;-1;-1;-1;4;6;5;3;9;9;-1;-1;49;51;-1;-1;2.4;2.8;3.1;1.09;1.56;2.7;5.35;10.25;5.8;2.25;1.39;1.11;1.01;2.25;1.57;2.2;1.61;2.62;1.44;1.3;1.36;1.53;3.1;1.83;4.33;2.72;2.11;3.8;0;0;1.49;1.92;2.65;0;0;2.5;1.91;1.43;0;0;1.73;7.68;2.95;1.9;5.5;2.5;3.25;4.6;1.6;3.64;14;16;2.19;1.24;1.01;0;1.42;2.8;7;17;2.65;1.38;1.07;1.01;0;0;0;0;1;1;0;0;0;0;1;2019-08-15 19:00:00;10688;0;0;0;0;0;1;-1;1;1;2;2;2;4;-1;-1;-1;-1;-1;-1;1;64;84;111;129;1.32;1.6;2.92;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;NC Magra;ASO Chlef;1.18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633;21;Y;N;N;N;N;N;N
682444;1307;1292;2019/2020;complete;52041;1;-1;85;18;1;1;2;5;1;6;-1;-1;-1;-1;-1;-1;4;3;4;2;8;5;-1;-1;55;45;-1;-1;2.75;2.8;2.6;1.11;1.65;3;6.05;11.5;5.3;2.1;1.33;1.09;1.01;2.4;1.5;2.62;1.44;2.2;1.61;1.53;1.36;1.33;3.5;1.8;3.75;3.94;2.02;2.81;0;0;1.65;2.1;3.17;0;0;2.21;1.67;1.28;0;0;2.44;7.52;1.98;2.5;5.5;1.83;5;2.88;1.67;3.92;11;67;2.07;1.21;1.02;1;1.48;3.1;7.6;17;2.47;1.32;1.05;1.01;0;0;0;0;2;0;1;1;0;1;1;2019-08-15 19:30:00;-1;0;0;0;0;0;1;-1;2;0;3;1;2;4;-1;-1;-1;-1;-1;-1;1;93;67;164;125;1.48;1.03;2.5;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;CA Bordj Bou Arreridj;CR Belouizdad;1.64;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633;21;Y;Y;N;N;N;N;Y
682445;1296;1291;2019/2020;complete;52041;1;-1;45,90;34;2;1;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.71;3.3;4.7;1.08;1.5;2.55;5;9.5;6.15;2.35;1.43;1.13;1.02;2.4;1.49;1.83;1.77;3.75;1.25;1.14;1.28;2.2;2.37;1.95;5.5;2.05;2.3;5.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;6.5;3.5;2.35;6.25;1.5;3.6;9;17.5;2.4;1.2;1.04;1;1.4;2.75;7;15;2.75;1.4;1.08;1.02;0;0;0;0;3;1;1;1;0;1;2;2019-08-15 19:00:00;1296;0;0;0;0;0;1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;USM Alger;ES Sétif;2.27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633;22;Y;Y;Y;N;N;N;Y
682446;1289;1293;2019/2020;complete;52041;1;-1;50;;1;0;1;2;5;7;-1;-1;-1;-1;-1;-1;7;2;8;7;15;9;-1;-1;50;50;-1;-1;1.74;3.15;4.85;1.08;1.51;2.6;5.1;9.75;6.05;2.35;1.43;1.12;1.01;2.45;1.48;1.8;1.9;4;1.22;1.1;1.36;2.25;2.4;1.83;6.5;2.13;2.3;5;0;0;0;1.73;0;0;0;0;2;0;0;0;0;0;0;1.44;6.5;3.6;2.3;7.5;1.51;3.2;9.5;16;2.39;1.3;1.04;0;1.35;2.52;6;15;2.93;1.46;1.09;1.02;0;0;0;0;1;0;0;1;0;1;0;2019-08-15 19:00:00;1289;0;0;0;0;0;1;-1;2;3;0;2;5;2;-1;-1;-1;-1;-1;-1;1;59;46;85;81;1.86;1.04;2.9;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;JS Saoura;CS Constantine;2.09;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633;22;Y;N;N;N;N;N;N
682447;1285;1297;2019/2020;complete;52041;1;-1;;;0;0;0;0;3;3;-1;-1;-1;-1;-1;-1;2;2;4;10;6;12;-1;-1;44;56;-1;-1;2.95;2.8;2.45;1.09;1.56;2.7;5.35;10.25;5.85;2.25;1.39;1.11;1.01;2.2;1.57;2.75;1.4;2.25;1.57;1.44;1.36;1.36;3.75;1.8;3.5;3.62;2.12;2.8;0;0;1.67;2.24;0;0;0;2.1;1.63;0;0;0;2.32;7.47;2.07;2.5;5.5;1.9;4.6;3.25;1.58;3.55;10;41;2.23;1.25;1.03;1;1.41;2.76;7.6;17;2.69;1.39;1.05;1.01;0;0;0;0;0;0;0;0;0;0;0;2019-08-15 16:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;20;34;91;81;0.68;1.15;1.83;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA Hussein Dey;JS Kabylie;1.18;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633;22;N;N;N;N;N;N;N
682448;1290;1283;2019/2020;complete;52041;1;-1;11;;1;0;1;3;10;13;-1;-1;-1;-1;-1;-1;3;4;4;4;7;8;-1;-1;39;61;-1;-1;3.2;2.95;2.2;1.09;1.54;2.65;5.3;10.25;5.9;2.3;1.4;1.11;1.01;2.25;1.56;2.62;1.44;2.5;1.5;1.44;1.33;1.36;4.5;1.83;2.88;3.34;2.16;2.92;0;0;1.37;1.67;2.31;0;0;3.05;2.1;1.62;0;0;2.11;7.51;2.19;2.3;6;1.95;4.4;3.6;1.55;3.4;14;41;2.29;1.27;1.03;1;1.39;2.69;6.7;15;2.76;1.41;1.07;1.02;0;0;0;0;1;1;0;0;0;0;1;2019-08-15 20:00:00;1290;0;0;0;0;0;1;-1;0;5;3;5;5;8;-1;-1;-1;-1;-1;-1;1;53;84;93;124;1.04;1.4;2.44;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;US Biskra;Paradou AC;1.55;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633;20;Y;N;N;N;N;N;N
682449;1298;1311;2019/2020;complete;52041;1;-1;82;84;1;1;2;9;1;10;-1;-1;-1;-1;-1;-1;11;5;3;5;14;10;-1;-1;56;44;-1;-1;1.45;3.65;7;1.1;1.5;2.4;4.5;8.5;7;2.5;1.53;1.16;1.05;2.75;1.4;1.57;2.25;4.5;1.16;1.04;1.25;2.75;2.1;2.05;7;1.8;2.37;7;0;0;1.57;1.9;2.75;0;0;2.41;1.8;1.45;0;0;1.18;10.18;7.61;1.33;7;4.5;1.87;8.5;1.53;3.5;11;17;2.37;1.28;1.05;1;1.33;2.62;6.5;19;3.25;1.44;1.11;1.02;0;0;0;0;2;0;0;1;1;2;0;2019-08-16 20:00:00;-1;0;0;0;0;0;1;-1;3;0;6;1;3;7;-1;-1;-1;-1;-1;-1;1;45;23;74;52;1.98;1.15;3.12;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;MC Alger;Aïn M'lila;1.8;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633;21;Y;Y;N;N;N;N;Y
682450;1286;1288;2019/2020;complete;52041;1;-1;18,58,70;50;3;1;4;3;4;7;1;3;0;0;0;0;8;6;1;4;9;10;20;17;49;51;0;0;1.53;3.65;5.8;1.07;1.4;2.25;4;7.5;7.5;2.75;1.61;1.22;1.07;2.15;1.61;1.83;1.83;4.33;1.2;1.11;1.28;2.25;2.5;2.05;4.5;2;2.4;5;0;0;1.39;1.73;2.34;0;0;2.76;2;1.57;0;0;1.27;9.7;6.27;1.44;7.5;3.5;2.37;8.5;1.44;3.2;8.5;34;2.63;1.3;1.05;1;1.32;2.41;5.2;15;3.1;1.5;1.12;1.02;0;0;0;0;4;1;0;2;1;3;1;2019-08-17 19:45:00;1286;0;0;0;0;0;1;-1;1;3;2;1;4;3;0;0;0;0;0;0;1;56;49;88;92;1.54;1.41;2.95;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;MC Oran;USM Bel Abbès;1.64;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633;21;Y;Y;Y;Y;N;N;Y
682451;1297;1290;2019/2020;complete;52041;2;-1;31,71,80;50,75;3;2;5;9;2;11;-1;-1;-1;-1;-1;-1;10;4;7;1;17;5;-1;-1;56;44;-1;-1;1.54;3.6;5.7;1.06;1.42;2.3;4.3;8.25;6.9;2.65;1.54;1.17;1.03;2.3;1.53;1.83;1.83;4.33;1.2;1.11;1.2;2.37;2.1;2.05;6.5;2.04;2.34;5.4;0;0;1.53;1.9;2.8;0;0;2.5;1.8;1.43;0;0;1.28;8.95;5.38;1.4;8;3.5;2.25;7.5;1.45;3.2;9.9;16;2.55;1.3;1.02;1;1.35;2.52;6.1;15;2.93;1.46;1.09;1.02;0;0;0;0;5;1;0;2;2;4;1;2019-08-19 20:00:00;1297;0;0;0;0;0;1;-1;3;0;6;2;3;8;-1;-1;-1;-1;-1;-1;1;101;50;133;123;2.5;0.98;3.48;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;JS Kabylie;US Biskra;2.36;0.36;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;2633;22;Y;Y;Y;Y;Y;N;Y
682452;1292;10688;2019/2020;complete;52041;2;-1;2,30;64;2;1;3;7;2;9;-1;-1;-1;-1;-1;-1;6;3;8;2;14;5;-1;-1;51;49;-1;-1;1.43;3.75;7.5;1.08;1.51;2.6;5.1;9.75;6.05;2.35;1.43;1.12;1.01;2.85;1.36;1.5;2.5;4.33;1.2;1.04;1.22;2.62;2.3;1.95;6;1.85;2.35;7.2;0;0;1.39;1.72;2.1;0;0;2.98;2;1.66;0;0;1.14;12.02;8.39;1.33;6.5;5;1.83;10;1.55;3.4;10.5;16;2.29;1.27;1.01;1;1.39;2.69;6.4;17;2.76;1.41;1.08;1.01;0;0;0;0;3;2;0;0;1;1;2;2019-08-19 20:00:00;1292;0;0;0;0;0;1;-1;2;2;5;0;4;5;-1;-1;-1;-1;-1;-1;1;88;57;124;122;1.94;0.96;2.9;-1;-1;-1;-1;-1;-1;-1;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR Belouizdad;NC Magra;2.6;0.55;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;2633;21;Y;Y;Y;N;N;N;Y
