ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
492947;716;739;2018/2019;complete;3840;1;-1;14;20;1;1;2;2;5;7;3;1;0;0;0;0;7;5;5;2;12;7;12;20;53;47;0;0;1.87;2.9;4.5;1.09;1.51;2.6;5.1;0;0;0;0;0;0;2.4;1.56;1.9;1.8;3.4;1.3;0;0;0;0;0;0;2.25;2.2;4.5;0;0;0;0;2.1;0;0;0;0;1.66;0;0;0;0;0;1.57;6;3.1;2.62;6.5;0;0;0;0;0;0;0;0;1.57;4;13;21;2.25;1.22;1.04;1.01;0;0;0;0;2;1;1;0;0;0;2;2018-08-25 18:30:00;-1;0;0;0;0;0;1;-1;1;3;1;2;4;3;0;0;0;0;0;0;1;49;50;98;83;1.61;1.16;2.77;0;0;0;0;0;0;1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Arsenal de Sarandí;Gimnasia Jujuy;2.25;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;Y;N;N;N;N;Y
492948;1060;734;2018/2019;complete;3840;1;-1;66,84;90;2;1;3;8;0;8;1;2;1;3;0;2;6;3;15;2;21;5;12;13;66;34;1;6;1.91;3.15;3.9;1.09;1.51;2.6;5.1;0;0;0;0;0;0;2.35;1.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;3;0;2018-08-25 19:00:00;1060;0;0;0;0;0;1;1;3;0;5;0;3;5;1;2;0;3;3;3;1;0;0;0;0;2.04;0.63;2.67;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Agropecuario;Deportivo Santamarina;1.83;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;Y;Y;N;N;N;Y
492949;731;743;2018/2019;complete;3840;1;-1;68,72,89;;3;0;3;7;3;10;1;1;2;1;0;0;5;7;5;1;10;8;15;10;54;46;2;1;2.3;2.8;3.3;1.08;1.5;2.55;5;0;0;0;0;0;0;2.25;1.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;2018-08-25 18:30:00;731;0;0;0;0;0;1;1;1;2;6;1;3;7;1;0;1;1;1;2;1;0;0;0;0;1.51;1.43;2.94;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Villa Dálmine;Instituto;1.92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;Y;Y;N;N;N;N
492950;5445;712;2018/2019;complete;3840;1;-1;69,84;11;2;1;3;7;2;9;1;1;6;2;0;0;4;5;11;3;15;8;21;12;50;50;6;2;2.85;2.75;2.55;1.08;1.49;2.55;4.9;13;6;2.47;1.46;1.13;1.04;2.2;1.65;2.62;1.44;2.5;1.5;1.45;1.36;1.36;4.2;1.78;3.42;3.2;2.2;3;0;0;0;0;2;0;0;0;0;1.72;0;0;0;0;0;2.3;6;1.95;4.33;3.75;0;0;0;0;0;0;0;0;1.55;3.62;13;19;2.36;1.26;1.04;1.02;0;0;0;0;3;0;1;2;0;2;1;2018-08-26 19:30:00;5445;0;0;0;0;0;1;1;3;1;4;1;4;5;1;2;5;0;3;5;1;0;0;0;0;2;1.38;3.38;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Gimnasia Mendoza;Temperley;2.23;1.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;Y;Y;N;N;N;Y
492951;749;1061;2018/2019;complete;3840;1;-1;;20;0;1;1;6;4;10;1;0;0;4;0;0;0;2;2;0;2;2;9;18;60;40;0;4;2.25;2.85;3.25;1.09;1.51;2.6;5.1;13.5;2.2;2.58;1.51;1.18;1.06;2.25;1.61;2.25;1.57;3;1.36;1.29;1.36;1.55;3.2;1.83;4.1;2.62;2.2;3.6;0;0;0;1.66;0;0;0;0;2.1;0;0;0;0;0;0;1.8;6;2.5;3.25;5;0;0;0;0;0;0;0;0;1.57;3.75;13;19;2.25;1.25;1.04;1.02;0;0;0;0;1;0;1;0;0;0;1;2018-08-26 18:05:00;1061;0;0;0;0;0;1;1;3;3;3;1;6;4;0;2;0;2;2;2;1;90;48;82;49;0.78;0.61;1.39;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Platense;Club Atlético Mitre;1.77;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;N;N;N;N;N;N
492952;730;744;2018/2019;complete;3840;1;-1;33;;1;0;1;9;1;10;4;2;2;2;0;0;2;0;1;0;3;0;19;11;51;49;2;2;2.55;2.7;3;1.08;1.5;2.55;5;0;0;0;0;0;0;2.25;1.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2018-08-28 00:05:00;730;0;0;0;0;0;1;1;4;1;5;0;5;5;0;1;2;1;1;3;1;0;0;0;0;0.78;0.4;1.18;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Almagro;Chacarita Juniors;1.57;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;N;N;N;N;N;N
492953;738;751;2018/2019;complete;3840;1;-1;78;37;1;1;2;6;2;8;2;2;2;3;0;0;2;2;3;3;5;5;13;17;58;42;2;3;2.35;2.75;3.2;1.09;1.51;2.6;5.1;14;7;2.47;1.47;1.18;1.06;2.25;1.61;2.2;1.61;2.62;1.44;1.31;1.39;1.53;3.22;1.84;4.2;2.87;2.1;3.6;0;0;0;1.72;0;0;0;0;2;0;0;0;0;0;0;1.85;6.5;2.35;3.25;4.5;0;0;0;0;0;0;0;0;1.56;3.62;15;23;2.33;1.26;1.03;1.01;0;0;0;0;2;0;1;1;0;1;1;2018-08-26 19:00:00;-1;0;0;0;0;0;1;1;1;0;5;2;1;7;1;2;1;1;3;2;1;42;27;81;74;0.77;0.66;1.43;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Central Córdoba SdE;Deportivo Morón;1.67;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;Y;N;N;N;N;Y
492954;741;746;2018/2019;complete;3840;1;-1;;86;0;1;1;6;4;10;1;7;1;1;0;0;5;5;4;0;9;5;19;16;57;43;1;1;2;3;3.7;1.08;1.48;2.5;4.8;0;0;0;0;0;0;2.25;1.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2018-08-25 18:30:00;746;0;0;0;0;0;1;1;2;4;4;0;6;4;1;0;0;1;1;1;1;0;0;0;0;1.55;1;2.55;0;1;0;1;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Los Andes;Independiente Rivadavia;0.83;1.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;N;N;N;N;N;N
492955;715;720;2018/2019;complete;3840;1;-1;70,75;44;2;1;3;2;4;6;2;2;3;2;0;0;5;5;10;7;15;12;17;11;49;51;3;2;2;2.9;4;1.09;1.51;2.6;5.1;0;0;0;0;0;0;2.35;1.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;2;1;2018-08-27 23:00:00;715;0;0;0;0;0;1;1;1;1;1;3;2;4;0;1;3;1;1;4;1;0;0;0;0;1.59;1.41;2.99;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Atlético Rafaela;Quilmes;1.5;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;Y;Y;N;N;N;Y
492956;719;721;2018/2019;complete;3840;1;-1;;65;0;1;1;9;4;13;0;4;2;2;0;0;6;6;11;4;17;10;17;10;53;47;2;2;1.95;2.9;4.25;1.09;1.51;2.6;5.1;0;0;0;0;0;0;2.35;1.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2018-08-26 18:30:00;721;0;0;0;0;0;1;1;8;2;1;2;10;3;1;0;1;2;1;3;1;0;0;0;0;1.86;1.31;3.16;0;0;0;0;0;0;1;1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Olimpo;Sarmiento;1.67;2.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745;24;Y;N;N;N;N;N;N
