ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
428959;3087;584;2018/2019;complete;3417;1;-1;39;3;1;1;2;2;4;6;0;4;2;1;0;0;6;4;6;7;12;11;15;13;50;50;2;1;4.15;3.85;1.74;1.01;1.16;1.53;2.35;4.25;17.5;5.2;2.43;1.53;1.2;1.59;2.35;0;0;0;0;1.95;1.18;1.16;4.35;2.48;2.17;3.75;2.8;1.95;0;0;0;0;1.9;0;0;0;0;1.8;0;0;0;0;0;2.37;17;1.57;0;0;0;0;0;0;0;0;0;0;1.23;2.25;5.4;12;3.8;1.57;1.13;1.02;0;0;0;0;2;1;1;0;0;0;2;2018-07-27 17:00:00;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;1;1;1;2;-1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Vorwärts Steyr;Ried;0.87;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;N;N;N;N;Y
428960;596;3086;2018/2019;complete;3417;1;-1;16,64,90;;3;0;3;1;2;3;3;1;1;3;0;1;5;5;4;6;9;11;27;14;46;54;1;5;2.3;3.4;2.9;1.03;1.23;1.74;2.9;4.2;12.5;5.2;2.43;1.55;1.2;1.67;2.2;0;0;0;0;1.33;1.29;1.67;2.45;2.38;3.75;2.1;2.8;3.6;0;0;0;0;2.1;0;0;0;0;1.66;0;0;0;0;0;1.57;17;2.37;0;0;0;0;0;0;0;0;0;0;1.23;2.28;5.4;13;3.7;1.56;1.13;1.01;0;0;0;0;3;1;0;2;0;2;1;2018-07-27 17:10:00;596;0;0;0;0;0;1;1;1;2;0;0;3;0;0;1;1;3;1;4;1;61;83;125;149;1.37;1.66;3.03;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Kapfenberger SV;Austria Wien II;1.93;1.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;Y;N;N;N;N
428961;587;593;2018/2019;complete;3417;1;-1;;38,65;0;2;2;3;6;9;0;1;3;1;0;0;4;11;3;11;7;22;18;18;49;51;3;1;1.77;3.6;4.3;1.03;1.25;1.8;3;7;13.5;4.1;1.94;1.4;1.15;1.8;2;0;0;0;0;1.2;1.25;1.95;2.48;2.44;5;2.1;2.5;4.2;0;0;0;0;1.9;0;0;0;0;1.8;0;0;0;0;0;1.53;11;2.62;0;0;0;0;0;0;0;0;0;0;1.41;3;7;14;3.25;1.48;1.05;1.01;0;0;0;0;2;0;1;0;1;1;1;2018-07-27 17:10:00;593;0;0;0;0;0;1;1;1;1;2;5;2;7;1;0;2;1;1;3;1;52;67;100;105;1.11;2.63;3.74;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wiener Neustadt;Blau-Weiß Linz;1.53;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;N;N;N;N;N
428962;598;592;2018/2019;complete;3417;1;-1;73;6;1;1;2;5;3;8;-1;-1;1;2;0;0;7;3;8;10;15;13;16;16;50;50;1;2;2.7;3.55;2.35;1.01;1.18;1.59;2.45;5;18;5.2;2.42;1.58;1.23;1.56;2.45;0;0;0;0;1.5;1.25;1.44;3.3;2.56;3.05;2.88;2.7;2.5;0;0;0;0;1.72;0;0;0;0;2;0;0;0;0;0;1.83;17;1.95;0;0;0;0;0;0;0;0;0;0;1.34;2.56;5.8;12;3.8;1.6;1.08;1.02;0;0;0;0;2;0;1;1;0;1;1;2018-07-27 17:10:00;-1;0;0;0;0;0;1;1;3;1;2;2;4;4;0;1;1;1;1;2;1;93;71;136;107;2.11;1.55;3.66;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Austria Klagenfurt;Austria Lustenau;1.67;1.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;N;N;N;N;Y
428963;590;594;2018/2019;complete;3417;1;-1;90;57,88;1;2;3;5;3;8;2;2;0;1;0;1;5;8;4;14;9;22;16;20;49;51;0;2;2.7;3.45;2.4;1.01;1.15;1.53;2.3;4.6;19.5;5.6;2.54;1.63;1.26;1.5;2.6;0;0;0;0;1.6;1.25;1.36;3.5;2.58;2.86;3.4;2.75;2.2;0;0;0;0;2.1;0;0;0;0;1.66;0;0;0;0;0;2.1;17;1.72;0;0;0;0;0;0;0;0;0;0;1.32;2.44;4.8;12;3.95;1.65;1.1;1.02;0;0;0;0;3;0;0;1;2;3;0;2018-07-27 17:10:00;594;0;0;0;0;0;1;1;2;2;3;1;4;4;0;1;0;1;1;1;1;66;82;93;101;1.4;2.53;3.93;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Horn;Liefering;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;Y;N;N;N;Y
428964;591;3104;2018/2019;complete;3417;1;-1;17,28,35,55,68,81;42;6;1;7;2;5;7;2;1;1;4;0;1;10;7;5;8;15;15;13;13;59;41;1;5;1.59;4.05;5.1;1.02;1.2;1.67;2.7;5.9;15.5;4.6;2.2;1.47;1.19;1.77;2.05;2.5;1.5;5.5;1.12;1.17;1.22;2.2;2.32;2.5;5.4;1.91;2.75;4.5;0;0;0;0;1.83;0;0;0;0;1.83;0;0;0;0;0;1.44;13;2.87;2.87;9;0;0;0;0;0;0;0;0;1.38;2.74;6.6;12;3.45;1.54;1.14;1.01;0;0;0;0;7;3;1;3;0;3;4;2018-07-28 18:00:00;591;0;0;0;0;0;1;1;2;1;0;4;3;4;1;0;0;5;1;5;1;52;70;88;95;2.02;1.94;3.96;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wattens;Lafnitz;2.53;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;Y;Y;Y;Y;Y
428965;3101;589;2018/2019;complete;3417;1;-1;50,62,86;28,42,45,58;3;4;7;11;5;16;0;1;1;1;0;0;4;8;3;3;7;11;23;17;50;50;1;1;2.2;3.45;3;1.02;1.19;1.62;2.55;4.2;5.6;5.25;2.45;1.55;1.2;1.59;2.4;0;0;0;0;1.36;1.25;1.62;2.75;2.3;3.25;2.4;2.75;3;0;0;0;0;2;0;0;0;0;1.72;0;0;0;0;0;1.72;15;2.1;0;0;0;0;0;0;0;0;0;0;1.23;2.25;5.4;12;3.8;1.57;1.13;1.02;0;0;0;0;7;0;3;3;1;4;3;2018-07-29 08:30:00;589;0;0;0;0;0;1;1;2;3;9;2;5;11;0;0;1;1;0;2;1;86;61;106;83;1.35;1.69;3.04;0;0;0;0;0;0;1;1;0;0;1;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Amstetten;Floridsdorfer AC;1.27;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;Y;Y;Y;Y;Y
428966;3094;3078;2018/2019;complete;3417;1;-1;;11,29,75;0;3;3;5;4;9;0;4;0;0;0;0;6;11;6;3;12;14;9;16;51;49;0;0;2.1;3.55;3.1;1.01;1.15;1.53;2.3;0;0;0;0;0;0;1.51;2.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;1;1;2;2018-07-29 15:00:00;3078;0;0;0;0;0;1;-1;2;2;3;2;4;5;0;0;0;0;0;0;1;39;37;77;53;1.46;1.91;3.37;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;SPG FC Pasching-LASK Juniors;Wacker Innsbruck II;1.87;1.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;Y;N;N;N;N
428967;593;598;2018/2019;complete;3417;2;-1;28,43,69;55;3;1;4;3;4;7;1;1;0;1;0;0;8;5;8;6;16;11;12;9;57;43;0;1;1.95;3.6;3.55;1.02;1.2;1.67;2.7;5.25;9;4;2.1;1.4;1.13;1.67;2.25;2.75;1.4;4.5;1.16;1.29;1.25;1.75;2.6;2.2;3.8;2.2;2.62;3.6;0;0;0;0;1.83;0;0;0;0;1.83;0;0;0;0;0;1.7;13;2.35;3.5;7;0;0;0;0;0;0;0;0;1.33;2.55;6;17;3.13;1.53;1.1;1.02;0;0;0;0;4;2;0;1;1;2;2;2018-08-03 17:10:00;593;0;0;0;0;0;1;1;1;2;2;2;3;4;0;0;0;1;0;1;1;68;38;101;89;2.06;1.32;3.38;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Blau-Weiß Linz;Austria Klagenfurt;1.13;1.07;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;Y;Y;N;N;Y
428968;594;3087;2018/2019;complete;3417;2;-1;33,42,59,62;;4;0;4;8;5;13;1;1;3;1;0;0;12;7;10;6;22;13;16;6;66;34;3;1;1.48;4.35;5.85;1.01;1.14;1.48;2.2;4.6;15;4.5;2.28;1.47;1.17;1.65;2.25;2.62;1.44;7.5;1.07;1.13;1.2;2.5;2.04;2.38;5.5;1.72;3;5;0;0;0;1.66;0;0;0;0;2.1;0;0;0;0;0;0;1.44;15;3.1;2.87;15;0;0;0;0;0;0;0;0;1.3;2.4;5.75;13;3.25;1.53;1.11;1.04;0;0;0;0;4;2;0;2;0;2;2;2018-08-03 17:10:00;594;0;0;0;0;0;1;1;3;3;5;2;6;7;1;0;2;1;1;3;1;94;47;116;74;2.9;1.65;4.54;0;0;0;0;0;0;1;1;0;0;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Liefering;Vorwärts Steyr;1.33;0.53;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1550;30;Y;Y;Y;Y;N;N;N
