ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1071617;595;579;2020/2021;complete;59198;1;-1;43;;1;0;1;8;6;14;3;2;3;3;0;0;9;5;5;6;14;11;14;18;63;37;3;3;1.56;4.35;5.25;1.01;1.18;1.59;2.45;4.35;13.25;4.7;2.3;1.51;1.2;1.65;2.15;2.65;1.43;0;0;1.1;1.12;2.8;1.91;2.6;6;1.61;3;6;0;0;1.18;1.35;1.62;2.1;2.75;4.33;2.95;2.15;1.65;1.4;1.38;8.4;3.96;1.28;19;3.5;2.5;15;1.25;2.25;5.5;15;3.75;1.57;1.14;1.03;1.14;1.72;3.2;6.5;5;2;1.3;1.08;0;0;0;0;1;1;0;0;0;0;1;2020-09-11 18:30:00;595;0;0;0;0;0;1;1;5;2;3;4;7;7;2;1;1;2;3;3;1;106;59;123;88;2.28;1.47;3.75;0;0;0;0;0;0;1;1;0;0;1;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;LASK Linz;Austria Wien;1.69;1.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4861;32;Y;N;N;N;N;N;N
1071618;577;599;2020/2021;complete;59198;1;-1;38;54;1;1;2;8;3;11;2;2;2;2;0;0;3;4;13;4;16;8;17;14;50;50;2;2;2.05;3.9;3.15;1.01;1.17;1.57;2.45;4.3;13.25;4.75;2.35;1.53;1.2;1.51;2.4;3.2;1.31;0;0;1.26;1.2;1.87;2.5;2.3;4;2.15;2.7;3.7;0;0;1.2;1.4;1.7;2.2;3;4.1;2.75;2.05;1.6;1.34;1.62;7.1;2.95;1.62;10;2.3;3.6;7.5;1.3;2.5;6;17;3.4;1.5;1.12;1.02;1.17;1.83;3.5;7.25;4.4;1.87;1.26;1.06;0;0;0;0;2;1;0;0;1;1;1;2020-09-12 15:00:00;-1;0;0;0;0;0;1;1;4;3;4;0;7;4;1;0;1;2;1;3;1;50;17;114;56;1.59;0.91;2.5;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rheindorf Altach;Hartberg;1.38;1.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4861;32;Y;Y;N;N;N;N;Y
1071619;583;578;2020/2021;complete;59198;1;-1;8,43,73,90;80;4;1;5;9;0;9;1;0;3;2;0;0;8;2;9;4;17;6;17;17;58;42;3;2;1.45;4.7;6;1.01;1.17;1.56;2.4;4.25;13.5;4.8;2.35;1.54;1.21;1.71;2.05;2.4;1.53;0;0;1.13;1.11;2.65;1.95;2.62;5.5;1.72;3;5;0;0;1.25;1.48;1.93;2.4;3.3;3.6;2.5;1.88;1.5;1.28;1.38;8.4;3.96;1.4;13;2.85;3;13;1.22;2.1;4.5;13;4;1.67;1.18;1.04;1.14;1.65;3;6.25;5;2.1;1.34;1.09;0;0;0;0;5;2;0;2;1;3;2;2020-09-11 16:30:00;583;0;0;0;0;0;1;1;6;0;3;0;6;3;2;2;1;0;4;1;1;98;53;104;86;2.33;0.91;3.24;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rapid Wien;Admira;2.06;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4861;32;Y;Y;Y;Y;Y;N;Y
1071620;584;591;2020/2021;complete;59198;1;-1;20,82,90;4,30;3;2;5;7;4;11;3;4;2;4;0;0;7;7;0;0;7;7;14;19;58;42;2;4;2;3.8;3.4;1.02;1.21;1.67;2.7;4.9;12;4.25;2.15;1.43;1.16;1.61;2.25;3.2;1.31;0;0;1.3;1.22;1.75;2.62;2.3;3.75;2.3;2.6;3.4;0;0;1.2;1.4;1.7;2.2;3;4.1;2.75;2.05;1.6;1.34;1.65;6.6;2.95;1.67;9.25;2.25;4;6.5;1.33;2.5;6.5;17;3.25;1.5;1.11;1.02;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;5;1;2;2;0;2;3;2020-09-13 12:30:00;584;0;0;0;0;0;1;1;2;3;5;1;5;6;1;1;1;3;2;4;-1;0;0;0;0;0;0;0;2;1;2;1;0;0;1;1;0;1;0;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ried;Wattens;1.38;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4861;32;Y;Y;Y;Y;Y;N;Y
1071621;580;582;2020/2021;complete;59198;1;-1;;;0;0;0;8;4;12;1;1;4;3;0;0;6;2;0;0;6;2;14;16;51;49;4;3;3.55;3.7;1.95;1.03;1.25;1.8;3.05;5.7;10.5;3.75;1.95;1.36;1.12;1.71;2.05;4.4;1.18;0;0;1.78;1.22;1.28;4;2.2;2.6;3.6;2.55;2.25;0;0;1.25;1.48;1.9;2.4;3.3;3.6;2.5;1.9;1.5;1.28;2.09;8;1.93;2.3;8.75;1.67;5.75;3.35;1.36;2.62;7;21;3;1.44;1.1;1.02;1.2;1.95;3.9;8.25;4;1.75;1.22;1.04;0;0;0;0;0;0;0;0;0;0;0;2020-09-13 12:30:00;-1;0;0;0;0;0;1;1;5;0;3;4;5;7;2;1;2;2;3;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;St. Pölten;Sturm Graz;0.5;1.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4861;32;N;N;N;N;N;N;N
1071622;581;100;2020/2021;complete;59198;1;-1;90;21,27,82;1;3;4;1;8;9;2;1;2;1;1;0;3;5;2;9;5;14;15;18;30;70;4;1;6.8;5.4;1.37;1;1.09;1.34;1.87;2.95;18;6.8;3.15;1.87;1.38;1.56;2.3;7.5;1.06;0;0;2.4;1.14;1.15;4.75;2.62;2;4.6;3;1.8;0;0;1.2;1.4;1.7;2.2;3;4;2.75;2.05;1.6;1.34;3.08;9;1.46;2.7;13;1.44;13;3.2;1.22;2;4.33;11;4;1.72;1.2;1.05;1.12;1.62;2.9;5.75;5.25;2.15;1.36;1.1;0;0;0;0;4;0;2;1;1;2;2;2020-09-13 15:00:00;100;0;0;0;0;0;1;1;0;4;1;4;4;5;2;0;1;1;2;2;1;18;36;37;50;0.66;1.49;2.14;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wolfsberger AC;Salzburg;0.71;2.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4861;32;Y;Y;Y;Y;N;N;Y
1071623;100;577;2020/2021;complete;59198;2;-1;35,41,46,63;33;4;1;5;4;7;11;4;0;1;4;1;0;8;0;10;16;18;16;8;11;43;57;3;4;1.1;11;16.25;1;1.04;1.2;1.54;2.2;22.5;9.5;4.35;2.4;1.65;1.8;1.91;1.77;1.91;0;0;1.03;1.06;6.4;1.38;3.5;11;1.25;4.4;12;0;0;1.22;1.41;1.73;2.23;3;3.95;2.75;2.02;1.6;1.35;1.08;11.25;7.25;1.16;55;4.5;1.91;41;1.14;1.72;3.2;7;5.25;2;1.3;1.08;1.06;1.38;2.2;4.74;9;2.8;1.6;1.15;0;0;0;0;5;2;1;2;0;2;3;2020-09-19 15:00:00;100;0;0;0;0;0;1;1;1;3;3;4;4;7;2;2;0;2;4;2;1;39;46;107;104;1.98;1.35;3.33;1;0;1;0;0;0;1;1;0;0;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Salzburg;Rheindorf Altach;2.5;0.75;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;4861;32;Y;Y;Y;Y;Y;N;Y
1071624;591;595;2020/2021;complete;59198;2;-1;5;39;1;1;2;2;8;10;4;8;3;0;0;0;2;4;2;13;4;17;7;5;36;64;3;0;6.65;4.75;1.42;1.01;1.16;1.54;2.35;4.1;13.75;4.95;2.4;1.56;1.22;1.69;2.05;7.25;1.04;0;0;3.1;1.17;1.1;6.8;2.68;1.81;6.55;3.18;1.65;0;0;1.22;1.42;1.7;2.23;3;4;2.75;2.11;1.63;1.35;5.3;8.75;1.19;3.3;20;1.32;15;2.3;1.27;2.26;5.3;11;3.76;1.64;1.12;1.03;1.17;1.81;3.44;7;5.15;2;1.31;1.08;0;0;0;0;2;1;1;0;0;0;2;2020-09-19 15:00:00;-1;0;0;0;0;0;1;1;2;8;0;0;10;0;2;0;1;0;2;1;1;26;69;94;173;0.6;1.87;2.47;0;1;0;1;0;0;1;1;1;0;1;4;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wattens;LASK Linz;1.25;1.5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4861;32;Y;Y;N;N;N;N;Y
1071625;582;583;2020/2021;complete;59198;2;-1;52;68;1;1;2;5;8;13;4;2;2;2;0;0;4;0;6;11;10;11;8;10;44;56;2;2;4.05;4.05;1.74;1.02;1.19;1.62;2.6;4.6;12.5;4.45;2.25;1.48;1.18;1.61;2.2;4.55;1.14;0;0;1.81;1.29;1.29;4.18;2.34;2.46;3.6;2.65;2.2;0;0;1.22;1.42;1.73;2.26;3;4;2.75;2.08;1.61;1.35;3.1;6.1;1.5;2.3;15;1.65;6.5;4;1.33;2.5;6;12;3.32;1.53;1.13;1.03;1.18;1.88;3.7;8;4.7;1.82;1.23;1.06;0;0;0;0;2;0;0;1;1;2;0;2020-09-19 15:00:00;-1;0;0;0;0;0;1;1;3;4;2;4;7;6;0;1;2;1;1;3;1;59;54;113;97;1.35;1.09;2.44;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sturm Graz;Rapid Wien;2.13;1.63;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;4861;32;Y;Y;N;N;N;N;Y
1071626;599;581;2020/2021;complete;59198;2;-1;;55,60;0;2;2;5;5;10;2;4;1;1;1;0;2;8;8;6;10;14;19;21;50;50;2;1;3.95;4.25;1.74;1.01;1.14;1.48;2.2;3.7;15;5.4;2.6;1.65;1.26;1.49;2.45;5.5;1.09;0;0;1.98;1.25;1.26;4.3;2.38;2.39;3.75;2.9;2;0;0;1.17;1.3;1.56;1.98;2.55;4.8;3.25;2.33;1.83;1.47;3.46;8.9;1.49;2.35;22;1.58;8.5;4;1.3;2.22;5;10;3.52;1.66;1.13;1.04;1.13;1.65;3.05;6.5;5.75;2.1;1.32;1.1;0;0;0;0;2;0;0;0;2;2;0;2020-09-20 12:30:00;581;0;0;0;0;0;1;1;5;1;0;4;6;4;1;1;1;0;2;1;1;56;37;100;93;1.18;1.71;2.9;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hartberg;Wolfsberger AC;1.59;1.88;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4861;33;Y;Y;N;N;N;N;N
