;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;1587802;821;825;2022;complete;86890;1;-1;;;0;0;0;4;7;11;2;2;1;2;0;0;2;9;4;0;6;9;15;7;50;50;1;2;5.9;3.7;1.49;1.05;2.01;1.97;4.24;8.4;7.3;1.78;1.76;1.18;1.03;2.25;1.58;0;0;0;0;2.5;1.24;1.11;6.25;2.15;2.05;6.0;2.5;1.83;0;0;1.45;1.69;2.04;2.26;3.15;2.7;2.16;1.78;1.57;1.32;4.95;9.1;1.27;3.5;8.25;1.43;0;0;1.44;3.0;8.0;0.0;2.6;1.35;1.07;0.0;1.28;2.25;5.0;0.0;3.4;1.57;1.15;0.0;0;0;0;0;1;0;0;0;1;1;0;2022-03-18;825;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;1;1;1;1;2;1;0;0;0;0;0.72;1.42;2.14;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Minsk;Dinamo Minsk;2.0;2.27;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;Y;N;N;N;N;N;N
1;1587806;816;824;2022;complete;86890;1;-1;85;85;1;1;2;6;4;10;6;0;3;2;0;0;4;9;2;5;6;14;7;18;50;50;3;2;4.07;3.78;1.86;1.03;1.34;2.0;3.51;6.77;8.7;3.24;1.72;1.3;1.11;1.94;1.79;0;0;0;0;2.42;1.33;1.17;6.15;2.13;2.14;5.3;2.47;1.98;0;0;1.24;1.5;1.85;2.26;3.14;3.56;2.53;1.94;1.62;1.3;4.7;9.2;1.29;3.32;8.7;1.47;0;0;1.41;2.94;7.6;0.0;2.73;1.36;1.06;0.0;1.26;2.24;5.0;0.0;3.54;1.59;1.14;0.0;0;0;0;0;2;0;0;1;1;2;0;2022-03-19;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;1;2;1;2;3;1;0;0;0;0;0.86;1.77;2.62;1;0;1;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Dinamo Brest;Shakhtyor;0.93;2.2;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;Y;Y;N;N;N;N;Y
2;1587801;827;820;2022;complete;86890;1;-1;25,85;25,85;2;2;4;5;2;7;-1;-1;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1;2.08;3.53;3.54;1.05;1.37;1.85;3.89;7.15;7.7;3.1;1.9;1.26;1.1;1.89;1.83;0;0;0;0;1.32;1.31;1.58;2.91;2.01;3.88;2.62;2.32;3.5;0;0;1.31;1.62;2.02;2.35;3.74;3.08;2.25;1.78;1.57;1.22;1.65;7.6;2.76;1.87;7.7;2.31;0;0;1.46;3.14;8.3;0.0;2.56;1.32;1.05;0.0;1.29;2.38;5.45;0.0;3.34;1.53;1.12;0.0;0;0;0;0;2;1;0;1;0;1;1;2022-03-19;827;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;1;2;0;1;2;1;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Neman Grodno;Torpedo BelAZ;1.93;1.47;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;Y;Y;N;N;N;N;N
3;1587807;3539;826;2022;complete;86890;1;-1;66,76,90;66,76,90;3;3;6;2;0;2;4;0;1;2;0;2;4;4;6;1;10;5;16;13;50;50;1;6;3.31;3.59;2.15;1.04;1.36;1.8;3.81;7.12;7.8;3.12;1.96;1.27;1.1;1.83;1.87;0;0;0;0;1.46;1.34;1.46;3.25;2.0;3.25;2.9;2.3;2.9;0;0;1.25;1.36;1.66;2.15;2.76;3.6;2.84;2.14;1.65;1.38;1.95;7.6;2.2;2.05;7.75;2.05;0;0;1.44;2.95;8.0;0.0;2.6;1.35;1.07;0.0;1.28;2.25;5.0;0.0;3.4;1.57;1.15;0.0;0;0;0;0;4;0;0;3;1;4;0;2022-03-19;3539;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;0;4;1;4;-1;0;0;0;0;0.0;0.0;0.0;2;0;2;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;FC Energetik-BGU Minsk;Vitebsk;1.47;0.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;Y;Y;Y;Y;N;N;Y
4;1587800;823;829;2022;complete;86890;1;-1;75;75;1;1;2;9;2;11;1;0;3;4;0;0;5;4;3;4;8;8;22;14;50;50;3;4;2.06;3.6;3.54;1.03;1.33;2.02;3.56;7.02;8.4;3.32;1.71;1.29;1.1;1.83;1.89;0;0;0;0;1.27;1.28;1.7;2.65;2.08;4.15;2.39;2.41;3.78;0;0;1.31;1.62;2.02;2.34;3.74;3.08;2.25;1.78;1.57;1.22;1.42;8.3;3.64;1.75;8.4;2.45;0;0;1.42;2.94;7.6;0.0;2.69;1.36;1.06;0.0;1.26;2.22;4.95;0.0;3.54;1.6;1.14;0.0;0;0;0;0;3;0;1;1;1;2;1;2022-03-19;829;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;2;2;1;2;4;3;1;0;0;0;0;1.14;0.96;2.1;1;0;1;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Isloch;Slutsk;1.53;1.13;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;Y;Y;Y;N;N;N;Y
5;1587805;818;831;2022;complete;86890;1;-1;;;0;0;0;9;2;11;0;1;2;0;0;0;12;2;7;3;19;5;20;18;50;50;2;0;0.0;0.0;0.0;1.9;0.0;0.0;0.0;0.0;1.75;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-03-20;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;0;2;0;0;2;1;0;0;0;0;2.7;0.81;3.51;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Belshina;Dnepr Mogilev;0.93;0.2;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;N;N;N;N;N;N;N
6;1587804;815;87;2022;complete;86890;1;-1;;;0;0;0;6;8;14;1;2;2;0;0;0;3;8;6;8;9;16;18;7;50;50;2;0;5.22;4.17;1.4;1.01;1.21;1.61;2.76;5.09;10.5;4.22;2.15;1.43;1.16;1.95;1.78;0;0;0;0;2.66;1.17;1.08;6.4;2.35;1.93;6.0;2.79;1.74;0;0;1.23;1.41;1.76;2.25;2.98;3.7;2.64;2.03;1.62;1.33;5.35;10.0;1.23;3.65;10.5;1.38;0;0;1.33;2.59;6.2;16.5;3.08;1.45;1.09;1.02;1.2;1.97;4.05;8.5;4.15;1.76;1.21;1.06;0;0;0;0;3;0;1;0;2;2;1;2022-03-20;87;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;0;2;0;0;2;1;0;0;0;0;1.0;1.88;2.88;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Slavia;BATE;1.07;2.07;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;Y;Y;Y;N;N;N;N
7;1587803;673161;830;2022;complete;86890;1;-1;80;80;1;1;2;3;3;6;2;2;1;2;0;1;3;5;7;4;10;9;5;16;50;50;1;4;100.0;7.25;1.04;0.0;0.0;0.0;5.1;0.0;0.0;0.0;0.0;1.1;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;3;0;1;1;1;2;1;2022-03-20;830;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;1;1;2;1;3;1;0;0;0;0;1.08;1.18;2.26;0;1;0;1;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Arsenal Dzyarzhynsk;Gomel;0.73;1.27;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;Y;Y;Y;N;N;N;Y
8;1587813;829;827;2022;complete;86890;2;-1;;;0;0;0;1;2;3;1;3;1;1;0;0;3;5;5;3;8;8;17;18;50;50;1;1;2.96;3.46;2.4;1.04;1.34;1.91;3.64;7.2;8.1;2.93;1.84;1.23;1.05;1.86;1.86;0;0;0;0;1.66;1.29;1.28;4.1;2.05;2.73;3.7;2.38;2.46;0;0;1.27;1.58;1.95;2.45;3.4;3.34;2.25;1.83;1.47;1.26;2.75;7.7;1.65;2.41;8.1;1.79;0;0;1.44;3.04;7.9;0.0;2.62;1.34;1.05;0.0;1.27;2.28;5.15;0.0;3.48;1.57;1.13;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-04-02;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;1;1;0;0;0;0;0.97;1.08;2.05;0;0;0;0;0;0;1;1;0;0;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Slutsk;Neman Grodno;1.0;0.8;0.0;0.0;3.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7091;30;N;N;N;N;N;N;N
9;1587929;818;87;2022;complete;86890;2;-1;;;0;0;0;5;8;13;2;2;2;2;0;0;4;7;5;6;9;13;16;15;50;50;2;2;9.42;4.87;1.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;3;0;1;0;2;2;1;2022-04-02;87;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;2;1;0;1;3;1;1;0;0;0;0;1.38;1.78;3.15;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;50;0;50;50;50;17.0;2.0;2.0;1.5;Belshina;BATE;0.93;2.07;1.0;3.0;1.0;3.0;100;100;50;50;50;100;100;100;2.7;1.88;4.58;7091;30;Y;Y;Y;N;N;N;N
