ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
432969;2573;2572;2018/2019;complete;3438;1;-1;42;;1;0;1;9;3;12;3;0;0;0;0;0;3;7;2;5;5;12;14;12;47;53;0;0;2.39;3.3;2.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2018-08-03 18:30:00;2573;0;0;0;0;0;1;-1;7;1;2;2;8;4;0;0;0;0;0;0;1;57;60;83;86;0.94;1.68;2.62;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Lommel United;Union Saint-Gilloise;1.06;1.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1560;28;Y;N;N;N;N;N;N
432970;690;537;2018/2019;complete;3438;1;-1;45;88;1;1;2;0;6;6;3;5;2;2;0;0;3;5;3;3;6;8;13;11;45;55;2;2;2.48;3.37;2.8;1.03;1.28;1.91;3.25;0;0;0;0;0;0;1.8;2.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;1;2018-08-04 15:00:00;-1;0;0;0;0;0;1;1;0;3;0;3;3;3;1;2;1;0;3;1;1;0;0;0;0;0.91;1.34;2.25;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;OH Leuven;KV Mechelen;1.06;1.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1560;30;Y;Y;N;N;N;N;Y
432971;534;2569;2018/2019;complete;3438;1;-1;23,78;67;2;1;3;6;4;10;2;2;0;0;0;0;5;4;3;2;8;6;14;16;50;50;0;0;2.06;3.35;3.67;1.05;1.34;2.1;3.8;0;0;0;0;0;0;1.95;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;2;1;2018-08-04 18:30:00;534;0;0;0;0;0;1;-1;1;3;5;1;4;6;0;0;0;0;0;0;1;0;0;0;0;1.25;1.04;2.29;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;KVC Westerlo;SV Roeselare;1.43;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1560;28;Y;Y;Y;N;N;N;Y
432972;2570;2568;2018/2019;complete;3438;1;-1;27,79,90;13,20,36;3;3;6;5;5;10;1;2;0;0;0;0;5;6;8;7;13;13;18;19;47;53;0;0;3.72;3.38;2.03;1.04;1.31;2;3.5;7;9.5;3.1;1.76;1.29;1.09;1.91;1.91;0;0;0;0;1.7;1.25;1.25;4.24;2.16;2.72;3.5;2.25;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.35;9.5;1.75;0;0;0;0;0;0;0;0;0;0;1.39;3.02;7.5;17;2.82;1.33;1.07;1.01;0;0;0;0;6;1;3;2;0;2;4;2018-08-05 14:00:00;-1;0;0;0;0;0;1;-1;3;3;2;2;6;4;0;0;0;0;0;0;1;73;64;123;112;1.7;1.71;3.41;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;AFC Tubize;Beerschot-Wilrijk;1.06;1.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1560;30;Y;Y;Y;Y;Y;Y;Y
432973;2568;534;2018/2019;complete;3438;1;-1;17;28;1;1;2;4;5;9;3;3;0;0;0;0;2;2;2;2;4;4;8;11;46;54;0;0;2.1;3.4;3.2;1.04;1.29;1.95;3.35;0;0;0;0;0;0;1.83;1.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;2018-08-10 18:30:00;-1;0;0;0;0;0;1;-1;3;1;1;4;4;5;0;0;0;0;0;0;1;0;0;0;0;0.8;0.88;1.67;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Beerschot-Wilrijk;KVC Westerlo;2.13;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1560;28;Y;Y;N;N;N;N;Y
432974;2569;537;2018/2019;complete;3438;1;-1;5,74;34,68;2;2;4;4;4;8;1;4;0;0;0;0;6;6;4;5;10;11;15;12;44;56;0;0;3.9;3.4;1.87;1.04;1.3;1.95;3.45;0;0;0;0;0;0;1.83;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;2;2;2018-08-11 15:00:00;-1;0;50;0;0;0;1;-1;1;3;3;1;4;4;0;0;0;0;0;0;1;0;0;0;0;1.47;1.89;3.37;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;6;5;2;1;SV Roeselare;KV Mechelen;1.29;1.87;0;1;0;1;50;50;50;0;0;0;0;0;0;1.34;1.34;1560;30;Y;Y;Y;Y;N;N;Y
432975;2573;2570;2018/2019;complete;3438;1;-1;52,90;42,66;2;2;4;5;7;12;1;1;0;0;0;0;6;4;4;4;10;8;21;17;56;44;0;0;2.35;3.15;2.9;1.05;1.36;2.1;3.9;0;0;0;0;0;0;1.95;1.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;2;1;3;1;2018-08-11 18:30:00;-1;0;0;0;0;0;1;-1;4;4;1;3;8;4;0;0;0;0;0;0;1;0;0;0;0;1.55;1.1;2.65;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;50;0;0;9;3;0;0.5;Lommel United;AFC Tubize;1.06;0.59;3;0;3;1;50;50;50;50;0;50;50;50;0.94;0;0.94;1560;34;Y;Y;Y;Y;N;N;Y
432976;2572;690;2018/2019;complete;3438;1;-1;27;12,90;1;2;3;4;4;8;9;2;1;2;0;0;5;5;6;4;11;9;10;15;57;43;1;2;2.5;3.1;2.75;1.04;1.31;2;3.5;0;0;0;0;0;0;1.87;1.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;1;2;2018-08-12 14:00:00;690;0;0;0;0;0;1;1;2;2;2;2;4;4;0;0;1;2;0;3;1;0;0;0;0;1.45;1.28;2.74;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Union Saint-Gilloise;OH Leuven;1.79;1.41;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1560;28;Y;Y;Y;N;N;N;Y
432977;537;2573;2018/2019;complete;3438;2;-1;87;58,90;1;2;3;3;3;6;3;0;0;0;0;0;3;5;9;3;12;8;14;18;62;38;0;0;1.5;4.1;5.65;1.02;1.23;1.74;2.9;0;0;0;0;0;0;1.91;1.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;3;0;2018-08-17 18:30:00;2573;0;0;0;0;0;1;-1;2;3;1;0;5;1;0;0;0;0;0;0;1;0;0;0;0;1.96;1.24;3.2;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;KV Mechelen;Lommel United;2.33;1.18;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1560;30;Y;Y;Y;N;N;N;Y
432978;534;2572;2018/2019;complete;3438;2;-1;87;46,83,90;1;3;4;9;2;11;0;1;0;0;0;0;5;5;5;2;10;7;19;14;55;45;0;0;2.3;3.1;3.05;1.05;1.34;2.05;3.7;0;0;0;0;0;0;1.91;1.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;3;4;0;2018-08-18 15:00:00;2572;0;50;0;50;0;1;-1;1;1;8;1;2;9;0;0;0;0;0;0;1;0;0;0;0;1.55;1.06;2.61;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;100;0;100;50;50;9;2;0;2;KVC Westerlo;Union Saint-Gilloise;1.43;1.43;3;0;2;0;100;100;50;50;0;100;100;50;1.25;1.68;2.93;1560;28;Y;Y;Y;Y;N;N;Y
