;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2578587;669388;2573;2022/2023;complete;91282;1;-1;20;20;1;1;2;4;1;5;1;4;4;5;1;0;3;9;5;7;8;16;16;12;46;54;6;5;2.16;3.28;2.75;1.04;1.23;1.72;3.0;5.8;12.5;4.1;1.89;1.37;1.13;1.57;2.25;3.3;1.29;3.8;1.22;1.39;1.29;1.6;3.0;2.25;3.25;2.6;2.55;2.88;0;0;0.0;1.3;1.56;1.95;2.52;0.0;3.3;2.27;1.76;1.46;1.62;6.0;2.55;1.8;11.0;2.1;4.4;5.0;1.33;2.63;6.5;19;3.25;1.44;1.11;1.02;1.18;1.83;3.75;10.0;4.5;1.83;1.25;1.06;0;0;0;0;5;1;2;0;2;2;3;2022-08-12;2573;0;0;0;0;0;1;1;2;0;2;1;2;3;2;3;3;2;5;5;1;68;62;108;112;1.21;2.09;3.3;0;1;0;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;FCV Dender EH;Lommel United;0.86;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;14;Y;Y;Y;Y;Y;N;Y
1;2578588;2581;669393;2022/2023;complete;91282;1;-1;87;87;1;1;2;8;2;10;2;3;2;1;0;0;4;4;5;7;9;11;6;12;53;47;2;1;4.85;3.68;1.53;0.0;0.0;1.65;0.0;0.0;0.0;0.0;2.1;0.0;0.0;1.8;1.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5;2.38;2.05;5.0;0.0;1.8;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.25;0.0;1.36;0.0;0.0;1.33;2.5;6.5;17;3.25;1.5;1.11;1.03;1.18;1.91;4.0;10.0;4.5;1.8;1.22;1.06;0;0;0;0;2;0;0;1;1;2;0;2022-08-12;-1;0;0;0;0;0;1;1;4;2;4;0;6;4;2;0;0;1;2;1;1;55;39;82;69;1.25;1.26;2.5;1;0;1;0;0;0;1;1;0;0;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Excelsior Virton;RWDM;0.57;1.38;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;14;Y;Y;N;N;N;N;Y
2;2578589;2568;526;2022/2023;complete;91282;1;-1;17;17;1;1;2;7;6;13;5;0;4;4;1;1;7;8;12;5;19;13;20;15;46;54;6;5;2.1;3.35;3.05;0.0;0.0;1.62;0.0;0.0;0.0;0.0;2.15;0.0;0.0;1.57;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.75;2.3;3.5;2.5;0.0;3.1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.67;0.0;2.25;0.0;0.0;1.33;2.5;6.5;17;3.25;1.5;1.11;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;1;1;0;0;0;0;1;2022-08-13;2568;0;0;0;0;0;1;1;4;0;3;6;4;9;3;1;2;4;4;6;1;69;72;98;122;2.18;1.91;4.09;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Beerschot-Wilrijk;Waasland-Beveren;1.63;1.57;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;14;Y;N;N;N;N;N;N
3;2578590;686748;747278;2022/2023;complete;91282;1;-1;5,9;5,9;2;2;4;2;10;12;1;3;2;3;0;0;3;5;5;4;8;9;11;11;50;50;2;3;1.81;3.88;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;4;2;2;0;0;0;4;2022-08-13;-1;0;0;0;0;0;1;1;1;4;1;6;5;7;1;1;1;2;2;3;1;0;0;0;0;1.02;1.38;2.41;0;1;0;1;0;0;1;1;2;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Club Brugge II;Standard Liège II;1.88;1.25;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;15;Y;Y;Y;Y;N;N;Y
4;2578591;747277;669390;2022/2023;complete;91282;1;-1;30,59,82,90;30,59,82,90;4;4;8;2;9;11;4;1;2;3;0;0;3;4;3;4;6;8;14;11;47;53;2;3;2.99;3.5;2.0;0.0;0.0;1.73;0.0;0.0;0.0;0.0;2.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;5;1;1;3;0;3;2;2022-08-14;747277;0;0;0;0;0;1;1;1;3;1;6;4;7;0;3;2;0;3;2;1;0;0;0;0;0.94;1.26;2.2;1;0;1;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;KRC Genk II;Lierse Kempenzonen;1.25;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;14;Y;Y;Y;Y;Y;N;Y
5;2578592;747276;2578;2022/2023;complete;91282;1;-1;;;0;0;0;4;7;11;0;1;2;3;0;0;5;0;6;11;11;11;10;13;56;44;2;3;4.6;4.1;1.69;0.0;0.0;1.67;0.0;0.0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-08-14;-1;0;0;0;0;0;1;1;1;3;3;4;4;7;1;2;1;1;3;2;1;0;0;0;0;1.51;1.1;2.61;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;RSC Anderlecht II;KMSK Deinze;1.29;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;15;N;N;N;N;N;N;N
6;2578593;2578;747277;2022/2023;complete;91282;2;-1;8,60,90;8,60,90;3;3;6;4;11;15;4;3;3;1;0;0;0;6;4;8;4;14;7;10;46;54;3;1;1.81;3.65;3.4;0.0;0.0;1.6;0.0;0.0;0.0;0.0;2.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;5;1;1;2;1;3;2;2022-08-19;2578;0;0;0;0;0;1;1;2;3;2;8;5;10;1;0;2;1;1;3;1;0;0;0;0;0.51;1.88;2.39;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;KMSK Deinze;KRC Genk II;1.86;0.29;0.0;0.0;1.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;15;Y;Y;Y;Y;Y;N;Y
7;2578594;747278;2568;2022/2023;complete;91282;2;-1;41,82;41,82;2;2;4;3;7;10;0;0;4;3;0;0;2;6;7;7;9;13;14;12;48;52;4;3;4.1;3.6;1.73;0.0;0.0;1.65;0.0;0.0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;4;1;0;1;2;3;1;2022-08-19;-1;0;0;0;0;0;1;1;2;4;1;3;6;4;0;1;4;2;1;6;1;0;0;0;0;1.07;1.82;2.89;1;0;1;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Standard Liège II;Beerschot-Wilrijk;0.86;2.29;0.0;0.0;1.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;15;Y;Y;Y;Y;N;N;Y
8;2578595;526;2581;2022/2023;complete;91282;2;-1;33,43;33,43;2;2;4;3;2;5;3;1;5;5;0;0;6;4;7;2;13;6;9;12;58;42;5;5;1.53;4.1;5.5;1.03;1.15;1.53;2.48;4.14;14.5;4.5;2.4;1.56;1.19;1.67;2.1;0.0;0.0;0.0;0.0;1.14;1.19;2.39;2.2;2.4;4.75;1.91;2.9;4.33;0;0;1.22;1.4;1.63;2.06;2.69;4.0;2.7;2.14;1.71;1.41;1.24;10.25;5.3;1.44;17.25;2.88;2.8;11.0;1.3;2.38;5.5;15;3.4;1.53;1.14;1.03;1.17;1.8;3.5;9.0;5.0;1.91;1.29;1.07;0;0;0;0;4;2;1;0;1;1;3;2022-08-20;-1;0;0;0;0;0;1;1;3;1;0;1;4;1;1;2;4;3;3;7;1;65;24;85;40;1.71;0.83;2.54;1;0;0;0;1;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Waasland-Beveren;Excelsior Virton;2.43;0.71;0.0;0.0;0.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;14;Y;Y;Y;Y;N;N;Y
9;2578596;669393;669388;2022/2023;complete;91282;2;-1;40;40;1;1;2;5;2;7;5;1;2;2;0;0;7;2;5;9;12;11;10;10;55;45;2;2;1.57;3.75;4.75;1.02;1.2;1.61;2.7;4.8;16.0;4.2;2.2;1.44;1.16;1.67;2.1;2.63;1.43;5.0;1.13;1.18;1.23;2.2;2.2;2.4;5.0;1.91;2.75;4.5;0;0;1.22;1.44;1.8;2.29;3.0;4.0;2.58;1.9;1.55;1.35;1.3;6.75;4.05;1.44;12.5;2.88;2.8;9.0;1.3;2.5;6.0;17;3.4;1.5;1.13;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;1;1;0;0;0;0;1;2022-08-20;669393;0;0;0;0;0;1;1;3;0;2;2;3;4;1;2;1;0;3;1;1;69;54;127;108;1.76;1.23;2.99;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;RWDM;FCV Dender EH;2.43;1.5;0.0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7572;15;Y;N;N;N;N;N;N
