ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
628429;3552;3546;2019/2020;complete;51059;1;-1;50;11,54,81;1;3;4;15;0;15;-1;-1;1;4;0;0;5;4;12;4;17;8;-1;-1;62;38;1;4;1.65;3.45;4.65;1.03;1.29;1.95;3.4;6.35;8.25;3.2;1.74;1.26;1.08;1.91;1.8;2.2;1.61;4.5;1.16;1.16;1.25;2.07;2.25;2.1;5;1.91;2.5;5;0;0;0;0;2.1;0;0;0;0;1.67;0;0;0;0;0;1.5;9.5;3;2.75;8;1.41;2.76;7.5;17;2.69;1.39;1.06;1.01;1.24;2.19;4.74;11;3.6;1.6;1.15;1.03;0;0;0;0;4;0;1;1;2;3;1;2019-07-20 15:30:00;3546;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;1;1;3;1;4;1;102;52;130;87;2.16;1.17;3.32;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Velež;Mladost Doboj Kakanj;1.55;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303;22;Y;Y;Y;Y;N;N;Y
628430;3579;3567;2019/2020;complete;51059;1;-1;50;23,36,44,74,81;1;5;6;5;4;9;-1;-1;1;3;0;0;5;10;5;4;10;14;-1;-1;50;50;1;3;6.35;3.8;1.41;1.04;1.33;2.05;3.7;6.95;7.75;3;1.67;1.23;1.06;2.15;1.61;4.5;1.16;1.83;1.83;2.25;1.15;1.03;5.5;2.2;2.1;5.5;2.5;1.91;0;0;0;1.72;0;0;0;0;2;0;0;0;0;0;0;3.6;9.5;1.36;9;2.2;1.43;2.89;8;21;2.62;1.36;1.06;1;1.25;2.27;5.5;12;3.6;1.56;1.13;1.03;0;0;0;0;6;0;3;1;2;3;3;2019-07-20 15:30:00;3567;0;0;0;0;0;1;1;2;3;3;1;5;4;1;2;0;1;3;1;1;45;56;80;88;1.31;1.99;3.3;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Zvijezda '09 Brgule;FK Tuzla City;0.73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303;22;Y;Y;Y;Y;Y;Y;Y
628431;995;3542;2019/2020;complete;51059;1;-1;;;0;0;0;10;3;13;-1;-1;-1;-1;-1;-1;7;3;12;5;19;8;-1;-1;62;38;-1;-1;1.45;3.9;5.9;1.03;1.28;1.91;3.3;6.15;8.5;3.25;1.77;1.27;1.08;2;1.69;2;1.72;4.5;1.16;1.04;1.17;2.15;2.2;2.2;5;1.83;2.5;5.5;0;0;0;1.83;0;0;0;0;1.83;0;0;0;0;0;0;1.4;10;3.25;2.4;8.5;1.43;2.89;7.5;17;2.62;1.36;1.07;1.01;1.29;2.27;5;11;3.26;1.56;1.14;1.03;0;0;0;0;0;0;0;0;0;0;0;2019-07-20 18:30:00;-1;0;0;0;0;0;1;-1;4;2;6;1;6;7;-1;-1;-1;-1;-1;-1;1;54;28;76;52;2.07;0.92;2.99;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Željezničar;Borac Banja Luka;2.09;1.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303;22;N;N;N;N;N;N;N
628432;967;91;2019/2020;complete;51059;1;-1;46;;1;0;1;7;6;13;-1;-1;2;1;0;0;4;2;7;10;11;12;-1;-1;40;60;2;1;1.87;3.15;3.85;1.07;1.43;2.35;4.45;8.5;6.7;2.55;1.51;1.16;1.03;2.1;1.62;2;1.72;3.5;1.28;1.16;1.33;1.8;2.75;1.91;4.33;2.25;2.25;4.33;0;0;0;0;2.1;0;0;0;0;1.66;0;0;0;0;0;1.61;6.5;3;2.75;6.5;1.53;3.5;11;41;2.37;1.28;1.05;1;1.33;2.62;6.5;19;3.25;1.44;1.11;1.02;0;0;0;0;1;0;0;1;0;1;0;2019-07-21 17:00:00;967;0;0;0;0;0;1;1;3;4;4;2;7;6;1;0;1;1;1;2;1;36;44;50;70;1.23;1.21;2.44;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sarajevo;Zrinjski;2.73;1.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303;22;Y;N;N;N;N;N;N
628433;3544;3549;2019/2020;complete;51059;1;-1;23,59;85;2;1;3;8;6;14;-1;-1;3;0;0;0;7;4;7;5;14;9;-1;-1;53;47;3;0;1.87;3;4.1;1.08;1.5;2.55;5;9.5;6.15;2.35;1.43;1.13;1.02;2.2;1.57;1.72;2;4;1.22;1.11;1.28;2.1;2.23;2.05;5.95;2.1;2.25;5;0;0;0;1.72;0;0;0;0;2;0;0;0;0;0;0;1.5;6.5;3.3;2.3;7;1.5;3.34;9.5;41;2.41;1.28;1.04;1;1.38;2.65;7;15;2.8;1.42;1.08;1.02;0;0;0;0;3;1;0;1;1;2;1;2019-07-21 18:30:00;3544;0;0;0;0;0;1;1;3;2;5;4;5;9;2;0;1;0;2;1;1;67;68;117;103;1.86;1.34;3.21;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sloboda Tuzla;Radnik Bijeljina;1.55;1.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303;22;Y;Y;Y;N;N;N;Y
628434;3543;3547;2019/2020;complete;51059;1;-1;;74;0;1;1;10;0;10;-1;-1;4;5;0;1;5;2;7;5;12;7;-1;-1;65;35;4;6;1.33;4.35;7.75;1.04;1.3;1.95;3.4;6;9.5;3.4;1.75;1.28;1.11;2.55;1.45;1.53;2.37;6.5;1.1;1.04;1.14;3.1;1.72;2.3;9.5;1.57;2.75;8;0;0;0;1.67;0;0;0;0;2.1;0;0;0;0;0;0;1.2;9.5;5.5;1.72;17;1.38;2.69;7.5;17;2.8;1.41;1.06;1.01;1.23;2.16;4.74;12;3.7;1.62;1.15;1.03;0;0;0;0;1;0;0;0;1;1;0;2019-07-22 19:00:00;3547;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;1;4;5;1;9;1;103;53;122;112;1.85;0.98;2.83;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Široki Brijeg;Čelik;1.73;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303;22;Y;N;N;N;N;N;N
628435;3544;3543;2019/2020;complete;51059;2;-1;;33,50;0;2;2;9;4;13;-1;-1;3;3;0;0;5;3;5;3;10;6;-1;-1;50;50;3;3;2.4;3.2;2.6;1.07;1.4;2.3;4.33;8;8;2.75;1.6;1.2;1.06;2;1.72;2.62;1.44;3;1.36;1.33;1.24;1.4;3.2;1.95;3.5;2.75;2.3;3.1;0;0;0;1.73;0;0;0;0;2;0;0;0;0;0;0;1.83;8;2.25;3.75;4.33;1.5;3.5;10;23;2.5;1.28;1.06;1.01;1.3;2.37;5.5;15;3.4;1.53;1.14;1.03;0;0;0;0;4;1;1;1;1;2;2;2019-07-27 18:30:00;-1;0;50;0;50;0;1;1;2;3;7;1;5;8;0;0;3;3;0;6;1;88;50;150;103;1.63;0.96;2.59;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;50;0;50;50;50;8;0;3;1.5;Sloboda Tuzla;Široki Brijeg;1.55;1.18;3;0;3;0;50;50;0;0;0;50;50;50;1.86;0;1.86;2303;22;Y;Y;Y;Y;N;N;Y
628436;3549;3567;2019/2020;complete;51059;2;-1;7,34,37;;3;0;3;5;4;9;-1;-1;2;5;0;0;8;3;5;4;13;7;-1;-1;50;50;2;5;2.25;3.25;2.75;1.06;1.4;2.25;4;7.5;8;2.75;1.61;1.22;1.07;2;1.73;2.75;1.4;3;1.36;1.44;1.33;1.44;3.25;2;3.25;2.75;2.25;3.3;0;0;0;1.85;0;0;0;0;1.95;0;0;0;0;0;0;1.9;8;2.1;4;4.33;1.44;3.25;9.5;34;2.63;1.29;1.04;1;1.32;2.41;5.5;13;3.1;1.5;1.13;1.02;0;0;0;0;3;3;0;0;0;0;3;2019-07-27 15:30:00;3549;0;50;0;50;0;1;1;1;1;4;3;2;7;1;4;1;1;5;2;1;69;67;112;111;1.88;1.15;3.03;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;50;50;50;50;4;0;3;3;Radnik Bijeljina;FK Tuzla City;1.91;1;0;3;0;3;0;0;0;0;0;50;0;0;0;1.99;1.99;2303;22;Y;Y;Y;N;N;N;N
628437;3546;995;2019/2020;complete;51059;2;-1;;50,78;0;2;2;2;5;7;-1;-1;6;4;0;0;0;4;3;5;3;9;-1;-1;46;54;6;4;2.75;3.2;2.3;1.06;1.4;2.25;4;7.5;8;2.75;1.61;1.22;1.07;1.91;1.8;3.25;1.33;2.62;1.44;1.57;1.36;1.4;3.6;2;3.1;3.1;2.25;2.88;0;0;0;0;2.1;0;0;0;0;1.67;0;0;0;0;0;2.3;8;1.83;4.75;3.75;1.44;3.2;8.5;34;2.63;1.3;1.05;1;1.33;2.44;5.5;13;3.04;1.49;1.13;1.02;0;0;0;0;2;0;0;0;2;2;0;2019-07-27 15:30:00;995;0;0;0;0;0;1;1;0;3;2;2;3;4;3;1;3;3;4;6;1;42;64;87;104;0.51;1.32;1.82;0;0;0;0;0;0;1;1;0;0;0;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Mladost Doboj Kakanj;Željezničar;1;1.73;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;2303;22;Y;Y;N;N;N;N;N
628438;3542;3579;2019/2020;complete;51059;2;-1;23;;1;0;1;7;4;11;-1;-1;3;3;0;0;6;8;8;10;14;18;-1;-1;50;50;3;3;1.4;3.8;7.5;1.02;1.34;2.1;3.75;7.5;6.95;2.65;1.65;1.22;1.01;2.4;1.5;0;0;0;0;1.05;1.2;2.65;1.91;2.15;6.45;1.75;2.38;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.25;7;5.45;1.91;11;1.53;3.4;9;34;2.38;1.3;1.05;1;1.33;2.5;5.5;15;3.25;1.5;1.12;1.02;0;0;0;0;1;1;0;0;0;0;1;2019-07-27 18:30:00;3542;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;2;3;1;5;1;0;0;0;0;1.81;2;3.82;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Borac Banja Luka;Zvijezda '09 Brgule;2.18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2303;22;Y;N;N;N;N;N;N
