;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;1588585;617;611;2022;complete;86922;1;-1;;;0;0;0;8;1;9;0;4;1;0;0;0;7;2;20;2;27;4;14;18;66;34;1;0;1.75;3.21;4.4;1.09;1.51;2.48;4.75;10.0;7.5;2.39;1.53;1.18;1.04;2.2;1.62;1.98;1.73;3.9;1.23;1.18;1.29;2.05;2.5;2.0;5.5;2.2;2.3;4.75;0;0;1.2;1.44;1.73;2.2;3.1;3.9;2.5;1.95;1.57;1.3;1.55;7.5;2.94;1.53;7.4;3.1;2.7;6.5;1.5;3.5;11.0;26.0;2.5;1.29;1.05;0.0;1.31;2.45;5.75;15.0;3.1;1.49;1.12;1.02;0;0;0;0;0;0;0;0;0;0;0;2022-04-09;-1;0;0;0;0;0;1;1;5;1;3;0;6;3;0;0;1;0;0;1;1;51;19;153;76;2.57;0.54;3.11;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Fluminense;Santos;2.05;0.95;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;N;N;N;N;N;N;N
1;1588587;619;642;2022;complete;86922;1;-1;22,90;22,90;2;2;4;11;8;19;3;0;4;9;0;1;5;9;13;12;18;21;17;14;56;44;4;10;1.4;3.87;7.3;1.04;1.38;2.28;4.05;7.2;8.2;3.09;1.63;1.25;1.06;2.38;1.53;1.82;1.88;5.0;1.15;1.11;1.21;2.6;2.1;2.1;7.5;1.8;2.6;6.5;0;0;1.17;1.27;1.49;2.0;2.4;4.32;3.3;2.35;1.8;1.47;1.34;8.5;4.1;1.33;8.2;4.33;2.05;10.0;1.44;3.4;10.0;26.0;2.63;1.3;1.06;1.01;1.26;2.2;5.0;12.5;3.5;1.58;1.15;1.03;0;0;0;0;5;1;2;1;1;2;3;2022-04-09;642;0;0;0;0;0;1;1;4;4;7;4;8;11;2;3;2;7;5;9;1;65;33;81;123;1.95;2.2;4.15;1;0;1;0;0;0;1;1;0;1;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Palmeiras;Ceará;2.26;0.89;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;Y;Y;Y;Y;N;Y
2;1588591;629;612;2022;complete;86922;1;-1;75;75;1;1;2;4;10;14;1;2;3;2;0;0;5;3;7;10;12;13;7;11;44;56;3;2;4.85;3.88;1.55;1.05;1.27;1.84;3.0;5.5;9.75;3.4;1.86;1.34;1.12;1.91;1.91;5.0;1.16;2.25;1.57;2.2;1.25;1.17;5.5;2.25;2.2;5.0;2.6;1.91;0;0;1.1;1.22;1.44;1.8;2.3;5.5;3.7;2.5;1.87;1.53;3.36;8.5;1.45;3.25;9.4;1.4;8.5;2.5;1.36;2.75;8.0;21.0;3.0;1.4;1.08;1.02;1.22;2.0;4.2;10.0;3.9;1.68;1.19;1.04;0;0;0;0;2;0;0;1;1;2;0;2022-04-09;-1;0;0;0;0;0;1;1;2;2;2;8;4;10;1;0;2;2;1;4;1;30;80;89;128;1.33;1.61;2.95;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Atlético GO;Flamengo;1.21;1.37;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;Y;N;N;N;N;Y
3;1588584;620;630;2022;complete;86922;1;-1;10,90;10,90;2;2;4;3;3;6;2;0;2;4;0;0;6;3;10;4;16;7;12;18;53;47;2;4;1.58;3.65;5.25;1.06;1.36;2.15;4.0;8.0;9.5;3.2;1.7;1.25;1.07;2.2;1.62;1.82;1.88;4.8;1.16;1.11;1.24;2.5;2.1;2.2;7.0;1.8;2.5;6.0;0;0;1.12;1.29;1.5;1.83;2.38;5.0;3.2;2.38;1.83;1.5;1.26;9.5;4.66;1.33;8.3;4.0;2.15;10.0;1.44;3.25;9.0;26.0;2.63;1.33;1.07;1.01;1.27;2.25;5.0;12.5;3.4;1.55;1.15;1.03;0;0;0;0;2;1;0;1;0;1;1;2022-04-10;620;0;0;0;0;0;1;1;3;1;0;2;4;2;0;2;2;2;2;4;1;46;36;103;112;1.76;0.93;2.69;0;0;0;0;0;0;1;1;1;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Atlético Mineiro;Internacional;1.53;1.53;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;Y;N;N;N;N;N
4;1588593;627;1056;2022;complete;86922;1;-1;10,47,90;10,47,90;3;3;6;7;3;10;3;2;2;3;0;0;10;0;8;8;18;8;10;12;52;48;2;3;2.05;3.2;4.05;1.09;1.45;2.35;5.0;11.5;8.0;2.75;1.53;1.18;1.05;2.05;1.7;2.25;1.57;3.4;1.28;1.26;1.33;1.75;2.88;2.0;4.5;2.4;2.25;3.75;0;0;1.15;1.3;1.6;2.0;2.7;4.5;3.1;2.15;1.7;1.4;1.59;8.0;2.9;1.67;7.7;2.75;2.9;5.8;1.53;3.5;11.0;26.0;2.38;1.29;1.05;0.0;1.32;2.45;5.75;15.0;3.1;1.49;1.12;1.02;0;0;0;0;3;1;0;2;0;2;1;2022-04-10;627;0;0;0;0;0;1;1;3;0;4;3;3;7;1;1;1;2;2;3;1;38;37;103;122;2.11;0.79;2.9;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Coritiba;Goiás;1.95;1.05;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;Y;Y;N;N;N;N
5;1588592;621;633;2022;complete;86922;1;-1;52;52;1;1;2;6;1;7;3;2;3;3;0;2;3;2;11;7;14;9;20;18;58;42;3;7;2.65;3.0;2.65;1.13;1.53;2.46;5.25;11.5;5.5;2.45;1.49;1.14;1.04;2.1;1.67;2.55;1.44;2.35;1.53;1.47;1.42;1.37;3.75;1.91;3.4;3.25;2.1;2.88;0;0;1.17;1.36;1.67;2.05;2.8;4.32;2.8;2.05;1.67;1.36;2.55;7.5;1.69;2.3;6.8;1.91;4.33;3.5;1.57;3.75;13.0;31.0;2.25;1.25;1.04;0.0;1.4;2.8;7.0;19.0;2.7;1.38;1.08;1.01;0;0;0;0;1;0;0;1;0;1;0;2022-04-10;621;0;0;0;0;0;1;1;3;0;3;1;3;4;0;3;3;2;3;5;1;43;32;120;107;1.42;0.95;2.37;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Avaí;América Mineiro;1.32;1.16;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;N;N;N;N;N;N
6;1588590;2601;2592;2022;complete;86922;1;-1;;;0;0;0;7;1;8;1;0;2;3;0;0;5;5;17;5;22;10;22;23;65;35;2;3;1.5;3.8;5.75;1.08;1.4;2.3;4.0;8.0;7.0;2.7;1.6;1.21;1.07;2.2;1.6;1.9;1.82;4.2;1.2;1.14;1.29;2.2;2.25;2.0;5.75;2.0;2.37;5.25;0;0;1.26;1.5;1.9;2.46;3.34;3.48;2.52;1.9;1.52;1.28;1.29;10.0;5.1;1.45;8.0;2.8;2.3;8.5;1.47;3.2;8.75;23.0;2.45;1.31;1.06;1.01;1.3;2.37;5.5;14.0;3.2;1.51;1.13;1.02;0;0;0;0;1;0;1;0;0;0;1;2022-04-10;2592;0;0;0;0;0;1;1;2;0;5;1;2;6;0;1;2;2;1;4;1;45;16;122;77;2.07;1.11;3.17;0;0;0;0;0;0;1;1;0;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Fortaleza;Cuiabá;1.53;0.79;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;N;N;N;N;N;N
7;1588588;615;624;2022;complete;86922;1;-1;66;66;1;1;2;2;4;6;0;1;1;4;0;0;5;10;6;6;11;16;6;18;56;44;1;4;2.95;3.0;2.4;1.11;1.53;2.5;5.0;11.0;5.75;2.45;1.5;1.14;1.04;2.1;1.67;2.87;1.37;2.2;1.6;1.61;1.38;1.3;4.33;1.95;3.1;3.6;2.1;2.63;0;0;1.15;1.3;1.57;2.0;2.7;4.5;3.1;2.2;1.7;1.4;2.43;7.5;1.75;2.5;6.85;1.73;5.0;3.25;1.57;3.75;11.0;31.0;2.25;1.25;1.05;1.0;1.38;2.75;6.75;18.5;2.8;1.39;1.09;1.01;0;0;0;0;4;0;3;1;0;1;3;2022-04-10;624;0;0;0;0;0;1;1;0;3;2;1;3;3;1;1;0;3;2;3;1;46;34;148;84;1.4;1.96;3.35;1;0;1;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Botafogo;Corinthians;1.16;1.32;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;Y;Y;Y;N;N;Y
8;1588586;618;622;2022;complete;86922;1;-1;19,52,70,74;19,52,70,74;4;4;8;5;5;10;2;2;1;3;0;0;10;0;9;8;19;8;17;14;54;46;1;3;1.83;3.1;4.35;1.09;1.47;2.3;4.75;10.0;8.0;2.7;1.6;1.18;1.04;2.38;1.53;1.82;1.88;4.2;1.2;1.13;1.26;2.3;2.25;2.05;7.0;1.95;2.37;6.0;0;0;1.29;1.53;1.95;2.5;3.7;3.2;2.3;1.73;1.44;1.22;1.3;8.5;4.62;1.4;7.1;3.75;2.2;8.5;1.5;3.5;11.0;26.0;2.5;1.29;1.05;1.0;1.31;2.4;5.75;14.5;3.1;1.49;1.12;1.02;0;0;0;0;4;1;0;3;0;3;1;2022-04-10;618;0;0;0;0;0;1;1;3;2;2;3;5;5;1;0;0;3;1;3;1;35;32;93;86;2.15;0.75;2.9;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;São Paulo;Atlético PR;1.58;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;Y;Y;Y;N;N;N
9;1588589;1053;635;2022;complete;86922;1;-1;30,69;30,69;2;2;4;5;4;9;5;1;4;5;0;0;9;4;6;8;15;12;16;17;50;50;4;5;2.6;3.05;2.6;1.09;1.51;2.55;5.0;10.0;7.5;2.38;1.45;1.18;1.04;2.05;1.68;2.8;1.38;2.55;1.46;1.53;1.33;1.4;3.5;1.98;3.1;3.25;2.2;2.85;0;0;1.19;1.4;1.72;2.16;2.84;4.1;2.86;2.12;1.67;1.37;2.08;7.8;2.14;2.27;7.2;2.02;4.2;3.7;1.49;3.3;9.5;29.0;2.45;1.28;1.05;0.0;1.34;2.55;6.25;16.5;3.0;1.44;1.1;1.01;0;0;0;0;4;1;1;1;1;2;2;2022-04-11;-1;0;0;0;0;0;1;1;3;2;2;2;5;4;3;2;1;3;5;4;1;79;60;109;99;2.15;1.47;3.62;0;0;0;0;0;0;1;1;0;0;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Juventude;Bragantino;0.79;0.79;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;Y;Y;Y;N;N;Y
10;1588602;2592;617;2022;complete;86922;2;-1;;;0;0;0;2;5;7;1;0;2;1;0;0;2;5;3;9;5;14;18;14;39;61;2;1;2.57;3.12;3.1;1.11;1.52;2.18;4.75;10.0;6.0;2.55;1.61;1.15;1.04;2.1;1.67;2.7;1.41;2.5;1.47;1.44;1.36;1.44;3.6;1.75;3.5;3.2;2.05;3.1;0;0;1.3;1.6;2.05;2.8;3.9;3.1;2.15;1.67;1.36;1.2;2.2;7.0;1.91;2.1;7.25;2.05;3.8;4.0;1.62;3.75;9.0;29.0;2.2;1.25;1.05;0.0;1.4;2.62;6.5;13.0;2.75;1.44;1.1;1.02;0;0;0;0;1;0;0;0;1;1;0;2022-04-16;617;0;0;0;0;0;1;1;0;1;2;4;1;6;1;1;1;0;2;1;1;35;37;97;131;0.72;1.52;2.24;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Cuiabá;Fluminense;1.37;1.63;0.0;0.0;3.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;N;N;N;N;N;N
11;1588601;1056;619;2022;complete;86922;2;-1;57;57;1;1;2;2;6;8;0;2;4;0;0;0;6;7;3;15;9;22;16;7;24;76;4;0;6.04;3.66;1.64;1.08;1.4;2.28;4.0;7.5;7.0;2.75;1.63;1.22;1.07;2.2;1.62;4.5;1.18;1.88;1.82;2.3;1.25;1.11;6.0;1.95;2.25;5.5;2.25;2.0;0;0;1.15;1.3;1.6;2.0;2.5;4.5;3.1;2.15;1.7;1.44;4.32;9.0;1.31;3.2;8.75;1.48;9.0;2.3;1.5;3.25;8.0;17.0;2.5;1.33;1.06;1.01;1.36;2.38;5.5;12.0;3.0;1.53;1.12;1.02;0;0;0;0;2;0;0;1;1;2;0;2022-04-16;-1;0;0;0;0;0;1;1;0;3;2;3;3;5;0;0;4;0;0;4;1;27;88;58;150;1.18;2.52;3.7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Goiás;Palmeiras;1.37;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7097;38;Y;Y;N;N;N;N;Y
