ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1590644;2597;2676;2022;complete;86964;1;-1;;45,79;0;2;2;5;2;7;-1;-1;-1;-1;-1;-1;7;7;7;3;14;10;-1;-1;61;39;-1;-1;1.75;3.4;4.5;1.06;1.5;2.48;5.0;10.0;7.0;2.43;1.48;1.15;1.03;2.28;1.56;0.0;0.0;0.0;0.0;1.16;1.27;1.95;2.45;2.02;5.0;2.22;2.2;4.72;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;7.25;3.75;0.0;0.0;1.46;3.5;8.4;0;2.48;1.24;1.04;0.0;1.33;2.7;7.0;23;3.0;1.36;1.06;1.01;0;0;0;0;2;0;1;0;1;1;1;2022-04-09;2676;0;0;0;0;0;1;-1;1;1;4;1;2;5;-1;-1;-1;-1;-1;-1;1;70;29;125;82;1.89;1.34;3.22;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Ypiranga Erechim;Aparecidense;1.8;1.38;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;Y;N;N;N;N;N
1590646;2679;2618;2022;complete;86964;1;-1;;81;0;1;1;1;9;10;-1;-1;-1;-1;-1;-1;0;4;2;2;2;6;-1;-1;42;58;-1;-1;3.4;3.0;2.05;1.1;1.51;2.6;4.95;8.95;6.2;2.31;1.48;1.14;1.03;2.25;1.58;0.0;0.0;0.0;0.0;1.62;1.3;1.25;4.33;1.91;2.88;3.75;2.25;2.45;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.75;6.75;1.73;0.0;0.0;1.53;3.6;8.4;29;2.34;1.23;1.04;0.0;1.36;2.59;6.15;23;2.9;1.4;1.09;1.01;0;0;0;0;1;0;0;0;1;1;0;2022-04-09;2618;0;0;0;0;0;1;-1;0;5;1;4;5;5;-1;-1;-1;-1;-1;-1;1;24;33;34;44;0.3;0.9;1.2;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Uniclinic;Campinense;1.0;0.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;N;N;N;N;N;N
1590645;2589;2634;2022;complete;86964;1;-1;39,62;43;2;1;3;7;2;9;-1;-1;-1;-1;-1;-1;5;3;3;3;8;6;-1;-1;54;46;-1;-1;1.96;3.05;4.2;1.11;1.55;2.65;5.2;9.3;5.85;2.3;1.42;1.13;1.03;2.35;1.52;0.0;0.0;0.0;0.0;1.2;1.3;1.7;2.75;1.83;4.75;2.35;2.2;4.1;0;0;0.0;0.0;1.98;0.0;0.0;0.0;0.0;1.83;0.0;0.0;0.0;0.0;0.0;1.67;6.0;3.0;0.0;0.0;1.57;3.8;9.1;0;2.25;1.21;1.03;0.0;1.38;2.66;6.5;26;2.8;1.38;1.08;1.01;0;0;0;0;3;1;1;1;0;1;2;2022-04-09;2589;0;0;0;0;0;1;-1;2;1;5;1;3;6;-1;-1;-1;-1;-1;-1;1;80;48;135;138;1.45;0.96;2.41;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Botafogo PB;EC São José;1.8;0.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;Y;Y;N;N;N;Y
1590651;2588;631;2022;complete;86964;1;-1;64;35;1;1;2;9;5;14;-1;-1;-1;-1;-1;-1;4;2;9;5;13;7;-1;-1;53;47;-1;-1;2.27;2.75;3.05;1.11;1.49;2.4;4.87;8.95;5.95;2.48;1.5;1.14;1.03;2.15;1.62;0.0;0.0;0.0;0.0;1.29;1.33;1.5;3.2;1.83;4.0;2.7;2.2;3.4;0;0;0.0;0.0;0.0;1.98;0.0;0.0;0.0;0.0;1.83;0.0;0.0;0.0;0.0;1.83;5.75;2.5;0.0;0.0;1.58;3.6;8.4;29;2.17;1.23;1.04;0.0;1.33;2.59;6.15;23;3.0;1.4;1.09;1.01;0;0;0;0;2;0;1;1;0;1;1;2022-04-09;-1;0;0;0;0;0;1;-1;2;3;7;2;5;9;-1;-1;-1;-1;-1;-1;1;107;71;184;171;1.89;1.12;3.01;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Volta Redonda;Figueirense;1.92;0.83;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;25;Y;Y;N;N;N;N;Y
1590652;2594;610;2022;complete;86964;1;-1;11,87;89;2;1;3;3;3;6;-1;-1;-1;-1;-1;-1;6;6;5;5;11;11;-1;-1;50;50;-1;-1;2.19;2.85;3.1;1.07;1.51;2.55;5.2;10.0;6.5;2.4;1.46;1.14;1.03;2.12;1.64;0.0;0.0;0.0;0.0;1.27;1.33;1.61;2.95;1.92;4.1;2.62;2.1;3.9;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.15;6.0;2.1;0.0;0.0;1.49;3.6;8.4;31;2.4;1.23;1.04;0.0;1.33;2.7;7.5;26;3.0;1.36;1.06;1.01;0;0;0;0;3;1;0;1;1;2;1;2022-04-09;2594;0;0;0;0;0;1;-1;2;2;1;1;4;2;-1;-1;-1;-1;-1;-1;1;83;93;112;113;1.72;1.79;3.5;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Remo;Vitória;2.1;1.25;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;Y;Y;N;N;N;Y
1590650;2721;7007;2022;complete;86964;1;-1;27,64;11;2;1;3;8;1;9;-1;-1;2;2;0;1;4;5;3;4;7;9;-1;-1;63;37;2;4;1.79;3.3;4.68;1.1;1.5;2.33;4.24;8.5;6.25;2.43;1.54;1.17;1.06;2.05;1.68;1.91;1.8;3.8;1.22;1.17;1.25;1.83;2.5;2.0;4.75;2.25;2.25;4.4;0;0;0.0;1.33;1.6;2.02;2.65;0.0;3.05;2.23;1.73;1.43;0.0;0.0;0.0;1.57;6.25;3.0;2.4;6.5;1.47;3.3;7.8;26;2.5;1.27;1.05;1.0;1.33;2.5;5.75;23;3.1;1.47;1.12;1.01;0;0;0;0;3;1;1;1;0;1;2;2022-04-10;2721;0;0;0;0;0;1;1;5;0;3;1;5;4;1;0;1;3;1;4;1;66;65;111;107;1.21;1.4;2.6;1;0;1;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Mirassol;Ferroviário;2.46;0.3;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;Y;Y;N;N;N;Y
1590653;7389;2590;2022;complete;86964;1;-1;24;;1;0;1;0;7;7;-1;-1;3;7;0;0;3;4;4;9;7;13;-1;-1;48;52;3;7;2.37;2.98;3.15;1.1;1.55;2.6;5.2;9.0;5.9;2.38;1.45;1.13;1.03;2.15;1.62;2.1;1.67;2.9;1.36;1.22;1.29;1.7;2.75;1.83;4.75;2.55;2.2;3.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.67;6.5;2.88;2.9;5.0;1.62;3.64;8.4;34;2.22;1.25;1.04;0.0;1.4;2.62;6.5;15;2.75;1.39;1.08;1.02;0;0;0;0;1;1;0;0;0;0;1;2022-04-10;7389;0;0;0;0;0;1;1;0;3;0;4;3;4;1;3;2;4;4;6;1;64;67;109;113;1.12;1.59;2.71;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Floresta;Confiança;1.11;0.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;N;N;N;N;N;N
1590649;2658;2598;2022;complete;86964;1;-1;82;7,13,43;1;3;4;4;0;4;-1;-1;1;1;0;0;5;7;1;4;6;11;-1;-1;63;37;1;1;2.6;3.1;2.68;0.0;1.46;2.39;0.0;0.0;0.0;2.55;1.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2;1.91;3.6;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.83;0.0;2.3;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0;4;0;3;1;0;1;3;2022-04-10;2598;0;0;0;0;0;1;1;1;0;3;0;1;3;0;0;1;1;0;2;1;59;25;49;42;1.15;1.36;2.51;1;0;1;0;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Altos;Botafogo SP;1.78;1.46;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;Y;Y;Y;N;N;Y
1590648;1054;7028;2022;complete;86964;1;-1;88;30;1;1;2;4;3;7;-1;-1;0;4;0;1;4;4;7;0;11;4;-1;-1;69;31;0;6;2.01;2.9;3.5;1.06;1.44;2.4;4.24;7.8;7.0;2.59;1.55;1.17;1.05;2.06;1.73;2.25;1.57;3.3;1.29;1.22;1.33;1.62;2.88;1.91;4.33;2.49;2.29;3.94;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.73;7.25;2.75;3.0;5.25;1.49;3.34;7.8;29;2.44;1.26;1.05;0.0;1.3;2.43;5.85;21;3.2;1.45;1.1;1.01;0;0;0;0;2;0;1;1;0;1;1;2022-04-11;-1;0;0;0;0;0;1;1;1;2;3;1;3;4;0;2;0;3;2;3;1;70;30;72;37;1.47;0.75;2.22;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Brasil de Pelotas;Manaus;1.5;0.89;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;Y;N;N;N;N;Y
1590659;7028;2594;2022;complete;86964;2;-1;85;;1;0;1;1;4;5;-1;-1;2;2;0;0;3;4;5;7;8;11;-1;-1;46;54;2;2;2.37;3.03;3.21;1.08;1.32;2.19;3.5;7.75;7.75;2.92;1.6;1.24;1.08;1.88;1.82;0.0;0.0;0.0;0.0;1.36;1.29;1.45;3.2;2.0;3.4;2.8;2.3;3.1;0;0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;1.83;7.75;2.2;0.0;0.0;1.42;2.92;6.85;17;2.65;1.32;1.07;1.01;1.29;2.35;5.25;15;3.3;1.53;1.14;1.02;0;0;0;0;1;0;0;1;0;1;0;2022-04-16;7028;0;0;0;0;0;1;1;0;2;1;2;2;3;2;1;0;1;3;1;1;83;69;126;121;1.32;1.48;2.81;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Manaus;Remo;1.7;0.56;0.0;0.0;1.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7109;19;Y;N;N;N;N;N;N
