;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2433332;3600;111;2022/2023;complete;90851;1;-1;;;0;0;0;3;5;8;0;5;1;1;1;0;3;10;2;11;5;21;13;13;38;62;3;1;10.0;5.5;1.2;1.03;1.19;1.65;2.75;4.9;14.0;4.6;2.15;1.42;1.15;2.5;1.5;8.0;1.05;2.05;1.7;4.08;1.01;1.01;10.0;2.63;1.67;9.5;2.88;1.44;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5;13.0;1.17;13.0;2.25;1.28;2.36;5.5;14.0;3.5;1.55;1.13;1.02;1.16;1.84;3.6;9.5;4.8;1.9;1.26;1.04;0;0;0;0;3;0;1;0;2;2;1;2022-07-08;111;0;0;0;0;0;1;1;1;1;2;4;2;6;2;0;0;1;2;1;1;34;86;77;124;0.78;2.64;3.42;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Septemvri Sofia;Ludogorets;0.89;2.44;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;17;Y;Y;Y;N;N;N;N
1;2433331;3599;668379;2022/2023;complete;90851;1;-1;;;0;0;0;7;2;9;3;0;2;2;0;0;6;6;14;4;20;10;11;8;66;34;2;2;1.23;5.5;9.0;1.03;1.21;1.68;2.65;4.6;12.5;3.9;2.08;1.42;1.16;2.47;1.51;1.73;2.0;6.0;1.09;1.01;1.01;4.13;1.69;2.63;10.5;1.44;2.9;10.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.17;13.0;6.0;1.91;10.0;1.3;2.44;5.8;15.0;3.3;1.52;1.12;1.02;1.17;1.9;3.8;8.75;4.7;1.84;1.24;1.06;0;0;0;0;1;0;0;0;1;1;0;2022-07-08;668379;0;0;0;0;0;1;1;3;0;4;2;3;6;1;1;1;1;2;2;1;99;37;140;85;2.4;1.32;3.72;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Botev Plovdiv;Hebar 1918;1.67;0.78;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;18;Y;N;N;N;N;N;N
2;2433334;9987;3605;2022/2023;complete;90851;1;-1;52;52;1;1;2;1;5;6;2;0;0;0;0;0;2;3;4;16;6;19;15;17;43;57;0;0;3.3;3.1;2.0;1.04;1.31;1.95;3.4;6.75;10.25;3.08;1.75;1.26;1.08;1.85;1.87;3.6;1.25;2.5;1.48;1.82;1.27;1.22;4.5;2.1;2.5;3.98;2.44;2.28;0;0;1.29;1.52;1.85;2.3;3.1;3.3;2.36;1.93;1.55;1.31;2.58;7.1;1.75;2.61;8.6;1.67;5.25;3.25;1.41;2.94;7.5;23.0;2.73;1.36;1.07;1.01;1.24;2.2;4.9;12.0;3.8;1.61;1.16;1.03;0;0;0;0;1;0;0;1;0;1;0;2022-07-09;9987;0;0;0;0;0;1;-1;1;3;0;2;4;2;0;0;0;0;0;0;1;60;85;93;113;0.96;2.02;2.98;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;CSKA 1948 Sofia;Levski Sofia;2.56;1.13;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;17;Y;N;N;N;N;N;N
3;2433333;3606;3608;2022/2023;complete;90851;1;-1;42,61;42,61;2;2;4;3;2;5;1;1;1;2;0;0;4;3;7;1;11;4;6;15;52;48;1;2;1.55;4.0;5.5;1.04;1.3;1.9;3.34;6.25;10.0;3.14;1.85;1.27;1.09;1.94;1.79;2.0;1.73;5.5;1.11;1.13;1.24;2.14;2.19;2.17;5.5;1.99;2.54;4.95;0;0;1.3;1.65;2.04;2.7;3.75;3.15;2.16;1.74;1.41;1.23;1.33;8.8;4.25;1.51;8.9;3.1;2.3;8.5;1.4;2.85;7.2;22.0;2.77;1.38;1.07;1.01;1.23;2.17;4.7;11.0;3.9;1.63;1.17;1.04;0;0;0;0;3;1;1;1;0;1;2;2022-07-09;3606;0;0;0;0;0;1;1;1;1;2;1;2;3;1;1;0;1;2;1;1;62;59;95;104;1.42;0.9;2.33;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Lokomotiv Plovdiv;OFK Pirin;2.0;0.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;18;Y;Y;Y;N;N;N;Y
4;2433329;3604;9985;2022/2023;complete;90851;1;-1;45,52,56;45,52,56;3;3;6;5;2;7;4;2;1;3;0;1;7;2;5;1;12;3;10;10;64;36;1;4;1.48;4.2;6.2;1.02;1.24;1.79;3.15;5.75;11.0;3.95;1.96;1.35;1.12;1.95;1.79;2.2;1.62;5.25;1.13;1.01;1.02;3.95;2.13;2.33;6.03;1.74;2.75;6.1;0;0;1.27;1.5;1.83;2.26;3.0;3.4;2.4;1.96;1.57;1.34;1.27;8.2;5.2;1.3;12.0;3.75;2.5;8.0;1.38;2.9;6.3;13.0;3.02;1.4;1.1;1.02;1.19;2.02;4.1;9.0;4.4;1.71;1.21;1.05;0;0;0;0;3;1;0;2;0;2;1;2022-07-10;3604;0;0;0;0;0;1;1;2;2;3;0;4;3;1;2;0;2;3;2;1;69;28;108;74;1.75;0.54;2.29;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;CSKA Sofia;Arda;2.78;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;18;Y;Y;Y;N;N;N;N
5;2433328;3629;3611;2022/2023;complete;90851;1;-1;;;0;0;0;3;3;6;0;1;3;5;0;0;4;6;4;5;8;11;15;17;51;49;3;5;3.9;3.15;1.9;1.04;1.39;2.27;4.15;8.6;9.1;2.72;1.56;1.18;1.05;1.99;1.78;3.4;1.29;2.3;1.55;1.61;1.28;1.22;4.51;2.06;2.69;4.18;2.31;2.4;0;0;1.39;1.69;2.11;2.75;3.8;2.8;2.09;1.68;1.4;1.22;2.78;7.1;1.67;2.59;7.4;1.74;5.25;3.1;1.5;3.33;8.5;17.0;2.4;1.3;1.05;1.01;1.31;2.42;5.5;12.0;3.2;1.51;1.13;1.03;0;0;0;0;1;0;0;0;1;1;0;2022-07-10;3611;0;0;0;0;0;1;1;0;2;3;1;2;4;2;1;1;4;3;5;1;60;60;109;95;1.23;1.55;2.78;0;0;0;0;0;0;1;1;0;0;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Lokomotiv Sofia 1929;Cherno More;1.89;1.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;18;Y;N;N;N;N;N;N
6;2433335;3644;3603;2022/2023;complete;90851;1;-1;;;0;0;0;3;5;8;1;2;0;0;0;0;2;5;5;8;7;13;14;11;44;56;0;0;3.1;3.0;2.3;1.08;1.4;2.18;4.0;7.5;7.0;2.75;1.64;1.22;1.07;1.91;1.8;2.9;1.36;2.8;1.38;1.67;1.33;1.25;4.0;2.05;2.88;3.7;2.2;2.5;0;0;1.25;1.5;1.83;2.5;3.5;3.5;2.38;1.83;1.44;1.25;3.04;7.5;1.55;2.5;7.8;1.73;4.2;3.8;1.46;3.14;8.3;17.0;2.56;1.32;1.05;1.01;1.29;2.35;5.4;12.0;3.36;1.54;1.13;1.03;0;0;0;0;1;0;0;0;1;1;0;2022-07-11;3603;0;0;0;0;0;1;-1;1;3;2;2;4;4;0;0;0;0;0;0;1;53;74;79;114;0.97;1.71;2.68;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Spartak Varna;Slavia Sofia;0.67;1.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;18;Y;N;N;N;N;N;N
7;2433330;3607;3627;2022/2023;complete;90851;1;-1;21,77;21,77;2;2;4;4;5;9;0;1;0;0;0;0;3;5;9;4;12;9;6;25;61;39;0;0;1.85;3.5;4.0;1.05;1.36;2.05;3.79;7.5;9.0;3.09;1.72;1.25;1.06;1.95;1.8;2.0;1.73;4.5;1.17;1.15;1.22;2.0;2.3;2.1;5.5;2.1;2.4;4.33;0;0;1.29;1.51;1.84;2.28;3.7;3.2;2.38;1.94;1.56;1.22;1.41;8.7;3.64;1.44;8.4;3.1;2.4;7.0;1.43;2.98;7.7;15.0;2.65;1.35;1.06;1.02;1.25;2.24;5.0;11.0;3.7;1.59;1.15;1.03;0;0;0;0;3;1;1;1;0;1;2;2022-07-11;3607;0;0;0;0;0;1;-1;2;3;2;2;5;4;0;0;0;0;0;0;1;66;43;114;86;1.45;1.23;2.69;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Beroe;Botev Vratsa;1.56;0.44;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;18;Y;Y;Y;N;N;N;Y
8;2433341;3627;3599;2022/2023;complete;90851;2;-1;35,38,84;35,38,84;3;3;6;3;3;6;0;2;1;4;0;1;6;3;8;8;14;11;13;20;45;55;1;6;3.4;3.1;2.0;1.02;1.32;2.05;3.56;6.75;8.5;3.04;1.67;1.24;1.05;1.85;1.91;3.6;1.25;2.5;1.48;1.7;1.28;1.27;4.24;2.07;2.69;3.84;2.4;2.42;0;0;1.25;1.45;1.78;2.21;2.9;3.6;2.55;2.0;1.61;1.36;2.58;7.1;1.75;2.45;8.4;1.75;5.25;3.25;1.42;2.98;7.7;15.0;2.69;1.35;1.06;1.02;1.25;2.24;5.0;11.0;3.7;1.59;1.15;1.03;0;0;0;0;5;2;0;1;2;3;2;2022-07-15;3627;0;0;0;0;0;1;1;2;2;1;1;4;2;1;2;0;3;3;3;1;48;63;95;94;1.65;1.36;3.01;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Botev Vratsa;Botev Plovdiv;1.22;0.44;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;18;Y;Y;Y;Y;Y;N;Y
9;2433339;111;3606;2022/2023;complete;90851;2;-1;50,87;50,87;2;2;4;11;6;17;0;0;0;3;0;0;5;2;10;4;15;6;11;22;56;44;0;3;1.36;4.33;7.5;1.04;1.2;1.67;2.68;4.5;10.0;3.94;2.1;1.4;1.17;1.96;1.8;1.95;1.75;6.5;1.08;1.08;1.17;3.04;1.88;2.49;6.73;1.67;2.92;6.65;0;0;1.29;1.54;1.88;2.32;3.1;3.3;2.41;1.93;1.58;1.31;1.22;8.9;5.95;1.33;11.0;3.92;2.2;10.0;1.35;2.67;5.9;12.0;2.77;1.38;1.11;1.03;1.17;1.91;3.9;8.0;4.7;1.81;1.23;1.06;0;0;0;0;2;0;0;2;0;2;0;2022-07-15;111;0;0;0;0;0;1;1;5;2;6;4;7;10;0;1;0;2;1;2;1;71;53;100;79;1.81;0.91;2.71;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Ludogorets;Lokomotiv Plovdiv;2.5;1.67;0.0;0.0;3.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7483;17;Y;Y;N;N;N;N;N
