ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1216605;842;844;2021;complete;66689;1;-1;;54,67;0;2;2;4;7;11;1;1;3;1;0;0;0;6;3;6;3;12;8;15;22;78;3;1;6.5;4.05;1.49;1.06;1.27;1.8;2.95;5.75;10.5;3.7;2;1.38;1.15;1.91;1.83;4.75;1.16;2.15;1.67;2.15;1.18;1.18;5.5;2.2;2.25;4.5;2.6;1.95;0;0;1.38;1.77;2.23;3.02;4.3;2.76;1.95;1.61;1.33;1.17;3.65;6.5;1.38;2.88;8.75;1.44;7.75;2.6;1.4;3;8;23;2.75;1.36;1.08;1.01;1.25;2.1;5;13;3.75;1.67;1.17;1.04;0;0;0;0;2;0;0;0;2;2;0;2021-04-20 12:00:00;844;0;0;0;0;0;1;1;2;2;2;5;4;7;3;1;0;0;4;0;1;22;82;60;96;0.36;1.77;2.12;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Chongqing Dangdai Lifan;Shandong Luneng;1.09;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;N;N;N;N;N
1216606;834;845;2021;complete;66689;1;-1;7,86;16,51;2;2;4;12;1;13;0;1;0;4;0;0;9;3;8;2;17;5;11;13;67;33;0;4;1.27;5.75;9;1.03;1.18;1.51;2.3;4.05;16;4.75;2.5;1.59;1.24;1.91;1.83;2;1.77;8;1.05;1.06;1.14;3.42;1.91;2.6;6;1.67;3.32;5.5;0;0;1.27;1.51;1.87;2.46;3.4;3.34;2.39;1.87;1.48;1.26;1.17;8.25;6;1.3;12;3.4;2.15;11;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;1.14;1.73;3.4;8;5.5;2;1.3;1.08;0;0;0;0;4;1;1;1;1;2;2;2021-04-20 12:00:00;-1;0;0;0;0;0;1;1;4;1;8;0;5;8;0;1;0;3;1;3;1;92;20;66;43;2.35;0.67;3.02;1;0;0;0;1;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Guangzhou Evergrande;Guangzhou R&F;2.45;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;Y;Y;N;N;Y
1216607;949;835;2021;complete;66689;1;-1;42,69;67;2;1;3;1;3;4;0;4;2;2;0;0;4;7;8;14;12;21;14;19;28;72;2;2;3.05;3.15;2.35;1.1;1.38;2.05;3.45;7;7.75;3;1.74;1.29;1.11;1.83;1.91;3.35;1.29;2.85;1.39;1.5;1.26;1.42;3.6;2.1;3;3.1;2.35;2.75;0;0;1.4;1.74;2.25;3.04;4.1;2.72;1.95;1.57;1.32;1.2;2.15;6;1.95;2.2;7.25;1.8;4.8;3.85;1.44;3;9;23;2.63;1.36;1.07;1.01;1.25;2.2;5;13;3.75;1.62;1.17;1.04;0;0;0;0;3;1;0;1;1;2;1;2021-04-21 10:00:00;949;0;0;0;0;0;1;1;1;2;0;1;3;1;0;0;2;2;0;4;1;34;77;74;110;1.28;2.36;3.65;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Qingdao Huanghai;Shijiazhuang Ever Bright;0.55;0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;Y;N;N;N;Y
1216608;837;941;2021;complete;66689;1;-1;31;21,54;1;2;3;4;5;9;2;3;2;1;0;0;5;3;4;5;9;8;17;13;52;48;2;1;4.7;3.95;1.65;1.07;1.31;1.91;3.15;6;10;3.35;1.91;1.34;1.13;1.95;1.8;4.75;1.16;2.25;1.61;2.2;1.17;1.18;5;2.25;2.3;4.5;2.6;2;0;0;1.38;1.71;2.19;2.96;4;2.8;2.06;1.6;1.33;1.2;2.95;6;1.56;2.88;9.25;1.44;6.75;2.65;1.36;2.75;8;21;3;1.4;1.08;1.02;1.22;2;4.33;11;4;1.73;1.2;1.05;0;0;0;0;3;1;1;0;1;1;2;2021-04-21 12:00:00;941;0;0;0;0;0;1;1;3;3;1;2;6;3;0;0;2;1;0;3;1;51;59;66;74;1.28;1.14;2.43;0;0;0;0;0;0;1;1;0;0;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Henan Jianye;Shenzhen;2;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;Y;N;N;N;Y
1216609;851;843;2021;complete;66689;1;-1;90;35,61;1;2;3;3;6;9;1;1;1;1;0;0;8;5;10;7;18;12;5;6;45;55;1;1;5;3.95;1.62;1.07;1.29;1.87;3.1;6;9.75;3.5;1.91;1.35;1.13;1.95;1.8;4.65;1.15;2.3;1.56;2.09;1.25;1.2;4.75;2.24;2.21;4.35;2.68;1.98;0;0;1.29;1.53;2;2.55;3.5;3.4;2.4;1.8;1.48;1.27;2.75;7.5;1.62;2.64;13.5;1.53;6.75;2.7;1.35;2.58;5.8;18;2.97;1.45;1.1;1.02;1.21;2;4.1;9;4.1;1.74;1.21;1.05;0;0;0;0;3;0;1;1;1;2;1;2021-04-22 10:00:00;843;0;0;0;0;0;1;1;1;3;2;3;4;5;0;0;1;1;0;2;1;42;38;101;91;2;1.39;3.39;1;0;1;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dalian Yifang;Changchun Yatai;0.91;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;Y;N;N;N;Y
1216610;847;836;2021;complete;66689;1;-1;90;26,30,47,49,54,57;1;6;7;1;7;8;0;6;1;1;0;0;2;9;1;15;3;24;9;13;30;70;1;1;14;7.75;1.15;1.03;1.14;1.42;2.1;3.5;17;5.75;2.8;1.74;1.29;2.25;1.61;10.25;1.01;1.53;2.35;5.25;1.02;1.01;11.5;2.8;1.5;11;3.6;1.35;0;0;1.27;1.5;2;2.45;3.4;3.55;2.48;1.8;1.5;1.29;6.35;11;1.19;5;12.5;1.16;14;1.59;1.25;2.1;4.4;9.25;3.6;1.65;1.17;1.03;1.13;1.65;2.95;6;5.25;2.1;1.35;1.1;0;0;0;0;7;0;2;1;4;5;2;2021-04-22 12:00:00;836;0;0;0;0;0;1;1;1;5;0;2;6;2;0;0;1;1;0;2;1;16;96;67;164;0.46;2.84;3.3;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Tianjin Teda;Shanghai SIPG;1;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;Y;Y;Y;Y;Y
1216611;841;942;2021;complete;66689;1;-1;47;59;1;1;2;7;7;14;1;2;3;3;0;0;5;5;4;6;9;11;14;17;49;51;3;3;2.7;3.15;2.6;1.09;1.35;2;3.45;7;8.25;3.1;1.77;1.29;1.11;1.8;1.95;3.05;1.32;3.1;1.31;1.44;1.35;1.46;3.15;2.07;3.23;2.83;2.43;2.9;0;0;1.38;1.7;2.17;2.93;3.8;2.8;2.08;1.61;1.34;1.24;1.72;7.5;2.64;1.96;10.25;2;4.2;4.25;1.42;2.86;6.6;20;2.67;1.37;1.08;1.02;1.25;2.24;4.95;10.5;3.6;1.59;1.14;1.02;0;0;0;0;2;0;0;1;1;2;0;2021-04-23 10:00:00;-1;0;0;0;0;0;1;1;1;3;6;4;4;10;2;1;1;2;3;3;1;29;37;85;111;1.14;1.32;2.46;0;0;0;0;0;0;1;1;0;0;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hebei CFFC;Wuhan Zall;1.45;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;N;N;N;N;Y
1216612;846;840;2021;complete;66689;1;-1;59,65;90;2;1;3;8;3;11;0;2;2;2;0;0;8;3;9;4;17;7;26;17;33;67;2;2;2.85;3.4;2.35;1.05;1.22;1.65;2.5;4.4;12;4.25;2.2;1.51;1.21;1.53;2.4;4.5;1.15;3.3;1.28;1.63;1.34;1.32;3.52;2.31;2.55;3.23;2.63;2.38;0;0;1.33;1.6;2.08;2.72;3.84;2.98;2.19;1.7;1.4;1.21;2;7;2.1;2.14;15;1.73;6.5;4.15;1.29;2.32;5;13;3.27;1.54;1.14;1.04;1.18;1.8;3.7;7.5;4.6;1.91;1.23;1.07;0;0;0;0;3;0;0;2;1;3;0;2021-04-23 12:00:00;846;0;0;0;0;0;1;1;6;1;2;2;7;4;0;1;2;1;1;3;1;45;16;74;94;1.95;0.78;2.74;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Shanghai Shenhua;Beijing Guoan;2;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;Y;N;N;N;Y
1216613;941;949;2021;complete;66689;2;-1;;;0;0;0;18;2;20;3;1;2;3;0;0;6;6;20;3;26;9;20;14;66;34;2;3;1.36;4.55;8.25;1.06;1.27;1.8;3;6;10.5;3.65;2;1.38;1.14;2.15;1.67;1.83;1.87;6.25;1.08;1.1;1.19;2.85;1.87;2.31;6.95;1.67;2.8;6.5;0;0;1.4;1.67;2.1;2.63;4.05;2.7;2.1;1.67;1.43;1.19;1.25;9;5.25;1.34;13;3.5;2.1;10.25;1.4;2.63;6.5;13;2.75;1.45;1.1;1.02;1.25;2.1;4.32;9;3.74;1.67;1.2;1.05;0;0;0;0;0;0;0;0;0;0;0;2021-04-26 10:00:00;-1;0;0;0;0;0;1;1;10;1;8;1;11;9;1;0;1;3;1;4;1;70;12;128;58;2.56;1.08;3.64;0;0;0;0;0;0;1;1;0;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Shenzhen;Qingdao Huanghai;1.36;0.45;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;5728;22;N;N;N;N;N;N;N
1216614;845;842;2021;complete;66689;2;-1;46,72,90;57;3;1;4;2;9;11;0;3;1;1;0;0;6;8;2;12;8;20;14;18;56;44;1;1;1.91;3.45;4;1.06;1.25;1.69;2.65;4.75;11;3.95;2.1;1.45;1.18;1.61;2.25;3.25;1.28;4.35;1.17;1.33;1.33;1.63;2.6;2.26;3.53;2.4;2.6;3.23;0;0;1.43;1.73;2.1;2.7;3.5;2.63;2;1.65;1.4;1.25;1.78;6.5;2.6;1.75;14.25;2.15;4.1;6;1.31;2.4;5.25;14;3.15;1.51;1.12;1.03;1.17;1.79;3.45;7.4;4.45;1.94;1.27;1.06;0;0;0;0;4;0;0;3;1;4;0;2021-04-26 12:00:00;845;0;0;0;0;0;1;1;2;2;0;7;4;7;0;1;1;0;1;1;1;23;41;85;96;1.1;2.12;3.22;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Guangzhou R&F;Chongqing Dangdai Lifan;1.36;0.73;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5728;22;Y;Y;Y;Y;N;N;Y
