ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
529336;2152;2161;2019;complete;4213;1;-1;50;32,78;1;2;3;3;5;8;3;3;0;0;0;0;4;6;6;5;10;11;16;14;47;53;0;0;2.9;3.15;2.2;1.04;1.33;2.05;3.65;0;7.75;3;1.69;1.23;1.06;1.83;1.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;1;2;1;2019-02-02 19:30:00;2161;0;0;0;0;0;1;-1;2;3;1;2;5;3;0;0;0;0;0;0;1;66;63;102;126;1.39;1.58;2.97;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Fortaleza CEIF;Deportivo Pereira;1.89;1.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;36;Y;Y;Y;N;N;N;Y
529337;2159;2163;2019;complete;4213;1;-1;65,80,86;57;3;1;4;8;2;10;-1;-1;-1;-1;-1;-1;9;3;4;2;13;5;-1;-1;50;50;-1;-1;2.05;3.15;3.3;1.04;1.31;2;3.55;6.5;8;3.05;1.71;1.24;1.07;1.8;1.87;0;0;0;0;1.21;1.23;1.59;2.7;2.05;4.15;2.49;2.29;3.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.75;9.6;2.36;3.3;5.8;0;0;0;0;0;0;0;0;1.25;2.27;4.75;11;3.56;1.56;1.15;1.03;0;0;0;0;4;0;0;3;1;4;0;2019-02-03 20:00:00;2159;0;0;0;0;0;1;-1;3;1;5;1;4;6;-1;-1;-1;-1;-1;-1;1;52;51;100;82;1.83;0.9;2.73;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Llaneros;Barranquilla;1.39;0.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;36;Y;Y;Y;Y;N;N;Y
529338;2151;2155;2019;complete;4213;1;-1;71;86;1;1;2;4;3;7;3;0;0;0;0;0;5;3;1;0;6;3;17;19;59;41;0;0;1.71;3.4;4.3;1.01;1.19;1.67;2.65;0;10.5;4;2.05;1.41;1.14;1.61;2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;2;0;2019-02-05 23:00:00;-1;0;0;0;0;0;1;-1;2;2;2;1;4;3;0;0;0;0;0;0;1;79;58;98;93;1.3;0.83;2.13;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Boyacá Chicó;Deportes Quindío;2.04;1.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;42;Y;Y;N;N;N;N;Y
529339;2164;2165;2019;complete;4213;1;-1;;;0;0;0;10;6;16;1;1;0;0;0;0;4;7;12;4;16;11;12;12;55;45;0;0;1.91;3.25;3.55;1.04;1.33;2.05;3.7;8;7.75;3;1.67;1.23;1.06;1.91;1.8;0;0;0;0;1.17;1.23;1.67;2.7;2.08;3.9;2.43;2.38;3.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.73;9;2.3;3.2;5.8;0;0;0;0;0;0;0;0;1.37;3;8.5;15;2.85;1.33;1.06;1.01;0;0;0;0;0;0;0;0;0;0;0;2019-02-05 19:00:00;-1;0;0;0;0;0;1;-1;4;4;6;2;8;8;0;0;0;0;0;0;1;104;71;111;110;2.03;1.7;3.74;0;0;0;0;0;0;1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Atlético;1.56;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;30;N;N;N;N;N;N;N
529340;2138;2148;2019;complete;4213;1;-1;29,68;19;2;1;3;6;4;10;4;3;0;0;0;0;4;4;1;4;5;8;14;21;55;45;0;0;1.8;3.4;3.9;1.02;1.23;1.77;2.95;0;9.5;3.6;1.91;1.34;1.11;1.71;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;0;1;2;2019-02-04 23:00:00;2138;0;0;0;0;0;1;-1;3;1;3;3;4;6;0;0;0;0;0;0;1;73;65;106;104;1.13;1.26;2.4;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Cortuluá;Tigres;2.57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;36;Y;Y;Y;N;N;N;Y
529341;2157;2166;2019;complete;4213;1;-1;;;0;0;0;7;2;9;2;10;2;2;0;0;0;0;4;0;4;0;13;7;61;39;2;2;1.77;3.25;4.2;1.04;1.32;2;3.6;6.45;8;3;1.69;1.23;1.06;1.91;1.8;0;0;0;0;1.17;1.29;1.96;2.36;2.07;5.2;2.14;2.34;4.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.59;9.5;2.74;2.8;7;0;0;0;0;0;0;0;0;1.38;2.89;8;17;2.81;1.36;1.06;1;0;0;0;0;0;0;0;0;0;0;0;2019-02-02 20:00:00;-1;0;0;0;0;0;1;1;3;2;4;0;5;4;1;0;1;2;1;3;1;85;44;131;87;0.88;0.33;1.22;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Leones;Valledupar;1.89;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;30;N;N;N;N;N;N;N
529342;2160;2156;2019;complete;4213;1;-1;90;16;1;1;2;4;5;9;-1;-1;-1;-1;-1;-1;3;3;5;4;8;7;-1;-1;50;50;-1;-1;1.62;3.5;4.7;1.05;1.27;2.08;3.56;7.5;10.5;3.34;1.75;1.24;1.09;1.99;1.82;0;0;0;0;1.06;1.18;2.05;2.22;2.15;5.45;2.01;2.46;5.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.53;10.25;2.88;2.5;7.5;0;0;0;0;0;0;0;0;1.26;2.29;4.75;11;3.48;1.55;1.15;1.03;0;0;0;0;2;0;1;1;0;1;1;2019-02-03 20:30:00;-1;0;0;0;0;0;1;-1;2;2;2;3;4;5;-1;-1;-1;-1;-1;-1;1;36;24;115;91;0.99;0.84;1.83;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Real Cartagena;Orsomarso;2.05;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;30;Y;Y;N;N;N;N;Y
529343;2158;2167;2019;complete;4213;1;-1;26;90;1;1;2;3;9;12;0;4;0;0;0;0;3;3;5;5;8;8;14;16;37;63;0;0;1.67;3.5;4.45;1.03;1.29;1.91;3.35;0;8.5;3.2;1.77;1.27;1.08;1.87;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;1;2019-02-03 16:30:00;-1;0;0;0;0;0;1;-1;2;4;1;5;6;6;0;0;0;0;0;0;1;47;67;97;113;1.06;1.21;2.27;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Universitario Popayán;Real Santander;1.2;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;30;Y;Y;N;N;N;N;Y
529344;2161;2167;2019;complete;4213;2;-1;23;;1;0;1;6;3;9;3;1;0;0;0;0;2;7;2;2;4;9;11;22;51;49;0;0;1.32;4.3;8.25;1.03;1.27;1.91;3.25;5.9;8.75;3.3;1.8;1.28;1.09;2.3;1.53;0;0;0;0;1.04;1.16;3.2;1.75;2.41;8.9;1.6;2.8;8.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;11.5;4.1;0;0;0;0;0;0;0;0;0;0;1.33;2.69;7.5;15;3.02;1.41;1.07;1.01;0;0;0;0;1;1;0;0;0;0;1;2019-02-11 23:00:00;2161;0;50;0;0;0;1;-1;3;0;3;3;3;6;0;0;0;0;0;0;1;80;68;113;109;0.98;1.56;2.54;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;9;4;0;1;Deportivo Pereira;Real Santander;2.48;0.6;0;1;3;1;50;50;50;0;0;50;50;50;0;1.21;1.21;1829;30;Y;N;N;N;N;N;N
529345;2156;2158;2019;complete;4213;2;-1;55,85;5,46;2;2;4;8;2;10;1;1;0;0;0;0;6;4;8;5;14;9;10;21;72;28;0;0;1.91;3.05;3.85;1.07;1.47;2.45;4.7;11.5;6.45;2.45;1.48;1.14;1.02;2.1;1.62;0;0;0;0;1.16;1.26;1.62;2.67;1.92;4.9;2.4;2.16;4.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7;7.3;2.68;2.8;6;0;0;0;0;0;0;0;0;1.49;3.4;11;41;2.44;1.27;1.03;1;0;0;0;0;4;0;1;2;1;3;1;2019-02-10 20:00:00;-1;0;0;0;0;0;1;-1;5;0;3;2;5;5;0;0;0;0;0;0;1;107;35;167;80;2.09;1.11;3.19;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Orsomarso;Universitario Popayán;0.73;0.13;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1829;30;Y;Y;Y;Y;N;N;Y
