;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;1534917;2165;2158;2022;complete;83761;1;-1;23;23;1;1;2;5;4;9;-1;-1;-1;-1;-1;-1;3;0;3;4;6;4;-1;-1;47;53;-1;-1;2.55;3.04;2.87;0.0;0.0;2.32;0.0;0.0;0.0;0.0;1.54;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;3.4;1.95;3.2;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.25;0.0;1.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;1;2022-01-22;2165;0;0;0;0;0;1;-1;4;1;1;3;5;4;-1;-1;-1;-1;-1;-1;1;56;84;64;68;0.99;0.86;1.85;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Atlético;Universitario Popayán;1.6;0.47;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6908;30;Y;N;N;N;N;N;N
1;1534918;2152;2134;2022;complete;83761;1;-1;65,70,75;65,70,75;3;3;6;12;2;14;-1;-1;1;4;0;0;8;4;18;5;26;9;-1;-1;50;50;1;4;2.3;3.0;2.9;1.07;1.4;2.19;4.1;7.0;7.95;2.68;1.6;1.19;1.07;1.9;1.8;0;0;0;0;1.3;1.3;1.47;3.2;1.95;3.6;2.74;2.27;3.4;0;0;1.52;1.98;2.6;3.3;4.8;2.35;1.8;1.44;1.29;1.17;1.84;7.0;2.6;1.83;6.85;2.38;3.75;4.75;1.51;3.26;8.5;17.0;2.4;1.3;1.04;1.01;1.31;2.4;5.6;17.0;3.2;1.51;1.11;1.01;0;0;0;0;4;0;0;3;1;4;0;2022-01-22;2152;0;0;0;0;0;1;1;7;1;5;1;8;6;1;1;0;3;2;3;1;73;30;87;79;2.71;1.07;3.78;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Fortaleza CEIF;Atlético Huila;1.71;0.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6908;41;Y;Y;Y;Y;N;N;Y
2;1534923;2148;2160;2022;complete;83761;1;-1;19;19;1;1;2;6;7;13;2;0;2;2;0;0;5;3;8;2;13;5;17;13;50;50;2;2;2.7;3.0;2.46;1.08;1.5;2.33;5.2;7.5;6.1;2.43;1.53;1.12;1.06;2.15;1.63;0;0;0;0;1.33;1.3;1.44;3.25;1.83;3.6;2.94;2.14;3.42;0;0;1.54;1.99;2.62;3.6;0.0;2.32;1.79;1.43;1.25;0.0;1.89;6.5;2.53;1.95;6.1;2.38;4.5;3.6;1.59;3.72;10.5;29.0;2.25;1.24;1.02;0.0;1.38;2.75;6.9;23.0;2.85;1.4;1.07;1.01;0;0;0;0;3;1;1;0;1;1;2;2022-01-23;2160;0;0;0;0;0;1;1;3;4;3;3;7;6;1;1;1;1;2;2;1;80;78;115;118;1.75;1.1;2.85;0;1;0;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Tigres;Real Cartagena;1.76;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6908;36;Y;Y;Y;N;N;N;Y
3;1534922;2166;2167;2022;complete;83761;1;-1;6;6;1;1;2;3;2;5;-1;-1;2;3;0;1;4;2;3;2;7;4;-1;-1;46;54;2;4;1.92;3.2;3.61;1.05;1.3;2.09;3.26;6.75;8.25;3.14;1.66;1.28;1.08;1.75;1.95;0;0;0;0;1.25;1.28;1.6;2.75;2.1;3.75;2.43;2.43;3.75;0;0;1.55;2.02;2.83;3.4;0.0;2.39;1.78;1.4;1.27;0.0;1.6;6.5;3.32;1.67;8.1;2.5;3.1;6.0;1.45;2.89;7.0;21.0;2.6;1.37;1.06;1.02;1.23;2.16;4.6;13.0;3.7;1.64;1.16;1.02;0;0;0;0;1;1;0;0;0;0;1;2022-01-23;2166;0;0;0;0;0;1;1;1;2;2;0;3;2;1;1;1;3;2;4;1;28;33;81;97;0.93;0.65;1.58;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Valledupar;Real Santander;1.53;0.94;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6908;30;Y;N;N;N;N;N;N
4;1534920;2155;2164;2022;complete;83761;1;-1;89;89;1;1;2;3;3;6;2;1;2;2;0;0;6;4;4;6;10;10;11;18;43;57;2;2;1.75;3.05;3.85;1.04;1.32;2.0;3.48;6.0;9.25;3.04;1.73;1.25;1.09;1.95;1.78;0;0;0;0;1.14;1.22;1.95;2.5;2.0;4.75;2.09;2.47;4.65;0;0;1.53;1.99;2.77;3.2;0.0;2.44;1.8;1.42;1.29;0.0;1.51;7.6;3.26;1.57;8.4;3.0;2.62;7.5;1.43;2.98;7.2;15.0;2.65;1.35;1.06;1.02;1.31;2.26;4.7;15.0;3.2;1.58;1.15;1.02;0;0;0;0;3;0;1;1;1;2;1;2022-01-24;2164;0;0;0;0;0;1;1;1;0;2;3;1;5;0;0;2;2;0;4;1;44;34;86;64;1.37;1.16;2.53;1;0;1;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Deportes Quindío;Bogotá;2.32;1.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6908;36;Y;Y;Y;N;N;N;Y
5;1534919;2159;2156;2022;complete;83761;1;-1;;;0;0;0;3;1;4;-1;-1;-1;-1;-1;-1;3;2;4;6;7;8;-1;-1;58;42;-1;-1;1.76;3.07;3.75;1.04;1.29;1.95;3.26;6.0;9.25;3.24;1.75;1.28;1.1;1.9;1.8;0;0;0;0;1.12;1.22;2.0;2.2;2.2;4.75;2.01;2.54;4.8;0;0;1.52;1.97;2.69;3.4;0.0;2.46;1.83;1.44;1.27;0.0;1.49;7.6;3.36;1.44;8.6;3.1;2.5;8.5;1.45;2.85;6.8;15.0;2.6;1.38;1.07;1.02;1.23;2.11;4.5;13.0;3.7;1.66;1.16;1.02;0;0;0;0;1;0;1;0;0;0;1;2022-01-24;2156;0;0;0;0;0;1;-1;1;1;2;0;2;2;-1;-1;-1;-1;-1;-1;1;31;14;93;87;0.89;0.76;1.65;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Llaneros;Orsomarso;1.81;0.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6908;30;Y;N;N;N;N;N;N
6;1534930;2165;2166;2022;complete;83761;2;-1;;;0;0;0;4;2;6;-1;-1;-1;-1;-1;-1;4;0;8;4;12;4;-1;-1;50;50;-1;-1;1.95;3.2;3.5;1.08;1.4;2.3;4.0;7.5;7.0;2.75;1.53;1.22;1.07;2.0;1.77;0;0;0;0;1.27;1.29;1.67;2.72;2.08;4.1;2.46;2.4;3.76;0;0;1.58;1.98;2.52;3.5;0.0;2.24;1.8;1.44;1.26;0.0;1.69;6.5;3.04;1.68;7.25;2.35;3.1;5.8;1.45;3.1;8.3;17.0;2.55;1.32;1.04;1.01;1.29;2.36;5.5;12.0;3.3;1.52;1.11;1.03;0;0;0;0;0;0;0;0;0;0;0;2022-01-29;-1;0;0;0;0;0;1;-1;1;1;3;1;2;4;-1;-1;-1;-1;-1;-1;1;95;62;96;89;1.72;0.71;2.43;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;50;0;0;5.0;0.0;0.0;0.5;Atlético;Valledupar;1.6;0.53;3.0;0.0;3.0;3.0;50;50;50;50;0;50;0;0;0.99;0.0;0.99;6908;30;N;N;N;N;N;N;N
7;1534924;2134;2163;2022;complete;83761;2;-1;;;0;0;0;11;2;13;-1;-1;2;2;0;2;0;0;2;3;2;3;-1;-1;69;31;2;5;1.4;4.5;5.5;1.07;1.31;1.9;3.25;6.5;7.5;3.2;1.9;1.3;1.1;2.48;1.51;0;0;0;0;1.07;1.14;2.3;1.95;2.33;6.75;1.74;2.8;6.35;0;0;1.45;1.85;2.35;3.3;4.9;2.55;1.93;1.52;1.29;1.16;1.32;7.5;5.3;1.3;9.25;3.75;1.95;12.0;1.38;2.75;7.0;15.0;2.8;1.39;1.06;1.02;1.23;2.13;4.6;14.0;3.7;1.63;1.16;1.02;0;0;0;0;0;0;0;0;0;0;0;2022-01-29;-1;0;0;0;0;0;1;1;7;1;4;1;8;5;1;1;1;3;2;4;1;78;16;99;45;0.7;0.31;1.01;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Atlético Huila;Barranquilla;1.76;0.72;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6908;36;N;N;N;N;N;N;N
8;1534929;2167;2148;2022;complete;83761;2;-1;;;0;0;0;7;1;8;-1;-1;3;3;1;1;4;2;9;5;13;7;-1;-1;60;40;5;4;1.83;3.3;3.9;1.05;1.32;2.1;3.45;6.75;8.5;2.8;1.67;1.23;1.07;2.05;1.6;0;0;0;0;1.11;1.21;2.25;2.0;2.0;5.25;1.89;2.6;5.6;0;0;1.58;1.98;2.52;3.6;0.0;2.24;1.8;1.44;1.25;0.0;1.38;7.5;4.52;1.4;8.75;3.15;2.25;9.5;1.44;3.26;7.6;17.0;2.74;1.33;1.05;1.01;1.26;2.24;5.0;17.0;3.5;1.58;1.14;1.01;0;0;0;0;0;0;0;0;0;0;0;2022-01-30;-1;0;0;0;0;0;1;1;3;0;4;1;3;5;1;1;3;3;2;6;1;80;48;131;84;1.69;0.94;2.62;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Real Santander;Tigres;1.28;0.86;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6908;36;N;N;N;N;N;N;N
9;1534925;2157;2158;2022;complete;83761;2;-1;2,90;2,90;2;2;4;5;4;9;-1;-1;2;4;0;1;4;3;7;3;11;6;-1;-1;46;54;2;5;1.36;4.68;8.68;1.03;1.31;2.02;3.25;6.25;10.0;2.9;1.79;1.25;1.09;2.1;1.57;0;0;0;0;1.07;1.15;2.3;1.99;2.32;7.64;1.71;2.8;6.65;0;0;1.53;1.99;2.6;3.6;0.0;2.33;1.79;1.44;1.25;0.0;1.37;7.0;4.74;1.33;9.5;3.45;2.05;12.0;1.42;3.11;6.9;15.0;2.85;1.36;1.07;1.02;1.23;2.12;4.5;15.0;3.7;1.64;1.16;1.02;0;0;0;0;3;1;1;1;0;1;2;2022-01-30;2157;0;0;0;0;0;1;1;2;3;3;1;5;4;1;1;1;4;2;5;1;69;29;95;81;1.47;0.81;2.28;1;1;1;1;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;50;0;0;4.0;0.0;0.0;0.5;Leones;Universitario Popayán;1.67;0.47;0.0;0.0;0.0;0.0;50;50;50;50;0;50;0;0;0.0;0.86;0.86;6908;30;Y;Y;Y;N;N;N;Y
