;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;4652278;1879;671524;2022/2023;complete;96009;1;-1;;;0;0;0;15;3;18;-1;-1;4;5;0;0;3;3;12;5;15;8;-1;-1;50;50;4;5;1.67;3.4;4.4;0.0;0.0;1.8;0.0;0.0;0.0;0.0;1.91;0.0;0.0;1.73;2.0;0;0;0;0;0.0;0.0;0.0;2.25;2.25;4.5;2.0;0.0;4.33;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.5;0.0;2.88;0;0;1.33;2.63;6.5;19.0;3.25;1.44;1.11;1.02;1.2;1.91;4.0;10;4.33;1.8;1.22;1.06;0;0;0;0;2;0;2;0;0;0;2;2022-08-13;671524;0;0;0;0;0;1;1;11;2;4;1;13;5;1;1;3;4;2;7;1;95;34;133;101;1.84;0.97;2.82;0;0;0;0;0;0;1;1;0;1;6;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Dugopolje;Croatia Zmijavci;1.88;0.88;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;Y;Y;N;N;N;N;N
1;4652279;1860;1873;2022/2023;complete;96009;1;-1;10,60;10,60;2;2;4;9;1;10;-1;-1;1;2;0;0;3;8;4;1;7;9;-1;-1;53;47;1;2;1.87;3.1;3.8;1.04;1.31;2.05;3.4;7.25;10.75;3.05;1.7;1.27;1.09;1.91;1.8;0;0;0;0;1.25;1.3;1.8;2.5;2.1;4.33;2.2;2.48;4.0;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.73;10.5;2.38;0;0;1.44;3.0;9.0;23.0;2.63;1.36;1.07;1.01;1.25;2.21;4.9;13;3.6;1.61;1.14;1.04;0;0;0;0;4;1;0;1;2;3;1;2022-08-13;-1;0;0;0;0;0;1;1;5;0;4;1;5;5;0;0;1;2;0;3;1;53;36;85;86;1.04;1.4;2.44;0;0;0;0;0;0;1;1;1;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Cibalia;Kustošija;2.0;0.75;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;Y;Y;Y;Y;N;N;Y
2;4652702;10669;1871;2022/2023;complete;96009;1;-1;90;90;1;1;2;13;4;17;-1;-1;2;2;0;0;10;7;11;5;21;12;-1;-1;50;50;2;2;2.07;3.33;3.07;1.04;1.27;2.15;3.25;6.5;11.0;3.35;1.67;1.29;1.1;1.91;1.8;0;0;0;0;1.3;1.31;1.7;2.63;2.0;4.0;2.3;2.44;3.75;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.62;11.0;2.63;0;0;1.44;3.25;10.0;26.0;2.63;1.33;1.06;1.01;1.27;2.36;5.2;15;3.4;1.54;1.12;1.03;0;0;0;0;3;0;1;1;1;2;1;2022-08-13;1871;0;0;0;0;0;1;1;2;3;11;1;5;12;1;1;1;1;2;2;1;86;41;153;104;2.65;1.55;4.2;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Bijelo Brdo;Hrvatski Dragovoljac;1.25;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;Y;Y;Y;N;N;N;Y
3;4653081;671525;19790;2022/2023;complete;96009;1;-1;;;0;0;0;9;3;12;-1;-1;3;3;0;0;3;2;8;6;11;8;-1;-1;62;38;3;3;1.99;3.28;3.3;0.0;0.0;2.3;0.0;0.0;0.0;0.0;1.6;0.0;0.0;2.1;1.67;0;0;0;0;0.0;0.0;0.0;2.63;2.0;4.33;2.3;0.0;4.0;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.62;0.0;2.75;0;0;1.5;3.4;10.0;0.0;2.5;1.3;1.06;0.0;1.3;2.5;6.0;17;3.4;1.5;1.13;1.03;0;0;0;0;0;0;0;0;0;0;0;2022-08-13;-1;0;0;0;0;0;1;1;3;1;6;2;4;8;0;1;3;2;1;5;1;40;39;93;75;1.2;0.93;2.13;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Dubrava Zagreb;HNK Vukovar 1991;1.63;1.13;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;N;N;N;N;N;N;N
4;4653082;671523;1877;2022/2023;complete;96009;1;-1;5;5;1;1;2;-1;-1;-1;-1;-1;2;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2.63;3.0;2.5;1.03;1.23;1.85;2.9;5.5;13.0;3.7;1.95;1.34;1.13;1.67;2.1;0;0;0;0;1.46;1.31;1.49;3.1;2.2;3.0;2.6;2.55;3.0;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.8;11.0;2.2;0;0;1.36;2.75;7.0;21.0;3.0;1.4;1.1;1.02;1.22;2.01;4.4;10;3.8;1.73;1.17;1.06;0;0;0;0;2;1;0;0;1;1;1;2022-08-13;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;2;2;-1;0;0;0;0;0.0;0.0;0.0;1;0;1;0;0;0;1;1;1;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Orijent 1919;Solin;1.88;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;Y;Y;N;N;N;N;Y
5;4653083;676030;1858;2022/2023;complete;96009;1;-1;41;41;1;1;2;9;3;12;-1;-1;3;1;0;0;7;6;6;7;13;13;-1;-1;48;52;3;1;2.92;3.2;2.2;1.04;1.27;2.1;3.15;6.5;11.0;3.35;1.7;1.3;1.1;1.83;1.83;0;0;0;0;1.5;1.25;1.33;3.5;2.05;3.0;3.1;2.55;2.75;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;2.25;10.75;1.8;0;0;1.44;3.25;9.0;26.0;2.63;1.33;1.07;1.01;1.21;2.11;4.3;13;3.9;1.67;1.18;1.04;0;0;0;0;4;1;2;0;1;1;3;2022-08-14;1858;0;0;0;0;0;1;1;2;1;7;2;3;9;1;0;2;1;1;3;1;51;48;111;111;1.69;1.6;3.28;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Jarun;Rudeš;2.0;1.25;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;Y;Y;Y;Y;N;N;Y
6;4653084;1871;1860;2022/2023;complete;96009;2;-1;;;0;0;0;7;5;12;-1;-1;3;3;0;0;7;5;2;10;9;15;-1;-1;51;49;3;3;1.94;3.25;3.48;1.05;1.3;2.0;3.28;6.0;9.7;3.23;1.8;1.29;1.09;1.78;1.95;0;0;0;0;1.28;1.28;1.6;2.75;2.1;3.75;2.5;2.55;3.25;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.62;9.75;2.6;0;0;1.4;3.0;8.0;23.0;2.75;1.36;1.08;1.01;1.23;2.16;4.6;13;3.7;1.63;1.16;1.04;0;0;0;0;0;0;0;0;0;0;0;2022-08-19;-1;0;0;0;0;0;1;1;4;3;3;2;7;5;1;1;2;2;2;4;1;58;47;127;105;1.49;1.64;3.13;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Hrvatski Dragovoljac;Cibalia;1.25;1.13;0.0;0.0;3.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;N;N;N;N;N;N;N
7;4653085;1873;1879;2022/2023;complete;96009;2;-1;64;64;1;1;2;6;4;10;-1;-1;4;1;0;0;6;8;7;5;13;13;-1;-1;50;50;4;1;2.32;3.13;2.78;1.05;1.29;1.91;3.2;5.85;9.85;3.3;1.79;1.3;1.1;1.82;1.94;0;0;0;0;1.34;1.26;1.53;2.9;2.05;3.45;2.6;2.5;3.1;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.83;9.25;2.1;0;0;1.4;2.89;7.2;23.0;2.87;1.4;1.06;1.01;1.24;2.11;4.7;13;3.6;1.67;1.15;1.04;0;0;0;0;5;0;2;1;2;3;2;2022-08-19;1879;0;0;0;0;0;1;1;3;1;3;3;4;6;1;0;3;1;1;4;1;84;59;138;117;1.86;1.81;3.67;1;0;1;0;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Kustošija;Dugopolje;1.75;1.13;0.0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;Y;Y;Y;Y;Y;N;Y
8;4653086;1858;10669;2022/2023;complete;96009;2;-1;67,90;67,90;2;2;4;7;3;10;-1;-1;1;2;0;0;10;5;9;5;19;10;-1;-1;55;45;1;2;1.47;3.95;5.65;1.04;1.25;2.0;2.95;5.3;11.75;3.55;1.8;1.35;1.12;1.95;1.78;0;0;0;0;1.12;1.19;2.2;2.05;2.2;6.0;1.85;2.85;4.98;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.36;10.75;3.5;0;0;1.38;2.79;6.2;0.0;2.96;1.42;1.09;0.0;1.18;2.01;3.8;0;4.3;1.73;1.22;0.0;0;0;0;0;3;0;1;2;0;2;1;2022-08-20;1858;0;0;0;0;0;1;1;2;1;5;2;3;7;0;0;1;2;0;3;1;80;49;136;119;2.48;1.35;3.83;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Rudeš;Bijelo Brdo;2.5;0.63;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;Y;Y;Y;N;N;N;Y
9;4653089;19790;676030;2022/2023;complete;96009;2;-1;8,50,75,80;8,50,75,80;4;4;8;1;0;1;-1;-1;2;2;0;1;8;4;8;6;16;10;-1;-1;51;49;2;3;2.07;3.35;3.05;0.0;0.0;1.8;1.98;0.0;0.0;0.0;2.0;1.82;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;2.88;2.1;3.4;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;1.8;0.0;2.1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0;0;0;5;1;1;3;0;3;2;2022-08-20;19790;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;2;2;3;1;35;30;67;74;1.82;1.13;2.95;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;HNK Vukovar 1991;Jarun;1.88;0.5;0.0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8626;16;Y;Y;Y;Y;Y;N;Y
