ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
620122;1875;1862;2019/2020;complete;51018;1;-1;35;58;1;1;2;6;3;9;3;0;0;2;0;0;7;3;5;4;12;7;13;11;48;52;0;2;2.15;3.35;3;1.02;1.21;1.69;2.75;4.95;11;4.05;2.05;1.41;1.14;1.59;2.25;3.35;1.23;4.33;1.2;1.36;1.25;1.6;2.85;2.15;3.4;2.55;2.55;3.1;0;0;1.33;1.57;1.91;2.63;3.6;3.24;2.3;1.71;1.45;1.25;0;0;0;1.83;9;2.05;4.15;5.05;1.32;2.38;5.95;13.25;3.14;1.53;1.06;1.02;1.19;1.95;3.76;8.3;4.5;1.69;1.26;1.06;0;0;0;0;2;1;0;0;1;1;1;2019-07-20 19:00:00;-1;0;0;0;0;0;1;1;3;1;3;2;4;5;0;2;0;0;2;0;1;60;38;97;97;1.68;0.94;2.62;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Gorica;Inter Zaprešić;1.61;0.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2278;36;Y;Y;N;N;N;N;Y
620123;1864;1861;2019/2020;complete;51018;1;-1;43,86;;2;0;2;5;5;10;4;0;1;3;0;1;7;2;9;1;16;3;16;19;51;49;1;4;1.59;3.6;5.65;1.05;1.36;2.1;3.85;7.25;8;2.95;1.67;1.22;1.06;2.1;1.67;1.9;1.8;5;1.16;1.1;1.28;2.37;2.25;2.05;5.75;1.9;2.4;5.5;0;0;1.29;1.53;2;2.5;3.7;3.2;2.3;1.62;1.44;1.22;0;0;0;1.4;8;3.5;2.25;7.25;1.44;3.25;9;26;2.62;1.33;1.07;1.01;1.28;2.35;5;10.5;3.3;1.53;1.14;1.02;0;0;0;0;2;1;0;1;0;1;1;2019-07-19 17:00:00;1864;0;0;0;0;0;1;1;1;4;4;1;5;5;0;2;1;2;2;3;1;66;54;124;134;1.98;0.74;2.73;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Osijek;Slaven Koprivnica;2.39;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2278;36;Y;Y;N;N;N;N;N
620124;122;1859;2019/2020;complete;51018;1;-1;17,45,85;;3;0;3;2;5;7;3;3;1;4;0;0;10;3;7;10;17;13;12;16;53;47;1;4;1.17;6.1;14.75;1.01;1.19;1.65;2.65;4.7;11.25;4.2;2.15;1.43;1.16;2.4;1.51;1.53;2.2;11;1.05;1.02;1.12;4.5;1.61;2.74;9.4;1.4;3.2;12;0;0;1.22;1.44;1.71;2.25;3;4;2.77;1.91;1.62;1.37;0;0;0;1.14;12;6.5;1.67;13.5;1.3;2.5;6;17;3.4;1.5;1.12;1.02;1.18;1.83;3.75;10;4.5;1.83;1.25;1.06;0;0;0;0;3;2;0;1;0;1;2;2019-07-19 19:00:00;122;0;0;0;0;0;1;1;1;4;1;1;5;2;0;3;1;1;3;2;1;83;66;156;136;2.38;1.52;3.9;0;0;0;0;0;0;1;1;0;0;0;2;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dinamo Zagreb;Lokomotiva Zagreb;2.61;1.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2278;36;Y;Y;Y;N;N;N;N
620125;1215;1881;2019/2020;complete;51018;1;-1;7,58;22;2;1;3;4;0;4;1;0;0;4;0;0;5;3;8;2;13;5;12;16;59;41;0;4;1.21;5.75;11.75;1.01;1.2;1.67;2.65;4.8;11.25;4.15;2.1;1.43;1.15;2.3;1.56;1.65;2;10;1.06;1.05;1.08;3.6;1.7;2.5;8;1.53;3;8;0;0;1.25;1.5;1.8;2.38;3.2;3.74;2.6;1.8;1.57;1.33;0;0;0;1.25;9.75;4;1.83;11.25;1.3;2.45;5.5;12.5;3.2;1.48;1.11;1.01;1.19;1.9;3.8;7.75;4.25;1.8;1.22;1.05;0;0;0;0;3;1;1;1;0;1;2;2019-07-20 17:00:00;1215;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;1;0;3;1;3;1;93;43;151;81;1.85;0.85;2.7;0;0;0;0;0;0;1;1;1;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rijeka;Varaždin;1.94;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2278;36;Y;Y;Y;N;N;N;Y
620126;1863;1857;2019/2020;complete;51018;1;-1;8,88;;2;0;2;11;3;14;0;2;2;1;0;0;14;3;4;9;18;12;12;10;55;45;2;1;1.26;5.55;9.25;1.01;1.18;1.59;2.5;4.35;12;4.45;2.25;1.49;1.18;2.05;1.71;1.8;1.9;11;1.05;1.04;1.14;3.75;1.7;2.5;8;1.44;3.1;9.5;0;0;1.5;1.8;2.4;3.4;5;2.6;1.83;1.53;1.3;1.17;0;0;0;1.18;13;5;1.87;10.75;1.28;2.25;5.5;15;3.5;1.57;1.14;1.03;1.15;2;3.4;8.3;5.05;1.65;1.31;1.06;0;0;0;0;2;1;0;1;0;1;1;2019-07-21 18:00:00;1863;0;0;0;0;0;1;1;7;2;4;1;9;5;1;0;1;1;1;2;1;79;52;112;81;2.68;1.34;4.02;0;0;0;0;0;0;1;1;1;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hajduk Split;Istra 1961;2.17;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2278;36;Y;Y;N;N;N;N;N
620127;1862;1857;2019/2020;complete;51018;2;-1;;83,90;0;2;2;4;2;6;3;1;4;3;0;1;6;5;6;7;12;12;13;22;52;48;4;4;2.05;3.3;3.3;1.03;1.26;1.83;3.1;5.85;9.5;3.55;1.87;1.32;1.11;1.71;2.05;2.75;1.34;4;1.22;1.22;1.25;1.67;2.45;2.24;4.26;2.44;2.55;3.64;0;0;1.36;1.73;2.1;3.1;4.33;2.8;2.01;1.67;1.3;1.17;1.62;5.95;2.65;1.67;9.5;2.38;3.45;5.3;1.37;2.62;7;17;2.89;1.44;1.07;1.01;1.23;2.12;4.46;10;3.96;1.71;1.2;1.04;0;0;0;0;2;0;0;0;2;2;0;2019-07-26 18:00:00;1857;0;0;0;0;0;1;1;0;1;4;1;1;5;0;2;4;2;2;6;1;51;48;112;91;1.55;1.46;3.01;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;3;2;1;1;Inter Zaprešić;Istra 1961;0.5;0.28;0;0;1;0;50;50;50;0;0;50;50;50;0;1.34;1.34;2278;36;Y;Y;N;N;N;N;N
620128;1881;1863;2019/2020;complete;51018;2;-1;;49,55,86;0;3;3;3;5;8;0;0;2;2;0;0;5;5;6;8;11;13;8;10;43;57;2;2;5.7;3.95;1.53;1.02;1.24;1.8;3;5.55;10;3.7;1.95;1.35;1.12;1.87;1.83;5.5;1.14;2;1.72;2.37;1.22;1.12;5.25;2.25;2.1;5.5;2.6;1.83;0;0;1.36;1.67;1.87;2.9;4.33;2.8;2.05;1.74;1.33;1.17;4.45;7.25;1.27;3.5;10;1.36;6.85;2.3;1.4;3;8;23;2.75;1.36;1.08;1.01;1.25;2.1;4.5;13;3.75;1.67;1.18;1.04;0;0;0;0;3;0;0;0;3;3;0;2019-07-28 18:00:00;1863;0;0;0;0;0;1;1;0;4;3;1;4;4;1;0;1;2;1;3;1;68;117;118;170;1.54;2.03;3.57;0;1;0;1;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Varaždin;Hajduk Split;1.28;1.17;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2278;36;Y;Y;Y;N;N;N;N
620129;1859;1215;2019/2020;complete;51018;2;-1;;90;0;1;1;6;2;8;0;3;3;2;0;0;3;7;4;4;7;11;6;13;54;46;3;2;3.45;3.4;2;1.03;1.26;1.83;3.1;5.85;9.5;3.55;1.87;1.32;1.11;1.71;2.05;3.95;1.17;3;1.36;1.73;1.25;1.25;4.14;2.24;2.49;3.72;2.59;2.38;0;0;1.22;1.44;1.88;2.38;3.2;3.7;2.5;1.93;1.5;1.29;2.5;6.4;1.67;2.38;10;1.67;5.45;3.45;1.36;2.56;7;17;2.94;1.46;1.07;1.01;1.23;2.07;4.46;10;3.96;1.74;1.2;1.04;0;0;0;0;1;0;0;0;1;1;0;2019-07-27 19:00:00;1215;0;0;0;0;0;1;1;1;1;5;1;2;6;0;1;3;1;1;4;1;80;54;152;152;1.25;1.6;2.85;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Lokomotiva Zagreb;Rijeka;2.28;1.61;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2278;36;Y;N;N;N;N;N;N
620130;1861;122;2019/2020;complete;51018;2;-1;;4,40,89;0;3;3;2;2;4;2;1;4;2;0;0;4;6;3;7;7;13;19;13;43;57;4;2;9.5;4.45;1.32;1.04;1.3;1.95;3.4;6.45;8.75;3.3;1.77;1.28;1.09;2.4;1.51;5.55;1.07;1.66;2.1;3.1;1.17;1.04;7.5;2.36;1.87;7.1;2.74;1.71;0;0;1.33;1.6;2.1;2.8;3.9;3.1;2.15;1.67;1.36;1.2;5.95;8.25;1.16;4.33;10;1.25;9.75;1.91;1.4;2.77;7.2;17;2.77;1.4;1.06;1.01;1.22;2.19;4.4;11;3.8;1.62;1.17;1.03;0;0;0;0;3;0;2;0;1;1;2;2019-07-27 17:00:00;122;0;0;0;0;0;1;1;0;0;2;2;0;4;3;1;1;1;4;2;1;50;64;90;99;1.09;1.7;2.79;0;0;0;0;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Slaven Koprivnica;Dinamo Zagreb;1.67;1.83;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2278;36;Y;Y;Y;N;N;N;N
620131;1875;1864;2019/2020;complete;51018;2;-1;35,53,75;90;3;1;4;4;7;11;1;0;6;5;0;0;7;6;11;3;18;9;29;17;42;58;6;5;2.7;3.25;2.4;1.05;1.33;2.05;3.7;7;8.25;3.05;1.71;1.24;1.07;1.83;1.91;2.55;1.39;3.5;1.28;1.3;1.3;1.57;2.91;2.09;3.74;2.66;2.38;3.42;0;0;1.25;1.5;1.98;2.5;3.5;3.5;2.38;1.83;1.44;1.25;0;0;0;1.83;8.5;2.25;3.25;4.65;1.44;2.92;8;17;2.62;1.37;1.05;1.01;1.3;2.28;4.9;11;3.26;1.57;1.14;1.03;0;0;0;0;4;1;0;2;1;3;1;2019-07-28 16:00:00;1875;0;50;0;0;0;1;1;2;3;2;4;5;6;2;4;4;1;6;5;1;81;97;143;178;2.22;1.71;3.93;0;0;0;0;0;0;1;1;0;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;6;3;0;1;Gorica;Osijek;1.61;1.06;1;0;1;3;50;50;50;0;0;50;0;0;1.68;0;1.68;2278;36;Y;Y;Y;Y;N;N;Y
