;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2567645;2425;9808;2022/2023;complete;91268;1;-1;;;0;0;0;5;3;8;-1;-1;-1;-1;-1;-1;2;3;8;8;10;11;-1;-1;53;47;-1;-1;1.67;3.5;4.33;1.04;1.22;1.7;2.75;5.0;13.0;4.0;2.1;1.4;1.17;1.67;2.1;0;0;0;0;1.29;1.29;1.74;2.3;2.3;4.75;2.0;2.55;4.33;0;0;0;1.23;1.32;1.57;1.96;0;3.8;3.1;2.25;1.75;1.64;8.3;2.71;1.5;12.75;2.75;0;0;1.33;2.5;6.5;19;3.24;1.5;1.11;1.02;1.18;1.83;3.75;10;4.5;1.83;1.25;1.06;0;0;0;0;1;0;0;0;1;1;0;2022-07-29;9808;0;0;0;0;0;1;-1;0;2;5;1;2;6;-1;-1;-1;-1;-1;-1;1;73;44;128;112;1.31;1.23;2.54;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Dukla Praha;Líšeň;1.75;1.89;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;N;N;N;N;N;N
1;2567640;2438;2452;2022/2023;complete;91268;1;-1;44;44;1;1;2;5;4;9;-1;-1;-1;-1;-1;-1;6;4;6;4;12;8;-1;-1;63;37;-1;-1;2.45;3.1;2.63;1.02;1.23;1.85;2.75;5.25;14.0;3.75;1.95;1.38;1.14;1.67;2.1;0;0;0;0;1.39;1.3;1.6;3.1;2.2;3.25;2.63;2.45;2.88;0;0;0;1.28;1.83;1.86;2.43;0;3.4;2.43;1.86;1.5;0.0;0.0;0.0;1.8;14.0;2.1;0;0;1.33;2.63;6.5;19;3.25;1.44;1.11;1.02;1.2;2.0;4.0;11;4.33;1.73;1.22;1.05;0;0;0;0;2;1;1;0;0;0;2;2022-07-30;-1;0;0;0;0;0;1;-1;3;1;2;3;4;5;-1;-1;-1;-1;-1;-1;1;57;47;138;98;1.6;1.13;2.74;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Příbram;Táborsko;1.89;0.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;Y;N;N;N;N;Y
2;2567642;2448;2427;2022/2023;complete;91268;1;-1;;;0;0;0;2;5;7;-1;-1;-1;-1;-1;-1;5;8;7;6;12;14;-1;-1;50;50;-1;-1;1.67;3.4;4.5;1.05;1.25;1.85;2.9;4.9;12.0;3.6;1.95;1.37;1.14;1.8;1.91;0;0;0;0;1.17;1.22;1.83;2.3;2.25;5.0;2.0;2.6;4.33;0;0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;15.0;2.88;0;0;1.3;2.4;5.6;15;3.2;1.51;1.11;1.02;1.22;2.0;4.33;11;4.0;1.73;1.2;1.05;0;0;0;0;2;0;2;0;0;0;2;2022-07-30;2427;0;0;0;0;0;1;-1;1;3;1;2;4;3;-1;-1;-1;-1;-1;-1;1;81;60;157;121;1.71;1.88;3.59;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Vlašim;Vysočina Jihlava;1.38;1.44;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;Y;N;N;N;N;N
3;2567638;9801;9813;2022/2023;complete;91268;1;-1;11,17,56;11,17,56;3;3;6;5;5;10;-1;-1;-1;-1;-1;-1;6;7;2;3;8;10;-1;-1;53;47;-1;-1;2.38;3.25;2.62;1.01;1.25;1.78;2.87;5.45;10.25;3.5;1.97;1.34;1.11;1.73;2.0;0;0;0;0;1.45;1.28;1.53;3.0;2.1;3.5;2.75;2.52;2.88;0;0;0;1.3;1.91;1.98;2.5;0;3.3;2.35;1.83;1.48;0.0;0.0;0.0;1.8;10.25;2.2;0;0;1.35;2.62;6.1;15;2.98;1.44;1.09;1.02;1.22;2.1;4.5;13;4.0;1.67;1.18;1.04;0;0;0;0;3;2;0;1;0;1;2;2022-07-30;9801;0;0;0;0;0;1;-1;3;3;2;2;6;4;-1;-1;-1;-1;-1;-1;1;70;74;83;82;1.43;1.65;3.08;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Vyškov;Chrudim;2.38;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;Y;Y;N;N;N;N
4;2567644;2441;2424;2022/2023;complete;91268;1;-1;;;0;0;0;6;4;10;-1;-1;-1;-1;-1;-1;3;6;7;4;10;10;-1;-1;60;40;-1;-1;3.4;3.25;1.95;1.02;1.27;1.8;3.0;5.9;9.4;3.3;1.91;1.32;1.09;1.67;2.1;0;0;0;0;1.75;1.28;1.29;4.0;2.2;2.75;3.4;2.49;2.38;0;0;0;0.0;2.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4;9.4;1.67;0;0;1.37;2.73;6.5;13;2.89;1.41;1.08;1.02;1.22;2.0;4.33;11;4.0;1.73;1.2;1.05;0;0;0;0;3;0;1;0;2;2;1;2022-07-30;2424;0;0;0;0;0;1;-1;3;2;3;2;5;5;-1;-1;-1;-1;-1;-1;1;92;75;142;101;1.52;1.6;3.11;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Třinec;Karviná;1.33;0.78;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;Y;Y;N;N;N;N
5;2567639;2454;9848;2022/2023;complete;91268;1;-1;45;45;1;1;2;3;5;8;-1;-1;-1;-1;-1;-1;8;0;9;4;17;4;-1;-1;45;55;-1;-1;2.53;3.64;2.53;1.0;1.18;1.61;2.55;4.55;11.0;4.2;2.2;1.44;1.15;1.53;2.38;0;0;0;0;1.55;1.29;1.42;3.1;2.3;3.1;2.75;2.64;2.75;0;0;0;0.0;1.35;1.56;1.95;0;0.0;2.95;2.24;1.78;2.18;8.0;1.94;2.05;15.25;1.8;0;0;1.3;2.42;5.4;13;3.26;1.51;1.12;1.02;1.17;1.83;3.75;9;5.0;1.83;1.25;1.07;0;0;0;0;1;1;0;0;0;0;1;2022-07-31;2454;0;0;0;0;0;1;-1;2;2;1;3;4;4;-1;-1;-1;-1;-1;-1;1;47;33;83;84;1.97;0.5;2.47;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Sigma Olomouc II;Sparta Praha II;1.67;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;N;N;N;N;N;N
6;2567641;9337;2453;2022/2023;complete;91268;1;-1;;;0;0;0;7;7;14;-1;-1;-1;-1;-1;-1;9;5;10;6;19;11;-1;-1;57;43;-1;-1;1.97;3.65;3.53;1.01;1.21;1.68;2.76;5.0;10.75;3.84;2.06;1.38;1.13;1.73;2.0;0;0;0;0;1.29;1.27;1.78;2.63;2.2;4.0;2.2;2.61;3.6;0;0;0;0.0;1.32;1.54;2.0;0;0.0;3.1;2.28;1.8;1.55;8.5;3.03;1.62;10.75;2.5;0;0;1.33;2.53;5.6;13;3.1;1.47;1.11;1.02;1.22;2.0;4.33;11;4.0;1.73;1.2;1.05;0;0;0;0;1;0;1;0;0;0;1;2022-07-31;2453;0;0;0;0;0;1;-1;4;6;3;1;10;4;-1;-1;-1;-1;-1;-1;1;75;50;98;85;2.36;1.41;3.77;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Slavia Praha U21;Prostějov;1.44;1.13;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;N;N;N;N;N;N
7;2567643;2444;2447;2022/2023;complete;91268;1;-1;13,27,88;13,27,88;3;3;6;8;2;10;-1;-1;-1;-1;-1;-1;10;2;3;3;13;5;-1;-1;50;50;-1;-1;2.25;3.25;2.8;1.01;1.24;1.8;2.93;5.45;10.0;3.56;2.0;1.34;1.1;1.67;2.1;0;0;0;0;1.42;1.29;1.54;2.88;2.2;3.6;2.6;2.52;3.0;0;0;0;1.3;1.91;1.98;2.5;0;3.3;2.35;1.83;1.48;0.0;0.0;0.0;1.73;10.25;2.2;0;0;1.35;2.62;6.1;15;2.98;1.44;1.09;1.02;1.2;1.91;4.0;10;4.33;1.8;1.22;1.06;0;0;0;0;4;2;1;1;0;1;3;2022-07-31;2444;0;0;0;0;0;1;-1;6;1;2;1;7;3;-1;-1;-1;-1;-1;-1;1;61;61;121;129;1.97;0.92;2.89;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Varnsdorf;Opava;2.44;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;Y;Y;Y;N;N;Y
8;2567647;2427;2454;2022/2023;complete;91268;2;-1;3;3;1;1;2;1;2;3;-1;-1;-1;-1;-1;-1;3;5;7;8;10;13;-1;-1;44;56;-1;-1;1.8;3.4;4.0;1.01;1.23;1.75;2.7;5.1;11.5;3.6;2.05;1.38;1.13;1.67;2.1;0;0;0;0;1.19;1.24;1.74;2.4;2.3;4.33;2.1;2.6;4.0;0;0;0;1.26;1.47;1.8;2.33;0;3.55;2.5;2.0;1.55;0.0;0.0;0.0;1.53;13.25;2.63;0;0;1.31;2.45;5.8;12;3.1;1.48;1.1;1.03;1.2;1.83;3.75;10;4.33;1.83;1.25;1.06;0;0;0;0;2;1;1;0;0;0;2;2022-08-05;-1;0;0;0;0;0;1;-1;1;0;0;2;1;2;-1;-1;-1;-1;-1;-1;1;48;62;121;112;1.2;1.62;2.83;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Vysočina Jihlava;Sigma Olomouc II;1.14;0.71;0.0;0.0;3.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;Y;N;N;N;N;Y
9;2567650;2424;2448;2022/2023;complete;91268;2;-1;6,73,81;6,73,81;3;3;6;7;4;11;-1;-1;-1;-1;-1;-1;7;8;3;6;10;14;-1;-1;39;61;-1;-1;1.73;3.5;4.33;1.01;1.24;1.8;2.75;5.2;10.0;3.5;2.0;1.37;1.11;1.73;2.0;0;0;0;0;1.17;1.23;1.83;2.38;2.25;4.75;2.05;2.61;4.33;0;0;0;1.26;1.47;1.83;2.33;0;3.55;2.5;1.98;1.55;0.0;0.0;0.0;1.5;10.25;2.75;0;0;1.33;2.55;6.1;13;2.98;1.44;1.09;1.02;1.2;1.91;4.0;11;4.33;1.8;1.22;1.05;0;0;0;0;5;1;2;2;0;2;3;2022-08-05;2424;0;0;0;0;0;1;-1;3;0;4;0;3;4;-1;-1;-1;-1;-1;-1;1;74;101;89;113;1.65;2.17;3.82;-1;-1;-1;-1;-1;-1;-1;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Karviná;Vlašim;2.57;0.88;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7569;16;Y;Y;Y;Y;Y;N;Y
