ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1265046;2437;2434;2021/2022;complete;69533;1;-1;14;52;1;1;2;4;5;9;1;2;1;2;0;0;5;4;11;4;16;8;10;12;49;51;1;2;2.88;3;2.45;1.11;1.3;1.98;3.65;7;7;3.25;1.74;1.27;1.11;1.95;1.8;3.25;1.29;2.7;1.4;1.57;1.28;1.36;3.75;2.05;3;3.25;2.25;2.6;0;0;1.36;1.67;2.15;2.95;4.1;2.95;2.12;1.65;1.37;1.21;2.02;7.5;2.21;2.3;7;1.73;4.75;3.75;1.44;3.25;9;26;2.63;1.33;1.07;1.01;1.25;2.2;5;15;3.75;1.62;1.17;1.03;0;0;0;0;2;1;0;0;1;1;1;2021-07-24 14:00:00;-1;0;0;0;0;0;1;1;3;3;1;2;6;3;0;1;1;1;1;2;1;95;79;152;137;2.05;1.37;3.42;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hradec Králové;Bohemians 1905;1.65;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5938;35;Y;Y;N;N;N;N;Y
1265047;86;2431;2021/2022;complete;69533;1;-1;12,64,78;3,90;3;2;5;11;4;15;0;3;5;2;0;0;11;6;8;1;19;7;12;15;57;43;5;2;1.32;5.25;8.25;1.05;1.25;1.67;2.65;4.75;12;3.9;2.15;1.47;1.18;2;1.74;1.8;1.91;7;1.06;1.03;1.1;3.3;1.8;2.5;7.5;1.57;2.9;7.5;0;0;1.22;1.42;1.74;2.23;3;4;2.75;2.02;1.61;1.35;1.28;10;5;1.22;11;4.5;2;10.5;1.3;2.5;6;17;3.4;1.5;1.13;1.03;1.18;1.83;3.75;10;4.5;1.83;1.25;1.06;0;0;0;0;5;1;1;2;1;3;2;2021-07-24 17:00:00;86;0;0;0;0;0;1;1;4;1;7;3;5;10;1;0;4;2;1;6;1;72;36;118;102;2.49;1.14;3.62;1;0;1;0;0;0;1;1;0;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sparta Praha;Sigma Olomouc;2.5;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5938;34;Y;Y;Y;Y;Y;N;Y
1265048;77;2435;2021/2022;complete;69533;1;-1;29,36;62;2;1;3;4;4;8;0;2;1;2;0;0;3;5;4;5;7;10;13;9;42;58;1;2;1.67;3.4;4.4;1.07;1.29;1.83;3.1;5.25;9.75;3.5;1.87;1.33;1.16;1.77;2;2.4;1.5;4.75;1.14;1.15;1.2;2;2.3;2.3;4.75;2;2.5;4.33;0;0;1.1;1.3;1.55;2;2.5;5.5;3.3;2.38;1.8;1.49;1.24;10.5;5.65;1.5;9.5;2.88;2.85;6.75;1.33;2.63;7;19;3.25;1.44;1.1;1.02;1.2;1.91;4;11;4.33;1.8;1.22;1.05;0;0;0;0;3;2;0;0;1;1;2;2021-07-25 14:00:00;77;0;0;0;0;0;1;1;2;1;2;3;3;5;1;1;0;1;2;1;1;59;88;100;145;1.09;1.63;2.72;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Viktoria Plzeň;Mladá Boleslav;2.78;1.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5938;34;Y;Y;Y;N;N;N;Y
1265049;2439;2436;2021/2022;complete;69533;1;-1;61;;1;0;1;3;3;6;4;2;2;2;0;0;3;7;3;6;6;13;16;15;54;46;2;2;2;3.2;3.3;1.07;1.34;1.91;3.3;6;9.25;3.2;1.8;1.3;1.13;1.91;1.83;2.5;1.45;3.8;1.22;1.22;1.25;1.8;2.63;2.2;4.33;2.3;2.35;3.6;0;0;1.2;1.29;1.5;1.95;2.43;4.25;3.45;2.45;1.85;1.52;1.64;8.2;2.91;1.62;8.25;2.5;3.15;5.5;1.4;2.75;8;21;2.75;1.4;1.08;1.02;1.22;2.1;4.5;11;4;1.67;1.18;1.05;0;0;0;0;1;0;0;1;0;1;0;2021-07-25 14:00:00;2439;0;0;0;0;0;1;1;1;1;2;2;2;4;1;1;1;1;2;2;1;75;61;138;112;1.15;1.76;2.91;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;České Budějovice;Teplice;1.88;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5938;32;Y;N;N;N;N;N;N
1265050;2449;2424;2021/2022;complete;69533;1;-1;64,75;6,49;2;2;4;6;7;13;5;2;2;1;0;0;7;3;7;4;14;7;10;7;60;40;2;1;2.15;3.1;3.3;1.11;1.3;1.98;3.5;6.75;7;3.25;1.74;1.29;1.11;1.87;1.87;2.4;1.5;3.75;1.22;1.2;1.28;1.75;2.63;2.1;4.33;2.3;2.2;4;0;0;1.27;1.5;1.85;2.45;3.4;3.55;2.48;1.95;1.5;1.29;1.41;8.9;3.84;1.62;7;2.63;3.15;6;1.44;3.25;9;26;2.63;1.33;1.07;1.01;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;0;0;0;0;4;0;1;2;1;3;1;2021-07-24 14:00:00;-1;0;0;0;0;0;1;1;1;2;5;5;3;10;1;0;1;1;1;2;1;95;55;125;98;2.06;1.06;3.12;0;1;0;1;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Pardubice;Karviná;1.06;0.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5938;35;Y;Y;Y;Y;N;N;Y
1265051;2433;1213;2021/2022;complete;69533;1;-1;;70;0;1;1;4;8;12;3;1;1;0;0;0;3;8;3;9;6;17;12;13;42;58;1;0;8.25;4.75;1.36;1.06;1.25;1.71;2.7;4.85;10.75;3.8;2.1;1.44;1.18;2;1.74;6.25;1.08;2;1.74;2.6;1.15;1.07;7.5;2.5;1.8;7;2.7;1.57;0;0;1.29;1.53;1.98;2.55;3.5;3.4;2.4;1.83;1.48;1.27;5.55;10.5;1.25;4.33;10;1.25;9.5;2.25;1.3;2.5;6;17;3.4;1.5;1.13;1.03;1.18;1.83;3.75;10;4.5;1.83;1.25;1.06;0;0;0;0;1;0;0;0;1;1;0;2021-07-25 17:00:00;1213;0;0;0;0;0;1;1;2;2;2;6;4;8;1;0;0;0;1;0;1;74;87;131;146;1.14;2.27;3.41;0;0;0;0;0;0;1;1;0;0;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Zlín;Slavia Praha;1.33;1.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5938;35;Y;N;N;N;N;N;N
1265052;2430;2432;2021/2022;complete;69533;1;-1;88;;1;0;1;16;6;22;1;3;2;3;0;0;6;7;9;4;15;11;9;12;57;43;2;3;1.91;3.25;3.9;1.1;1.33;1.98;3.5;6.75;7.5;3.2;1.74;1.29;1.11;1.95;1.83;2.35;1.54;3.75;1.22;1.2;1.25;1.85;2.63;2.1;4.33;2.25;2.25;3.75;0;0;1.29;1.53;1.98;2.55;3.5;3.4;2.4;1.83;1.48;1.27;1.44;8.7;3.68;1.57;7.25;2.63;3;5.75;1.44;3;9;23;2.63;1.36;1.07;1.01;1.25;2.1;5;13;3.75;1.67;1.17;1.04;0;0;0;0;1;0;0;1;0;1;0;2021-07-24 14:00:00;2430;0;0;0;0;0;1;1;10;4;6;2;14;8;0;0;2;3;0;5;1;84;50;110;97;1.97;1.55;3.52;0;0;0;0;0;0;1;1;0;0;2;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Jablonec;Baník Ostrava;1.17;1.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5938;35;Y;N;N;N;N;N;N
1265053;2428;2426;2021/2022;complete;69533;1;-1;;31;0;1;1;5;0;5;1;0;3;3;0;1;3;2;2;2;5;4;13;19;51;49;3;5;2.1;3;3.3;1.12;1.38;2.2;3.85;7.75;6.5;2.9;1.6;1.25;1.09;2;1.74;2.45;1.49;3.25;1.28;1.22;1.3;1.66;2.88;2.05;4;2.5;2.15;3.5;0;0;1.32;1.58;2.02;2.7;3.8;3.2;2.28;1.74;1.43;1.24;1.67;7.8;2.87;1.73;6.5;2.4;3.4;5.25;1.5;3.4;10;26;2.5;1.3;1.06;1.01;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;0;0;0;0;1;0;1;0;0;0;1;2021-07-25 14:00:00;2426;0;0;0;0;0;1;1;1;0;4;0;1;4;0;2;3;2;2;5;1;69;46;120;99;1.04;0.74;1.78;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Slovan Liberec;Slovácko;1.44;1.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5938;32;Y;N;N;N;N;N;N
1265054;2424;2437;2021/2022;complete;69533;2;-1;25;5;1;1;2;2;4;6;1;3;1;3;0;0;3;7;6;7;9;14;19;18;47;53;1;3;1.8;3.1;3.53;1.11;1.4;1.62;3.75;7.5;7;2.8;2.25;1.26;1.1;2.05;1.74;2.4;1.5;3.15;1.3;1.35;1.33;1.65;2.9;1.95;3.9;2.5;2.4;3.4;0;0;1.27;1.5;1.95;2.45;3.4;3.55;2.48;1.85;1.5;1.29;1.92;7.6;2.33;1.8;9;2.25;3.25;4.75;1.48;3.2;9.75;26;2.45;1.3;1.06;1.01;1.27;2.3;5.25;12;3.5;1.55;1.13;1.03;0;0;0;0;2;1;1;0;0;0;2;2021-07-31 14:00:00;-1;0;0;0;0;0;1;1;1;3;1;1;4;2;0;2;1;1;2;2;1;77;80;120;123;1.34;1.95;3.3;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Karviná;Hradec Králové;0.71;0.89;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;5938;35;Y;Y;N;N;N;N;Y
1265055;2428;86;2021/2022;complete;69533;2;-1;;25,62,66,70,79;0;5;5;2;1;3;0;2;2;0;1;0;3;10;4;2;7;12;16;13;34;66;3;0;3.75;3.35;1.95;1.09;1.38;2.05;3.45;6.75;7.75;2.95;1.74;1.29;1.11;1.91;1.83;3.85;1.21;2.6;1.43;1.71;1.33;1.3;4;2.1;2.65;3.5;2.5;2.35;0;0;1.27;1.5;1.95;2.45;3.4;3.55;2.48;1.85;1.5;1.29;2.02;7.6;2.2;2.3;10.5;1.72;5.75;3.3;1.4;2.85;7.75;15;2.75;1.38;1.08;1.02;1.23;2.1;4.5;10;3.9;1.65;1.17;1.04;0;0;0;0;5;0;1;0;4;4;1;2021-07-31 17:00:00;86;0;0;0;0;0;1;1;1;1;1;0;2;1;1;0;2;0;1;2;1;46;78;80;126;0.99;2.03;3.02;0;1;0;1;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;50;0;0;5;1;3;0.5;Slovan Liberec;Sparta Praha;1.44;1.65;0;0;0;3;50;50;50;50;0;0;0;0;1.04;0;1.04;5938;32;Y;Y;Y;Y;Y;N;N
