;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2595138;2429;2426;2022/2023;complete;91330;1;-1;21,32;21,32;2;2;4;6;10;16;2;1;2;1;0;0;4;4;4;9;8;13;15;5;50;50;2;1;3.51;3.38;2.08;1.06;1.28;1.94;3.3;6.0;8.0;3.5;1.84;1.3;1.11;1.8;1.95;4.0;1.2;2.7;1.4;1.77;1.3;1.28;4.0;2.1;2.75;3.5;2.45;2.38;0;0;1.18;1.34;1.61;2.02;2.7;4.5;3.1;2.23;1.74;1.43;2.81;8.1;1.66;2.4;9.0;1.67;5.75;3.3;1.4;3.0;8.0;23.0;2.75;1.36;1.08;1.01;1.22;2.1;4.5;13.0;4.0;1.67;1.18;1.04;0;0;0;0;4;2;1;0;1;1;3;2022-07-30;-1;0;0;0;0;0;1;1;3;4;3;6;7;9;0;1;2;0;1;2;1;47;87;85;128;1.13;1.73;2.86;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Zbrojovka Brno;Slovácko;1.0;1.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;Y;Y;Y;N;N;Y
1;2595133;2436;77;2022/2023;complete;91330;1;-1;23,47;23,47;2;2;4;5;11;16;1;2;3;2;0;1;5;5;3;9;8;14;11;9;50;50;3;4;6.2;4.42;1.47;1.04;1.2;1.67;2.7;4.5;10.0;4.2;2.1;1.42;1.17;1.91;1.91;4.75;1.15;2.2;1.62;2.75;1.21;1.1;6.0;2.4;2.0;5.5;2.75;1.73;0;0;1.22;1.42;1.74;2.23;3.0;4.0;2.75;2.02;1.61;1.35;5.3;10.25;1.26;3.5;10.5;1.33;7.5;2.6;1.33;2.5;6.5;19.0;3.25;1.5;1.11;1.02;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;4;1;0;1;2;3;1;2022-07-30;-1;0;0;0;0;0;1;1;3;3;2;8;6;10;0;1;3;2;1;5;1;47;66;99;104;1.2;1.71;2.92;1;0;0;0;1;0;1;1;0;0;2;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Teplice;Viktoria Plzeň;1.67;2.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;Y;Y;Y;N;N;Y
2;2595140;2432;2431;2022/2023;complete;91330;1;-1;;;0;0;0;7;3;10;1;1;3;2;0;0;6;7;11;10;17;17;16;15;50;50;3;2;1.87;3.56;4.02;1.06;1.28;1.88;3.3;6.0;8.0;3.5;1.91;1.3;1.11;1.8;1.95;2.63;1.43;4.0;1.2;1.27;1.3;1.8;2.5;2.2;4.5;2.2;2.45;4.0;0;0;1.19;1.3;1.55;1.98;2.5;4.2;3.3;2.38;1.83;1.49;1.57;8.5;3.05;1.57;9.0;2.63;3.3;5.75;1.4;2.75;8.0;21.0;2.75;1.4;1.08;1.02;1.22;2.0;4.33;11.0;4.0;1.73;1.2;1.05;0;0;0;0;3;0;1;0;2;2;1;2022-07-30;2431;0;0;0;0;0;1;1;2;2;5;1;4;6;2;0;1;2;2;3;1;75;73;123;93;2.04;2.08;4.12;0;0;0;0;0;0;1;1;0;0;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Baník Ostrava;Sigma Olomouc;1.67;1.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;Y;Y;N;N;N;N
3;2595137;2433;2435;2022/2023;complete;91330;1;-1;;;0;0;0;5;6;11;2;4;3;1;0;0;5;4;5;4;10;8;14;16;50;50;3;1;2.81;3.28;2.5;1.06;1.28;1.96;3.3;6.0;8.0;3.5;1.83;1.3;1.11;1.75;2.0;3.6;1.25;3.0;1.33;1.57;1.3;1.41;3.4;2.1;3.1;3.0;2.45;2.75;0;0;1.27;1.5;1.85;2.45;3.4;3.55;2.48;1.95;1.5;1.29;2.63;7.9;1.74;2.1;9.25;1.8;5.0;3.8;1.4;3.0;8.0;23.0;2.75;1.36;1.08;1.01;1.22;2.1;4.5;13.0;4.0;1.67;1.18;1.04;0;0;0;0;0;0;0;0;0;0;0;2022-07-30;-1;0;0;0;0;0;1;1;1;2;4;4;3;8;0;0;3;1;0;4;1;49;89;89;156;1.34;1.45;2.79;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Zlín;Mladá Boleslav;1.0;1.44;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;N;N;N;N;N;N;N
4;2595139;2430;2434;2022/2023;complete;91330;1;-1;;;0;0;0;5;2;7;0;2;2;1;0;0;5;8;12;2;17;10;7;19;50;50;2;1;1.89;3.68;4.0;1.07;1.33;1.93;3.6;6.0;7.5;3.2;1.83;1.25;1.11;1.8;1.95;2.7;1.4;3.6;1.25;1.24;1.29;1.87;2.5;2.2;4.5;2.2;2.45;4.0;0;0;1.25;1.5;1.89;2.43;3.26;3.48;2.48;1.89;1.52;1.28;1.35;9.1;4.33;1.57;8.75;2.63;3.4;5.25;1.4;3.0;8.0;23.0;2.75;1.36;1.08;1.01;1.25;2.1;4.5;13.0;3.75;1.67;1.18;1.04;0;0;0;0;3;0;1;0;2;2;1;2022-07-31;2434;0;0;0;0;0;1;1;1;0;4;2;1;6;1;0;1;1;1;2;1;84;62;92;91;2.02;1.64;3.66;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Jablonec;Bohemians 1905;1.22;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;Y;Y;N;N;N;N
5;2595134;2449;2439;2022/2023;complete;91330;1;-1;;;0;0;0;12;8;20;3;3;3;3;0;0;10;3;6;3;16;6;8;10;50;50;3;3;2.43;3.25;2.76;1.06;1.28;1.89;3.3;6.0;8.0;3.5;1.75;1.3;1.11;1.75;2.0;2.9;1.36;3.8;1.22;1.41;1.31;1.55;3.0;2.1;3.5;2.63;2.45;3.1;0;0;1.17;1.27;1.52;1.89;2.43;4.32;3.34;2.43;1.89;1.52;1.53;8.5;3.22;1.8;9.0;2.2;3.6;5.5;1.4;3.0;8.0;23.0;2.75;1.36;1.08;1.01;1.22;2.1;4.5;13.0;4.0;1.67;1.18;1.04;0;0;0;0;2;0;1;0;1;1;1;2022-07-31;2439;0;0;0;0;0;1;1;9;4;3;4;13;7;1;0;2;3;1;5;1;88;64;107;93;2.34;1.06;3.4;0;0;0;0;0;0;1;1;0;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Pardubice;České Budějovice;0.88;1.63;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;Y;N;N;N;N;N
6;2595136;86;2428;2022/2023;complete;91330;1;-1;75;75;1;1;2;5;3;8;0;1;2;2;1;0;7;6;10;2;17;8;12;10;50;50;4;2;1.35;4.9;7.5;1.04;1.2;1.65;2.7;4.5;10.0;4.33;2.18;1.45;1.17;1.95;1.8;2.0;1.73;7.0;1.07;1.09;1.17;3.0;1.83;2.5;7.0;1.62;2.95;7.0;0;0;1.27;1.53;1.94;2.54;3.4;3.34;2.4;1.84;1.48;1.26;1.16;12.0;7.4;1.25;12.5;4.0;2.2;10.0;1.3;2.5;6.0;17.0;3.4;1.5;1.13;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;3;0;2;1;0;1;2;2022-07-31;2428;0;0;0;0;0;1;1;1;2;4;1;3;5;0;0;3;2;0;5;1;78;37;147;98;2.13;1.2;3.34;0;0;0;0;0;0;1;1;0;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Sparta Praha;Slovan Liberec;2.0;1.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;Y;Y;N;N;N;Y
7;2595135;2437;1213;2022/2023;complete;91330;1;-1;54;54;1;1;2;3;8;11;1;1;2;1;0;0;3;4;0;17;3;21;11;7;50;50;2;1;7.2;4.7;1.37;1.04;1.25;1.64;2.95;4.75;10.0;3.75;2.05;1.38;1.15;2.05;1.7;5.5;1.11;2.1;1.65;3.0;1.18;1.08;7.5;2.4;1.83;7.0;2.87;1.62;0;0;1.24;1.47;1.84;2.36;3.14;3.56;2.57;1.94;1.55;1.3;5.3;10.25;1.26;4.33;11.5;1.25;8.0;2.5;1.33;2.63;6.5;19.0;3.25;1.44;1.11;1.02;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;1;0;0;1;0;1;0;2022-07-31;2437;0;0;0;0;0;1;1;0;2;3;6;2;9;1;1;1;0;2;1;1;37;107;94;138;0.68;2.37;3.06;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Hradec Králové;Slavia Praha;1.56;1.63;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;N;N;N;N;N;N
8;2595143;2428;2436;2022/2023;complete;91330;2;-1;9,21,45,53,70;9,21,45,53,70;5;5;10;6;5;11;0;2;1;1;0;0;9;5;3;10;12;15;13;12;52;48;1;1;1.66;3.62;4.73;1.07;1.36;1.98;3.5;6.5;7.5;3.0;1.74;1.29;1.1;1.95;1.8;2.2;1.62;5.0;1.13;1.19;1.27;2.05;2.38;2.2;5.0;2.05;2.45;4.5;0;0;1.27;1.5;1.93;2.45;3.4;3.55;2.48;1.88;1.5;1.29;1.44;8.4;3.58;1.5;8.75;3.0;2.6;7.5;1.4;3.0;8.0;23.0;2.75;1.36;1.08;1.01;1.25;2.2;5.0;13.0;3.75;1.62;1.17;1.04;0;0;0;0;6;3;1;2;0;2;4;2022-08-06;2428;0;0;0;0;0;1;1;6;4;0;1;10;1;0;0;1;1;0;2;1;49;73;111;152;1.75;1.84;3.59;0;0;0;0;0;0;1;1;1;0;4;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Slovan Liberec;Teplice;1.57;0.57;0.0;0.0;3.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;Y;Y;Y;Y;Y;Y
9;2595144;77;2449;2022/2023;complete;91330;2;-1;21,75;21,75;2;2;4;7;7;14;1;2;1;2;0;0;4;6;8;5;12;11;9;11;50;50;1;2;1.23;5.6;10.25;1.03;1.17;1.55;2.38;4.0;11.0;4.5;2.3;1.53;1.22;2.0;1.72;1.85;1.85;6.5;1.08;1.06;1.14;3.6;1.7;2.6;7.5;1.52;3.2;7.5;0;0;1.2;1.38;1.67;2.12;2.85;4.25;2.9;2.12;1.67;1.38;1.1;10.5;9.25;1.28;14.0;4.1;2.05;10.0;1.27;2.25;5.0;13.0;3.4;1.57;1.14;1.03;1.16;1.75;3.3;7.25;4.8;1.93;1.28;1.08;0;0;0;0;3;1;0;1;1;2;1;2022-08-06;77;0;0;0;0;0;1;1;4;4;3;3;8;6;0;1;1;1;1;2;1;91;69;104;95;1.69;1.61;3.31;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Viktoria Plzeň;Pardubice;2.57;0.38;0.0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7586;16;Y;Y;Y;N;N;N;Y
