ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1039718;2524;2526;2020/2021;complete;58595;1;-1;53;82;1;1;2;5;6;11;3;1;0;0;0;0;2;6;4;10;6;16;17;13;46;54;0;0;3.2;3.45;2.1;1.03;1.25;1.8;3.05;5.7;10.5;3.75;1.95;1.36;1.12;1.67;2.1;0;0;0;0;1.32;1.27;1.52;2.75;2.1;3.5;2.65;2.5;3.32;0;0;1.2;1.38;1.66;2.12;2.85;4.3;2.9;2.12;1.67;1.4;2.08;7.5;2.08;1.75;11;2.1;4.25;5;1.4;2.7;7;15;2.7;1.4;1.07;1.02;1.21;2.14;4.3;9;3.9;1.69;1.18;1.05;0;0;0;0;2;0;0;1;1;2;0;2020-09-10 17:00:00;-1;0;0;0;0;0;1;-1;0;4;5;2;4;7;0;0;0;0;0;0;1;58;96;88;103;0.94;2.11;3.06;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hobro;Viborg;1.31;2.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;N;N;N;N;Y
1039719;2518;2522;2020/2021;complete;58595;1;-1;8,28,59,90;84,90;4;2;6;6;7;13;1;2;0;0;0;0;9;4;5;9;14;13;15;9;39;61;0;0;4.45;3.85;1.69;1.01;1.19;1.62;2.55;4.55;12.75;4.5;2.25;1.49;1.19;1.62;2.2;5.7;1.13;0;0;1.82;1.2;1.15;4.82;2.44;2.3;4.25;2.7;2;0;0;1.08;1.26;1.47;1.78;2.26;6;3.5;2.5;1.93;1.56;3.08;9.1;1.51;2.6;9.25;1.53;8.5;3.25;1.31;2.52;5.7;12;3.38;1.51;1.11;1.03;1.16;1.91;3.5;8;4.6;1.87;1.26;1.06;0;0;0;0;6;2;0;2;2;4;2;2020-09-11 17:00:00;2518;0;0;0;0;0;1;-1;4;2;2;5;6;7;0;0;0;0;0;0;1;56;84;104;123;1.92;1.71;3.63;-1;-1;-1;-1;-1;-1;-1;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;FC Helsingør;Silkeborg;1.81;1.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;Y;Y;Y;Y;Y
1039720;3652;3660;2020/2021;complete;58595;1;-1;11,35;61;2;1;3;3;6;9;4;5;0;0;0;0;6;8;1;6;7;14;17;9;42;58;0;0;2.4;3.45;2.75;1.03;1.24;1.77;2.95;5.55;10.75;3.85;2;1.38;1.13;1.62;2.15;3.55;1.26;0;0;1.28;1.24;1.52;2.83;2.32;3.72;2.45;2.55;3.25;0;0;1.44;1.79;2.34;3.2;4.2;2.55;1.9;1.53;1.3;1.21;1.97;5.6;2.44;1.75;9;2.15;4.33;5.5;1.33;2.69;5.8;13;3.2;1.45;1.1;1.02;1.16;2.03;3.6;8;4.6;1.77;1.25;1.06;0;0;0;0;3;2;0;0;1;1;2;2020-09-11 17:00:00;3652;0;0;0;0;0;1;-1;2;3;1;3;5;4;0;0;0;0;0;0;1;83;81;115;138;1.47;2.04;3.51;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;HB Køge;Hvidovre;0.81;1.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;Y;N;N;N;Y
1039721;3653;2527;2020/2021;complete;58595;1;-1;;7,18;0;2;2;4;7;11;1;4;0;0;0;0;5;7;5;17;10;24;7;18;46;54;0;0;4.45;3.6;1.74;1.02;1.21;1.69;2.75;5;11.75;4.2;2.1;1.43;1.16;1.65;2.15;5.25;1.13;0;0;1.82;1.2;1.16;4.78;2.4;2.34;4.4;2.73;2.06;0;0;1.22;1.4;1.69;2.14;2.84;3.7;2.7;2.04;1.63;1.37;3;7;1.47;2.65;9.5;1.5;8.5;3.3;1.33;2.6;5.8;13;3.26;1.48;1.1;1.02;1.16;1.97;3.6;8;4.6;1.82;1.25;1.06;0;0;0;0;2;0;2;0;0;0;2;2020-09-12 12:00:00;2527;0;0;0;0;0;1;-1;3;2;1;5;5;6;0;0;0;0;0;0;1;71;97;89;102;1.49;2.69;4.18;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Skive;Esbjerg;1.06;1.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;N;N;N;N;N
1039722;3648;3654;2020/2021;complete;58595;1;-1;11,35,40,77,78,88;;6;0;6;2;2;4;1;0;0;0;0;0;7;0;3;5;10;5;9;7;60;40;0;0;2.3;3.3;2.95;1.04;1.31;1.95;3.5;6.7;9.25;3.35;1.8;1.29;1.09;1.77;1.95;2.85;1.38;0;0;1.38;1.27;1.38;3.3;2.26;3.26;2.95;2.45;2.75;0;0;1.3;1.55;1.94;2.55;3.5;3.2;2.3;1.77;1.45;1.26;1.67;5.35;2.7;2;8.25;1.91;4.5;4.8;1.36;2.83;6.9;15;3.04;1.41;1.07;1.02;1.21;2.05;4.2;9;3.9;1.7;1.19;1.05;0;0;0;0;6;3;0;3;0;3;3;2020-09-12 14:00:00;3648;0;0;0;0;0;1;-1;1;2;1;0;3;1;0;0;0;0;0;0;1;47;38;90;79;1.47;0.6;2.07;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Fremad Amager;Vendsyssel;1.38;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;Y;Y;Y;Y;N
1039723;3649;3671;2020/2021;complete;58595;1;-1;81,90;11;2;1;3;5;3;8;3;0;0;0;0;0;5;6;9;5;14;11;11;16;58;42;0;0;1.91;3.8;3.5;1.02;1.2;1.65;2.65;4.75;12.25;4.35;2.2;1.45;1.17;1.59;2.25;3.05;1.34;0;0;1.23;1.22;1.65;2.56;2.42;4.03;2.2;2.65;3.6;0;0;1.22;1.42;1.74;2.28;2.9;3.8;2.65;2.06;1.6;1.35;1.54;5.65;3;1.65;9.5;2.3;3.8;7;1.31;2.51;5.5;13;3.38;1.51;1.11;1.02;1.15;1.91;3.4;8;4.7;1.87;1.27;1.06;0;0;0;0;3;0;1;2;0;2;1;2020-09-13 12:00:00;3649;0;0;0;0;0;1;-1;1;2;4;1;3;5;0;0;0;0;0;0;1;61;48;123;93;1.68;1.47;3.15;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Fredericia;Kolding IF;1.38;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;Y;N;N;N;Y
1039724;3660;2518;2020/2021;complete;58595;2;-1;;11,16,90;0;3;3;11;4;15;4;3;0;0;0;0;4;6;3;7;7;13;12;16;58;42;0;0;2.55;3.45;2.55;1.02;1.23;1.74;2.85;5.25;11.25;4;2.05;1.4;1.14;1.61;2.2;4;1.21;0;0;1.49;1.29;1.52;3;2.3;3.1;2.75;2.65;2.85;0;0;1.22;1.44;1.83;2.38;3.2;3.7;2.5;1.83;1.5;1.29;2.24;7.6;1.99;1.91;13;1.91;5;5.5;1.26;2.45;6.1;17;3.45;1.5;1.11;1.01;1.16;1.89;3.6;8.5;4.6;1.89;1.25;1.06;0;0;0;0;3;0;2;0;1;1;2;2020-09-15 16:30:00;2518;0;0;0;0;0;1;-1;5;2;6;2;7;8;0;0;0;0;0;0;1;110;75;133;106;1.52;1.78;3.31;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hvidovre;FC Helsingør;1.06;1.5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;Y;N;N;N;N
1039725;2522;3653;2020/2021;complete;58595;2;-1;63,84;;2;0;2;6;3;9;0;1;0;0;0;0;10;0;11;10;21;10;6;5;50;50;0;0;1.54;4.25;5.25;1.01;1.14;1.49;2.25;3.8;14.5;5.3;2.55;1.62;1.25;1.57;2.3;2.6;1.44;0;0;1.16;1.23;2.3;2.08;2.43;4.9;1.88;2.8;4.6;0;0;1.13;1.29;1.53;1.87;2.38;5;3.2;2.3;1.8;1.5;1.32;8;3.55;1.44;15;2.8;3.1;10;1.24;2.32;5.6;15;3.65;1.54;1.12;1.01;1.14;1.84;3.2;8.5;4.9;1.94;1.3;1.06;0;0;0;0;2;0;0;2;0;2;0;2020-09-16 16:00:00;2522;0;0;0;0;0;1;-1;4;1;2;2;5;4;0;0;0;0;0;0;1;46;34;102;93;2.35;0.89;3.24;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Silkeborg;Skive;2.69;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;N;N;N;N;N
1039726;2527;3652;2020/2021;complete;58595;2;-1;2;;1;0;1;5;6;11;0;1;0;0;0;0;4;5;10;7;14;12;19;16;44;56;0;0;1.61;3.9;5.05;1.02;1.23;1.74;2.85;5.25;11.25;4;2.05;1.4;1.14;1.74;2;2.45;1.49;0;0;1.2;1.26;2.1;2.25;2.3;4.6;2.04;2.63;4.35;0;0;1.34;1.62;2.05;2.75;3.8;3;2.16;1.68;1.4;1.22;1.33;5.85;4.25;1.53;11;2.75;3.1;8.5;1.29;2.63;6.75;13;3.25;1.44;1.09;1.01;1.2;2.03;4.1;10.5;4;1.77;1.2;1.04;0;0;0;0;1;1;0;0;0;0;1;2020-09-16 16:30:00;2527;0;0;0;0;0;1;-1;1;4;4;2;5;6;0;0;0;0;0;0;1;57;57;117;124;1.58;1.53;3.11;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Esbjerg;HB Køge;1.75;1.13;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;N;N;N;N;N;N
1039727;3654;2524;2020/2021;complete;58595;2;-1;26,65,69;;3;0;3;8;5;13;-1;-1;-1;-1;-1;-1;8;2;9;6;17;8;-1;-1;48;52;-1;-1;2.6;3.2;2.65;1.04;1.29;1.91;3.35;6.45;9.5;3.45;1.83;1.3;1.1;1.71;2;3.25;1.3;0;0;1.42;1.33;1.54;3;2.05;3.3;2.75;2.43;3.1;0;0;1.25;1.5;1.83;2.5;3.5;3.5;2.38;1.83;1.44;1.25;1.89;8.1;2.34;1.91;9.5;2;4.33;5;1.35;2.9;8;15;2.9;1.36;1.07;1.01;1.21;2.19;4.2;12;3.9;1.66;1.19;1.03;0;0;0;0;3;1;0;2;0;2;1;2020-09-15 17:00:00;3654;0;0;0;0;0;1;-1;5;3;3;2;8;5;-1;-1;-1;-1;-1;-1;1;57;41;86;57;2.04;0.94;2.98;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Vendsyssel;Hobro;1.5;0.81;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4641;32;Y;Y;Y;N;N;N;N
