ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1087824;6274;6278;2020/2021;complete;59540;1;-1;11;48,64;1;2;3;4;5;9;-1;-1;3;2;0;1;2;5;1;1;3;6;-1;-1;54;46;3;3;1.69;4.4;3;1;1.09;1.39;2;3.3;13;5.05;2.55;1.62;1.24;1.43;2.45;3.6;1.24;0;0;1.38;1.24;1.6;2.68;2.38;3.28;2.53;2.7;3.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.57;23;2.45;3.9;10;1.23;2.23;4.36;11;3.74;1.6;1.18;1.05;1.11;1.79;2.91;6;5.5;1.94;1.36;1.13;0;0;0;0;3;1;0;0;2;2;1;2020-09-11 14:00:00;6278;0;0;0;0;0;1;1;0;3;4;2;3;6;2;1;1;2;3;3;1;21;35;71;97;0.49;1;1.49;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Arsenal U23;Southampton U23;1.17;0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;Y;Y;N;N;N;Y
1087825;6270;6275;2020/2021;complete;59540;1;-1;22,41,70;45,86,88;3;3;6;2;2;4;-1;-1;2;3;0;0;5;6;5;7;10;13;-1;-1;53;47;2;3;1.74;3.74;3.72;1.02;1.1;1.43;2.18;3.4;15;6.5;2.59;1.7;1.26;1.45;2.59;3.75;1.22;0;0;1.25;1.21;1.89;2.5;2.5;3.25;2.14;2.86;3.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.69;13;2.1;4.15;6.15;1.21;2.1;4.35;9.25;3.85;1.67;1.17;1.02;0;1.69;0;0;0;2.07;0;0;0;0;0;0;6;2;1;1;2;3;3;2020-09-12 12:00:00;-1;0;0;0;0;0;1;1;2;0;0;2;2;2;0;2;2;1;2;3;1;39;40;91;75;1.27;1.53;2.8;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Manchester City U23;Derby County U23;2.5;1.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;Y;Y;Y;Y;Y;Y
1087826;6269;6286;2020/2021;complete;59540;1;-1;17;15;1;1;2;4;2;6;-1;-1;3;2;0;0;9;3;7;7;16;10;-1;-1;61;39;3;2;2.5;3.4;2.42;1.02;1.14;1.41;2.12;3.34;13;5;2.64;1.74;1.27;1.4;2.77;5.1;1.12;0;0;1.61;1.22;1.4;3.1;2.5;2.6;2.8;2.7;2.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;13.5;1.74;5.75;4.55;1.22;2.12;4.45;9.5;3.75;1.69;1.16;1.02;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;2020-09-12 12:00:00;-1;0;0;0;0;0;1;1;3;1;1;1;4;2;1;1;2;1;2;3;1;82;37;147;84;2.24;1.11;3.35;0;0;0;0;0;0;1;1;0;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Tottenham Hotspur U23;Brighton U23;1.5;1.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;Y;N;N;N;N;Y
1087827;6266;6273;2020/2021;complete;59540;1;-1;2;;1;0;1;6;6;12;-1;-1;2;1;0;0;8;7;10;5;18;12;-1;-1;54;46;2;1;1.91;3.55;3.15;1;1.12;1.47;2.2;3.7;12;4.6;2.35;1.53;1.19;1.43;2.4;0;0;0;0;1.44;1.24;1.53;2.62;2.4;3.1;2.65;2.74;2.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.83;14;2;0;0;1.26;2.16;4.98;13;3.5;1.64;1.13;1.01;1.13;1.75;3.1;0;5.1;1.99;1.31;0;0;0;0;0;1;1;0;0;0;0;1;2020-09-13 12:00:00;6266;0;0;0;0;0;1;1;3;3;3;3;6;6;0;1;2;0;1;2;1;76;52;104;89;2.24;1.62;3.86;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Liverpool U23;Everton U23;1.25;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;N;N;N;N;N;N
1087828;6276;6265;2020/2021;complete;59540;1;-1;76;;1;0;1;7;6;13;-1;-1;4;2;0;0;6;2;6;10;12;12;-1;-1;60;40;4;2;1.47;4.15;5.05;1;1.1;1.4;2.05;3.3;12.75;5;2.55;1.61;1.24;1.49;2.3;3.5;1.25;0;0;1.26;1.21;1.89;2.2;2.6;3.75;2.14;2.91;3.5;0;0;0;0;0;1.85;0;0;0;0;1.95;0;0;0;0;1.57;15;2.4;3.85;7;1.23;2;4.5;11;3.72;1.74;1.17;1.01;1.11;1.64;2.9;5.5;5.5;2.15;1.36;1.12;0;0;0;0;1;0;0;1;0;1;0;2020-09-14 12:10:00;6276;0;0;0;0;0;1;1;4;3;3;3;7;6;1;1;3;1;2;4;1;53;53;95;60;1.56;1.27;2.84;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Chelsea U23;West Ham United U23;2.42;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;N;N;N;N;N;N
1087829;6271;6272;2020/2021;complete;59540;14;-1;;59,85;0;2;2;6;6;12;-1;-1;1;5;0;0;7;5;3;10;10;15;-1;-1;62;38;1;5;2.5;3.45;2.3;1;1.11;1.43;2.1;3.5;12.5;4.8;2.45;1.57;1.21;1.39;2.55;5.3;1.11;0;0;1.7;1.22;1.34;3.25;2.5;2.4;3.14;2.82;2.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;1.8;6.15;4.2;1.25;2.07;4.8;11;3.6;1.69;1.15;1.01;1.12;1.68;3;6;5.3;2.08;1.34;1.11;0;0;0;0;2;0;0;0;2;2;0;2020-09-14 18:00:00;6272;0;0;0;0;0;1;1;3;2;3;4;5;7;0;2;1;3;2;4;1;47;57;72;87;1.46;1.71;3.17;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Manchester United U23;Leicester City U23;1.67;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;Y;N;N;N;N;N
1087830;6269;6265;2020/2021;complete;59540;2;-1;52,87,89;;3;0;3;4;7;11;-1;-1;5;2;1;0;6;2;5;12;11;14;-1;-1;49;51;7;2;2;3.6;3;1.03;1.15;1.5;2.28;3.7;12;4.74;2.5;1.65;1.22;1.41;2.74;3.95;1.2;0;0;1.41;1.24;1.57;2.62;2.4;3;2.57;2.75;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.72;14;2.1;4.5;5.4;1.24;2.1;4.48;13;3.7;1.67;1.17;1.01;1.12;1.74;2.9;0;5.3;2;1.36;0;0;0;0;0;3;0;0;3;0;3;0;2020-09-18 11:00:00;6269;0;50;50;0;0;1;1;2;2;2;5;4;7;1;0;5;2;1;7;1;43;61;74;74;1.43;1.46;2.88;1;0;1;0;0;0;1;1;0;0;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;100;50;50;50;0;10;0;5;1.5;Tottenham Hotspur U23;West Ham United U23;1.5;0.67;1;0;1;0;100;100;100;50;0;50;50;50;2.24;1.27;3.51;4942;24;Y;Y;Y;N;N;N;N
1087831;6285;6270;2020/2021;complete;59540;2;-1;71,90;9;2;1;3;3;5;8;-1;-1;3;1;0;1;4;7;1;2;5;9;-1;-1;39;61;3;3;2.55;3.6;2.2;1.03;1.17;1.61;2.43;4.2;11;4.4;2.25;1.48;1.19;1.52;2.4;0;0;0;0;1.55;1.25;1.42;3.4;2.37;2.5;2.94;2.66;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.05;13;1.8;0;0;1.28;2.3;5.4;13;3.3;1.57;1.12;1.01;1.14;1.84;3.3;0;4.9;1.88;1.28;0;0;0;0;0;3;0;1;2;0;2;1;2020-09-18 18:00:00;6285;0;0;0;0;0;1;1;3;4;0;1;7;1;1;0;2;2;1;4;1;47;62;54;77;0.94;1.51;2.44;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Blackburn Rovers U23;Manchester City U23;1.33;2.17;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;Y;Y;N;N;N;Y
1087832;6286;6274;2020/2021;complete;59540;2;-1;34,73;45,55;2;2;4;5;6;11;-1;-1;1;1;0;0;6;8;7;5;13;13;-1;-1;44;56;1;1;3.15;3.4;1.91;1.01;1.19;1.67;2.7;4.8;9.75;3.65;1.95;1.34;1.11;1.61;2.05;0;0;0;0;0;0;0;3;2.25;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;2;2;2020-09-18 18:00:00;-1;0;0;0;0;0;1;1;1;2;4;4;3;8;0;1;1;0;1;1;1;59;60;117;117;1.67;1.82;3.5;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Brighton U23;Arsenal U23;1.42;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;Y;Y;Y;N;N;Y
1087833;6275;6266;2020/2021;complete;59540;2;-1;24,32;12;2;1;3;1;14;15;-1;-1;1;1;0;0;5;3;5;9;10;12;-1;-1;37;63;1;1;2.4;3.5;2.4;1.03;1.17;1.6;2.42;4.2;11;4.4;2.3;1.49;1.19;1.49;2.46;0;0;0;0;1.48;1.25;1.48;3.1;2.37;2.75;2.77;2.66;2.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9;13;1.9;0;0;1.28;2.3;5.4;13;3.3;1.56;1.12;1.01;1.14;1.85;3.3;0;4.9;1.87;1.28;0;0;0;0;0;3;2;1;0;0;0;3;2020-09-18 18:00:00;6275;0;0;0;0;0;1;1;1;5;0;9;6;9;0;1;1;0;1;1;1;25;65;45;86;1.16;1.43;2.59;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Derby County U23;Liverpool U23;1.58;1.67;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;4942;24;Y;Y;Y;N;N;N;Y
