;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;1585479;1650;1664;2022;complete;86799;1;-1;36,57;36,57;2;2;4;4;10;14;-1;-1;-1;-1;-1;-1;6;6;6;5;12;11;-1;-1;54;46;-1;-1;1.55;3.75;2.3;1.01;1.11;1.48;2.1;3.6;20.0;6.1;2.6;1.67;1.25;1.4;2.75;0;0;0;0;1.35;1.2;1.57;2.5;2.5;3.2;2.3;2.85;3.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.67;25;2.1;0;0;1.19;2.05;4.1;0.0;4.2;1.7;1.18;0.0;1.11;1.61;2.88;6.5;6.0;2.21;1.33;1.07;0;0;0;0;3;1;0;1;1;2;1;2022-03-03;1650;0;0;0;0;0;1;-1;1;5;3;5;6;8;-1;-1;-1;-1;-1;-1;1;44;66;118;98;1.51;1.59;3.1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Tallinna FC Flora U21;Viimsi;1.89;1.39;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;Y;N;N;N;Y
1;1585480;1663;683758;2022;complete;86799;1;-1;85;85;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.2;6.0;9.0;1.01;1.06;1.24;1.86;2.33;34.0;7.3;3.49;1.86;1.54;1.3;3.25;0;0;0;0;1.08;1.1;2.9;1.57;3.0;7.5;1.9;3.2;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18;45;4.5;0;0;1.11;1.62;2.77;0.0;5.5;2.29;1.42;0.0;1.04;1.51;2.01;4.4;8.4;2.4;1.73;1.16;0;0;0;0;6;0;3;1;2;3;3;2022-03-03;683758;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;0;1;0;1;0;0;1;1;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Paide Linnameeskond U21;Harju Jalgpallikool;1.33;1.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;Y;Y;Y;Y;Y
2;1585481;1652;1646;2022;complete;86799;1;-1;32,44,75;32,44,75;3;3;6;4;4;8;-1;-1;-1;-1;-1;-1;5;9;7;4;12;13;-1;-1;43;57;-1;-1;1.93;3.75;2.9;1.01;1.08;1.33;1.91;2.7;23.0;7.0;2.93;1.91;1.4;1.32;3.1;0;0;0;0;1.37;1.19;1.74;2.63;2.63;2.88;2.3;2.95;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.57;30;2.3;0;0;1.17;1.86;3.7;0.0;4.4;1.95;1.22;0.0;1.08;1.44;2.6;5.5;6.5;2.4;1.4;1.1;0;0;0;0;7;2;1;1;3;4;3;2022-03-03;1646;0;0;0;0;0;1;-1;3;3;1;1;6;2;-1;-1;-1;-1;-1;-1;1;40;64;114;102;1.41;1.91;3.32;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Elva;Tallinna FC Levadia U21;2.17;1.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;Y;Y;Y;Y;Y
3;1585482;7037;1639;2022;complete;86799;1;-1;28;28;1;1;2;5;2;7;-1;-1;-1;-1;-1;-1;7;3;8;3;15;6;-1;-1;63;37;-1;-1;5.0;4.6;1.46;1.01;1.08;1.3;1.88;2.66;26.0;6.55;3.09;1.81;1.42;1.42;2.7;0;0;0;0;2.55;1.17;1.15;4.0;2.75;2.0;4.1;3.05;1.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.75;35;1.4;0;0;1.16;1.88;3.5;0.0;4.6;1.85;1.24;0.0;1.07;1.4;2.4;5.0;7.0;2.5;1.44;1.11;0;0;0;0;3;1;1;0;1;1;2;2022-03-03;1639;0;0;0;0;0;1;-1;2;1;3;1;3;4;-1;-1;-1;-1;-1;-1;1;82;35;101;62;2.02;0.85;2.87;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Pärnu;Viljandi JK Tulevik;0.72;0.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;Y;N;N;N;Y
4;1585485;1664;7037;2022;complete;86799;2;-1;12;12;1;1;2;6;2;8;-1;-1;-1;-1;-1;-1;9;6;6;3;15;9;-1;-1;66;34;-1;-1;1.33;5.0;7.0;1.01;1.08;1.31;1.87;2.71;31.0;6.45;3.25;1.88;1.41;1.72;2.0;0;0;0;0;1.09;1.14;3.1;1.57;3.0;7.5;1.35;3.7;8.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18;35;4.5;0;0;1.16;1.88;3.7;0.0;4.6;1.84;1.22;0.0;1.07;1.53;2.5;5.5;7.0;2.37;1.48;1.1;0;0;0;0;2;1;1;0;0;0;2;2022-03-06;-1;0;0;0;0;0;1;-1;3;1;3;1;4;4;-1;-1;-1;-1;-1;-1;1;89;46;116;71;2.22;1.32;3.54;0;1;0;1;0;0;1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Viimsi;Pärnu;2.11;0.39;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;N;N;N;N;Y
5;1585488;1639;1663;2022;complete;86799;2;-1;;;0;0;0;2;8;10;-1;-1;-1;-1;-1;-1;6;12;6;12;12;24;-1;-1;33;67;-1;-1;2.75;3.6;2.05;1.01;1.07;1.27;1.85;2.55;28.0;8.25;3.27;1.85;1.43;1.5;2.4;0;0;0;0;2.95;1.15;1.11;5.0;2.88;1.73;4.64;3.34;1.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;26;1.29;0;0;1.14;1.75;3.5;0.0;4.9;1.9;1.24;0.0;1.07;1.44;2.5;5.0;7.0;2.5;1.44;1.11;0;0;0;0;5;0;3;0;2;2;3;2022-03-07;1663;0;0;0;0;0;1;-1;0;5;2;3;5;5;-1;-1;-1;-1;-1;-1;1;29;90;86;163;1.39;3.01;4.4;0;0;0;0;0;0;1;1;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Viljandi JK Tulevik;Paide Linnameeskond U21;0.72;1.56;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;Y;Y;Y;N;N
6;1585486;7034;1652;2022;complete;86799;2;-1;67;67;1;1;2;6;5;11;-1;-1;-1;-1;-1;-1;6;2;3;4;9;6;-1;-1;53;47;-1;-1;1.4;5.0;5.0;1.01;1.06;1.23;1.61;2.25;26.0;8.75;3.57;2.18;1.6;1.27;3.35;0;0;0;0;1.14;1.16;2.5;2.05;2.88;3.75;1.95;3.2;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.44;33;2.63;0;0;1.13;1.74;3.1;0.0;5.1;2.06;1.3;0.0;1.05;1.44;2.5;5.0;7.8;2.5;1.44;1.1;0;0;0;0;2;0;0;1;1;2;0;2022-03-07;-1;0;0;0;0;0;1;-1;1;4;5;1;5;6;-1;-1;-1;-1;-1;-1;1;79;55;133;115;1.57;0.93;2.5;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Nõmme United;Elva;1.89;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;N;N;N;N;Y
7;1585487;683758;1650;2022;complete;86799;2;-1;19,76,82,90;19,76,82,90;4;4;8;3;5;8;-1;-1;-1;-1;-1;-1;8;7;6;4;14;11;-1;-1;51;49;-1;-1;1.88;4.2;1.78;1.01;1.11;1.33;1.83;2.9;23.0;6.0;3.4;1.98;1.35;1.32;3.0;0;0;0;0;1.65;1.22;1.32;2.88;2.63;2.63;2.65;2.85;2.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;23;1.73;0;0;1.18;1.95;4.0;0.0;4.3;1.71;1.19;0.0;1.09;1.53;2.8;6.0;6.1;2.3;1.36;1.08;0;0;0;0;6;1;0;3;2;5;1;2022-03-07;683758;0;0;0;0;0;1;-1;1;4;2;1;5;3;-1;-1;-1;-1;-1;-1;1;63;52;115;96;1.9;1.56;3.47;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Harju Jalgpallikool;Tallinna FC Flora U21;2.56;1.56;0.0;0.0;3.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;Y;Y;Y;Y;Y
8;1585483;1653;7034;2022;complete;86799;1;-1;40,57;40,57;2;2;4;4;6;10;-1;-1;0;2;0;0;3;3;5;5;8;8;-1;-1;56;44;0;2;4.1;5.0;1.17;0.0;1.07;1.3;1.72;2.59;36.0;6.75;3.5;2.0;1.44;1.34;2.96;0;0;0;0;2.88;1.14;1.08;4.75;2.88;1.83;8.0;4.0;1.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.25;35;1.33;0;0;1.15;1.85;3.44;0.0;4.7;1.88;1.25;0.0;1.06;1.45;2.38;4.54;7.5;2.43;1.47;1.15;0;0;0;0;4;1;0;1;2;3;1;2022-03-10;-1;0;0;0;0;0;1;1;3;4;1;2;7;3;0;0;0;2;0;2;1;87;60;117;121;1.35;1.16;2.51;0;1;0;1;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;K-Järve JK Järve;Nõmme United;0.78;1.44;0.0;0.0;0.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7071;36;Y;Y;Y;Y;N;N;Y
9;1585489;7037;7034;2022;complete;86799;3;-1;;;0;0;0;1;5;6;-1;-1;1;2;0;0;2;11;6;4;8;15;-1;-1;31;69;1;2;4.5;4.5;1.55;0.0;1.05;1.24;1.63;2.38;34.0;8.5;3.49;2.15;1.55;1.35;2.9;0;0;0;0;2.3;1.15;1.14;4.0;2.88;1.91;4.5;3.3;1.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;45;1.36;0;0;1.13;1.78;3.24;0.0;5.1;1.96;1.28;0.0;1.06;1.36;2.25;4.5;7.5;2.8;1.53;1.14;0;0;0;0;1;0;0;0;1;1;0;2022-03-13;7034;0;100;50;50;0;1;1;1;0;0;5;1;5;0;1;1;1;1;2;1;41;101;85;151;0.95;2.45;3.4;0;1;0;1;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;100;100;100;50;100;100;50;11.0;0;2.0;3.5;Pärnu;Nõmme United;0.72;1.44;0.0;1.0;0.5;1.0;100;50;0;0;0;50;50;0;2.02;1.16;3.18;7071;36;Y;N;N;N;N;N;N
