ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1585841;965;1644;2022;complete;86804;1;-1;20,26,55,87,90;72;5;1;6;11;1;12;3;0;0;1;0;0;20;2;13;2;33;4;7;6;77;23;0;1;1.01;10.5;25.0;1.01;1.01;1.16;1.41;1.98;17.0;11.0;4.48;2.7;1.74;3.3;1.3;0;0;0;0;1.02;1.01;9.0;1.17;4.4;35.0;1.09;6.25;40.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.17;140.0;4.1;0;0;1.11;1.6;2.8;4.3;5.5;2.2;1.38;1.18;1.1;1.33;2.03;3.54;6.5;3.05;1.72;1.25;0;0;0;0;6;2;0;3;1;4;2;2022-03-01;965;0;0;0;0;0;1;1;4;0;7;1;4;8;0;0;0;1;0;1;1;141;17;161;57;4.48;0.52;5.01;1;0;1;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Tallinna FC Levadia;Tallinna Kalev;2.06;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7073;36;Y;Y;Y;Y;Y;Y;Y
1585842;1640;1635;2022;complete;86804;1;-1;27;10,17,41;1;3;4;1;9;10;2;5;1;0;0;0;2;13;5;8;7;21;10;6;35;65;1;0;18.75;8.35;1.08;1.01;1.07;1.28;1.73;2.59;32.0;6.7;3.33;2.0;1.44;2.2;1.6;0;0;0;0;5.4;1.04;1.02;13.0;3.3;1.35;15.0;4.3;1.23;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;5.0;40.0;1.13;0;0;1.17;1.85;3.5;7.5;4.4;1.88;1.25;1.07;1.08;1.5;2.5;5.5;6.4;2.45;1.48;1.13;0;0;0;0;4;1;3;0;0;0;4;2022-03-01;1635;0;0;0;0;0;1;1;0;7;1;2;7;3;0;0;1;0;0;1;1;47;105;107;149;0.94;2.99;3.93;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Vaprus;Paide;0.61;1.78;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7073;36;Y;Y;Y;Y;N;N;Y
1585843;988;1645;2022;complete;86804;1;-1;55,89;;2;0;2;6;4;10;2;1;3;3;0;0;5;2;12;5;17;7;12;13;59;41;3;3;1.41;4.22;6.5;1.03;1.24;1.65;2.87;5.1;13.75;3.63;2.12;1.37;1.13;2.05;1.68;0;0;0;0;1.11;1.18;2.45;1.75;2.63;6.4;1.7;2.8;6.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.38;14.0;3.3;0;0;1.35;2.45;5.75;11.0;2.95;1.47;1.1;1.03;1.15;1.91;3.5;8.0;4.7;1.81;1.26;1.06;0;0;0;0;2;0;0;2;0;2;0;2022-03-02;988;0;0;0;0;0;1;1;3;2;3;2;5;5;2;1;1;2;3;3;1;85;64;102;92;2.03;1.05;3.08;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Nõmme Kalju;Kuressaare;2.11;1.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7073;36;Y;Y;N;N;N;N;N
1585844;1636;88;2022;complete;86804;1;-1;;8,10,56,65;0;4;4;1;12;13;2;0;0;0;0;0;2;14;4;8;6;22;5;5;35;65;0;0;12.0;5.95;1.18;1.02;1.16;1.52;2.35;3.87;20.5;4.6;2.36;1.53;1.22;2.2;1.58;0;0;0;0;3.5;1.09;1.04;9.5;2.95;1.5;10.0;3.4;1.4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;4.4;20.0;1.2;0;0;1.27;2.2;4.8;11.0;3.5;1.58;1.15;1.03;1.14;1.78;3.3;7.5;4.9;1.95;1.29;1.07;0;0;0;0;4;0;2;0;2;2;2;2022-03-02;88;0;0;0;0;0;1;-1;0;5;1;7;5;8;0;0;0;0;0;0;1;22;81;105;163;0.7;2.96;3.66;0;1;0;1;0;0;1;1;0;2;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Tammeka;Tallinna FC Flora;1.33;2.61;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7073;36;Y;Y;Y;Y;N;N;N
1585845;1665;1638;2022;complete;86804;1;-1;;27,76;0;2;2;2;4;6;7;0;4;3;1;0;6;9;3;6;9;15;9;14;32;68;5;3;7.3;4.65;1.37;1.03;1.2;1.68;2.64;4.3;16.25;3.98;2.05;1.41;1.17;1.98;1.74;0;0;0;0;2.8;1.14;1.08;5.8;2.55;1.85;6.4;2.91;1.69;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;3.78;11.25;1.35;0;0;1.31;2.55;5.3;13.0;3.2;1.44;1.12;1.02;1.16;1.9;3.5;8.0;4.6;1.82;1.26;1.06;0;0;0;0;2;0;1;0;1;1;1;2022-03-02;1638;0;0;0;0;0;1;1;2;3;0;1;5;1;5;1;0;2;6;2;1;31;80;65;111;1.21;2.15;3.37;0;0;0;0;0;0;1;1;0;0;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Legion;Trans;1.0;0.83;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7073;36;Y;Y;N;N;N;N;N
1585846;1645;1638;2022;complete;86804;2;-1;74;86,88;1;2;3;6;4;10;3;1;2;5;0;0;3;6;5;10;8;16;16;13;45;55;2;5;2.82;3.14;2.45;1.06;1.33;1.94;3.5;6.5;9.35;3.05;1.88;1.26;1.08;1.85;1.91;0;0;0;0;1.44;1.32;1.42;3.42;2.0;3.26;3.0;2.4;2.88;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;2.0;9.25;2.0;0;0;1.44;3.1;6.9;15.0;2.72;1.35;1.07;1.02;1.23;2.15;4.6;10.0;3.7;1.64;1.16;1.04;0;0;0;0;3;0;0;1;2;3;0;2022-03-05;1638;0;0;0;0;0;1;1;4;2;2;2;6;4;1;1;1;4;2;5;1;68;64;92;102;1.21;1.89;3.1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;4.0;0.0;3.0;1.0;Kuressaare;Trans;1.67;0.83;0.0;3.0;0.0;3.0;50;50;50;0;0;0;0;0;0.0;2.15;2.15;7073;36;Y;Y;Y;N;N;N;Y
1585847;1640;965;2022;complete;86804;2;-1;;24,30,47,58,62,87,88,90;0;8;8;1;9;10;0;4;3;1;0;0;2;9;5;1;7;10;10;9;41;59;3;1;14.0;8.75;1.1;0.0;1.03;1.19;1.66;2.1;67.0;9.0;4.16;2.09;1.67;2.25;1.61;0;0;0;0;9.6;1.01;1.01;15.0;4.44;1.25;18.0;6.7;1.13;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;5.75;65.0;1.1;0;0;1.07;1.54;2.56;4.46;6.8;2.35;1.46;1.17;1.01;1.25;1.77;3.0;11.0;3.5;1.96;1.34;0;0;0;0;8;0;2;0;6;6;2;2022-03-05;965;0;50;50;0;0;1;1;0;5;1;4;5;5;3;0;0;1;3;1;1;22;32;29;33;0.74;1.48;2.22;0;0;0;0;0;0;1;1;0;0;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;50;50;50;50;50;0;0;1.0;2.0;1.0;2.0;Vaprus;Tallinna FC Levadia;0.61;2.33;0.0;0.0;0.0;3.0;50;0;0;0;0;50;50;0;0.94;0.0;0.94;7073;36;Y;Y;Y;Y;Y;Y;N
1585848;1665;1636;2022;complete;86804;2;-1;33;49;1;1;2;9;4;13;2;1;3;4;0;1;2;2;3;2;5;4;10;9;49;51;3;5;2.77;3.6;2.29;1.02;1.22;1.69;2.65;4.6;12.5;4.0;2.05;1.45;1.16;1.81;1.91;0;0;0;0;1.99;1.24;1.18;4.96;2.19;2.32;4.4;2.55;2.12;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;2.25;14.75;1.71;0;0;1.37;2.73;5.4;0.0;2.89;1.41;1.12;0.0;1.16;2.08;3.6;11.0;4.6;1.68;1.25;1.02;0;0;0;0;2;1;0;0;1;1;1;2022-03-05;-1;0;0;0;0;0;1;1;4;0;5;4;4;9;0;0;3;5;0;8;1;34;32;57;53;0.71;0.63;1.33;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;2.0;7.0;5.0;1.0;Legion;Tammeka;1.0;0.83;0.0;0.0;0.0;0.0;50;50;50;0;0;0;0;0;1.21;0.0;1.21;7073;36;Y;Y;N;N;N;N;Y
1585849;88;1644;2022;complete;86804;2;-1;17,25,32,59,61,69,76;4;7;1;8;3;2;5;1;0;1;0;0;0;14;3;12;3;26;6;8;11;67;33;1;0;1.01;19.0;50.0;0.0;1.02;1.11;1.84;2.0;61.0;10.25;5.7;1.92;1.73;3.44;1.27;0;0;0;0;0.0;1.01;18.0;1.16;4.4;50.0;1.06;7.0;45.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.11;35.0;5.75;0;0;1.07;1.47;2.53;4.68;6.8;2.63;1.5;1.15;1.01;1.27;1.81;3.1;11.0;3.4;1.92;1.32;0;0;0;0;8;3;1;4;0;4;4;2022-03-06;88;0;50;0;50;0;1;1;1;1;2;1;2;3;1;0;0;0;1;0;1;157;46;180;84;3.75;0.93;4.67;1;0;1;0;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;50;50;50;50;1.0;0.0;1.0;3.0;Tallinna FC Flora;Tallinna Kalev;2.78;1.0;0.0;0.0;3.0;0.0;0;0;0;0;0;50;50;50;0.0;0.52;0.52;7073;36;Y;Y;Y;Y;Y;Y;Y
1585850;1635;988;2022;complete;86804;2;-1;34,85;16,42,87;2;3;5;9;5;14;2;3;2;4;0;0;10;5;6;2;16;7;9;12;59;41;2;4;1.75;4.0;3.72;1.02;1.14;1.47;2.38;3.63;20.5;4.92;2.5;1.52;1.24;1.49;2.54;0;0;0;0;1.29;1.23;1.77;2.45;2.38;3.82;2.27;2.77;3.46;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.68;20.0;2.15;0;0;1.24;2.3;4.8;10.0;3.6;1.62;1.15;1.04;1.13;1.75;3.2;6.5;5.1;1.99;1.3;1.1;0;0;0;0;5;1;2;1;1;2;3;2022-03-06;988;0;0;0;0;0;1;1;3;4;6;1;7;7;0;2;2;2;2;4;1;95;49;143;98;2.4;1.16;3.56;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Paide;Nõmme Kalju;1.83;1.5;0.0;0.0;3.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7073;36;Y;Y;Y;Y;Y;N;Y
