ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2067174;2485;2010;2021/2022;complete;89464;0;-1;23,27,35;45,79;3;2;5;1;7;8;-1;-1;3;2;0;0;5;7;4;6;9;13;-1;-1;34;66;3;2;5.0;4.33;1.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2;1.6;5.5;1.11;1.67;2.1;2.4;1.19;1.1;7.0;2.2;1.95;6.25;2.65;1.72;0;0;1.27;1.49;1.85;2.4;3.28;3.4;2.43;1.85;1.5;1.29;3.6;6.0;1.55;3.5;9.5;1.4;9.5;1.95;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;5;3;1;0;1;1;4;2021-07-06;2485;1;0;0;0;0;1;1;1;4;0;3;5;3;0;1;3;1;1;4;1;21;61;57;93;1.07;1.75;2.82;1;1;1;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Mosta;Spartak Trnava;1.5;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;Y;Y;Y;Y;N;Y
2067178;667988;1376;2021/2022;complete;89464;0;-1;57;;1;0;1;6;2;8;-1;-1;4;4;0;0;5;4;11;7;16;11;-1;-1;51;49;4;4;1.42;3.3;2.65;0.0;0.0;2.16;0.0;0.0;0.0;0.0;1.62;0.0;0.0;1.85;1.85;0.0;0.0;0.0;0.0;1.25;1.28;1.72;2.55;2.05;4.25;2.25;2.5;3.8;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75;9.5;2.3;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0;1;0;2021-07-06;667988;1;0;0;0;0;1;1;2;0;4;2;2;6;2;0;2;4;2;6;1;52;46;94;96;1.73;1.31;3.05;1;1;1;0;0;1;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Mladost Ljeskopolje;Laci;1.5;1.17;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;N;N;N;N;N;N
2067176;5286;64;2021/2022;complete;89464;0;-1;81;39;1;1;2;1;5;6;-1;-1;3;1;0;0;5;9;3;7;8;16;-1;-1;43;57;3;1;2.55;3.0;1.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.72;3.85;1.21;2.25;1.57;1.68;1.3;1.25;4.3;1.95;2.7;3.8;2.4;2.35;0;0;1.29;1.53;1.9;2.5;3.38;3.3;2.35;1.8;1.47;1.27;2.02;5.5;2.42;2.65;7.25;1.67;6.0;2.85;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;0;1;1;0;1;1;2021-07-06;-1;1;0;0;0;0;1;1;0;1;1;4;1;5;0;0;3;1;0;4;1;63;71;107;121;1.32;2.16;3.47;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Mons Calpe;FC Santa Coloma;0.5;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;Y;N;N;N;N;Y
2067180;1360;411;2021/2022;complete;89464;0;-1;77;;1;0;1;1;5;6;-1;-1;2;1;0;0;2;0;4;6;6;6;-1;-1;38;62;2;1;2.9;3.5;1.38;0.0;0.0;2.3;0.0;0.0;0.0;0.0;1.6;0.0;0.0;2.2;1.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;2.5;4.5;0.0;2.2;0;0;1.27;1.5;1.87;2.45;3.4;3.55;2.48;1.87;1.5;1.29;2.9;7.5;1.6;2.88;0.0;1.57;6.0;2.6;0.0;0.0;0;0;0.0;0.0;0.0;0.0;1.3;2.5;6.0;17.0;3.4;1.5;1.13;1.03;0;0;0;0;1;0;0;1;0;1;0;2021-07-08;1360;1;0;0;0;0;1;1;0;3;1;2;3;3;0;0;2;1;0;3;1;30;46;90;119;0.75;0.73;1.48;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Artsakh;KuPS;1.5;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;N;N;N;N;N;N
2067238;971;2050;2021/2022;complete;89464;0;-1;24;62;1;1;2;3;10;13;-1;-1;2;0;0;0;2;3;3;5;5;8;-1;-1;37;63;2;0;3.3;3.75;1.3;0.0;0.0;1.67;0.0;0.0;0.0;0.0;2.15;0.0;0.0;1.65;2.1;4.85;1.13;2.5;1.47;0.0;0.0;0.0;4.33;2.3;2.25;4.0;2.7;2.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.75;0.0;1.5;6.75;2.95;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;1;0;0;1;1;1;2021-07-08;-1;1;0;0;0;0;1;1;3;5;0;5;8;5;0;0;2;0;0;2;1;104;126;142;188;1.22;1.64;2.87;0;0;0;0;0;0;1;1;0;0;1;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Stjarnan;Bohemians;0.5;2.17;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;Y;N;N;N;N;Y
2067184;63;6956;2021/2022;complete;89464;0;-1;31;90;1;1;2;1;1;2;-1;-1;1;2;0;0;4;4;2;8;6;12;-1;-1;48;52;1;2;1.17;3.75;4.75;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;2.0;1.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;2.2;7.5;1.95;0.0;4.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.34;9.0;3.88;1.44;0.0;3.2;2.35;7.75;0.0;0.0;0;0;0.0;0.0;0.0;0.0;1.22;2.1;4.5;11.0;4.0;1.67;1.18;1.05;0;0;0;0;2;1;0;0;1;1;1;2021-07-08;-1;1;0;0;0;0;1;1;0;0;1;1;0;2;1;1;0;1;2;1;1;50;40;133;132;1.04;1.34;2.39;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Liepāja;Struga;1.5;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;Y;N;N;N;N;Y
2067186;406;3773;2021/2022;complete;89464;0;-1;59;76;1;1;2;3;6;9;-1;-1;2;1;0;0;5;4;2;7;7;11;-1;-1;52;48;2;1;2.1;3.4;1.7;0.0;0.0;2.2;0.0;0.0;0.0;0.0;1.65;0.0;0.0;1.91;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4;2.05;3.0;3.0;0.0;2.75;0;0;0.0;0.0;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9;7.5;1.61;2.25;0.0;1.8;4.75;3.6;0.0;0.0;0;0;0.0;0.0;0.0;0.0;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;0;0;0;0;2;0;0;1;1;2;0;2021-07-08;-1;1;0;0;0;0;1;1;1;6;2;0;7;2;1;1;1;0;2;1;1;61;92;101;130;1.24;1.65;2.89;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Inter Turku;Puskas;0.5;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;Y;N;N;N;N;Y
2067188;1090;5404;2021/2022;complete;89464;0;-1;50,79;21,33,70;2;3;5;9;3;12;-1;-1;4;5;0;0;6;7;7;1;13;8;-1;-1;47;53;4;5;1.3;3.5;3.3;0.0;0.0;1.8;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.73;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3;2.2;4.5;2.1;0.0;3.75;0;0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;2.75;3.0;6.75;0.0;0.0;0;0;0.0;0.0;0.0;0.0;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;5;0;2;2;1;3;2;2021-07-08;5404;1;0;0;0;0;1;1;5;2;4;1;7;5;2;1;2;4;3;6;1;64;36;94;78;1.7;1.26;2.96;0;0;0;0;0;0;1;1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Rīgas FS;KI;1.67;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;Y;Y;Y;Y;N;Y
2067190;3288;2486;2021/2022;complete;89464;0;-1;;;0;0;0;8;4;12;-1;-1;5;3;0;0;7;2;7;4;14;6;-1;-1;54;46;5;3;3.1;3.6;1.33;0.0;0.0;1.75;0.0;0.0;0.0;0.0;2.05;0.0;0.0;1.73;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.33;2.25;2.3;3.6;0.0;2.2;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.75;0.0;1.5;6.25;3.3;0.0;0.0;0;0;0.0;0.0;0.0;0.0;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;0;0;0;0;0;0;0;2021-07-08;-1;1;0;0;0;0;1;1;7;2;1;2;9;3;2;2;3;1;4;4;1;45;37;102;100;1.7;0.8;2.5;0;0;0;0;0;0;1;1;0;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Sant Julia;Gzira United;1.0;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;N;N;N;N;N;N;N
2067192;1230;6910;2021/2022;complete;89464;0;-1;27,90;35;2;1;3;2;6;8;-1;-1;1;3;0;0;5;5;7;2;12;7;-1;-1;62;38;1;3;1.52;3.0;2.35;0.0;0.0;2.1;0.0;0.0;0.0;0.0;1.7;0.0;0.0;1.83;1.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.75;2.0;4.0;2.5;0.0;3.4;0;0;0.0;0.0;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.73;0.0;2.4;3.35;4.95;0.0;0.0;0;0;0.0;0.0;0.0;0.0;1.29;2.2;5.0;13.0;3.5;1.62;1.17;1.04;0;0;0;0;3;1;1;1;0;1;2;2021-07-08;1230;1;0;0;0;0;1;1;0;4;2;2;4;4;1;2;0;1;3;1;1;33;20;78;58;1.35;0.94;2.29;2;1;2;1;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Sūduva;Valmiera / BSS;1.5;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7322;2;Y;Y;Y;N;N;N;Y
