;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2415585;2486;3299;2022/2023;complete;90833;0;-1;46;46;1;1;2;4;6;10;-1;-1;2;3;0;0;3;8;2;2;5;10;-1;-1;50;50;2;3;1.34;3.6;2.98;1.05;1.3;1.95;3.25;6.3;11.0;3.1;1.85;1.32;1.11;1.83;1.83;2.4;1.5;4.33;1.18;1.24;1.26;1.8;2.4;2.2;4.33;2.1;2.49;4.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.53;9.3;2.75;3.1;7.0;1.36;2.81;6.95;22.0;2.85;1.39;1.07;1.01;1.22;2.0;4.33;11.0;4.0;1.73;1.2;1.05;0;0;0;0;2;0;0;1;1;2;0;2022-07-05;-1;1;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;2;2;3;1;0;0;0;0;0.76;1.46;2.21;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Gzira United;Atlètic Club d'Escaldes;1.17;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;Y;N;N;N;N;Y
1;2415591;5291;2079;2022/2023;complete;90833;0;-1;;;0;0;0;1;7;8;-1;-1;-1;-1;-1;-1;3;5;2;5;5;10;-1;-1;50;50;-1;-1;2.85;3.2;1.4;1.01;1.25;1.85;2.9;4.88;14.25;3.75;1.95;1.38;1.12;1.73;2.0;4.33;1.18;2.63;1.43;1.72;1.22;1.22;4.0;2.2;2.5;3.6;2.55;2.25;0;0;1.3;1.5;1.98;2.5;3.24;3.15;2.4;1.83;1.47;1.3;2.53;7.0;1.81;2.63;10.5;1.57;6.5;3.3;1.34;2.65;6.2;17.0;3.04;1.41;1.09;1.03;1.22;2.0;4.33;11.0;4.0;1.73;1.2;1.05;0;0;0;0;0;0;0;0;0;0;0;2022-07-05;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0.76;1.24;2.0;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;St Joseph's;Larne;1.0;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;N;N;N;N;N;N;N
2;2415597;1211;1206;2022/2023;complete;90833;0;-1;51;51;1;1;2;6;5;11;-1;-1;2;0;0;0;7;5;3;6;10;11;-1;-1;50;50;2;0;1.85;3.45;4.0;1.03;1.2;1.68;2.57;4.6;15.5;4.4;2.06;1.49;1.19;1.67;2.1;0.0;0.0;0.0;0.0;1.37;1.3;1.7;2.25;2.3;4.33;2.0;2.75;4.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;15.5;2.75;3.0;7.5;1.31;2.39;5.25;12.0;3.17;1.51;1.13;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;1;0;0;1;0;1;0;2022-07-06;1211;1;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;1;0;1;1;1;0;0;0;0;1.4;1.29;2.69;0;0;0;0;0;0;1;1;0;0;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Víkingur;Europa;1.5;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;N;N;N;N;N;N
3;2415567;406;6994;2022/2023;complete;90833;0;-1;77;77;1;1;2;4;3;7;-1;-1;1;4;0;1;5;2;2;7;7;9;-1;-1;50;50;1;6;1.43;3.4;2.62;1.03;1.25;2.0;2.96;5.5;8.9;3.48;1.8;1.33;1.1;1.83;1.83;0.0;0.0;0.0;0.0;1.19;1.26;2.1;2.6;2.05;4.33;2.2;2.5;4.0;0;0;1.65;2.11;2.93;0.0;0.0;2.13;1.63;1.34;0.0;0.0;1.34;8.3;4.3;1.62;11.75;2.63;3.3;5.5;1.36;2.75;7.0;21.0;3.0;1.4;1.1;1.02;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;0;0;0;0;1;0;0;1;0;1;0;2022-07-06;406;1;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;0;5;1;5;1;0;0;0;0;1.02;1.0;2.02;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Inter Turku;Drita;1.5;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;N;N;N;N;N;N
4;2415617;671784;124;2022/2023;complete;90833;0;-1;44,49;44,49;2;2;4;5;5;10;-1;-1;5;3;0;0;5;5;4;5;9;10;-1;-1;45;55;5;3;3.85;5.25;1.22;1.02;1.12;1.48;2.0;3.25;13.0;5.5;2.6;1.73;1.33;1.73;2.0;0.0;0.0;0.0;0.0;4.04;1.08;1.01;5.0;2.5;2.0;4.5;3.6;1.8;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6;27.5;1.25;12.0;2.7;1.22;2.0;4.33;11.0;4.0;1.73;1.2;1.05;1.14;1.73;3.4;8.0;5.5;2.0;1.3;1.08;0;0;0;0;3;1;0;1;1;2;1;2022-07-07;671784;1;0;0;0;0;1;1;1;2;4;3;3;7;2;2;3;1;4;4;1;38;34;71;73;1.2;1.23;2.43;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Magpies;Crusaders;1.5;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;Y;Y;N;N;N;Y
5;2415619;88;102;2022/2023;complete;90833;0;-1;21;21;1;1;2;5;3;8;-1;-1;4;3;0;0;7;3;8;5;15;8;-1;-1;50;50;4;3;1.4;3.5;2.8;1.02;1.28;2.25;3.2;6.05;9.3;3.26;1.62;1.29;1.08;2.1;1.67;0.0;0.0;0.0;0.0;1.33;1.28;1.62;2.6;2.0;4.5;2.25;2.47;4.0;0;0;0.0;0.0;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.62;9.3;2.75;2.9;6.0;1.38;2.77;6.95;21.0;2.85;1.4;1.07;1.02;1.3;2.38;5.5;15.0;3.4;1.53;1.14;1.03;0;0;0;0;1;1;0;0;0;0;1;2022-07-07;88;1;0;0;0;0;1;1;3;1;2;2;4;4;0;2;4;1;2;5;1;42;30;74;85;1.74;0.94;2.68;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Tallinna FC Flora;SJK;1.5;0.75;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;N;N;N;N;N;N
6;2415561;2051;1089;2022/2023;complete;90833;0;-1;;;0;0;0;3;2;5;-1;-1;2;4;1;0;5;4;5;4;10;8;-1;-1;50;50;4;4;2.65;3.55;2.43;1.01;1.25;1.84;2.98;5.6;9.9;3.48;1.93;1.33;1.1;2.0;1.73;0.0;0.0;0.0;0.0;1.5;1.27;1.43;3.25;2.0;3.4;2.88;2.51;3.0;0;0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.91;9.9;2.2;3.9;4.33;1.36;2.75;7.0;21.0;3.0;1.4;1.1;1.02;1.3;2.38;6.0;17.0;3.4;1.53;1.13;1.03;0;0;0;0;2;0;1;0;1;1;1;2022-07-07;1089;1;0;0;0;0;1;1;2;0;1;2;2;3;1;1;2;3;2;5;1;23;36;63;83;1.15;1.05;2.2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Derry City;Riga;0.0;2.17;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;Y;N;N;N;N;N
7;2415563;96;2484;2022/2023;complete;90833;0;-1;25;25;1;1;2;2;5;7;-1;-1;2;4;0;0;2;2;6;9;8;11;-1;-1;54;46;2;4;1.25;3.1;3.75;1.04;1.22;2.4;2.63;4.5;10.0;4.0;1.53;1.45;1.17;2.38;1.53;0.0;0.0;0.0;0.0;1.03;1.1;2.81;2.3;2.0;6.0;1.95;2.75;5.5;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.44;15.25;3.5;2.3;8.0;1.33;2.45;5.5;13.0;3.24;1.48;1.13;1.02;1.33;2.5;6.0;17.0;3.25;1.5;1.13;1.03;0;0;0;0;1;1;0;0;0;0;1;2022-07-07;96;1;0;0;0;0;1;1;1;0;1;5;1;6;1;3;1;1;4;2;1;42;48;112;84;0.96;1.18;2.15;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Alashkert;Hamrun Spartans;1.5;1.63;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;N;N;N;N;N;N
8;2415565;1222;6909;2022/2023;complete;90833;0;-1;17,25,39,66;17,25,39,66;4;4;8;3;5;8;-1;-1;2;3;0;0;6;8;11;4;17;12;-1;-1;56;44;2;3;1.4;4.57;7.35;1.01;1.18;1.7;2.4;4.2;17.0;4.5;2.04;1.53;1.2;3.0;1.36;0.0;0.0;0.0;0.0;1.03;1.1;4.6;1.44;2.88;15.0;1.29;3.3;15.0;0;0;0.0;1.3;1.91;2.0;2.49;0.0;3.14;2.28;1.8;1.46;1.03;17.0;17.0;1.09;18.0;8.0;1.4;29.0;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.17;1.73;3.4;8.0;5.0;2.0;1.3;1.08;0;0;0;0;5;3;0;1;1;2;3;2022-07-07;1222;1;0;0;0;0;1;1;2;1;1;4;3;5;0;2;2;1;2;3;1;47;40;83;73;1.83;1.61;3.43;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Lechia Gdańsk;Akademija Pandev;1.75;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;Y;Y;Y;Y;N;Y
9;2415569;89;1635;2022/2023;complete;90833;0;-1;22,65;22,65;2;2;4;2;4;6;-1;-1;1;0;0;0;6;6;11;3;17;9;-1;-1;50;50;1;0;1.07;5.5;7.5;1.03;1.2;1.6;2.4;4.33;11.0;4.33;2.3;1.5;1.2;2.2;1.62;0.0;0.0;0.0;0.0;1.0;1.11;3.84;1.67;2.6;8.0;1.5;3.32;7.5;0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;15.75;4.75;1.85;17.0;1.3;2.3;5.0;11.0;3.4;1.57;1.14;1.03;1.17;1.83;3.5;9.0;5.0;1.83;1.29;1.07;0;0;0;0;5;1;0;1;3;4;1;2022-07-07;1635;1;0;0;0;0;1;1;2;2;0;2;4;2;0;0;1;0;0;1;1;55;22;144;58;1.9;1.15;3.05;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Dinamo Tbilisi;Paide;1.5;0.83;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7480;2;Y;Y;Y;Y;Y;N;Y
