ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1047850;103;5405;2020/2021;complete;58722;0;-1;-1,-1,-1;;3;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.91;3.65;3.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2020-08-22 16:00:00;103;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Lincoln Red Imps;Prishtina;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;Y;Y;N;N;N;N
1047851;3290;5401;2020/2021;complete;58722;0;-1;90;45,54,63;1;3;4;9;2;11;2;2;2;1;0;0;4;6;7;4;11;10;10;13;52;48;2;1;3.35;3.35;1.91;1.02;1.28;1.91;3.3;6;8;3.05;1.69;1.24;1.06;1.77;1.83;3.75;1.25;2.5;1.5;1.67;1.33;1.25;8.5;2.4;1.73;3.75;2.3;2.4;0;0;1.38;1.73;2.1;2.62;3.8;2.89;2;1.66;1.42;1.23;3.6;7.7;1.5;2.5;8;1.67;5.5;3.4;1.44;3.2;9;21;2.6;1.3;1.03;1;1.29;2.31;5.3;11;3.42;1.57;1.14;1.03;0;0;0;0;4;0;1;1;2;3;1;2020-08-18 18:00:00;5401;1;0;0;0;0;1;1;6;2;3;0;8;3;1;1;1;0;2;1;1;41;30;74;58;1.27;1.27;2.54;1;0;1;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Engordany;Zeta;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;Y;Y;Y;N;N;Y
1047852;5291;66;2020/2021;complete;58722;0;-1;30;28,43;1;2;3;7;1;8;1;1;3;4;0;0;5;6;10;3;15;9;16;17;55;45;3;4;3.2;3.45;1.91;1;1.17;1.62;2.6;4.55;10.25;3.85;2;1.38;1.12;1.56;2.15;5;1.14;3;1.36;1.83;1.25;1.22;4;2.2;2.4;3.6;2.63;2.2;0;0;0;1.38;1.68;2.11;2.8;0;2.87;2.19;1.68;1.4;2.78;8.4;1.68;2.38;12;1.62;7.5;3.75;1.3;2.63;6.5;12;3.2;1.44;1.11;1.02;1.2;1.85;3.64;9.4;4.82;1.95;1.3;1.07;0;0;0;0;3;1;2;0;0;0;3;2020-08-20 15:30:00;66;1;0;0;0;0;1;1;2;1;5;0;3;5;2;1;1;3;3;4;1;122;71;129;110;2.17;1.51;3.68;0;1;0;1;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;St Joseph's;B36;0;1.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;Y;Y;N;N;N;Y
1047853;5415;2125;2020/2021;complete;58722;0;-1;52,63,67,74,83;88;5;1;6;9;0;9;1;0;2;1;0;0;12;3;7;2;19;5;5;6;64;36;2;1;1.87;3.3;3.6;1.01;1.22;1.77;2.95;5.25;9;3.4;1.83;1.3;1.09;1.67;1.95;2.38;1.53;4.5;1.17;1.14;1.22;2;2.2;2.1;5;2;2.6;4.5;0;0;0;1.29;1.5;1.87;2.14;0;3.3;2.5;1.93;1.61;1.69;8.5;2.74;1.5;10;2.88;2.88;8.5;1.33;2.75;6.5;15;3;1.4;1.08;1.01;1.28;2.13;4.82;15;3.84;1.72;1.2;1.03;0;0;0;0;6;0;0;5;1;6;0;2020-08-20 17:00:00;5415;1;0;0;0;0;1;1;7;0;2;0;7;2;0;0;2;1;0;3;1;97;50;181;150;2.75;0.92;3.67;0;0;0;0;0;0;1;1;0;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;NSÍ;Barry Town United;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;Y;Y;Y;Y;Y;Y
1047854;64;6744;2020/2021;complete;58722;0;-1;;;0;0;0;0;9;9;0;4;5;7;1;0;0;11;0;6;0;17;23;21;31;69;7;7;4.35;3.3;1.69;1.02;1.28;1.91;3.3;6;8;3.05;1.69;1.24;1.06;1.83;1.77;4;1.22;2.25;1.57;1.73;1.3;1.2;4.5;2;2.6;4;2.3;2.3;0;0;1.22;1.38;1.7;2.12;2.8;4;2.86;2.16;1.67;1.4;3.52;7.9;1.5;2.6;8;1.67;6.5;3.1;1.4;3;8.5;21;2.75;1.33;1.05;1;1.34;2.42;5.9;11;3.36;1.59;1.14;1.03;0;0;0;0;0;0;0;0;0;0;0;2020-08-20 17:30:00;-1;1;0;0;0;0;1;1;0;3;0;4;3;4;2;3;4;4;5;8;1;43;78;91;111;0.33;2.4;2.73;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;FC Santa Coloma;Iskra;1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;N;N;N;N;N;N;N
1047855;2073;985;2020/2021;complete;58722;0;-1;42;;1;0;1;5;9;14;1;0;4;4;0;0;3;4;5;8;8;12;15;14;43;57;4;4;2.2;3.15;2.85;1.01;1.24;1.8;3;5.4;8.75;3.3;1.8;1.28;1.08;1.65;2;3.75;1.25;3.4;1.3;1.57;1.3;1.4;3.2;2.2;2.88;2.88;2.4;2.8;0;0;1.17;1.37;1.62;2;2.62;3.94;2.89;2.21;1.72;1.43;1.61;8.6;2.97;2.1;12;1.8;4.5;4.5;1.36;2.75;6.5;15;2.88;1.4;1.08;1.01;1.28;2.12;4.78;14.5;3.86;1.73;1.2;1.03;0;0;0;0;1;1;0;0;0;0;1;2020-08-20 18:00:00;2073;1;0;0;0;0;1;1;1;4;4;5;5;9;1;1;3;3;2;6;1;59;69;108;114;1.15;1.54;2.69;0;0;0;0;0;0;1;1;0;0;0;2;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Glentoran;HB;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;N;N;N;N;N;N
1047856;2074;978;2020/2021;complete;58722;0;-1;89;;1;0;1;10;2;12;5;1;3;5;0;0;7;0;8;2;15;2;14;15;61;39;3;5;1.07;8;15;1;1.08;1.34;1.91;3.05;13.75;5.45;2.7;1.69;1.28;2.3;1.48;1.53;2.38;10;1.03;1;1.04;6.5;1.4;3.2;13;1.29;4.1;13.5;0;0;1.28;1.51;1.88;2.44;3.28;3.5;2.47;1.93;1.52;1.3;1.12;15;8.3;1.1;26;6;1.62;46;1.17;2.1;4.5;10;4.5;1.67;1.17;1.03;1.13;1.66;2.99;6.5;5.55;2.14;1.36;1.1;0;0;0;0;1;0;0;1;0;1;0;2020-08-20 18:30:00;2074;1;0;0;0;0;1;1;3;2;7;0;5;7;2;0;1;5;2;6;1;42;16;80;59;1.74;0.25;1.99;0;0;0;0;0;0;1;1;0;0;1;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Coleraine;La Fiorita;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;N;N;N;N;N;N
1047857;99;6993;2020/2021;complete;58722;0;-1;16;24,64,68;1;3;4;2;11;13;1;1;6;2;1;0;4;14;1;12;5;26;14;17;35;65;7;2;11;5.5;1.18;1;1.18;1.65;2.6;4.6;10;3.8;2;1.37;1.12;2.4;1.44;7.5;1.07;1.53;2.38;3.5;1.14;1;12;2.4;1.62;12;3;1.44;0;0;1.31;1.5;2;2.58;3.32;3.42;2.55;1.8;1.49;1.3;6.6;11;1.2;6;10;1.18;21;1.73;1.36;2.63;6.5;19;3;1.44;1.11;1.02;1.2;1.91;3.8;7.75;4.1;1.8;1.22;1.05;0;0;0;0;4;1;1;0;2;2;2;2020-08-21 18:00:00;6993;1;0;0;0;0;1;1;1;2;1;9;3;10;4;0;3;2;4;5;1;21;54;69;91;0.76;3;3.76;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Tre Penne;Gjilani;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;Y;Y;Y;N;N;Y
1047858;1232;2051;2020/2021;complete;58723;0;-1;39,49;18,63;2;2;4;2;11;13;0;1;4;2;0;0;5;9;7;14;12;23;29;17;51;49;4;2;2.75;2.9;2.4;1.05;1.4;2.25;4.2;7.75;6.65;2.5;1.49;1.14;1.02;1.95;1.67;3;1.36;2.63;1.44;1.4;1.33;1.4;2.88;2.05;3.75;3;2.2;3;0;0;1.15;1.34;1.57;2.01;2.38;4.2;3.16;2.32;1.8;1.53;2.3;7.8;1.95;2;7;2.1;4.2;4.33;1.5;3.25;9.5;34;2.5;1.29;1.04;1;1.39;2.63;6.9;13;3.09;1.51;1.11;1.02;0;0;0;0;5;1;1;2;1;3;2;2020-08-25 16:00:00;1232;1;0;0;0;0;1;1;0;1;2;8;1;10;1;1;3;1;2;4;1;71;108;124;132;1.63;2.85;4.48;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Trakai;Derry City;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;Y;Y;Y;Y;N;Y
1047859;963;666794;2020/2021;complete;58723;0;-1;22,75;15;2;1;3;-1;-1;-1;-1;-1;2;4;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;4;1.22;5.4;8.5;1;1.14;1.51;2.3;3.95;11.25;4.3;2.2;1.48;1.16;2.05;1.61;1.73;2;8.5;1.05;1.03;1.1;4.33;1.62;2.75;8.5;1.4;3.4;9;0;0;1.2;1.4;1.7;2.14;2.8;4;2.75;2.08;1.63;1.38;1.4;8.1;3.86;1.25;17;4;2.1;18;1.25;2.2;5;13;3.75;1.62;1.17;1.04;1.14;1.73;3.25;7;5.5;2;1.33;1.1;0;0;0;0;3;1;1;1;0;1;2;2020-08-27 14:00:00;963;1;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;2;3;2;2;5;-1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ventspils;Dinamo-Auto;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4693;1;Y;Y;Y;N;N;N;Y
