;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;3178745;656;107;2022/2023;complete;92851;0;-1;54,81,85;54,81,85;3;3;6;6;2;8;5;0;3;3;0;1;8;2;10;5;18;7;18;8;50;50;3;4;1.25;6.0;10.0;1.02;1.2;1.68;2.85;5.0;17.0;4.33;2.12;1.42;1.16;2.3;1.57;1.62;2.1;7.75;1.06;1.03;1.13;3.88;1.69;2.6;9.5;1.53;3.2;9.0;0;0;1.24;1.47;1.84;2.36;3.14;3.56;2.57;1.94;1.55;1.3;1.13;13.0;8.9;1.28;11.25;4.75;1.75;15.0;1.28;2.4;5.9;17.0;3.4;1.51;1.1;1.02;1.17;1.9;3.95;8.95;4.45;1.83;1.21;1.04;0;0;0;0;3;0;0;3;0;3;0;2022-08-04;656;1;0;0;0;0;1;1;4;0;2;2;4;4;0;3;3;1;3;4;1;109;37;131;111;2.48;0.87;3.34;1;0;0;0;1;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Malmö FF;F91 Dudelange;1.0;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;Y;N;N;N;N
1;3178746;2056;6905;2022/2023;complete;92851;0;-1;13,29,90;13,29,90;3;3;6;4;6;10;4;1;4;4;0;1;10;10;3;4;13;14;10;13;50;50;4;5;2.0;3.35;3.65;1.07;1.4;2.14;4.2;8.0;9.0;2.95;1.64;1.22;1.07;1.9;1.83;2.4;1.46;3.3;1.27;1.33;1.28;1.68;2.95;2.05;4.0;2.6;2.4;3.6;0;0;1.29;1.53;1.98;2.52;3.48;3.24;2.33;1.83;1.46;1.25;1.65;8.0;2.89;1.82;7.7;2.49;3.25;5.5;1.45;3.2;8.45;17.0;2.6;1.31;1.04;1.01;1.28;2.34;5.45;12.0;3.4;1.54;1.12;1.03;0;0;0;0;4;2;0;1;1;2;2;2022-08-04;2056;1;0;0;0;0;1;1;2;1;2;5;3;7;2;3;2;2;5;4;1;66;56;134;101;2.01;1.99;4.0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Shamrock Rovers;Shkupi;2.25;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;Y;Y;N;N;Y
2;3178747;1208;896;2022/2023;complete;92851;0;-1;;;0;0;0;7;0;7;2;3;4;2;0;0;2;4;3;6;5;10;12;17;51;49;4;2;6.75;4.25;1.47;1.02;1.22;1.61;2.85;5.0;15.0;4.2;2.23;1.42;1.16;1.85;1.93;5.75;1.11;2.15;1.58;2.59;1.21;1.11;5.9;2.41;2.01;5.5;2.9;1.8;0;0;1.18;1.35;1.66;2.11;2.77;4.24;2.88;2.14;1.71;1.41;3.44;8.7;1.49;3.32;11.25;1.45;11.0;2.4;1.3;2.5;5.95;17.0;3.2;1.48;1.1;1.03;1.17;1.9;3.95;8.95;4.45;1.83;1.21;1.04;0;0;0;0;2;0;1;0;1;1;1;2022-08-04;896;1;0;0;0;0;1;1;2;0;5;0;2;5;1;1;3;1;2;4;1;61;37;102;90;0.91;1.19;2.09;0;0;0;0;0;0;1;1;0;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Linfield;Zürich;0.0;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;N;N;N;N;N
3;3178748;116;982;2022/2023;complete;92851;0;-1;86;86;1;1;2;7;3;10;2;2;2;1;0;0;5;7;12;2;17;9;11;7;50;50;2;1;1.38;4.5;8.0;1.03;1.25;1.74;3.1;5.5;13.0;3.75;2.02;1.38;1.14;2.05;1.72;1.82;1.82;6.25;1.09;1.07;1.18;2.96;1.89;2.41;7.3;1.72;2.9;6.5;0;0;1.26;1.51;1.91;2.48;3.34;3.4;2.45;1.87;1.5;1.27;1.26;10.0;5.45;1.38;10.0;3.88;2.1;13.0;1.34;2.6;6.4;19.0;3.0;1.44;1.09;1.02;1.2;1.99;4.15;9.4;4.15;1.74;1.2;1.03;0;0;0;0;2;0;0;1;1;2;0;2022-08-04;-1;1;0;0;0;0;1;1;2;1;5;2;3;7;0;0;2;1;0;3;1;97;61;135;116;2.12;1.51;3.63;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Olympiakos Piraeus;Slovan Bratislava;0.6;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;N;N;N;N;Y
4;3178749;969;412;2022/2023;complete;92851;0;-1;;;0;0;0;6;2;8;1;1;2;3;0;0;6;5;6;6;12;11;12;17;50;50;2;3;2.2;3.0;3.5;1.09;1.47;2.38;4.75;9.5;8.0;2.7;1.55;1.2;1.05;2.08;1.73;2.4;1.47;3.0;1.31;1.29;1.34;1.7;2.83;1.99;4.45;2.6;2.3;3.75;0;0;1.21;1.42;1.77;2.23;2.96;3.84;2.73;2.03;1.61;1.33;1.96;7.8;2.26;1.84;6.95;2.54;3.25;5.0;1.5;3.45;9.4;15.0;2.4;1.27;1.03;1.02;1.32;2.5;5.95;13.0;3.15;1.47;1.1;1.03;0;0;0;0;2;0;0;0;2;2;0;2022-08-04;412;1;0;0;0;0;1;1;3;1;3;1;4;4;0;2;2;1;2;3;1;88;46;121;84;1.82;1.38;3.2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Maribor;HJK;0.0;1.1;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;N;N;N;N;N
5;3178750;3735;957;2022/2023;complete;92851;0;-1;34,70;34,70;2;2;4;8;3;11;3;3;2;4;0;0;7;5;2;6;9;11;9;15;50;50;2;4;3.4;3.3;2.1;1.06;1.38;2.09;4.0;8.0;9.5;3.0;1.61;1.22;1.07;1.9;1.88;3.0;1.34;2.7;1.41;1.6;1.33;1.36;3.85;2.05;3.0;3.48;2.38;2.69;0;0;1.27;1.53;1.94;2.51;3.4;3.34;2.4;1.84;1.49;1.26;2.22;7.6;2.0;2.3;7.9;1.93;4.4;3.9;1.44;3.15;7.9;15.0;2.6;1.32;1.05;1.02;1.27;2.29;5.0;12.5;3.45;1.56;1.14;1.03;0;0;0;0;3;1;1;1;0;1;2;2022-08-04;3735;1;0;0;0;0;1;1;6;2;2;1;8;3;0;0;2;4;0;6;1;64;36;99;96;1.53;1.31;2.84;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;AEK Larnaca;Partizan;1.5;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;Y;N;N;N;Y
6;3178751;105;2426;2022/2023;complete;92851;0;-1;17,45,81;17,45,81;3;3;6;1;1;2;3;9;1;3;0;1;9;0;7;4;16;4;8;19;50;50;1;4;1.32;4.9;9.0;1.03;1.22;1.73;3.0;5.5;13.0;4.0;2.04;1.38;1.14;2.05;1.72;1.78;1.93;6.25;1.1;1.05;1.14;3.1;1.88;2.4;7.5;1.68;2.95;7.0;0;0;1.25;1.5;1.89;2.43;3.26;3.48;2.48;1.89;1.52;1.28;1.23;10.5;5.9;1.36;10.0;4.1;2.05;13.0;1.31;2.55;6.35;19.0;3.2;1.45;1.09;1.02;1.19;1.95;4.15;8.95;4.25;1.78;1.2;1.04;0;0;0;0;3;2;0;1;0;1;2;2022-08-04;105;1;0;0;0;0;1;1;0;0;1;1;0;2;0;1;1;3;1;4;1;41;23;106;52;1.94;0.42;2.37;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Fenerbahçe;Slovácko;2.4;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;Y;N;N;N;N
7;3178801;6905;2056;2022/2023;complete;92851;0;-1;90;90;1;1;2;6;4;10;2;2;5;5;0;0;7;7;15;2;22;9;12;19;50;50;5;5;2.6;3.0;2.9;1.05;1.3;2.05;3.25;5.5;9.0;3.4;1.63;1.33;1.12;1.7;2.05;0.0;0.0;0.0;0.0;1.44;1.3;1.53;3.0;2.1;3.25;2.7;2.45;2.95;0;0;1.33;1.55;1.91;2.38;3.0;3.0;2.3;1.8;1.53;1.33;1.92;7.5;2.28;1.93;9.5;2.05;4.0;4.5;1.37;2.7;6.75;15.0;2.8;1.4;1.09;1.02;1.22;2.05;4.2;9.0;3.8;1.68;1.19;1.05;0;0;0;0;3;0;0;1;2;3;0;2022-08-09;2056;1;100;0;0;0;1;1;2;3;4;1;5;5;3;1;2;4;4;6;1;82;40;150;116;2.47;1.36;3.84;0;0;0;0;0;0;1;1;0;0;2;3;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;100;100;100;100;100;100;100;100;10.0;5.0;9.0;4.0;Shkupi;Shamrock Rovers;0.0;2.25;0.0;3.0;0.0;3.0;100;0;0;0;0;100;100;0;0.0;0.0;0.0;7985;2;Y;Y;Y;N;N;N;Y
8;3178792;107;656;2022/2023;complete;92851;0;-1;56,60;56,60;2;2;4;7;5;12;0;3;5;2;0;0;10;4;14;3;24;7;12;6;50;50;5;2;4.6;3.75;1.67;1.05;1.29;1.75;3.0;5.0;9.0;3.5;2.0;1.36;1.14;1.85;1.85;0.0;0.0;0.0;0.0;2.41;1.21;1.12;5.8;2.2;2.0;5.0;2.45;1.95;0;0;1.18;1.43;1.7;2.1;2.63;4.04;2.63;2.05;1.67;1.43;5.05;9.8;1.26;2.95;14.0;1.45;9.0;2.6;1.36;2.62;6.0;13.0;3.0;1.44;1.11;1.02;1.25;2.05;4.33;9.0;3.75;1.7;1.2;1.05;0;0;0;0;4;0;0;2;2;4;0;2022-08-11;-1;1;0;0;0;0;1;1;6;2;1;3;8;4;2;1;3;1;3;4;1;77;55;124;98;2.76;1.13;3.89;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;100;100;100;0;0;100;100;8.0;5.0;7.0;3.0;F91 Dudelange;Malmö FF;0.5;1.0;0.0;3.0;0.0;3.0;100;100;0;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;Y;Y;N;N;Y
9;3178813;896;1208;2022/2023;complete;92851;0;-1;11,25,84;11,25,84;3;3;6;4;4;8;2;2;2;3;0;0;6;2;6;2;12;4;15;8;50;50;2;3;1.14;7.5;17.0;1.03;1.17;1.49;2.38;4.0;11.0;4.5;2.44;1.6;1.22;2.38;1.53;0.0;0.0;0.0;0.0;1.02;1.08;4.84;1.5;2.7;11.0;1.4;3.1;11.0;0;0;1.15;1.36;1.62;1.95;2.4;4.44;2.88;2.2;1.75;1.5;1.05;16.25;12.5;1.19;13.5;5.0;1.67;19.0;1.3;2.2;4.75;11.0;3.4;1.62;1.15;1.03;1.2;1.85;3.75;7.5;4.33;1.85;1.25;1.07;0;0;0;0;3;2;0;1;0;1;2;2022-08-11;896;1;0;0;0;0;1;1;2;1;2;3;3;5;0;1;2;2;1;4;1;78;60;127;105;1.75;0.84;2.59;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;100;100;0;100;100;0;7.0;5.0;6.0;2.0;Zürich;Linfield;1.5;0.0;3.0;0.0;3.0;0.0;100;100;100;0;0;0;0;0;0.0;0.0;0.0;7985;2;Y;Y;Y;N;N;N;N
