ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1185453;997;6876;2021;complete;64547;1;-1;81;39;1;1;2;6;4;10;-1;-1;-1;-1;-1;-1;5;3;11;4;16;7;-1;-1;59;41;-1;-1;1.95;3.75;1.78;1.01;1.1;1.53;2.1;3.48;23;5.2;2.4;1.65;1.25;1.46;2.63;0;0;0;0;1.48;1.22;1.48;3;2.38;2.75;2.85;2.72;2.58;0;0;0;0;0;0;1.88;0;0;0;0;1.93;0;0;0;2.05;22;1.73;0;0;1.21;2.09;4;10;3.9;1.66;1.2;1.04;1.11;1.69;2.8;7;5.5;2.04;1.39;1.06;0;0;0;0;2;0;1;1;0;1;1;2021-03-06 15:00:00;-1;0;0;0;0;0;1;-1;3;2;3;2;5;5;-1;-1;-1;-1;-1;-1;1;96;95;140;133;2.06;1.35;3.4;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;EB - Streymur;ÍF;1.15;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5519;27;Y;Y;N;N;N;N;Y
1185454;6878;5404;2021;complete;64547;1;-1;;8,37,50,57;0;4;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10.5;7.5;1.01;1.01;1.09;1.33;1.74;2.6;20;6.25;3.4;1.87;1.37;2.65;1.42;11;1.01;1.38;2.8;5.5;1.01;1.01;17;3.4;1.33;18;4.3;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;15;1.08;0;1.44;1.19;1.93;3.9;7.5;4.4;1.88;1.22;1.07;1.1;1.52;2.65;6;6.75;2.35;1.42;1.11;0;0;0;0;4;0;2;0;2;2;2;2021-03-07 16:00:00;5404;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;B68;KÍ;1;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5519;27;Y;Y;Y;Y;N;N;N
1185455;6874;66;2021;complete;64547;1;-1;;44,65;0;2;2;6;14;20;-1;-1;3;2;0;0;0;9;12;9;12;18;-1;-1;35;65;3;2;8.75;7.5;1.04;1.02;1.13;1.4;2.05;3.4;15;4.75;2.88;1.61;1.24;1.91;1.8;0;0;0;0;4.1;1.08;1.01;8;3;1.53;10.5;3.7;1.35;0;0;0;0;0;1.49;1.81;0;0;0;2.48;1.91;0;0;0;5;13;1.17;0;0;1.21;2.05;4;8;3.9;1.74;1.2;1.06;1.11;1.6;2.84;5.9;5.5;2.19;1.37;1.1;0;0;0;0;2;0;1;0;1;1;1;2021-03-07 15:00:00;66;0;0;0;0;0;1;1;4;9;2;5;13;7;1;2;2;0;3;2;1;33;46;56;79;0.99;2.09;3.08;0;0;0;0;0;0;1;1;0;0;0;6;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;07 Vestur;B36;0.79;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5519;27;Y;Y;N;N;N;N;N
1185456;985;5415;2021;complete;64547;1;-1;7,22,56,63,90;32,74;5;2;7;4;7;11;-1;-1;1;2;0;1;11;7;8;2;19;9;-1;-1;43;57;1;3;1.32;4;3.1;1.03;1.17;1.44;2.25;3.75;10.75;4.05;2.7;1.5;1.2;1.47;2.49;0;0;0;0;1.25;1.23;1.8;2.05;2.6;4.33;1.91;2.94;4.15;0;0;0;0;1.3;1.55;1.98;0;0;3.15;2.32;1.83;0;0;0;1.44;15.25;2.75;0;0;1.29;2.34;5.75;10;3.3;1.53;1.12;1.04;1.16;1.87;3.6;9.5;4.9;1.83;1.25;1.04;0;0;0;0;7;2;1;3;1;4;3;2021-03-07 15:00:00;985;0;0;0;0;0;1;1;1;6;3;1;7;4;1;0;0;3;1;3;1;24;28;63;76;2.13;1.27;3.4;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;HB;NSÍ;2.43;1.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5519;27;Y;Y;Y;Y;Y;Y;Y
1185457;1211;6877;2021;complete;64547;1;-1;90;;1;0;1;15;1;16;-1;-1;-1;-1;-1;-1;8;2;9;3;17;5;-1;-1;60;40;-1;-1;1.07;5.25;6.75;1.02;1.14;1.53;2.15;3.6;14;4.6;2.4;1.54;1.21;1.96;1.75;0;0;0;0;1.08;1.14;2.77;1.73;2.63;6.5;1.48;3.3;7.9;0;0;0;0;0;0;1.85;0;0;0;0;1.95;0;0;0;1.2;22;4.5;0;0;1.22;2.04;4.4;9;3.9;1.69;1.19;1.05;1.11;1.65;2.85;6.5;6.25;2.11;1.38;1.06;0;0;0;0;1;0;0;1;0;1;0;2021-03-07 15:00:00;1211;0;0;0;0;0;1;-1;5;0;10;1;5;11;-1;-1;-1;-1;-1;-1;1;75;27;91;72;2.17;0.66;2.83;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Víkingur;TB;2.62;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5519;27;Y;N;N;N;N;N;N
1185458;6874;6878;2021;complete;64547;2;-1;63,76,85;30,65;3;2;5;14;9;23;-1;-1;3;0;1;0;6;5;5;16;11;21;-1;-1;50;50;4;0;1.6;3.6;2.2;1.03;1.19;1.6;2.3;3.9;10.75;3.85;2.3;1.48;1.19;1.53;2.33;0;0;0;0;1.36;1.24;1.6;2.63;2.38;3.2;2.48;2.65;3.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.73;16.5;2.2;0;0;1.27;2.29;5.3;0;3.4;1.55;1.12;0;1.15;1.79;3.44;8;4.7;1.92;1.25;1.05;0;0;0;0;5;0;1;3;1;4;1;2021-03-13 15:00:00;6874;0;0;0;0;0;1;1;5;8;9;1;13;10;0;0;4;0;0;4;1;111;94;158;176;1.93;2.36;4.29;0;2;0;2;0;0;1;1;0;0;1;4;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;6;0;3;1;07 Vestur;B68;0.79;0.85;0;0;0;0;50;50;50;0;0;50;50;50;0.99;0;0.99;5519;27;Y;Y;Y;Y;Y;N;Y
1185459;985;66;2021;complete;64547;2;-1;;;0;0;0;6;7;13;-1;-1;-1;-1;-1;-1;2;6;6;5;8;11;-1;-1;53;47;-1;-1;1.19;4.33;4.2;1.02;1.16;1.53;2.4;4.1;15;4.44;2.4;1.49;1.19;1.78;1.99;0;0;0;0;1.14;1.19;2.21;2;2.5;4.75;1.72;2.97;5.6;0;0;0;0;1.32;1.55;2;0;0;3.15;2.32;1.8;0;0;0;1.36;16.5;3.1;0;0;1.28;2.32;5.3;12;3.34;1.54;1.12;1.03;1.14;1.8;3.44;8.5;4.9;1.9;1.25;1.04;0;0;0;0;0;0;0;0;0;0;0;2021-03-14 15:00:00;-1;0;50;50;50;0;1;-1;4;1;2;6;5;8;-1;-1;-1;-1;-1;-1;1;57;79;140;146;1.08;1.7;2.78;0;0;0;0;0;0;1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;100;100;50;100;100;50;18;0;3;4.5;HB;B36;2.43;1.54;3;3;3;3;50;50;50;0;0;100;100;100;2.13;2.09;4.22;5519;27;N;N;N;N;N;N;N
1185460;997;1211;2021;complete;64547;2;-1;;;0;0;0;2;8;10;-1;-1;-1;-1;-1;-1;0;5;2;8;2;13;-1;-1;40;60;-1;-1;4.4;4.75;1.17;1.03;1.11;1.44;2.18;3.48;15;5;2.7;1.66;1.25;1.65;2.18;0;0;0;0;2.62;1.15;1.09;4.75;2.63;1.91;5.65;3.13;1.67;0;0;0;0;0;1.52;1.9;0;0;0;2.4;1.9;0;0;0;3.25;19.75;1.33;0;0;1.25;2.12;4.5;9;3.64;1.64;1.16;1.05;1.12;1.67;3.2;7;5.3;2.07;1.3;1.06;0;0;0;0;0;0;0;0;0;0;0;2021-03-14 15:00:00;-1;0;50;0;0;0;1;-1;2;5;0;3;7;3;-1;-1;-1;-1;-1;-1;1;24;73;73;113;0.31;1.7;2.01;0;0;0;0;0;0;1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;6;0;0;1;EB - Streymur;Víkingur;1.15;1.86;1;0;1;3;50;50;50;0;0;50;50;0;2.06;0;2.06;5519;27;N;N;N;N;N;N;N
1185461;6876;6877;2021;complete;64547;2;-1;7,45,55;87;3;1;4;-1;-1;-1;-1;-1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;1;2;2;2021-03-14 16:00:00;6876;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;0;50;0;1;0;0;0.5;ÍF;TB;0.85;0.14;0;0;1;0;50;50;50;50;0;50;50;50;0;0.66;0.66;5519;27;Y;Y;Y;Y;N;N;Y
1185462;5404;5415;2021;complete;64547;2;-1;32,76;;2;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.5;4.5;2.4;1.02;1.18;1.57;2.51;4.3;13;4.24;2.35;1.45;1.18;1.67;2.15;0;0;0;0;1.29;1.24;1.72;2.05;2.5;4.75;1.83;2.89;4.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;15.5;3.1;0;0;1.29;2.36;5.2;10;3.26;1.52;1.13;1.04;1.17;1.84;3.64;9.5;4.4;1.86;1.25;1.04;0;0;0;0;2;1;0;1;0;1;1;2021-03-14 15:00:00;5404;0;50;50;50;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;50;50;50;50;7;0;3;3.5;KÍ;NSÍ;2.85;1.31;0;0;3;0;0;0;0;0;0;50;50;50;0;1.27;1.27;5519;27;Y;Y;N;N;N;N;N
