ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1174678;404;417;2021;complete;63319;1;-1;19;;1;0;1;5;9;14;2;1;1;3;0;0;7;2;6;9;13;11;10;10;51;49;1;3;3.15;3.1;2.42;1.1;1.45;2.25;4.33;10;7.5;2.75;1.57;1.2;1.06;1.95;1.8;3;1.33;2.45;1.49;1.55;1.39;1.37;3.75;2;3.1;3.25;2.31;2.75;0;0;1.22;1.53;1.89;2.3;2.9;3.9;2.38;1.92;1.55;1.36;2.33;5;2.08;2.3;6.25;1.83;4.65;3.45;1.5;3.4;10;20;2.5;1.3;1.06;1.01;1.33;2.48;5.85;12;3.32;1.54;1.13;1.03;0;0;0;0;1;1;0;0;0;0;1;2021-06-15 15:00:00;404;0;59;29;25;0;1;1;3;2;2;7;5;9;0;0;1;3;0;4;1;46;71;96;100;1.65;1.35;3;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;29;42;42;88;100;42;75;100;54;8.83;5;1.92;3.13;HIFK;Honka;1.15;1.15;1.33;1.5;1.83;0.86;71;59;59;13;0;71;46;34;1.23;1.12;2.35;5477;27;Y;N;N;N;N;N;N
1174679;410;412;2021;complete;63319;1;-1;;67;0;1;1;4;5;9;2;2;1;0;0;0;5;5;5;6;10;11;5;7;44;56;1;0;8.25;5.5;1.32;1.04;1.19;1.53;2.3;4;14;4.65;2.45;1.59;1.24;1.87;1.87;7.25;1.06;2.05;1.69;3.1;1.17;1.08;6.5;2.63;1.83;6;3.1;1.62;0;0;1.35;1.87;1.91;2.85;3.15;2.8;1.83;1.8;1.3;1.31;6;8.5;1.26;3.75;13;1.25;10.25;2.25;1.25;2.2;5;15;3.75;1.62;1.17;1.03;1.14;1.73;3.25;7;5.5;2;1.33;1.1;0;0;0;0;1;0;0;0;1;1;0;2021-06-14 15:30:00;412;0;29;0;13;0;1;1;2;4;2;1;6;3;0;0;1;0;0;1;1;67;100;73;112;1.46;1.77;3.23;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;17;75;88;88;29;29;75;59;10.83;3.08;4.83;2.67;Mariehamn;HJK;1;2.31;1;2.5;1;2.71;100;84;25;13;13;71;59;59;1.02;1.38;2.4;5477;27;Y;N;N;N;N;N;N
1174680;411;406;2021;complete;63319;1;-1;31;;1;0;1;3;3;6;5;3;2;3;0;0;6;0;6;6;12;6;10;12;48;52;2;3;2.2;3.25;3.4;1.1;1.38;2.05;3.4;6.5;7.5;2.95;1.74;1.3;1.12;1.87;1.91;2.55;1.44;3.25;1.29;1.33;1.36;1.65;3.1;2.05;3.6;2.75;2.4;3.2;0;0;1.43;1.87;1.91;2.38;4.4;2.53;1.83;1.8;1.57;1.19;1.55;7.5;3.36;1.83;7.7;2.25;3.5;4.9;1.44;3.25;10;26;2.63;1.33;1.06;1.01;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;0;0;0;0;1;1;0;0;0;0;1;2021-06-14 15:30:00;411;0;67;17;50;0;1;1;1;0;2;3;1;5;0;0;2;3;0;5;1;75;71;84;79;1.71;0.89;2.61;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;17;17;67;84;84;33;67;67;67;12.34;4;4.34;2.67;KuPS;Inter Turku;2.07;1.46;1.33;2;1.43;2.57;84;84;34;17;17;84;67;50;1.26;1.76;3.02;5477;27;Y;N;N;N;N;N;N
1174681;102;407;2021;complete;63319;1;-1;78;;1;0;1;5;3;8;5;5;3;0;0;0;5;2;5;6;10;8;15;11;55;45;3;0;2.2;3;3.2;1.07;1.44;2.2;3.75;8;9;2.85;1.6;1.25;1.08;1.8;1.95;2.5;1.45;3;1.32;1.25;1.37;1.57;3.1;2.1;3.6;2.63;2.32;3.1;0;0;1.67;2.1;2;2.55;4.5;2.1;1.65;1.74;1.5;1.19;2.15;6.5;2.17;1.8;6.7;2.25;3.6;4.65;1.44;3.25;9;26;2.63;1.33;1.07;1.01;1.25;2.2;5;13;3.75;1.62;1.17;1.04;0;0;0;0;1;0;0;1;0;1;0;2021-06-14 15:30:00;102;0;59;17;13;0;1;1;2;2;3;1;4;4;1;0;2;0;1;2;1;50;89;78;93;1.34;1.29;2.63;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;17;17;88;100;34;75;71;25;10.5;4.75;4.58;2.21;SJK;Ilves;1.92;0.79;0.5;1.33;1.33;1.67;100;84;84;13;0;29;17;0;1.58;1.7;3.28;5477;27;Y;N;N;N;N;N;N
1174682;424;413;2021;complete;63319;1;-1;72;81;1;1;2;7;5;12;4;1;3;4;0;0;4;2;5;3;9;5;17;16;50;50;3;4;2.6;3.35;2.65;1.08;1.32;1.91;3.05;5.5;8.75;3.25;1.87;1.36;1.15;1.74;2.05;3.5;1.25;3.2;1.29;1.53;1.33;1.44;3.4;2.2;3;2.88;2.38;2.63;0;0;1.23;1.48;1.94;2.5;3;3.7;2.61;1.87;1.52;1.33;1.97;5;2.54;2.1;10;1.8;4.65;4.15;1.36;2.63;7;21;3;1.44;1.1;1.02;1.25;2;4;8;3.6;1.73;1.2;1.05;0;0;0;0;2;0;0;1;1;2;0;2021-06-15 15:30:00;-1;0;25;0;25;0;1;1;4;2;3;3;6;6;1;0;2;4;1;6;1;80;69;99;128;1.43;0.97;2.4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;75;100;100;0;25;100;100;9.5;1.5;5;2.75;Haka;Lahti;1.14;1.38;0;1.5;1;2;100;100;25;0;0;75;75;75;1.81;1.45;3.26;5477;27;Y;Y;N;N;N;N;Y
1174683;426;425;2021;complete;63319;1;-1;51;57,59,69;1;3;4;3;3;6;3;0;4;1;0;0;4;5;4;5;8;10;10;11;38;62;4;1;2.4;3.15;3.1;1.12;1.47;2.3;3.95;8;6.5;2.6;1.61;1.25;1.09;1.95;1.8;2.6;1.43;3.05;1.31;1.25;1.37;1.57;3.1;2;3.75;2.63;2.15;3.25;0;0;1.27;1.5;1.87;2.45;3.4;3.55;2.48;1.87;1.5;1.29;1.74;7;2.6;1.8;7.5;2.3;3.65;4.65;1.5;3.4;10;26;2.5;1.3;1.06;1.01;1.31;2.38;5.5;11;3.44;1.58;1.15;1.03;0;0;0;0;4;0;0;1;3;4;0;2021-06-15 15:30:00;425;0;75;0;50;0;1;1;0;0;3;3;0;6;2;0;2;1;2;3;1;62;63;81;100;1.23;1.44;2.68;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;75;75;100;100;50;100;100;50;9.5;1.5;2.5;3.5;KTP;Oulu;0.38;0.64;0;0;0.67;0;100;25;25;0;0;75;50;50;1.18;1.26;2.44;5477;27;Y;Y;Y;Y;N;N;Y
1174684;413;425;2021;complete;63319;2;-1;;;0;0;0;5;3;8;4;4;1;3;0;0;12;3;3;2;15;5;7;8;58;42;1;3;2.1;3.15;3.65;1.11;1.43;2.15;3.7;7.25;7;2.75;1.67;1.27;1.1;2;1.8;2.4;1.62;4.15;1.26;1.25;1.32;1.95;2.55;2;4.4;2.2;2.35;4.1;0;0;1.23;1.48;1.75;2.2;3.05;3.72;2.5;1.95;1.6;1.33;1.47;8;3.8;1.71;8.75;2.85;3.1;7.25;1.5;3;7.5;21;2.55;1.37;1.1;1.02;1.29;2.32;5.35;11;3.64;1.61;1.16;1.03;0;0;0;0;0;0;0;0;0;0;0;2021-09-18 14:00:00;-1;0;53;16;32;0;1;1;3;0;2;3;3;5;0;1;1;2;1;3;1;51;36;83;78;2.15;0.8;2.95;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;11;38;53;69;95;26;69;69;47;9.24;3.56;4.37;2.7;Lahti;Oulu;1.57;0.64;1.7;0.67;1.47;0.89;90;62;47;32;5;74;64;49;1.4;1.39;2.79;5477;27;N;N;N;N;N;N;N
1174685;404;410;2021;complete;63319;2;-1;;3,26,47;0;3;3;6;7;13;1;0;3;0;0;0;0;13;8;6;8;19;5;6;50;50;3;0;2.25;3.1;3.3;1.11;1.44;2.2;3.75;7.25;6.75;2.7;1.65;1.26;1.1;2;1.8;2.2;1.71;4.15;1.25;1.24;1.31;2.05;2.5;1.95;4.85;2.15;2.3;4.5;0;0;1.21;1.48;1.78;2.19;2.7;3.92;2.5;2.04;1.67;1.4;1.5;7.5;3.58;1.67;8;3.1;2.9;7.75;1.53;3.15;8;23;2.45;1.34;1.09;1.02;1.25;2.3;4.62;12;3.73;1.52;1.12;1.03;0;0;0;0;3;0;2;0;1;1;2;2021-09-18 12:00:00;410;0;42;15;22;0;1;1;3;4;3;3;7;6;1;0;2;0;1;2;1;77;52;111;87;1.07;2.48;3.55;0;0;0;0;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;26;42;69;100;26;84;69;37;9.56;3.71;3.81;2.52;HIFK;Mariehamn;1.15;1.21;1.4;1.11;1.61;0.89;90;75;58;31;0;68;68;52;1.48;1.28;2.76;5477;27;Y;Y;Y;N;N;N;N
1174686;417;412;2021;complete;63319;2;-1;;;0;0;0;5;7;12;1;0;1;3;0;0;2;3;9;6;11;9;6;7;40;60;1;3;3.7;3.5;1.93;1.09;1.36;1.97;3.3;6.25;8.75;3.1;1.82;1.36;1.15;1.8;1.95;4.25;1.25;2.55;1.54;1.91;1.34;1.27;4.33;2.2;2.6;3.75;2.35;2.2;0;0;1.21;1.44;1.74;2.17;2.63;3.92;2.6;2.06;1.66;1.43;3.78;8.9;1.43;2.6;8.75;1.57;7.5;3.4;1.4;3;8;23;2.75;1.36;1.08;1.01;1.26;2.2;4.9;10;3.85;1.67;1.18;1.04;0;0;0;0;0;0;0;0;0;0;0;2021-09-19 12:00:00;-1;0;43;5;21;0;1;1;3;4;2;3;7;5;0;0;1;3;0;4;1;44;48;67;121;1.15;1.14;2.29;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;16;48;64;95;16;69;65;37;12.59;4.01;4.99;2.29;Honka;HJK;1.29;2.31;1.44;2.5;1.26;2.53;95;84;52;36;5;85;59;44;1.54;1.59;3.13;5477;27;N;N;N;N;N;N;N
1174687;406;102;2021;complete;63319;2;-1;64,90;;2;0;2;2;4;6;4;2;4;0;0;0;8;4;5;4;13;8;16;7;50;50;4;0;1.83;3.4;4.6;1.11;1.44;2.25;3.95;7.75;7;2.7;1.62;1.25;1.09;2.1;1.69;1.95;1.67;3.65;1.18;1.18;1.3;2.08;2.35;2.1;5.25;2.18;2.43;5;0;0;1.23;1.57;1.91;2.4;3;3.7;2.25;1.8;1.5;1.33;1.47;6.5;3.15;1.62;7.6;3.08;2.55;6.5;1.5;3.32;9.2;17;2.59;1.33;1.06;1.01;1.32;2.48;5.85;12;3.38;1.54;1.13;1.03;0;0;0;0;2;0;0;2;0;2;0;2021-06-18 15:30:00;406;0;25;13;13;0;1;1;1;1;1;3;2;4;0;0;4;0;0;4;1;66;71;110;121;1.86;1.31;3.17;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;38;63;100;13;25;100;50;12.5;4.75;5.5;2;Inter Turku;SJK;1.86;1.64;3;3;2.25;1.57;100;100;63;38;0;38;38;38;1.4;1.06;2.46;5477;27;Y;Y;N;N;N;N;N
