;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;1592090;412;417;2022;complete;87011;1;-1;68;68;1;1;2;5;1;6;6;4;1;1;0;0;5;2;3;4;8;6;11;14;50;50;1;1;1.5;3.8;6.0;1.03;1.25;1.81;2.9;5.75;13.0;3.6;1.89;1.35;1.12;1.95;1.8;2.2;1.6;5.0;1.13;1.12;1.22;2.55;2.1;2.3;6.0;1.83;2.7;5.5;0;0;1.22;1.35;1.66;2.12;2.78;4.0;2.93;2.17;1.72;1.42;1.45;9.0;3.26;1.36;10.5;3.4;2.4;9.5;1.36;2.63;7.0;21.0;3.0;1.44;1.1;1.02;1.21;1.95;4.0;9.5;4.0;1.73;1.21;1.05;0;0;0;0;1;0;0;1;0;1;0;2022-04-02;412;0;0;0;0;0;1;1;4;0;1;1;4;2;1;1;0;0;2;0;1;68;39;127;88;1.36;0.81;2.17;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;HJK;Honka;2.21;1.38;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;27;Y;N;N;N;N;N;N
1;1592093;102;404;2022;complete;87011;1;-1;86,90;86,90;2;2;4;7;1;8;2;1;3;3;0;0;4;2;6;4;10;6;14;14;57;43;3;3;1.79;3.62;4.65;1.05;1.34;2.03;3.75;7.5;9.75;3.0;1.7;1.25;1.08;2.0;1.75;2.2;1.6;3.8;1.22;1.18;1.28;2.05;2.4;2.1;5.0;2.1;2.45;4.5;0;0;1.22;1.43;1.78;2.26;2.98;3.82;2.74;2.04;1.61;1.34;1.45;9.0;3.26;1.5;8.25;3.0;2.7;7.0;1.44;3.25;9.0;26.0;2.63;1.33;1.07;1.01;1.26;2.2;4.8;12.0;3.5;1.58;1.15;1.03;0;0;0;0;3;0;0;2;1;3;0;2022-04-02;102;0;0;0;0;0;1;1;2;0;5;1;2;6;2;1;1;2;3;3;1;95;47;134;96;1.61;0.87;2.48;1;1;1;1;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;SJK;HIFK;1.79;0.57;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;27;Y;Y;Y;N;N;N;Y
2;1592092;411;406;2022;complete;87011;1;-1;5,38;5,38;2;2;4;1;3;4;3;1;4;1;0;0;3;4;5;4;8;8;14;7;52;48;4;1;1.91;3.2;4.0;1.05;1.31;2.05;3.6;7.25;9.75;3.1;1.75;1.25;1.09;1.91;1.91;2.4;1.5;3.8;1.22;1.28;1.3;1.77;2.63;2.1;4.33;2.25;2.37;4.0;0;0;1.24;1.47;1.9;2.34;3.14;3.64;2.6;1.9;1.57;1.31;1.64;8.0;2.77;1.57;8.5;2.63;3.1;6.0;1.44;3.0;9.0;26.0;2.63;1.36;1.07;1.01;1.27;2.2;5.0;12.5;3.4;1.57;1.15;1.03;0;0;0;0;3;2;1;0;0;0;3;2022-04-02;411;0;0;0;0;0;1;1;0;2;1;1;2;2;0;1;4;0;1;4;1;68;58;95;76;1.21;1.2;2.42;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;KuPS;Inter Turku;2.43;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;27;Y;Y;Y;N;N;N;Y
3;1592091;424;407;2022;complete;87011;1;-1;32,40;32,40;2;2;4;6;3;9;1;1;1;2;0;0;11;4;5;5;16;9;11;11;50;50;1;2;2.62;3.16;2.84;1.06;1.35;2.05;3.75;7.75;9.25;2.95;1.69;1.23;1.07;1.91;1.91;2.88;1.36;3.2;1.3;1.39;1.34;1.53;3.2;2.05;3.5;2.75;2.3;3.0;0;0;1.25;1.48;1.87;2.39;3.2;3.54;2.57;1.93;1.55;1.3;1.91;8.0;2.2;1.83;7.75;2.2;4.0;4.5;1.44;3.25;10.0;26.0;2.63;1.33;1.06;1.01;1.28;2.3;5.0;13.0;3.3;1.55;1.14;1.03;0;0;0;0;3;2;1;0;0;0;3;2022-04-02;424;0;0;0;0;0;1;1;2;2;4;1;4;5;0;2;1;0;2;1;1;97;104;139;162;2.48;1.61;4.1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Haka;Ilves;1.86;1.38;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;27;Y;Y;Y;N;N;N;Y
4;1592094;408;425;2022;complete;87011;1;-1;23,54;23,54;2;2;4;2;9;11;3;0;2;3;0;0;3;7;2;6;5;13;14;11;38;62;2;3;2.72;3.1;2.5;1.05;1.35;2.07;3.75;7.75;9.5;2.95;1.67;1.23;1.07;1.91;1.91;3.0;1.33;2.9;1.36;1.49;1.34;1.43;3.4;2.05;3.25;3.0;2.3;2.88;0;0;1.25;1.52;1.8;2.3;3.05;3.7;2.45;2.0;1.57;1.33;2.2;8.0;1.91;2.1;7.75;1.83;4.33;4.0;1.44;3.25;9.0;26.0;2.63;1.33;1.07;1.01;1.28;2.25;5.0;12.5;3.4;1.55;1.14;1.03;0;0;0;0;4;1;0;1;2;3;1;2022-04-02;-1;0;0;0;0;0;1;1;0;3;2;6;3;8;1;1;1;2;2;3;1;49;90;63;95;0.88;1.95;2.84;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;VPS;Oulu;0.86;1.43;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;29;Y;Y;Y;Y;N;N;Y
5;1592095;410;413;2022;complete;87011;1;-1;;;0;0;0;3;7;10;2;5;3;4;1;0;4;5;7;5;11;10;14;18;53;47;4;4;2.59;3.44;2.68;1.04;1.25;1.83;3.05;6.0;11.0;3.55;1.87;1.32;1.12;1.75;2.0;3.3;1.29;3.6;1.25;1.44;1.34;1.47;3.2;2.2;3.25;2.75;2.4;2.88;0;0;1.2;1.36;1.67;2.12;2.82;4.25;2.89;2.16;1.72;1.41;1.82;8.0;2.33;1.83;9.0;2.1;4.0;5.0;1.4;2.75;8.0;21.0;2.75;1.4;1.08;1.02;1.23;2.0;4.2;9.75;3.8;1.7;1.2;1.05;0;0;0;0;0;0;0;0;0;0;0;2022-04-02;-1;0;0;0;0;0;1;1;1;1;2;6;2;8;2;3;2;1;5;3;1;58;87;96;103;1.4;1.61;3.01;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Mariehamn;Lahti;1.43;0.86;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;27;N;N;N;N;N;N;N
6;1592096;417;424;2022;complete;87011;2;-1;4,18,36;4,18,36;3;3;6;5;6;11;2;1;0;1;0;0;5;6;3;6;8;12;3;5;50;50;0;1;2.05;3.05;3.5;1.06;1.35;2.1;3.62;6.7;9.45;2.97;1.65;1.24;1.07;1.85;1.85;2.5;1.48;3.3;1.29;1.29;1.33;1.67;2.8;1.95;3.9;2.6;2.2;3.6;0;0;1.17;1.31;1.58;1.99;2.63;4.7;3.14;2.33;1.8;1.46;1.5;6.5;3.1;1.79;9.45;2.26;3.4;5.5;1.46;3.05;8.9;17.0;2.56;1.33;1.06;1.02;1.24;2.24;4.48;11.0;3.83;1.54;1.13;1.03;0;0;0;0;5;3;0;0;2;2;3;2022-04-07;417;0;0;0;0;0;1;1;2;4;3;2;6;5;0;0;0;1;0;1;1;48;77;91;95;1.21;1.73;2.94;0;1;0;1;0;0;1;1;1;0;1;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Honka;Haka;2.21;1.47;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;27;Y;Y;Y;Y;Y;N;Y
7;1592097;413;408;2022;complete;87011;2;-1;;;0;0;0;3;8;11;1;3;2;2;1;0;0;7;4;7;4;14;11;15;39;61;4;2;2.5;3.2;2.85;1.08;1.4;2.25;3.75;7.5;7.0;2.75;1.64;1.25;1.07;2.0;1.73;2.8;1.38;3.2;1.3;1.2;1.33;1.85;2.5;1.95;4.8;2.2;2.25;4.5;0;0;1.22;1.42;1.68;2.1;2.7;4.0;2.75;2.1;1.68;1.4;1.75;8.0;2.42;1.65;9.15;2.54;2.8;6.5;1.5;3.0;7.5;17.0;2.5;1.36;1.07;1.02;1.33;2.38;5.0;12.0;3.25;1.53;1.14;1.02;0;0;0;0;5;0;3;0;2;2;3;2022-04-08;408;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;1;2;1;2;3;1;47;69;65;86;0.6;1.87;2.46;0;1;0;1;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Lahti;VPS;0.69;1.88;0.0;0.0;1.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;27;Y;Y;Y;Y;Y;N;N
8;1592098;102;412;2022;complete;87011;2;-1;;;0;0;0;4;8;12;2;2;2;2;0;0;3;5;10;8;13;13;8;11;46;54;2;2;4.2;3.3;1.8;1.08;1.4;2.3;3.75;7.0;7.0;2.75;1.62;1.25;1.08;1.91;1.8;3.4;1.29;2.3;1.55;1.8;1.3;1.25;4.4;1.95;2.6;3.8;2.2;2.45;0;0;1.25;1.45;1.8;2.45;3.2;3.54;2.49;2.0;1.47;1.3;2.39;8.0;1.82;2.44;8.9;1.71;6.0;3.2;1.5;3.25;8.0;17.0;2.5;1.33;1.06;1.02;1.33;2.38;5.0;11.0;3.25;1.53;1.14;1.03;0;0;0;0;1;0;0;0;1;1;0;2022-04-08;412;0;50;0;50;0;1;1;0;4;4;4;4;8;0;0;2;2;0;4;1;53;78;60;92;1.41;1.73;3.13;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;50;0;0;50;50;7.0;2.0;3.0;1.5;SJK;HJK;1.79;2.08;3.0;0.0;3.0;3.0;50;50;0;0;0;0;0;0;1.61;0.0;1.61;7120;27;Y;N;N;N;N;N;N
9;1592099;404;410;2022;complete;87011;2;-1;23;23;1;1;2;4;5;9;1;2;0;3;0;1;4;10;1;11;5;21;5;14;57;43;0;4;2.35;2.95;3.1;1.04;1.38;2.18;3.98;7.5;7.9;2.94;1.68;1.23;1.05;1.85;1.85;2.8;1.38;3.2;1.3;1.36;1.33;1.55;3.06;2.06;3.88;2.75;2.38;3.48;0;0;1.18;1.34;1.66;2.05;2.65;4.5;3.1;2.15;1.72;1.45;1.83;8.0;2.2;1.88;9.0;2.16;3.4;5.5;1.53;3.25;8.0;17.0;2.38;1.33;1.06;1.02;1.33;2.38;5.0;11.0;3.25;1.53;1.14;1.03;0;0;0;0;2;1;0;0;1;1;1;2022-04-09;-1;0;0;0;0;0;1;1;0;2;4;3;2;7;0;1;0;3;1;3;1;49;64;93;96;0.96;2.48;3.44;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;HIFK;Mariehamn;0.08;1.08;0.0;0.0;0.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7120;27;Y;Y;N;N;N;N;Y
