ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
647186;454;432;2019/2020;complete;51276;1;-1;;;0;0;0;3;5;8;2;1;1;3;0;0;0;0;7;4;7;4;13;22;42;58;1;3;2.9;2.85;2.7;1.13;1.69;3.15;6.65;13.75;5.5;2.1;1.34;1.09;1.01;2.45;1.5;2.4;1.49;2.25;1.57;1.45;1.33;1.4;3.75;1.8;3.5;3.3;2.05;3.1;0;0;1.29;1.57;2.1;2.8;3.9;3.2;2.2;1.67;1.36;1.2;2.18;7;1.93;2.25;5;2.05;3.85;3.4;1.65;3.9;9.6;31;2.16;1.23;1.04;1.01;1.44;3;7.25;17.5;2.6;1.34;1.06;1.01;0;0;0;0;0;0;0;0;0;0;0;2019-07-26 18:00:00;-1;0;0;0;0;0;1;1;1;2;2;3;3;5;0;1;1;2;1;3;1;55;48;87;83;0.85;0.61;1.45;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sochaux;Caen;1.64;1.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;N;N;N;N;N;N;N
647187;1394;453;2019/2020;complete;51276;1;-1;60;;1;0;1;2;5;7;4;1;2;2;0;0;6;0;8;8;14;8;21;16;35;65;2;2;2.4;3;3.2;1.07;1.43;2.35;4.45;8.75;7.5;2.75;1.57;1.19;1.05;1.95;1.8;2.6;1.43;3.25;1.33;1.35;1.3;1.53;3.1;1.95;3.7;2.75;2.3;3.25;0;0;1.44;1.8;2.5;3.5;5;2.5;2;1.44;1.25;1.13;1.75;6.5;2.48;1.9;6.5;2.15;3.6;4.6;1.53;3.14;7.5;18;2.4;1.33;1.07;1.01;1.28;2.2;5;10;3.3;1.57;1.14;1.02;0;0;0;0;1;0;0;1;0;1;0;2019-07-26 18:00:00;1394;0;0;0;0;0;1;1;2;1;0;4;3;4;2;1;0;1;3;1;1;65;78;68;87;1.76;1.07;2.83;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Chambly;Valenciennes;1.07;1.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;Y;N;N;N;N;N;N
647188;1399;479;2019/2020;complete;51276;1;-1;1,19;;2;0;2;4;3;7;4;1;1;2;0;0;4;5;4;9;8;14;11;18;27;73;1;2;2.95;2.9;2.6;1.09;1.5;2.55;5.05;10.25;6.8;2.5;1.49;1.15;1.03;2.1;1.69;2.75;1.38;2.62;1.44;1.45;1.3;1.42;3.5;1.9;3.4;3.1;2.2;3;0;0;1.36;1.66;2.2;3.1;4.5;2.8;2.1;1.57;1.3;1.15;2.02;6.5;2.09;2.1;6;2;4.2;3.55;1.58;3.46;8.4;23;2.29;1.28;1.05;1.01;1.34;2.55;5.75;12.5;3;1.45;1.1;1.01;0;0;0;0;2;2;0;0;0;0;2;2019-07-26 18:00:00;1399;0;0;0;0;0;1;1;2;1;2;2;3;4;1;0;0;2;1;2;1;45;80;84;125;1.12;1.82;2.93;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rodez;Auxerre;1.5;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;Y;Y;N;N;N;N;N
647189;436;1398;2019/2020;complete;51276;1;-1;22,31,70;51,58,72;3;3;6;8;2;10;1;1;1;2;0;0;9;4;8;1;17;5;8;17;56;44;1;2;1.91;3.15;4.45;1.08;1.47;2.4;4.7;9.5;7;2.65;1.54;1.18;1.04;2.1;1.67;2.1;1.62;3.75;1.25;1.17;1.25;2;2.45;1.95;5.25;2.15;2.3;4.75;0;0;1.25;1.5;1.93;2.38;3.2;3.5;2.38;1.88;1.5;1.29;1.45;7.5;3.24;1.57;6.5;2.85;2.8;5.8;1.54;3.26;8;21;2.38;1.31;1.06;1.01;1.33;2.2;5.5;12;3.1;1.57;1.11;1.01;0;0;0;0;6;2;0;1;3;4;2;2019-07-26 18:00:00;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;1;1;1;1;2;1;86;49;104;93;2.32;0.96;3.28;1;0;0;0;1;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Guingamp;Grenoble Foot 38;1.5;1.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;Y;Y;Y;Y;Y;Y;Y
647190;452;493;2019/2020;complete;51276;1;-1;5,83;72,76;2;2;4;5;8;13;1;0;4;4;0;1;5;4;5;3;10;7;12;15;53;47;4;5;2.95;2.85;2.65;1.11;1.57;2.75;5.6;11.5;6.3;2.35;1.43;1.13;1.02;2.2;1.61;2.65;1.42;2.5;1.5;1.45;1.33;1.4;3.6;1.85;3.4;3.3;2.1;3;0;0;1.4;1.73;2.2;3.2;4.5;2.7;2;1.57;1.29;1.15;1.99;6.5;2.02;2.15;5.5;2.05;4.1;3.5;1.62;3.62;9;26;2.21;1.26;1.04;1.01;1.4;2.75;6.5;15;2.75;1.4;1.08;1.01;0;0;0;0;4;1;0;1;2;3;1;2019-07-26 18:00:00;-1;0;0;0;0;0;1;1;3;4;2;4;7;6;0;0;4;5;0;9;1;71;67;102;100;1.5;1.21;2.71;1;1;1;1;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ajaccio;Le Havre;1.57;1.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;Y;Y;Y;Y;N;N;Y
647191;490;497;2019/2020;complete;51276;1;-1;8,54,83;;3;0;3;8;3;11;2;2;1;2;0;1;8;6;3;4;11;10;13;16;58;42;1;3;1.67;3.6;5.4;1.07;1.4;2.25;4.25;8.25;7.75;2.85;1.62;1.21;1.06;2.2;1.62;2;1.71;4.33;1.2;1.17;1.22;2.05;2.35;2.05;5;2.1;2.35;4.75;0;0;1.29;1.53;2;2.5;3.7;3.2;2.3;1.8;1.44;1.22;1.51;7.5;3.08;1.55;7;2.85;2.45;6.6;1.53;3.13;7.4;19.5;2.4;1.33;1.07;1.01;1.3;2.25;5.25;10.5;3.25;1.56;1.13;1.02;0;0;0;0;3;1;0;2;0;2;1;2019-07-26 18:00:00;490;0;0;0;0;0;1;1;3;3;5;0;6;5;0;2;1;1;2;2;1;75;46;99;80;1.8;1.39;3.18;1;0;1;0;0;0;1;1;1;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Clermont;Châteauroux;1.71;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;Y;Y;Y;N;N;N;N
647192;447;484;2019/2020;complete;51276;1;-1;;;0;0;0;6;3;9;0;3;1;1;0;0;2;4;5;3;7;7;15;15;52;48;1;1;2.25;3.05;3.45;1.07;1.43;2.3;4.4;8.75;7.5;2.75;1.59;1.2;1.05;1.95;1.77;2.45;1.47;3.4;1.3;1.28;1.28;1.67;2.8;1.95;4.1;2.5;2.3;3.7;0;0;1.29;1.53;2;2.5;3.7;3.2;2.3;1.73;1.44;1.22;1.69;7;2.59;1.75;6.75;2.4;3.3;4.9;1.53;3.14;7.6;19.5;2.4;1.33;1.07;1.01;1.3;2.35;5.25;10.5;3.25;1.53;1.13;1.02;0;0;0;0;0;0;0;0;0;0;0;2019-07-26 18:00:00;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;0;1;1;0;2;1;75;51;107;81;1.13;1.1;2.23;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Nancy;Orléans;1.71;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;N;N;N;N;N;N;N
647193;482;486;2019/2020;complete;51276;1;-1;;43,54;0;2;2;1;5;6;4;2;2;1;0;0;3;6;2;6;5;12;12;15;39;61;2;1;3.3;3.05;2.3;1.08;1.45;2.4;4.6;9.25;7.25;2.65;1.56;1.18;1.04;2;1.74;3.15;1.3;2.5;1.5;1.57;1.28;1.34;3.75;1.95;3;3.4;2.25;2.7;0;0;1.29;1.53;2;2.5;3.7;3.2;2.3;1.73;1.44;1.22;2.48;7;1.69;2.25;6.5;1.85;4.75;3.3;1.55;3.26;7.9;20;2.36;1.31;1.06;1.01;1.3;2.4;5.25;11.5;3.2;1.5;1.12;1.01;0;0;0;0;2;0;1;0;1;1;1;2019-07-26 18:00:00;486;0;0;0;0;0;1;1;1;4;0;1;5;1;0;1;2;0;1;2;1;47;56;100;90;0.88;1.58;2.46;0;1;0;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Niort;Troyes;1.21;1.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;Y;Y;N;N;N;N;N
647194;3906;449;2019/2020;complete;51276;1;-1;33;66,84;1;2;3;5;2;7;1;2;1;0;0;0;5;6;11;5;16;11;18;12;48;52;1;0;3.35;3.2;2.2;1.07;1.41;2.25;4.25;8.25;7.75;2.85;1.61;1.21;1.06;1.95;1.77;3.55;1.24;2.5;1.5;1.67;1.28;1.28;4;2;2.8;3.7;2.3;2.5;0;0;1.29;1.53;1.95;2.5;3.7;3.2;2.3;1.73;1.44;1.22;2.71;7;1.64;2.35;6.75;1.75;5.2;3.1;1.45;3.1;7.75;19.5;2.55;1.33;1.05;1.01;1.3;2.15;5.25;10.5;3.25;1.61;1.13;1.02;0;0;0;0;3;1;0;0;2;2;1;2019-07-27 13:00:00;449;0;0;0;0;0;1;1;2;1;3;1;3;4;0;0;1;0;0;1;1;82;79;81;104;1.94;1.69;3.63;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Le Mans;Lens;1.29;1.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;Y;Y;Y;N;N;N;Y
647195;448;494;2019/2020;complete;51276;1;-1;11,55,77;;3;0;3;8;2;10;5;0;0;3;0;1;5;3;5;1;10;4;14;14;54;46;0;4;2.1;3.15;3.7;1.1;1.54;2.65;5.4;11;6.45;2.4;1.45;1.14;1.03;2.25;1.59;1.91;1.77;3.5;1.28;1.22;1.28;1.78;2.75;1.87;4.75;2.4;2.15;4.4;0;0;1.4;1.97;2.2;3.2;4.5;2.7;1.83;1.57;1.29;1.15;1.59;6.85;2.84;1.7;5.5;2.7;2.55;5.45;1.6;3.8;9.5;29;2.2;1.22;1.03;1.01;1.4;2.9;6.75;16;2.7;1.36;1.07;1.01;0;0;0;0;3;1;0;2;0;2;1;2019-07-29 18:45:00;448;0;0;0;0;0;1;1;4;0;4;2;4;6;0;2;0;2;2;2;1;87;38;141;97;1.62;0.75;2.37;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Lorient;Paris;2;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2396;28;Y;Y;Y;N;N;N;N
