ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
456200;38;49;2018/2019;complete;3563;1;-1;23,82,90;57;3;1;4;7;2;9;4;2;1;4;0;0;6;6;5;1;11;7;5;21;67;33;1;4;1.31;6;9.99;1;1.07;1.29;1.74;3;29;8;3.4;1.95;1.38;1.71;2;2.1;1.66;15;1.03;1.02;1.08;4.6;1.46;3.25;8.5;1.4;3.6;8.5;0;0;0;0;1.72;0;0;0;0;2;0;0;1.14;10;7;1.22;29;4.5;2.2;29;0;0;0;0;0;0;0;0;1.16;1.89;3.95;9;4.8;1.87;1.22;1.07;0;0;0;0;4;1;0;2;1;3;1;2018-08-24 18:30:00;38;0;0;0;0;0;1;1;6;1;1;1;7;2;1;4;0;0;5;0;1;46;20;116;87;1.46;1.02;2.48;1;0;1;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Bayern München;Hoffenheim;2.47;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;Y;Y;Y;N;N;Y
456201;33;46;2018/2019;complete;3563;1;-1;21,40,43,90;1;4;1;5;7;9;16;4;4;2;2;0;0;6;8;2;3;8;11;9;11;46;54;2;2;1.78;4.11;4.44;1.01;1.16;1.56;2.4;4.25;17;4.8;2.35;1.53;1.22;1.59;2.2;2.75;1.4;6.5;1.11;1.18;1.27;2.15;2.12;2.48;4.5;1.95;2.75;4;0;0;0;0;1.83;0;0;0;0;1.83;0;0;1.53;7.5;3.1;1.5;15;2.62;3.25;9.5;0;0;0;0;0;0;0;0;1.28;2.37;5.5;15;3.5;1.53;1.14;1.03;0;0;0;0;5;3;1;1;0;1;4;2018-08-26 16:00:00;33;0;0;0;0;0;1;1;4;1;3;8;5;11;0;2;2;0;2;2;1;26;67;84;132;1.12;1.75;2.87;0;0;0;0;0;0;1;1;0;1;2;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Borussia Dortmund;RB Leipzig;2.59;1.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;Y;Y;Y;Y;N;Y
456202;39;40;2018/2019;complete;3563;1;-1;55,58;;2;0;2;9;5;14;1;1;1;2;0;0;8;4;5;8;13;12;13;11;49;51;1;2;2.89;3.58;2.47;1.01;1.16;1.53;2.35;4.33;7.5;5.5;2.5;1.62;1.22;1.48;2.45;4.33;1.2;4.33;1.2;1.53;1.22;1.44;2.95;2.35;2.9;2.75;2.75;2.62;0;0;0;0;1.8;0;0;0;0;1.9;0;0;2.04;7;2.1;1.95;17;1.95;6;5.5;0;0;0;0;0;0;0;0;1.28;2.25;5.5;15;3.5;1.57;1.14;1.03;0;0;0;0;2;0;0;2;0;2;0;2018-08-25 16:30:00;39;0;0;0;0;0;1;1;4;2;5;3;6;8;0;0;1;2;0;3;1;47;47;106;113;1.73;1.39;3.11;2;0;1;0;1;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Borussia M'gladbach;Bayer Leverkusen;1.76;1.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;Y;N;N;N;N;N
456203;47;127;2018/2019;complete;3563;1;-1;27;;1;0;1;8;4;12;0;0;2;2;0;0;4;4;3;6;7;10;15;10;49;51;2;2;2.15;3.41;3.68;1.05;1.33;2.05;3.7;8.5;9;3.13;1.73;1.22;1.07;1.95;1.77;2.2;1.61;4.33;1.2;1.17;1.25;1.95;2.35;2.05;5.25;2.1;2.4;4.5;0;0;0;0;1.83;2.1;0;0;0;1.83;1.66;0;1.66;7;2.62;1.5;9;3;2.75;7.5;0;0;0;0;0;0;0;0;1.44;3.25;9;26;2.62;1.33;1.07;1.01;0;0;0;0;1;1;0;0;0;0;1;2018-08-25 13:30:00;47;0;0;0;0;0;1;1;3;1;5;3;4;8;0;1;2;1;1;3;1;35;28;84;125;0.98;1.13;2.12;0;1;0;0;0;1;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hertha BSC;Nürnberg;1.41;0.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;N;N;N;N;N;N
456204;37;52;2018/2019;complete;3563;1;-1;85;76;1;1;2;4;3;7;0;1;0;0;0;0;4;5;10;5;14;10;8;7;55;45;0;0;2.12;3.59;3.57;1.02;1.21;1.69;2.75;4.9;11.5;4.55;2.29;1.45;1.15;1.69;2.05;2.62;1.44;5.5;1.14;1.22;1.17;2.05;2.24;2.35;4.9;2;2.62;4;0;0;0;0;1.83;0;0;0;0;1.83;0;0;1.4;8;3.75;1.5;13;2.75;3.2;8.5;0;0;0;0;0;0;0;0;1.33;2.5;6.5;17;3.25;1.5;1.11;1.02;0;0;0;0;2;0;0;1;1;2;0;2018-08-25 13:30:00;-1;0;0;0;0;0;1;-1;3;2;1;1;5;2;0;0;0;0;0;0;1;68;36;142;112;1.67;1.26;2.92;0;0;0;0;0;0;1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Werder Bremen;Hannover 96;1.76;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;Y;N;N;N;N;Y
456205;42;44;2018/2019;complete;3563;1;-1;;10,82;0;2;2;6;4;10;4;1;1;2;0;0;7;3;10;7;17;10;7;13;52;48;1;2;2.5;3.35;3.01;1.06;1.36;2.1;3.9;9;8.5;2.9;1.67;1.22;1.08;1.87;1.8;2.75;1.4;3.4;1.3;1.35;1.3;1.53;3.05;1.95;3.6;2.75;2.3;3.1;0;0;0;1.72;0;0;0;0;2;0;0;0;2.1;6.5;2.1;1.9;8.5;2.2;4;5;0;0;0;0;0;0;0;0;1.44;3.25;10;26;2.62;1.33;1.06;1.01;0;0;0;0;2;0;1;0;1;1;1;2018-08-25 13:30:00;44;0;0;0;0;0;1;1;0;3;6;1;3;7;0;0;1;2;0;3;1;44;39;98;112;1.88;1.14;3.02;0;0;0;0;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Freiburg;Eintracht Frankfurt;1.47;1.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;Y;N;N;N;N;N
456206;34;51;2018/2019;complete;3563;1;-1;76;;1;0;1;6;3;9;3;1;1;2;0;0;4;4;5;6;9;10;16;7;47;53;1;2;2.97;3.34;2.54;1.07;1.4;2.25;4.2;9;8.5;3;1.62;1.22;1.06;1.87;1.83;3;1.36;3;1.36;1.47;1.35;1.47;3.4;2.05;3.2;3;2.3;2.87;0;0;0;1.72;0;0;0;0;2;0;0;0;2.04;6.5;2.1;2.2;8;1.9;4.5;4.33;0;0;0;0;0;0;0;0;1.5;3.4;10;26;2.5;1.3;1.06;1.01;0;0;0;0;1;0;0;1;0;1;0;2018-08-26 13:30:00;34;0;0;0;0;0;1;1;4;0;2;3;4;5;0;0;1;2;0;3;1;46;30;104;124;1.19;1.15;2.34;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Mainz 05;Stuttgart;1.71;0.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;N;N;N;N;N;N
456207;43;35;2018/2019;complete;3563;1;-1;33,90;85;2;1;3;7;2;9;2;2;5;3;0;1;8;5;3;2;11;7;15;12;59;41;5;5;2.99;3.4;2.49;1.07;1.41;2.25;4.25;10;7.5;2.7;1.53;1.2;1.06;1.91;1.8;3.25;1.33;2.75;1.4;1.53;1.3;1.35;3.65;1.91;3.15;3.2;2.3;2.75;0;0;0;0;2;0;0;0;0;1.72;0;0;2.2;6.5;1.95;2.25;7.5;1.95;4.75;3.75;0;0;0;0;0;0;0;0;1.5;3.4;10;26;2.5;1.3;1.06;1.01;0;0;0;0;3;1;0;1;1;2;1;2018-08-25 13:30:00;43;0;0;0;0;0;1;1;6;1;1;1;7;2;2;1;3;3;3;6;1;41;35;89;103;1.56;1.06;2.62;0;1;0;1;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wolfsburg;Schalke 04;1.71;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;Y;Y;N;N;N;Y
456208;545;50;2018/2019;complete;3563;1;-1;39;57,76;1;2;3;7;5;12;1;3;1;0;0;0;6;8;3;4;9;12;12;11;51;49;1;0;2.42;3.37;3.12;1.04;1.31;1.95;3.45;8.2;9;3.3;1.78;1.29;1.1;1.77;1.91;3.25;1.33;3.5;1.28;1.42;1.26;1.5;3.15;2.05;3.35;2.75;2.4;3;0;0;0;0;2;0;0;0;0;1.72;0;0;1.83;6.5;2.37;2.05;9.5;2.05;4.33;4.75;0;0;0;0;0;0;0;0;1.4;3;8;23;2.75;1.36;1.08;1.01;0;0;0;0;3;1;0;0;2;2;1;2018-08-25 13:30:00;50;0;0;0;0;0;1;1;0;4;7;1;4;8;0;0;1;0;0;1;1;40;51;107;123;1.29;1.7;2.99;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Fortuna Düsseldorf;Augsburg;1.59;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;34;Y;Y;Y;N;N;N;Y
456209;52;33;2018/2019;complete;3563;2;-1;;;0;0;0;4;1;5;2;4;0;0;0;0;0;4;4;4;4;8;12;5;56;44;0;0;5.49;4.21;1.63;1.01;1.16;1.56;2.4;3.3;8;5;2.5;1.65;1.28;1.59;2.2;7;1.1;2.75;1.4;2.4;1.25;1.13;5.5;2.48;2.04;4.6;2.75;1.83;0;0;1.31;1.69;2;2.53;3.46;3.4;2.1;1.74;1.52;1.3;3.58;8.3;1.48;2.9;8;1.5;11;3.25;0;0;0;0;0;0;0;0;1.27;2.32;5.5;10.5;3.78;1.61;1.15;1.02;0;0;0;0;0;0;0;0;0;0;0;2018-08-31 18:30:00;-1;0;0;0;0;0;1;-1;1;1;3;0;2;3;0;0;0;0;0;0;1;50;28;116;130;0.63;1.01;1.64;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hannover 96;Borussia Dortmund;0.94;1.88;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1636;34;N;N;N;N;N;N;N
