ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
620302;6328;6781;2019/2020;complete;51019;1;-1;61,84;;2;0;2;2;10;12;2;1;2;3;0;0;5;5;1;8;6;13;20;25;47;53;2;3;1.95;3.7;3.25;1;1.13;1.45;2.15;3.6;14;5.35;2.6;1.65;1.25;1.43;2.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2019-07-11 17:00:00;6328;0;0;0;0;0;1;1;1;6;1;4;7;5;1;0;1;3;1;4;1;0;0;0;0;1.21;1.89;3.1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Illertissen;Memmingen;1.62;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2280;22;Y;Y;N;N;N;N;N
620303;6832;6754;2019/2020;complete;51019;1;-1;2,42,66,72;;4;0;4;5;6;11;2;3;1;3;0;0;5;4;2;9;7;13;13;19;47;53;1;3;2.9;3.35;2.25;1.01;1.16;1.54;2.4;4.15;12.5;4.7;2.35;1.53;1.2;1.49;2.5;0;0;0;0;0;0;0;3;2.3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;2;2019-07-12 16:30:00;6832;0;0;0;0;0;1;1;2;3;3;3;5;6;1;1;0;2;2;2;1;0;0;0;0;1.11;1.6;2.72;0;0;0;0;0;0;1;1;1;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Viktoria Aschaffenburg;Bayreuth;2.33;1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2280;25;Y;Y;Y;Y;N;N;N
620305;6796;6753;2019/2020;complete;51019;1;-1;53;39,85,90;1;3;4;2;2;4;2;4;3;2;0;0;4;7;1;4;5;11;16;15;41;59;3;2;2.25;3.4;2.85;1.02;1.21;1.71;2.75;5.05;10.75;4;2.05;1.4;1.14;1.59;2.25;0;0;0;0;0;0;0;2.63;2.25;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;2;3;1;2019-07-12 17:00:00;6753;0;0;0;0;0;1;1;1;1;1;1;2;2;0;0;3;2;0;5;1;0;0;0;0;0.78;1.4;2.18;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Buchbach;Augsburg II;1.85;1.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2280;25;Y;Y;Y;Y;N;N;Y
620306;6805;6807;2019/2020;complete;51019;1;-1;21;32,38,41;1;3;4;4;3;7;1;7;2;2;0;0;6;6;4;4;10;10;13;17;50;50;2;2;3.15;3.55;2.05;1.01;1.19;1.65;2.6;4.65;11.5;4.25;2.15;1.44;1.16;1.57;2.3;0;0;0;0;0;0;0;3.4;2.25;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;4;2019-07-13 15:00:00;6807;0;0;0;0;0;1;1;2;0;2;3;2;5;1;0;1;2;1;3;1;0;0;0;0;1.53;1.55;3.09;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Garching;Nürnberg II;0.33;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2280;20;Y;Y;Y;Y;N;N;Y
620307;6345;6764;2019/2020;complete;51019;1;-1;27,43,50,88;61,90;4;2;6;4;7;11;3;4;1;2;0;0;8;13;3;5;11;18;15;12;44;56;1;2;3.75;3.65;1.83;1.01;1.2;1.67;2.7;4.85;11;4.1;2.1;1.42;1.15;1.65;2.15;0;0;0;0;0;0;0;4;2.3;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;2;4;2;2019-07-14 12:00:00;6345;0;0;0;0;0;1;1;1;2;3;5;3;8;1;2;0;0;3;0;1;0;0;0;0;1.61;2.62;4.23;0;0;0;0;0;0;1;1;0;0;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1860 Rosenheim;Wacker Burghausen;1.08;1.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2280;25;Y;Y;Y;Y;Y;Y;Y
620308;6302;10169;2019/2020;complete;51019;1;-1;34,67;89;2;1;3;5;0;5;1;1;4;3;0;1;7;6;11;4;18;10;18;19;60;40;4;4;1.37;4.65;6.85;1;1.12;1.43;2.1;3.5;14.25;5.45;2.65;1.67;1.27;1.62;2.15;0;0;0;0;0;0;0;1.73;2.63;6.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;2;1;2019-07-15 18:15:00;6302;0;0;0;0;0;1;1;2;0;3;0;2;3;0;2;4;2;2;6;1;0;0;0;0;2.12;1.46;3.59;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Schweinfurt;Aubstadt;2.7;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2280;23;Y;Y;Y;N;N;N;Y
620309;6328;6796;2019/2020;complete;51019;2;-1;;30;0;1;1;3;6;9;6;1;2;4;0;0;4;5;6;2;10;7;13;15;62;38;2;4;2.1;3.4;3.15;1.01;1.19;1.65;2.65;4.7;11.25;4.2;2.15;1.43;1.16;1.56;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2019-07-19 17:00:00;6796;0;0;0;0;0;1;1;2;2;1;4;4;5;0;1;2;3;1;5;1;0;0;0;0;1.4;1.07;2.47;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;0;50;50;2;2;2;1;Illertissen;Buchbach;1.62;0.92;3;0;3;0;50;50;50;0;0;50;50;50;1.21;0;1.21;2280;25;Y;N;N;N;N;N;N
620310;6753;6345;2019/2020;complete;51019;2;-1;90;;1;0;1;6;1;7;-1;-1;1;3;0;1;6;4;11;6;17;10;-1;-1;47;53;1;4;1.87;3.7;3.5;1.01;1.18;1.61;2.5;4.45;11.75;4.4;2.2;1.48;1.18;1.57;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;2019-07-19 17:00:00;6753;0;0;0;0;0;1;1;4;1;2;0;5;2;1;1;0;3;2;3;1;0;0;0;0;2.17;1.36;3.54;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Augsburg II;1860 Rosenheim;1.31;0.58;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;2280;25;Y;N;N;N;N;N;N
620311;6764;6830;2019/2020;complete;51019;2;-1;;35;0;1;1;2;3;5;-1;-1;3;2;0;0;5;2;10;6;15;8;-1;-1;49;51;3;2;1.47;4.5;5.5;1.01;1.15;1.51;2.3;3.95;13;4.9;2.4;1.56;1.22;1.67;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2019-07-19 17:00:00;6830;0;0;0;0;0;1;1;0;1;2;2;1;4;0;0;3;2;0;5;1;0;0;0;0;1.65;0.86;2.52;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wacker Burghausen;TSV 1896 Rain am Lech;1.25;1.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2280;25;Y;N;N;N;N;N;N
620312;6802;6302;2019/2020;complete;51019;2;-1;;;0;0;0;4;7;11;2;2;0;0;0;0;7;7;7;8;14;15;12;10;54;46;0;0;2.95;3.55;2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-07-20 12:00:00;-1;0;0;0;0;0;1;-1;3;3;1;4;6;5;0;0;0;0;0;0;1;0;0;0;0;1.58;1.67;3.25;0;0;0;0;0;0;1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Greuther Fürth II;Schweinfurt;1.46;1.31;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2280;23;N;N;N;N;N;N;N
