ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1339426;6331;10075;2021/2022;complete;73077;1;-1;60;53;1;1;2;4;5;9;-1;-1;-1;-1;-1;-1;6;8;2;5;8;13;-1;-1;51;49;-1;-1;1.75;3.96;4.22;1.05;1.24;1.6;2.5;4.25;9.5;3.6;2.2;1.43;1.17;1.73;2.0;2.9;1.43;5.5;1.16;1.23;1.25;2.02;2.38;2.3;4.0;2.1;2.74;3.75;0;0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;1.88;0.0;0.0;0;0;0;1.53;16.0;2.6;3.5;7.75;1.3;2.4;6.0;15.0;3.32;1.53;1.13;1.03;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;2;0;0;1;1;2;0;2021-08-13;-1;0;0;0;0;0;1;-1;2;1;2;4;3;6;-1;-1;-1;-1;-1;-1;1;48;37;91;86;1.28;1.65;2.93;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Schwarz-Weiß Rehden;HSC Hannover;1.27;0.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;30;Y;Y;N;N;N;N;Y
1339427;18964;6779;2021/2022;complete;73077;1;-1;25,59,83;;3;0;3;5;4;9;-1;-1;-1;-1;-1;-1;9;3;4;5;13;8;-1;-1;46;54;-1;-1;1.61;3.8;4.15;1.04;1.19;1.54;2.25;3.75;11.0;4.1;2.2;1.53;1.22;1.61;2.1;2.8;1.44;6.0;1.15;1.17;1.22;2.31;2.1;2.4;4.33;1.91;2.88;4.0;0;0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.44;17.25;2.75;3.2;10.0;1.29;2.31;5.5;15.0;3.5;1.57;1.14;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;3;1;0;2;0;2;1;2021-08-13;18964;0;0;0;0;0;1;-1;4;2;1;2;6;3;-1;-1;-1;-1;-1;-1;1;33;43;93;102;1.69;1.04;2.73;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;VfB Lubeck;St. Pauli II;1.87;0.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;30;Y;Y;Y;N;N;N;N
1339425;6291;668621;2021/2022;complete;73077;1;-1;34,61,72,77;;4;0;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.88;3.6;3.3;1.03;1.16;1.65;2.18;3.45;13.0;4.45;2.2;1.64;1.25;1.5;2.5;3.75;1.28;5.5;1.17;1.36;1.2;1.73;2.2;2.5;4.0;2.0;2.75;3.6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.5;14.0;2.5;4.0;8.25;1.29;2.21;5.5;15.0;3.5;1.64;1.14;1.03;1.14;1.67;3.25;7.0;5.5;2.1;1.33;1.1;0;0;0;0;4;1;0;3;0;3;1;2021-08-13;6291;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Eintracht Norderstedt;Phonix Lubeck;1.47;1.47;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;30;Y;Y;Y;Y;N;N;N
1339424;6790;564;2021/2022;complete;73077;1;-1;36,61,90;;3;0;3;1;5;6;-1;-1;-1;-1;-1;-1;8;6;4;7;12;13;-1;-1;45;55;-1;-1;2.1;3.25;2.9;1.05;1.24;1.67;2.5;4.2;9.75;3.6;2.0;1.43;1.18;1.57;2.15;3.85;1.27;4.0;1.25;1.43;1.28;1.6;2.75;2.2;3.4;2.5;2.67;3.1;0;0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;1.85;0.0;0.0;0;0;0;1.73;16.0;2.25;4.25;6.0;1.3;2.4;6.0;17.0;3.32;1.53;1.13;1.03;1.2;2.0;4.0;11.0;4.33;1.73;1.22;1.05;0;0;0;0;3;1;0;2;0;2;1;2021-08-13;6790;0;0;0;0;0;1;-1;1;1;0;4;2;4;-1;-1;-1;-1;-1;-1;1;36;27;86;93;1.58;1.44;3.02;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;VfB Oldenburg;Werder Bremen II;2.36;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;28;Y;Y;Y;N;N;N;N
1339428;6808;6792;2021/2022;complete;73077;1;-1;;2,13,53,68,90;0;5;5;5;4;9;-1;-1;-1;-1;-1;-1;2;8;8;6;10;14;-1;-1;48;52;-1;-1;2.25;3.3;2.65;1.04;1.19;1.56;2.3;3.65;11.0;4.0;2.2;1.51;1.22;1.48;2.4;4.25;1.24;4.65;1.2;1.47;1.26;1.57;2.75;2.38;3.1;2.5;2.78;2.88;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.73;18.75;2.1;5.25;6.25;1.29;2.22;5.5;15.0;3.5;1.62;1.14;1.03;1.17;1.73;3.4;8.0;5.0;2.0;1.3;1.08;0;0;0;0;5;0;2;0;3;3;2;2021-08-14;6792;0;0;0;0;0;1;-1;1;0;4;4;1;8;-1;-1;-1;-1;-1;-1;1;33;33;75;68;1.01;1.68;2.69;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Jeddeloh;Hannover 96 II;1.53;1.29;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;28;Y;Y;Y;Y;Y;N;N
1339431;10017;6798;2021/2022;complete;73077;1;-1;48;;1;0;1;7;6;13;-1;-1;0;1;0;0;5;2;4;3;9;5;-1;-1;52;48;0;1;1.8;3.55;3.55;1.04;1.2;1.56;2.3;3.8;11.0;3.95;2.2;1.5;1.21;1.54;2.2;3.15;1.36;5.25;1.17;1.29;1.26;1.87;2.4;2.3;3.6;2.25;2.76;3.25;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.62;17.25;2.3;3.95;8.0;1.3;2.31;5.5;15.0;3.4;1.57;1.14;1.03;1.17;1.73;3.4;8.0;5.0;2.0;1.3;1.08;0;0;0;0;1;0;0;1;0;1;0;2021-08-15;10017;0;0;0;0;0;1;1;4;3;3;3;7;6;0;1;0;0;1;0;1;31;26;60;51;1.14;0.65;1.79;0;0;0;0;0;0;1;1;0;0;0;2;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Holstein Kiel II;Altona 93;1.8;0.47;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;30;Y;N;N;N;N;N;N
1339430;6765;6315;2021/2022;complete;73077;1;-1;6,37;16,45,52,90;2;4;6;-1;-1;-1;-1;-1;3;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;2;2.2;3.3;2.9;1.06;1.27;1.75;2.75;4.75;8.75;3.3;1.95;1.36;1.15;1.73;2.0;3.2;1.35;3.8;1.27;1.39;1.29;1.63;2.63;2.25;3.4;2.4;2.58;3.2;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.67;10.75;2.25;4.2;5.75;1.34;2.57;6.5;19.0;3.1;1.47;1.11;1.02;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;6;2;2;0;2;2;4;2021-08-15;6315;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;3;2;1;5;-1;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;1;1;1;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Hamburger SV II;Drochtersen / Assel;1.67;1.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;30;Y;Y;Y;Y;Y;Y;Y
1339433;6301;6794;2021/2022;complete;73077;1;-1;32;72,77;1;2;3;-1;-1;-1;-1;-1;3;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;1;2.18;3.6;3.11;1.0;1.2;1.71;2.65;4.74;11.0;4.1;2.11;1.42;1.14;1.62;2.2;3.8;1.27;3.75;1.28;1.53;1.28;1.48;3.1;2.25;3.0;2.75;2.63;2.63;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;2.05;11.25;1.8;5.5;5.0;1.32;2.48;6.5;17.0;3.2;1.5;1.11;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;3;1;0;0;2;2;1;2021-08-15;6794;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;2;1;1;3;-1;0;0;0;0;0.0;0.0;0.0;1;1;1;1;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;LSK Hansa;Borussia Hildesheim;0.93;0.86;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;28;Y;Y;Y;N;N;N;Y
1339432;10186;10293;2021/2022;complete;73077;1;-1;-1,-1,-1,-1,-1,-1,-1;;7;0;7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.43;4.0;6.0;1.03;1.16;1.49;2.15;3.5;13.0;4.55;2.35;1.57;1.25;1.57;2.15;2.7;1.47;6.75;1.12;1.14;1.19;2.5;1.95;2.6;4.75;1.8;3.02;4.5;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.36;21.0;3.0;3.1;11.0;1.29;2.16;5.5;15.0;3.5;1.65;1.14;1.03;1.14;1.67;3.25;7.0;5.5;2.1;1.33;1.1;0;0;0;0;7;0;0;0;0;0;0;2021-08-15;10186;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Teutonia Hamburg;Heider SV;1.93;0.27;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;30;Y;Y;Y;Y;Y;Y;N
1339435;6779;6765;2021/2022;complete;73077;2;-1;;-1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.3;3.65;2.56;1.04;1.2;1.6;2.35;3.9;11.0;3.9;2.19;1.49;1.2;1.5;2.3;3.95;1.26;4.05;1.25;1.44;1.27;1.59;2.88;2.3;3.0;2.63;2.69;2.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.8;16.5;2.05;5.5;5.5;1.3;2.38;5.5;15.0;3.4;1.53;1.14;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;1;0;0;0;0;0;0;2021-08-18;6765;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;St. Pauli II;Hamburger SV II;1.53;1.53;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6279;30;Y;N;N;N;N;N;N
