ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2996371;6792;10186;2022/2023;complete;92431;1;-1;63,90;;2;0;2;10;3;13;-1;-1;-1;-1;-1;-1;8;3;11;5;19;8;-1;-1;60;40;-1;-1;3.6;3.5;1.8;1.03;1.19;1.58;2.3;4.2;12.5;4.4;2.24;1.53;1.2;1.62;2.2;0;0;0;0;2.09;1.23;1.22;4.5;2.38;2.2;3.75;2.75;2.05;0;0;0;0;2.2;0;0;0;0;0;0;0;0;0;0;2.6;12.5;1.5;0;0;1.3;2.35;5.5;15;3.25;1.53;1.13;1.03;1.17;1.8;3.5;8;5;1.91;1.29;1.08;0;0;0;0;2;0;0;2;0;2;0;2022-07-30 11:00:00;6792;1;0;0;0;0;1;-1;4;3;6;0;7;6;-1;-1;-1;-1;-1;-1;1;93;46;115;98;2.42;1.06;3.48;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hannover 96 II;Teutonia Hamburg;1.9;1.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7868;19;Y;Y;N;N;N;N;N
2996372;14393;6776;2022/2023;complete;92431;1;-1;;8,11;0;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4.75;3.75;1.55;1.03;1.16;1.54;2.4;4.04;14;4.64;2.32;1.54;1.19;1.73;2;0;0;0;0;2.62;1.19;1.12;5.5;2.4;1.95;5;2.97;1.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;14;1.33;0;0;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;1.17;1.8;3.5;8;5;1.91;1.29;1.08;0;0;0;0;2;0;2;0;0;0;2;2022-07-30 12:00:00;6776;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Kickers Emden;Weiche Flensburg;0.38;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7868;20;Y;Y;N;N;N;N;N
2996373;6765;18964;2022/2023;complete;92431;1;-1;14;77;1;1;2;4;5;9;-1;-1;-1;-1;-1;-1;6;6;1;9;7;15;-1;-1;47;53;-1;-1;3.6;4.2;1.7;1.04;1.24;1.57;2.75;5;10.5;3.7;2.35;1.38;1.14;1.62;2.2;0;0;0;0;1.95;1.26;1.22;4.33;2.38;2.25;4;2.6;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2.63;10.5;1.5;0;0;1.33;2.5;6.5;17;3.25;1.5;1.11;1.03;1.17;1.8;3.5;8;5;1.91;1.29;1.08;0;0;0;0;2;1;0;0;1;1;1;2022-09-15 16:15:00;-1;1;68;29;13;0;1;-1;3;3;1;2;6;3;-1;-1;-1;-1;-1;-1;1;43;65;84;96;1.18;1.83;3.01;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24;55;82;88;93;62;86;75;69;9.15;0;-1.71;3.57;Hamburger SV II;VfB Lübeck;1.95;2.24;1.67;2.71;1.67;2.71;77;45;18;13;7;79;72;50;1.95;1.3;3.25;7868;21;Y;Y;N;N;N;N;Y
2996374;668621;6779;2022/2023;complete;92431;1;-1;54;60,75,88;1;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.1;3.6;2.75;1.03;1.14;1.58;2.38;3.82;14.5;4.8;2.3;1.61;1.22;1.57;2.25;0;0;0;0;1.29;1.25;1.88;2.38;2.38;3.75;2.1;2.8;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.53;18.25;2.5;0;0;1.3;2.5;6;17;3.4;1.5;1.13;1.03;1.17;1.8;3.5;8;5;1.91;1.29;1.08;0;0;0;0;4;0;0;1;3;4;0;2022-07-31 12:00:00;6779;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Phönix Lübeck;St. Pauli II;1.4;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7868;20;Y;Y;Y;Y;N;N;Y
2996375;6291;6763;2022/2023;complete;92431;1;-1;;;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.75;3.9;3.85;1.04;1.17;1.64;2.44;4.3;12;4.44;2.18;1.49;1.17;1.62;2.2;0;0;0;0;1.28;1.26;1.88;2.25;2.38;4;2;2.73;3.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;16.5;2.6;0;0;1.33;2.5;6.5;19;3.25;1.5;1.11;1.02;1.17;1.73;3.4;8;5;2;1.3;1.08;0;0;0;0;0;0;0;0;0;0;0;2022-07-31 12:00:00;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Eintracht Norderstedt;Havelse;1.58;1.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7868;19;N;N;N;N;N;N;N
2996376;6315;6808;2022/2023;complete;92431;1;-1;55,88;30,80,90;2;3;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;3.45;3.15;1.01;1.23;1.67;2.88;5.25;10.5;3.72;1.96;1.36;1.12;1.73;2;0;0;0;0;1.32;1.28;1.75;2.5;2.2;4;2.25;2.58;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.57;10.5;2.5;0;0;1.36;2.63;7;19;3;1.44;1.1;1.02;1.2;1.91;4;10;4.33;1.8;1.22;1.06;0;0;0;0;5;0;1;2;2;4;1;2022-07-31 13:00:00;6808;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Drochtersen / Assel;Jeddeloh;1.5;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7868;20;Y;Y;Y;Y;Y;N;Y
2996377;6794;10163;2022/2023;complete;92431;1;-1;7;3;1;1;2;7;4;11;-1;-1;-1;-1;-1;-1;7;6;10;8;17;14;-1;-1;54;46;-1;-1;2.2;3.4;2.75;1;1.2;1.66;2.65;4.74;11;4.1;2.15;1.42;1.14;1.57;2.25;0;0;0;0;1.42;1.28;1.6;2.75;2.25;3.25;2.5;2.63;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.73;11.25;2.2;0;0;1.33;2.63;6.5;19;3.25;1.44;1.11;1.02;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;2;1;1;0;0;0;2;2022-07-31 13:00:00;-1;1;0;0;0;0;1;-1;3;1;4;3;4;7;-1;-1;-1;-1;-1;-1;1;70;72;86;101;2.06;1.82;3.88;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Borussia Hildesheim;Atlas Delmenhorst;1.21;1.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7868;19;Y;Y;N;N;N;N;Y
2996378;10163;10017;2022/2023;complete;92431;2;-1;45,58;77;2;1;3;3;7;10;-1;-1;-1;-1;-1;-1;9;6;5;3;14;9;-1;-1;43;57;-1;-1;2.1;3.4;2.9;1.01;1.15;1.7;2.3;3.94;17;4.74;2.1;1.53;1.19;1.57;2.25;0;0;0;0;1.53;1.27;1.5;2.63;2.25;3.4;2.4;2.74;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.67;17.75;2.25;0;0;1.28;2.2;5;11;3.2;1.55;1.13;1.01;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;3;1;0;1;1;2;1;2022-08-05 17:00:00;10163;1;50;0;0;0;1;-1;1;5;2;2;6;4;-1;-1;-1;-1;-1;-1;1;31;33;73;86;1.74;1.23;2.97;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;50;100;100;50;100;50;50;4;0;-2;3;Atlas Delmenhorst;Holstein Kiel II;1.24;1.25;1;0;1;0;100;50;50;0;0;50;50;50;0;0;0;7868;20;Y;Y;Y;N;N;N;Y
2996379;18964;14393;2022/2023;complete;92431;2;-1;45,54,63;;3;0;3;9;3;12;-1;-1;-1;-1;-1;-1;11;3;9;6;20;9;-1;-1;66;34;-1;-1;1.18;6.5;11;1.01;1.09;1.44;2.05;3.14;17;5.7;2.7;1.7;1.29;2.1;1.67;0;0;0;0;1.09;1.15;2.91;1.57;2.75;9;1.4;3.1;9;0;0;0;0;1.91;1.98;2.4;0;0;2.25;1.83;1.5;0;0;0;1.17;16;5;0;0;1.23;2.05;4.33;9;3.8;1.7;1.19;1.05;1.14;1.67;3.25;7;5.5;2.1;1.33;1.1;0;0;0;0;3;1;0;2;0;2;1;2022-08-05 17:30:00;18964;1;0;0;0;0;1;-1;5;0;4;3;5;7;-1;-1;-1;-1;-1;-1;1;58;22;113;66;2.45;0.94;3.39;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;50;50;0;0;0;0;-1;1;VfB Lübeck;Kickers Emden;2.24;0.38;0;0;0;0;50;50;50;0;0;0;0;0;0;0;0;7868;21;Y;Y;Y;N;N;N;N
2996380;6776;6308;2022/2023;complete;92431;2;-1;3,48;45;2;1;3;1;1;2;-1;-1;-1;-1;-1;-1;6;3;5;1;11;4;-1;-1;50;50;-1;-1;1.42;3.72;5.92;1.02;1.1;1.4;2.1;3.28;16;5.45;2.54;1.67;1.27;1.91;1.8;0;0;0;0;1.02;1.1;4;1.62;2.75;8;1.44;3.48;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;14;4.75;0;0;1.27;2.1;4.6;10;3.5;1.65;1.17;1.04;1.14;1.67;3;6.5;5.5;2.1;1.36;1.11;0;0;0;0;3;1;1;1;0;1;2;2022-08-06 11:30:00;6776;1;0;0;0;0;1;-1;1;0;0;1;1;1;-1;-1;-1;-1;-1;-1;1;49;32;85;87;1.47;0.71;2.18;-1;-1;-1;-1;-1;-1;-1;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;50;50;0;0;0;0;-1;1;Weiche Flensburg;Bremer SV;1.5;1;3;0;3;0;50;50;50;0;0;0;0;0;0;0;0;7868;20;Y;Y;Y;N;N;N;Y
