;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;1279996;668306;6309;2021/2022;complete;70589;1;-1;7,28;7,28;2;2;4;2;7;9;-1;-1;-1;-1;-1;-1;5;7;4;13;9;20;-1;-1;36;64;-1;-1;1.85;3.4;1.78;1.04;1.19;1.57;2.25;3.65;11.0;4.05;2.35;1.51;1.22;1.5;2.5;4.05;1.19;3.95;1.2;1.53;1.27;1.49;3.0;2.3;2.88;2.75;2.73;2.63;0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;2.0;17.5;1.8;5.0;4.7;1.3;2.29;6.0;15.0;3.4;1.58;1.13;1.03;1.14;1.73;3.4;8.0;5.5;2.0;1.3;1.08;0;0;0;0;2;2;0;0;0;0;2;2021-07-23;668306;0;0;0;0;0;1;-1;1;4;1;3;5;4;-1;-1;-1;-1;-1;-1;1;40;71;95;100;1.22;2.26;3.47;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Tasmania Berlin;Babelsberg;0.79;1.16;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;Y;N;N;N;N;N
1;1279987;569;10174;2021/2022;complete;70589;1;-1;12,83,90;12,83,90;3;3;6;3;3;6;-1;-1;-1;-1;-1;-1;8;4;6;5;14;9;-1;-1;41;59;-1;-1;1.2;4.0;3.7;1.04;1.22;1.67;2.5;4.3;10.25;3.65;2.15;1.43;1.17;1.73;2.0;2.45;1.48;5.5;1.11;1.17;1.23;2.25;2.05;2.38;5.0;1.83;2.78;4.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;15.25;3.2;2.65;7.75;1.33;2.63;6.5;17.0;3.25;1.44;1.11;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;4;1;0;2;1;3;1;2021-07-23;569;0;0;0;0;0;1;-1;1;2;2;1;3;3;-1;-1;-1;-1;-1;-1;1;20;29;40;56;1.58;1.06;2.64;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Chemnitzer FC;Tennis Borussia;1.79;1.42;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;Y;Y;Y;N;N;Y
2;1279989;6304;6766;2021/2022;complete;70589;1;-1;4,5,87,89;4,5,87,89;4;4;8;4;5;9;-1;-1;2;1;0;0;8;3;5;3;13;6;-1;-1;36;64;2;1;2.7;3.5;1.38;1.04;1.19;1.57;2.3;3.65;11.0;4.0;2.35;1.51;1.22;1.53;2.38;4.8;1.14;3.05;1.32;1.87;1.25;1.29;4.0;2.38;2.3;3.6;2.79;2.1;0;0;0.0;0.0;1.98;0.0;0.0;0.0;0.0;1.83;0.0;0.0;0.0;0.0;0.0;2.5;18.0;1.53;6.25;3.5;1.33;2.31;6.0;17.0;3.24;1.57;1.13;1.03;1.17;1.73;3.4;8.0;5.0;2.0;1.3;1.08;0;0;0;0;4;2;0;2;0;2;2;2021-07-23;6304;0;0;0;0;0;1;1;2;2;2;3;4;5;0;0;2;1;0;3;1;31;32;79;103;1.61;0.84;2.44;0;0;0;0;0;0;1;1;2;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Germania Halberstadt;Hertha BSC II;1.32;1.37;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;Y;Y;Y;N;N;N
3;1279993;6774;6335;2021/2022;complete;70589;1;-1;63;63;1;1;2;3;1;4;-1;-1;-1;-1;-1;-1;2;2;1;2;3;4;-1;-1;63;37;-1;-1;1.33;4.75;6.5;1.01;1.1;1.4;2.02;3.34;21.0;5.2;2.88;1.71;1.23;2.1;1.68;1.62;2.15;9.75;1.02;1.02;1.08;4.32;1.53;2.88;9.0;1.35;3.5;10.0;0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;1.17;25.0;5.0;1.71;14.0;1.17;2.06;4.38;9.5;4.35;1.68;1.15;1.06;1.12;1.62;3.2;7.5;5.5;2.1;1.29;1.06;0;0;0;0;2;0;0;1;1;2;0;2021-07-24;-1;0;0;0;0;0;1;-1;2;0;1;1;2;2;-1;-1;-1;-1;-1;-1;1;55;25;81;59;0.74;0.58;1.32;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Altglienicke;Optik Rathenow;1.79;0.58;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;Y;N;N;N;N;Y
4;1279995;6777;6771;2021/2022;complete;70589;1;-1;18,20,55,82;18,20,55,82;4;4;8;6;5;11;-1;-1;3;3;0;0;8;8;7;9;15;17;-1;-1;43;57;3;3;1.91;4.1;2.9;1.02;1.13;1.5;2.43;3.72;20.5;4.94;2.4;1.53;1.23;1.48;2.54;3.45;1.25;4.75;1.14;1.36;1.2;1.73;2.4;2.4;3.5;2.27;2.81;3.36;0;0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.62;19.0;2.3;3.95;5.75;1.22;2.21;4.5;10.25;3.85;1.62;1.16;1.06;1.12;1.73;3.3;7.5;5.5;2.04;1.25;1.05;0;0;0;0;6;2;1;2;1;3;3;2021-07-24;6777;0;0;0;0;0;1;1;4;3;2;2;7;4;1;1;2;2;2;4;1;62;72;97;98;1.95;2.15;4.1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Union Fürstenwalde;Auerbach;1.26;0.26;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;Y;Y;Y;Y;Y;Y
5;1279994;6799;1051;2021/2022;complete;70589;1;-1;37;37;1;1;2;7;7;14;-1;-1;-1;-1;-1;-1;7;3;9;12;16;15;-1;-1;41;59;-1;-1;2.39;3.61;2.39;1.03;1.17;1.5;2.38;4.0;19.0;4.5;2.5;1.55;1.22;1.44;2.5;4.2;1.18;3.7;1.24;1.5;1.25;1.5;3.0;2.4;2.88;2.75;2.75;2.6;0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;2.0;20.0;1.8;5.25;4.5;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.14;1.67;3.25;7.0;5.5;2.1;1.33;1.1;0;0;0;0;1;1;0;0;0;0;1;2021-07-24;6799;0;0;0;0;0;1;-1;5;3;2;4;8;6;-1;-1;-1;-1;-1;-1;1;62;79;116;133;1.95;1.73;3.68;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;BAK '07;Carl Zeiss Jena;1.58;1.74;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;N;N;N;N;N;N
6;1279992;6803;6295;2021/2022;complete;70589;1;-1;25;25;1;1;2;4;2;6;-1;-1;-1;-1;-1;-1;4;7;3;2;7;9;-1;-1;58;42;-1;-1;2.27;4.17;2.44;1.03;1.17;1.5;2.31;3.45;13.0;4.35;2.41;1.54;1.25;1.44;2.5;4.0;1.2;4.25;1.17;1.5;1.2;1.57;2.75;2.4;3.1;2.45;2.8;2.8;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.73;21.0;2.05;4.75;5.25;1.23;2.27;4.86;10.25;3.75;1.5;1.12;1.06;1.12;1.67;3.24;7.5;5.5;2.0;1.25;1.06;0;0;0;0;5;1;1;0;3;3;2;2021-07-24;6295;0;0;0;0;0;1;-1;1;1;3;1;2;4;-1;-1;-1;-1;-1;-1;1;41;31;77;61;1.02;1.28;2.31;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Lokomotive Leipzig;BFC Dynamo;1.58;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;Y;Y;Y;Y;N;Y
7;1279991;572;6756;2021/2022;complete;70589;1;-1;49;49;1;1;2;-1;-1;-1;-1;-1;3;2;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1.5;4.1;4.75;1.04;1.24;1.67;2.5;4.1;11.0;3.6;2.1;1.43;1.18;1.75;2.0;2.3;1.54;5.75;1.1;1.17;1.25;1.9;2.05;2.3;5.5;1.78;2.85;4.9;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;16.0;3.1;2.6;7.75;1.31;2.43;5.5;14.0;3.26;1.52;1.11;1.03;1.17;1.87;3.7;9.0;4.4;1.87;1.24;1.04;0;0;0;0;2;0;1;1;0;1;1;2021-07-25;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;2;0;1;3;2;4;-1;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Energie Cottbus;Luckenwalde;2.0;1.37;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;Y;N;N;N;N;Y
8;1279988;6811;10112;2021/2022;complete;70589;1;-1;75;75;1;1;2;7;5;12;-1;-1;3;2;0;0;3;2;6;2;9;4;-1;-1;56;44;3;2;2.06;3.5;2.88;1.05;1.25;1.67;2.6;4.45;9.75;3.5;2.1;1.4;1.16;1.63;2.19;2.85;1.36;4.15;1.18;1.4;1.28;1.45;2.75;2.2;3.6;2.31;2.64;3.64;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.67;10.75;2.3;3.4;5.5;1.33;2.57;6.1;14.0;3.13;1.47;1.09;1.03;1.19;1.96;4.0;10.0;4.2;1.79;1.2;1.03;0;0;0;0;1;0;0;1;0;1;0;2021-07-25;6811;0;0;0;0;0;1;1;4;1;3;4;5;7;1;1;2;1;2;3;1;32;20;63;43;1.01;0.54;1.55;0;0;0;0;0;0;1;1;0;0;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;ZFC Meuselwitz;Lichtenberg;1.0;0.89;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;N;N;N;N;N;N
9;1279990;10224;6762;2021/2022;complete;70589;1;-1;10;10;1;1;2;5;6;11;2;4;0;0;0;0;4;5;7;5;11;10;14;10;41;59;0;0;3.5;3.6;1.83;1.05;1.26;1.74;2.7;4.6;9.25;3.35;1.91;1.37;1.15;1.71;1.95;4.15;1.18;2.65;1.42;1.68;1.24;1.3;3.75;2.2;2.5;3.6;2.6;2.2;0;0;0.0;0.0;1.98;0.0;0.0;0.0;0.0;1.83;0.0;0.0;0.0;0.0;0.0;2.2;13.0;1.73;5.75;3.25;1.35;2.6;6.1;15.0;3.04;1.46;1.09;1.03;1.19;2.0;4.0;11.0;4.2;1.76;1.2;1.02;0;0;0;0;2;1;0;0;1;1;1;2021-07-25;-1;0;0;0;0;0;1;-1;2;3;3;3;5;6;0;0;0;0;0;0;1;46;67;73;117;1.31;1.47;2.78;-1;-1;-1;-1;-1;-1;-1;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Eilenburg;Chemie Leipzig;1.37;1.42;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6026;38;Y;Y;N;N;N;N;Y
