;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2671428;6756;559;2022/2023;complete;91517;1;-1;45;45;1;1;2;0;3;3;-1;-1;-1;-1;-1;-1;3;4;4;5;7;9;-1;-1;51;49;-1;-1;1.67;3.75;4.2;1.01;1.15;1.62;2.38;4.14;15.0;4.44;2.25;1.49;1.18;1.67;2.1;0;0;0;0;1.11;1.18;2.58;2.2;2.38;4.33;1.83;2.91;4.75;0;0;0.0;1.48;2.25;2.2;0.0;0.0;2.5;2.0;1.6;0.0;0.0;0.0;0.0;1.4;16.75;3.0;0;0;1.28;2.3;5.25;17.0;3.2;1.52;1.12;1.02;1.17;1.8;3.5;9.0;5.0;1.91;1.29;1.07;0;0;0;0;2;1;0;0;1;1;1;2022-08-05;-1;1;0;0;0;0;1;-1;0;1;0;2;1;2;-1;-1;-1;-1;-1;-1;1;37;21;104;105;0.93;1.02;1.95;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Luckenwalde;Rot-Weiß Erfurt;0.54;2.08;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;N;N;N;N;Y
1;2671429;6774;572;2022/2023;complete;91517;1;-1;31,90;31,90;2;2;4;3;5;8;-1;-1;-1;-1;-1;-1;4;5;2;8;6;13;-1;-1;50;50;-1;-1;2.3;3.3;2.7;1.01;1.17;1.53;2.15;4.0;17.0;4.6;2.4;1.61;1.22;1.44;2.63;0;0;0;0;1.6;1.25;1.41;2.75;2.38;3.1;2.5;2.7;2.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.73;12.5;2.05;0;0;1.27;2.25;5.0;16.0;3.3;1.55;1.13;1.02;1.14;1.67;3.25;7.0;5.5;2.1;1.33;1.1;0;0;0;0;2;1;0;1;0;1;1;2022-08-05;6774;1;0;0;0;0;1;-1;2;1;1;4;3;5;-1;-1;-1;-1;-1;-1;1;62;127;106;201;1.12;2.11;3.22;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Altglienicke;Energie Cottbus;1.77;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;N;N;N;N;N
2;2671427;10112;6304;2022/2023;complete;91517;1;-1;11,42;11,42;2;2;4;4;6;10;-1;-1;-1;-1;-1;-1;6;3;5;8;11;11;-1;-1;35;65;-1;-1;2.2;3.1;2.9;1.01;1.15;1.9;2.3;3.94;15.0;4.7;1.9;1.55;1.19;1.67;2.1;0;0;0;0;1.36;1.26;1.72;2.88;2.2;3.4;2.6;2.75;3.0;0;0;0.0;1.4;2.1;2.05;2.6;0.0;2.7;2.1;1.7;1.44;0.0;0.0;0.0;1.73;17.75;2.25;0;0;1.31;2.3;5.25;18.0;3.1;1.51;1.12;1.02;1.22;2.0;4.0;11.0;4.0;1.73;1.22;1.05;0;0;0;0;3;2;0;0;1;1;2;2022-08-05;10112;1;0;0;0;0;1;-1;2;4;2;2;6;4;-1;-1;-1;-1;-1;-1;1;24;43;59;94;1.29;1.22;2.51;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Lichtenberg;Germania Halberstadt;1.0;0.23;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;Y;N;N;N;Y
3;2671423;1051;6329;2022/2023;complete;91517;1;-1;48;48;1;1;2;2;5;7;-1;-1;-1;-1;-1;-1;5;5;3;7;8;12;-1;-1;50;50;-1;-1;1.97;3.42;2.94;1.01;1.14;1.49;2.29;3.92;14.5;4.64;2.29;1.55;1.19;1.62;2.2;0;0;0;0;1.31;1.25;1.77;2.4;2.3;3.75;2.2;2.74;3.6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;17.5;2.5;0;0;1.27;2.25;5.25;10.75;3.3;1.53;1.13;1.01;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;2;0;1;1;0;1;1;2022-08-06;-1;1;0;0;0;0;1;-1;0;4;2;1;4;3;-1;-1;-1;-1;-1;-1;1;36;31;86;71;1.12;1.33;2.46;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Carl Zeiss Jena;Viktoria Berlin;1.62;0.85;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;N;N;N;N;Y
4;2671424;569;10174;2022/2023;complete;91517;1;-1;18,41,69;18,41,69;3;3;6;8;1;9;-1;-1;-1;-1;-1;-1;7;0;6;5;13;5;-1;-1;60;40;-1;-1;1.51;4.08;4.68;1.01;1.15;1.55;2.25;4.04;17.0;4.5;2.3;1.57;1.18;2.1;1.67;0;0;0;0;1.06;1.15;3.16;1.73;2.5;7.5;1.53;3.08;7.5;0;0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.22;17.0;4.75;0;0;1.27;2.29;5.15;11.0;3.4;1.55;1.13;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;3;2;0;1;0;1;2;2022-08-06;569;1;0;0;0;0;1;-1;5;0;3;1;5;4;-1;-1;-1;-1;-1;-1;1;40;15;78;45;1.6;0.43;2.03;-1;-1;-1;-1;-1;-1;-1;1;0;0;3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Chemnitzer FC;Tennis Borussia;1.85;0.31;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;Y;N;N;N;N
5;2671426;6811;6295;2022/2023;complete;91517;1;-1;71;71;1;1;2;6;5;11;-1;-1;-1;-1;-1;-1;4;7;11;5;15;12;-1;-1;53;47;-1;-1;4.98;3.98;1.5;1.01;1.15;1.58;2.38;4.14;13.5;4.44;2.23;1.49;1.18;1.8;1.91;0;0;0;0;2.55;1.18;1.12;5.5;2.38;2.0;5.0;2.89;1.8;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.25;16.0;1.36;0;0;1.29;2.35;5.5;17.0;3.2;1.49;1.11;1.02;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;3;0;0;1;2;3;0;2022-08-06;6295;1;0;0;0;0;1;-1;1;0;5;5;1;10;-1;-1;-1;-1;-1;-1;1;35;31;54;59;1.47;1.47;2.94;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;ZFC Meuselwitz;BFC Dynamo;0.92;1.46;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;Y;N;N;N;Y
6;2671430;6803;6766;2022/2023;complete;91517;1;-1;16,24,32,72;16,24,32,72;4;4;8;2;10;12;-1;-1;-1;-1;-1;-1;5;8;2;11;7;19;-1;-1;41;59;-1;-1;1.95;3.6;3.1;1.01;1.15;1.57;2.38;4.04;12.5;4.5;2.25;1.54;1.18;1.5;2.5;0;0;0;0;1.34;1.25;1.71;2.6;2.3;3.4;2.38;2.71;3.1;0;0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.67;16.75;2.25;0;0;1.28;2.34;5.35;11.0;3.34;1.53;1.12;1.01;1.17;1.73;3.4;8.0;5.0;2.0;1.3;1.08;0;0;0;0;6;3;1;1;1;2;4;2022-08-07;6803;1;0;0;0;0;1;-1;1;7;1;3;8;4;-1;-1;-1;-1;-1;-1;1;38;78;72;105;1.07;2.32;3.39;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Lokomotive Leipzig;Hertha BSC II;1.77;1.31;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;Y;Y;Y;Y;Y
7;2671422;6309;6762;2022/2023;complete;91517;1;-1;21,49,63,67;21,49,63,67;4;4;8;3;7;10;-1;-1;-1;-1;-1;-1;5;7;7;4;12;11;-1;-1;50;50;-1;-1;1.74;3.75;3.6;1.03;1.17;1.57;2.56;4.3;12.5;4.3;2.25;1.51;1.16;1.67;2.1;0;0;0;0;1.18;1.22;2.13;2.3;2.3;4.33;2.0;2.76;4.33;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;15.75;2.75;0;0;1.28;2.34;5.35;9.75;3.34;1.53;1.12;1.01;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;6;1;1;3;1;4;2;2022-08-07;6309;1;0;0;0;0;1;-1;3;2;0;5;5;5;-1;-1;-1;-1;-1;-1;1;24;26;95;73;1.29;1.38;2.67;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Babelsberg;Chemie Leipzig;1.92;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;Y;Y;Y;Y;Y
8;2671425;6799;10132;2022/2023;complete;91517;1;-1;37,68;37,68;2;2;4;6;4;10;-1;-1;-1;-1;-1;-1;7;4;4;10;11;14;-1;-1;45;55;-1;-1;1.63;4.2;4.68;1.03;1.15;1.55;2.35;4.04;14.5;4.54;2.3;1.56;1.18;1.53;2.38;0;0;0;0;1.17;1.21;2.24;2.6;2.38;3.4;2.38;2.83;3.1;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;1.67;17.0;2.2;0;0;1.27;2.27;5.1;14.0;3.4;1.56;1.13;1.03;1.17;1.73;3.4;8.0;5.0;2.0;1.3;1.08;0;0;0;0;2;1;0;1;0;1;1;2022-08-07;6799;1;0;0;0;0;1;-1;3;1;3;3;4;6;-1;-1;-1;-1;-1;-1;1;41;37;73;90;1.48;1.43;2.91;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;BAK '07;Greifswalder FC;2.15;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7633;13;Y;Y;N;N;N;N;N
9;2671437;6329;6803;2022/2023;complete;91517;2;-1;5,66;5,66;2;2;4;4;7;11;-1;-1;-1;-1;-1;-1;6;5;11;2;17;7;-1;-1;50;50;-1;-1;2.2;3.3;2.8;1.02;1.17;1.75;2.5;4.5;14.0;4.5;2.05;1.5;1.17;1.62;2.2;0;0;0;0;1.23;1.28;1.93;2.88;2.2;3.25;2.6;2.7;3.0;0;0;0.0;1.48;2.2;2.1;2.7;0.0;2.5;2.0;1.65;1.4;0.0;0.0;0.0;1.73;11.5;2.2;0;0;1.32;2.35;5.5;17.0;3.1;1.52;1.13;1.03;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;4;1;2;1;0;1;3;2022-08-12;-1;1;100;0;0;0;1;-1;3;6;1;1;9;2;-1;-1;-1;-1;-1;-1;1;39;29;76;72;1.77;1.01;2.78;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;100;100;50;100;100;50;7.0;0;-2.0;4.0;Viktoria Berlin;Lokomotive Leipzig;0.85;1.77;1.0;3.0;1.0;3.0;50;50;50;0;0;50;50;50;0.0;0.0;0.0;7633;13;Y;Y;Y;Y;N;N;Y
