ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1338560;6810;554;2021/2022;complete;73068;1;-1;59,59,90;4,49,67;3;3;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.8;3.15;4.1;1.06;1.27;1.77;2.7;4.5;8.5;3.25;1.98;1.38;1.16;1.67;2.1;2.7;1.47;5.0;1.18;1.18;1.28;1.78;2.75;2.2;3.5;2.5;2.45;3.2;0;0;0;0;0.0;0;0;0;0;0.0;0;0;0;0;0;1.73;12.0;2.25;4.1;6.75;1.34;2.71;5.25;13.0;3.18;1.44;1.15;1.04;1.22;2.0;4.0;11.0;4.0;1.73;1.22;1.05;0;0;0;0;6;0;1;3;2;5;1;2021-08-13;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Ulm;FSV Frankfurt;2.17;1.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;Y;Y;Y;Y;Y;Y;Y
1338559;10161;573;2021/2022;complete;73068;1;-1;;2,64,86;0;3;3;2;7;9;-1;-1;-1;-1;-1;-1;3;11;3;2;6;13;-1;-1;50;50;-1;-1;2.8;3.75;2.0;1.03;1.2;1.59;2.4;3.9;12.0;3.9;2.15;1.47;1.2;1.57;2.15;4.5;1.22;3.25;1.35;1.85;1.26;1.29;3.4;2.3;2.6;3.1;2.73;2.38;0;0;0;0;1.95;0;0;0;0;1.85;0;0;0;0;0;2.2;14.0;1.67;6.0;4.15;1.3;2.38;6.0;15.0;3.4;1.53;1.13;1.03;1.17;1.8;3.5;9.0;5.0;1.91;1.29;1.07;0;0;0;0;3;0;1;0;2;2;1;2021-08-14;573;0;0;0;0;0;1;-1;2;4;0;3;6;3;-1;-1;-1;-1;-1;-1;1;52;81;104;112;0.98;2.18;3.15;-1;-1;-1;-1;-1;-1;-1;1;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;TuS RW Koblenz;Stuttgart II;1.06;1.39;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;Y;Y;Y;N;N;N;N
1338557;6322;6797;2021/2022;complete;73068;1;-1;88;13;1;1;2;6;3;9;-1;-1;3;4;0;0;3;7;3;2;6;9;-1;-1;60;40;3;4;3.7;3.8;1.69;1.04;1.21;1.59;2.4;3.95;10.5;3.8;2.15;1.48;1.2;1.65;2.0;3.95;1.25;4.45;1.2;1.44;1.26;1.61;4.0;2.38;2.3;3.75;2.79;2.1;0;0;0;0;2.0;0;0;0;0;1.8;0;0;0;0;0;2.4;16.0;1.57;7.5;3.55;1.3;2.38;5.5;15.0;3.4;1.53;1.14;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;2;0;1;1;0;1;1;2021-08-14;-1;0;0;0;0;0;1;1;3;2;3;1;5;4;2;1;1;3;3;4;1;75;50;113;93;1.14;1.43;2.57;0;0;0;0;0;0;1;1;0;0;1;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Hessen Kassel;TSV Steinbach;1.67;1.78;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;Y;Y;N;N;N;N;Y
1338556;6313;6814;2021/2022;complete;73068;1;-1;;83;0;1;1;7;1;8;-1;-1;-1;-1;-1;-1;0;2;0;0;0;2;-1;-1;50;50;-1;-1;2.1;3.6;2.65;1.03;1.19;1.57;2.35;3.9;12.0;3.95;2.15;1.49;1.2;1.54;2.25;3.6;1.3;4.2;1.24;1.46;1.28;1.57;2.75;2.3;3.25;2.4;2.68;3.0;0;0;0;0;0.0;0;0;0;0;0.0;0;0;0;0;0;1.73;18.0;2.2;4.55;5.75;1.3;2.38;5.5;15.0;3.4;1.53;1.14;1.03;1.17;1.8;3.5;9.0;5.0;1.91;1.29;1.07;0;0;0;0;1;0;0;0;1;1;0;2021-08-14;6814;0;0;0;0;0;1;-1;3;0;4;1;3;5;-1;-1;-1;-1;-1;-1;1;57;25;0;0;0.4;0.44;0.84;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Astoria Walldorf;Gießen;1.17;0.61;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;Y;N;N;N;N;N;N
1338555;570;555;2021/2022;complete;73068;1;-1;51,65,81;17;3;1;4;-1;-1;-1;-1;-1;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1;2.4;3.4;2.4;1.05;1.26;1.74;2.7;4.6;9.5;3.35;1.91;1.37;1.15;1.67;2.0;3.95;1.26;3.6;1.3;1.48;1.28;1.52;3.0;2.25;3.0;2.75;2.63;2.75;0;0;0;0;0.0;0;0;0;0;0.0;0;0;0;0;0;1.91;16.0;1.91;4.8;4.7;1.33;2.5;6.5;17.0;3.25;1.5;1.11;1.03;1.18;1.83;3.75;10.0;4.5;1.83;1.25;1.06;0;0;0;0;4;0;1;3;0;3;1;2021-08-14;570;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;0;2;1;0;3;-1;0;0;0;0;0.0;0.0;0.0;0;1;0;1;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Mainz 05 II;Aalen;2.17;1.06;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;Y;Y;Y;Y;N;N;Y
1338554;6804;10014;2021/2022;complete;73068;1;-1;;;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.15;3.75;2.5;1.02;1.17;1.5;2.2;3.6;14.0;4.35;2.3;1.54;1.24;1.5;2.3;4.05;1.25;4.4;1.22;1.42;1.27;1.62;2.75;2.3;3.2;2.5;2.7;2.88;0;0;0;0;0.0;0;0;0;0;0.0;0;0;0;0;0;1.73;21.0;2.1;4.95;5.75;1.3;2.38;5.5;15.0;3.4;1.53;1.14;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;0;0;0;0;0;0;0;2021-08-14;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Schott Mainz;Balingen;1.28;1.39;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;N;N;N;N;N;N;N
1338561;6312;6319;2021/2022;complete;73068;1;-1;68;;1;0;1;8;5;13;-1;-1;-1;-1;-1;-1;5;7;8;5;13;12;-1;-1;57;43;-1;-1;1.71;3.7;3.8;1.04;1.22;1.62;2.45;4.15;10.25;3.75;2.1;1.44;1.18;1.65;2.05;2.8;1.44;5.25;1.18;1.25;1.25;1.95;2.25;2.3;4.33;2.05;2.7;4.0;0;0;0;0;0.0;0;0;0;0;0.0;0;0;0;0;0;1.5;16.0;2.63;3.45;7.75;1.33;2.5;6.0;17.0;3.25;1.5;1.13;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;1;0;0;1;0;1;0;2021-08-14;6312;0;0;0;0;0;1;-1;3;4;5;1;7;6;-1;-1;-1;-1;-1;-1;1;75;52;110;86;1.71;1.62;3.34;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Kickers Offenbach;Homburg;2.22;1.17;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;Y;N;N;N;N;N;N
1338562;6323;6320;2021/2022;complete;73068;1;-1;;;0;0;0;-1;-1;-1;-1;-1;2;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;3;2.1;3.45;2.75;1.04;1.21;1.62;2.45;4.1;11.0;3.8;2.1;1.45;1.18;1.57;2.15;3.5;1.31;4.2;1.24;1.39;1.28;1.65;2.63;2.3;3.4;2.38;2.66;3.1;0;0;0;0;0.0;0;0;0;0;0.0;0;0;0;0;0;1.67;16.0;2.2;4.45;5.75;1.3;2.5;6.0;17.0;3.4;1.5;1.13;1.03;1.17;1.83;3.5;9.0;5.0;1.83;1.29;1.07;0;0;0;0;0;0;0;0;0;0;0;2021-08-14;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;2;1;1;3;2;-1;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Pirmasens;Bahlinger SC;0.72;0.94;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;N;N;N;N;N;N;N
1338558;6760;565;2021/2022;complete;73068;1;-1;9;83;1;1;2;5;7;12;-1;-1;5;3;0;0;5;9;11;8;16;17;-1;-1;54;46;5;3;2.0;3.8;2.8;1.02;1.17;1.5;2.2;3.6;14.0;4.35;2.3;1.54;1.24;1.5;2.3;3.8;1.27;4.65;1.2;1.39;1.26;1.69;2.63;2.38;3.25;2.38;2.79;3.0;0;0;0;0;2.2;0;0;0;0;0.0;0;0;0;0;0;1.67;17.0;2.2;4.55;6.5;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.14;1.67;3.25;7.0;5.5;2.1;1.33;1.1;0;0;0;0;2;1;0;0;1;1;1;2021-08-15;-1;0;0;0;0;0;1;1;4;5;1;2;9;3;2;0;3;3;2;6;1;38;41;77;62;1.63;1.99;3.62;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Hoffenheim II;Sonnenhof Großaspach;1.06;0.89;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;Y;Y;N;N;N;N;Y
1338564;554;10161;2021/2022;complete;73068;2;-1;;67;0;1;1;3;5;8;-1;-1;-1;-1;-1;-1;2;3;4;4;6;7;-1;-1;57;43;-1;-1;1.2;4.2;3.7;1.04;1.25;1.7;2.55;4.3;10.5;3.45;2.1;1.41;1.17;1.83;1.83;2.3;1.62;6.0;1.14;1.12;1.23;2.45;2.0;2.38;5.5;1.8;2.81;5.0;0;0;0;0;2.25;0;0;0;0;0.0;0;0;0;0;0;1.36;10.25;3.25;2.6;13.0;1.34;2.5;5.5;14.0;3.0;1.49;1.14;1.03;1.2;1.83;3.75;10.0;4.33;1.83;1.25;1.06;0;0;0;0;1;0;0;0;1;1;0;2021-08-20;10161;0;0;0;0;0;1;-1;1;2;2;3;3;5;-1;-1;-1;-1;-1;-1;1;42;46;82;94;0.83;0.99;1.82;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;FSV Frankfurt;TuS RW Koblenz;1.06;1.11;0.0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6276;36;Y;N;N;N;N;N;N
