ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2654932;19335;6797;2022/2023;complete;91481;1;-1;21;;1;0;1;4;3;7;-1;-1;-1;-1;-1;-1;3;2;7;4;10;6;-1;-1;50;50;-1;-1;4.3;3.8;1.62;1.03;1.19;1.6;2.4;4.2;13.0;4.4;2.19;1.5;1.2;1.73;2.0;0;0;0;0;2.1;1.24;1.2;5.0;2.38;2.05;4.75;2.8;1.83;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;3.1;13.0;1.4;0;0;1.3;2.35;5.5;12;3.25;1.53;1.13;1.02;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;1;1;0;0;0;0;1;2022-08-06;19335;1;0;0;0;0;1;-1;3;2;1;1;5;2;-1;-1;-1;-1;-1;-1;1;67;64;103;118;1.33;1.0;2.33;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;SG Barockstadt Fulda-Lehnerz;TSV Steinbach;1.41;1.94;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;17;Y;N;N;N;N;N;N
2654933;554;10014;2022/2023;complete;91481;1;-1;90;;1;0;1;2;2;4;-1;-1;-1;-1;-1;-1;5;4;4;3;9;7;-1;-1;48;52;-1;-1;2.38;3.37;2.48;1.03;1.2;1.63;2.55;4.5;12.5;4.2;2.15;1.46;1.18;1.62;2.2;0;0;0;0;1.41;1.26;1.62;2.63;2.25;3.5;2.38;2.6;3.2;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;1.9;0.0;0.0;0;0;0;1.67;12.5;2.25;0;0;1.31;2.45;6.0;19;3.2;1.49;1.12;1.01;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;1;0;0;1;0;1;0;2022-08-06;554;1;0;0;0;0;1;-1;2;2;0;0;4;0;-1;-1;-1;-1;-1;-1;1;35;45;85;93;1.18;1.06;2.24;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;FSV Frankfurt;Balingen;1.35;1.88;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;17;Y;N;N;N;N;N;N
2654934;10161;6319;2022/2023;complete;91481;1;-1;18;22,45,90;1;3;4;7;3;10;-1;-1;-1;-1;-1;-1;3;10;10;9;13;19;-1;-1;50;50;-1;-1;3.55;3.65;1.84;1.04;1.22;1.68;2.6;4.6;11.5;4.0;2.1;1.44;1.17;1.73;2.0;0;0;0;0;1.57;1.28;1.43;4.33;2.25;2.25;4.0;2.6;2.05;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;2.75;11.5;1.5;0;0;1.32;2.45;6.0;19;3.1;1.49;1.12;1.01;1.2;1.83;3.75;10;4.33;1.83;1.25;1.06;0;0;0;0;4;1;2;0;1;1;3;2022-08-06;6319;1;0;0;0;0;1;-1;2;3;5;0;5;5;-1;-1;-1;-1;-1;-1;1;48;53;130;117;1.39;2.28;3.68;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;TuS RW Koblenz;Homburg;0.41;1.81;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;16;Y;Y;Y;Y;N;N;Y
2654937;6306;6313;2022/2023;complete;91481;1;-1;48,85,90;;3;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.44;3.11;2.44;1.04;1.21;1.61;2.55;4.6;11.5;4.0;2.15;1.46;1.18;1.62;2.2;0;0;0;0;1.49;1.3;1.49;2.63;2.25;3.5;2.4;2.6;3.1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.67;11.0;2.3;0;0;1.33;2.45;6.0;12;3.1;1.49;1.12;1.02;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;3;0;0;3;0;3;0;2022-08-06;6306;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Eintracht Trier;Astoria Walldorf;0.76;1.12;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;17;Y;Y;Y;N;N;N;N
2654938;6320;573;2022/2023;complete;91481;1;-1;30,60,82;62,78;3;2;5;3;6;9;-1;-1;-1;-1;-1;-1;5;5;7;7;12;12;-1;-1;50;50;-1;-1;2.24;3.48;2.59;1.05;1.25;1.72;2.87;5.25;10.0;3.6;2.01;1.37;1.14;1.73;2.0;0;0;0;0;1.49;1.3;1.47;3.1;2.1;3.1;2.88;2.5;2.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.95;10.0;1.95;0;0;1.37;2.6;6.5;22;2.9;1.43;1.1;1.01;1.22;2.0;4.33;11;4.0;1.73;1.2;1.05;0;0;0;0;5;1;0;2;2;4;1;2022-08-06;6320;1;0;0;0;0;1;-1;2;1;1;5;3;6;-1;-1;-1;-1;-1;-1;1;68;70;122;103;1.61;1.61;3.22;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Bahlinger SC;Stuttgart II;1.29;1.47;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;17;Y;Y;Y;Y;Y;N;Y
2654940;10198;555;2022/2023;complete;91481;1;-1;4;36,90;1;2;3;10;2;12;-1;-1;-1;-1;-1;-1;7;7;7;5;14;12;-1;-1;61;39;-1;-1;2.44;3.47;2.38;1.04;1.22;1.66;2.6;4.75;11.5;4.0;2.1;1.43;1.17;1.62;2.2;0;0;0;0;1.51;1.28;1.47;2.88;2.25;3.1;2.63;2.6;2.88;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.8;11.5;2.05;0;0;1.32;2.45;6.0;12;3.1;1.49;1.12;1.02;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;3;1;1;0;1;1;2;2022-08-06;555;1;0;0;0;0;1;-1;9;1;1;1;10;2;-1;-1;-1;-1;-1;-1;1;37;33;69;49;1.64;1.48;3.12;-1;-1;-1;-1;-1;-1;-1;1;1;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;SGV Freiberg;Aalen;1.06;1.24;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;17;Y;Y;Y;N;N;N;Y
2654939;570;6810;2022/2023;complete;91481;1;-1;;17,24,52,57;0;4;4;5;3;8;-1;-1;-1;-1;-1;-1;5;9;3;7;8;16;-1;-1;56;44;-1;-1;2.48;3.37;2.38;1.04;1.25;1.75;2.85;5.25;10.5;3.7;1.96;1.38;1.14;1.8;1.91;0;0;0;0;1.51;1.28;1.47;4.5;2.2;2.3;4.0;2.55;2.1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;2.75;10.5;1.5;0;0;1.35;2.65;6.5;23;2.95;1.43;1.1;1.01;1.22;2.0;4.33;11;4.0;1.73;1.2;1.05;0;0;0;0;4;0;2;0;2;2;2;2022-08-06;6810;1;0;0;0;0;1;-1;1;2;4;1;3;5;-1;-1;-1;-1;-1;-1;1;39;39;91;74;1.15;1.92;3.06;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Mainz 05 II;Ulm;1.53;2.24;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;17;Y;Y;Y;Y;N;N;N
2654935;6760;6322;2022/2023;complete;91481;1;-1;44,81;;2;0;2;5;5;10;-1;-1;-1;-1;-1;-1;12;5;7;6;19;11;-1;-1;51;49;-1;-1;2.5;3.5;2.4;1.0;1.21;1.63;2.78;5.05;10.5;3.74;2.2;1.36;1.12;1.67;2.1;0;0;0;0;1.45;1.27;1.42;2.88;2.2;3.2;2.63;2.55;2.88;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0;0;0;1.8;10.5;2.1;0;0;1.33;2.52;6.05;12;3.04;1.46;1.09;1.02;1.2;1.91;4.0;10;4.33;1.8;1.22;1.06;0;0;0;0;2;1;0;1;0;1;1;2022-08-07;6760;1;0;0;0;0;1;-1;4;2;1;3;6;4;-1;-1;-1;-1;-1;-1;1;37;45;91;80;2.3;1.37;3.68;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Hoffenheim II;Hessen Kassel;1.81;0.94;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;16;Y;Y;N;N;N;N;N
2654936;6806;6312;2022/2023;complete;91481;1;-1;18;;1;0;1;4;5;9;-1;-1;-1;-1;-1;-1;6;4;4;10;10;14;-1;-1;41;59;-1;-1;5.0;3.75;1.55;1.02;1.16;1.57;2.42;4.25;15.0;4.33;2.25;1.47;1.17;1.67;2.1;0;0;0;0;2.0;1.22;1.16;4.75;2.38;2.1;4.5;2.78;1.91;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0;0;0;3.0;16.0;1.4;0;0;1.28;2.34;5.35;12;3.34;1.53;1.12;1.02;1.18;1.8;3.5;9;4.5;1.91;1.29;1.07;0;0;0;0;1;1;0;0;0;0;1;2022-08-07;6806;1;0;0;0;0;1;-1;4;1;0;4;5;4;-1;-1;-1;-1;-1;-1;1;40;67;93;111;1.35;1.65;3.0;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Wormatia Worms;Kickers Offenbach;0.94;1.82;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7618;17;Y;N;N;N;N;N;N
2654944;6312;6760;2022/2023;complete;91481;2;-1;34,45,70,86,90;3,90;5;2;7;6;5;11;-1;-1;-1;-1;-1;-1;13;4;5;3;18;7;-1;-1;53;47;-1;-1;1.5;3.8;5.0;1.02;1.17;1.67;2.75;5.0;13.0;4.5;2.15;1.4;1.14;1.8;1.91;0;0;0;0;1.12;1.19;2.4;2.05;2.3;5.0;1.83;2.8;4.75;0;0;0.0;1.55;2.38;2.3;0.0;0.0;2.3;1.9;1.55;0.0;0;0;0;1.36;14.0;3.2;0;0;1.28;2.55;5.85;20;3.35;1.45;1.1;1.01;1.18;1.83;3.75;10;4.5;1.83;1.25;1.06;0;0;0;0;7;2;1;3;1;4;3;2022-08-12;6312;1;0;0;0;0;1;-1;3;3;3;2;6;5;-1;-1;-1;-1;-1;-1;1;55;36;100;93;2.44;0.99;3.43;-1;-1;-1;-1;-1;-1;-1;1;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;100;0;100;50;0;10.0;0;-2.0;1.5;Kickers Offenbach;Hoffenheim II;1.82;1.81;0.0;3.0;0.0;3.0;100;100;100;50;0;100;50;0;0.0;0.0;0.0;7618;16;Y;Y;Y;Y;Y;Y;Y
