ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1338897;6346;6347;2021/2022;complete;73069;1;-1;33;;1;0;1;2;7;9;-1;-1;1;3;0;0;3;0;3;9;6;9;-1;-1;39;61;1;3;3.15;3.4;1.95;1.05;1.26;1.74;2.75;4.65;8.75;3.3;1.91;1.36;1.15;1.71;1.95;4.15;1.25;2.95;1.41;1.65;1.24;1.3;3.75;2.2;2.63;3.4;2.65;2.38;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.38;14.0;1.67;6.5;3.75;1.34;2.71;5.9;19.0;3.17;1.44;1.1;1.02;1.22;2.0;4.0;11.0;4.0;1.73;1.22;1.05;0;0;0;0;1;1;0;0;0;0;1;2021-08-13;6346;0;0;0;0;0;1;1;2;5;0;2;7;2;0;0;1;3;0;4;1;45;95;103;136;0.93;1.26;2.19;0;0;0;0;0;0;1;1;0;0;0;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Lippstadt 08;Wiedenbrück;1.05;1.37;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;N;N;N;N;N;N
1338902;568;6778;2021/2022;complete;73069;1;-1;16,75;;2;0;2;8;2;10;-1;-1;-1;-1;-1;-1;7;3;3;1;10;4;-1;-1;60;40;-1;-1;1.48;4.05;5.0;1.04;1.24;1.59;2.45;4.1;11.0;3.6;2.15;1.44;1.18;1.67;2.0;2.55;1.53;6.0;1.14;1.17;1.24;2.35;2.1;2.38;4.75;1.91;2.65;4.33;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.44;13.0;2.88;3.0;10.5;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;2;1;0;1;0;1;1;2021-08-14;568;0;0;0;0;0;1;-1;7;2;1;0;9;1;-1;-1;-1;-1;-1;-1;1;60;35;88;80;1.56;0.73;2.28;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Fortuna Köln;Wegberg-Beeck;1.84;0.84;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;N;N;N;N;N
1338900;19466;6784;2021/2022;complete;73069;1;-1;;61,68;0;2;2;5;2;7;-1;-1;1;0;0;0;3;6;2;7;5;13;-1;-1;49;51;1;0;2.8;3.25;2.15;1.05;1.27;1.71;2.65;4.45;9.0;3.25;1.95;1.38;1.16;1.62;2.05;3.85;1.27;3.35;1.33;1.59;1.32;1.42;3.2;2.25;2.88;3.0;2.4;2.5;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1;10.25;1.73;5.75;4.5;1.33;2.63;6.5;19.0;3.25;1.44;1.11;1.02;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;2;0;0;0;2;2;0;2021-08-14;6784;0;0;0;0;0;1;1;1;1;4;1;2;5;0;0;1;0;0;1;1;36;32;79;80;0.8;1.47;2.27;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Homberg;Borussia M'gladbach II;0.58;0.95;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;N;N;N;N;N
1338899;556;6772;2021/2022;complete;73069;1;-1;40,90;13;2;1;3;13;3;16;-1;-1;1;4;0;0;8;4;18;5;26;9;-1;-1;50;50;1;4;1.44;4.15;5.5;1.04;1.27;1.67;2.7;4.5;10.25;3.3;2.0;1.38;1.16;1.77;1.87;2.35;1.61;5.75;1.16;1.17;1.24;2.35;2.1;2.3;5.0;1.91;2.55;4.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;11.0;3.1;2.7;10.5;1.33;2.63;6.5;19.0;3.25;1.44;1.11;1.02;1.2;1.91;3.75;10.0;4.33;1.8;1.25;1.06;0;0;0;0;3;1;1;1;0;1;2;2021-08-14;556;0;0;0;0;0;1;1;6;3;7;0;9;7;1;3;0;1;4;1;1;119;47;119;68;3.04;1.19;4.23;0;0;0;0;0;0;1;1;0;0;2;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Preußen Münster;Alemannia Aachen;2.53;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;Y;N;N;N;Y
1338903;6783;6785;2021/2022;complete;73069;1;-1;27,31;;2;0;2;4;5;9;-1;-1;-1;-1;-1;-1;14;3;10;5;24;8;-1;-1;51;49;-1;-1;2.15;3.25;2.8;1.06;1.27;1.77;2.75;4.75;8.75;3.25;1.87;1.36;1.15;1.67;2.0;3.3;1.34;3.5;1.31;1.48;1.31;1.54;2.88;2.2;3.25;2.6;2.3;3.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;9.75;2.2;4.3;5.5;1.36;2.75;7.0;21.0;3.0;1.4;1.1;1.02;1.22;2.0;4.33;11.0;4.0;1.73;1.2;1.05;0;0;0;0;2;2;0;0;0;0;2;2021-08-14;6783;0;0;0;0;0;1;-1;2;2;2;3;4;5;-1;-1;-1;-1;-1;-1;1;68;65;97;123;2.97;1.2;4.17;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Wuppertaler SV;Rödinghausen;2.11;1.74;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;N;N;N;N;N
1338901;6758;561;2021/2022;complete;73069;1;-1;64,65;7;2;1;3;6;4;10;-1;-1;-1;-1;-1;-1;8;2;6;9;14;11;-1;-1;54;46;-1;-1;1.8;3.75;3.35;1.03;1.17;1.5;2.25;3.6;13.0;4.25;2.3;1.54;1.24;1.5;2.3;3.4;1.32;4.9;1.19;1.33;1.27;1.8;2.4;2.4;3.6;2.2;2.45;3.4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;14.0;2.38;4.05;7.75;1.29;2.38;5.5;15.0;3.5;1.53;1.14;1.03;1.14;1.73;3.4;8.0;5.5;2.0;1.3;1.08;0;0;0;0;3;0;1;2;0;2;1;2021-08-14;6758;0;0;0;0;0;1;-1;5;2;1;2;7;3;-1;-1;-1;-1;-1;-1;1;79;67;105;99;2.01;1.32;3.33;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Fortuna Düsseldorf II;Sportfreunde Lotte;1.21;0.42;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;Y;N;N;N;Y
1338896;6297;6298;2021/2022;complete;73069;1;-1;;29,63,73;0;3;3;3;6;9;-1;-1;3;1;0;0;3;10;4;6;7;16;-1;-1;49;51;3;1;7.0;4.65;1.33;1.03;1.21;1.57;2.4;4.15;12.0;3.75;2.15;1.45;1.18;1.87;1.8;6.5;1.13;2.45;1.57;2.45;1.24;1.15;6.5;2.5;1.8;6.5;2.6;1.62;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;0.0;4.0;13.0;1.25;15.0;2.3;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.17;1.8;3.4;8.0;5.0;1.91;1.3;1.08;0;0;0;0;3;0;1;0;2;2;1;2021-08-14;6298;0;0;0;0;0;1;1;1;1;2;5;2;7;1;0;2;1;1;3;1;22;23;68;62;0.82;1.87;2.69;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Bonner SC;Rot-Weiss Essen;0.74;2.21;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;Y;N;N;N;N
1338905;6773;6782;2021/2022;complete;73069;1;-1;16,21,23,43,60,81;;6;0;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.24;5.0;10.0;1.01;1.14;1.72;2.4;4.0;18.0;5.0;2.01;1.53;1.2;2.0;1.73;0.0;0.0;0.0;0.0;1.03;1.11;3.6;1.67;2.6;7.5;1.5;3.3;8.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;18.0;4.75;0.0;0.0;1.29;2.25;5.0;13.0;3.5;1.57;1.17;1.04;1.17;1.73;3.4;8.0;5.0;2.0;1.3;1.08;0;0;0;0;6;4;0;2;0;2;4;2021-08-14;6773;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Rot-Weiß Oberhausen;Uerdingen;1.95;0.68;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;Y;Y;Y;Y;N
1338904;10015;6813;2021/2022;complete;73069;1;-1;28,45,63;8,43;3;2;5;4;9;13;-1;-1;-1;-1;-1;-1;8;6;4;9;12;15;-1;-1;50;50;-1;-1;2.25;3.4;2.6;1.05;1.24;1.67;2.6;4.35;9.75;3.55;2.0;1.41;1.17;1.61;2.1;3.75;1.28;3.6;1.3;1.53;1.29;1.5;2.88;2.25;3.2;2.6;2.4;2.88;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;12.0;2.1;4.65;5.25;1.33;2.5;6.5;17.0;3.25;1.5;1.11;1.03;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;5;2;2;1;0;1;4;2021-08-14;10015;0;0;0;0;0;1;-1;2;2;2;7;4;9;-1;-1;-1;-1;-1;-1;1;74;61;129;95;1.86;1.81;3.67;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Straelen;Rot Weiss Ahlen;1.0;0.89;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;Y;Y;Y;N;Y
1338898;6816;6755;2021/2022;complete;73069;1;-1;85;17,28;1;2;3;8;4;12;-1;-1;0;2;0;0;4;4;4;5;8;9;-1;-1;54;46;0;2;2.1;3.4;2.85;1.04;1.21;1.61;2.45;4.05;10.75;3.8;2.1;1.45;1.19;1.56;2.2;3.65;1.29;4.25;1.24;1.42;1.28;1.65;2.75;2.3;3.2;2.5;2.5;2.88;0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;1.73;13.0;2.1;4.95;5.75;1.3;2.38;6.0;15.0;3.4;1.53;1.13;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;3;0;2;1;0;1;2;2021-08-15;6755;0;0;0;0;0;1;1;1;0;7;0;1;7;0;0;0;2;0;2;1;77;83;98;112;1.34;1.45;2.8;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Schalke 04 II;Koln II;1.53;1.37;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6277;38;Y;Y;Y;N;N;N;Y
