ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2671748;6773;6772;2022/2023;complete;91518;1;-1;1,35;53;2;1;3;1;6;7;-1;-1;-1;-1;-1;-1;6;8;2;9;8;17;-1;-1;41;59;-1;-1;1.53;3.5;5.5;1.04;1.25;1.8;2.87;5.25;11.0;3.7;2.0;1.37;1.14;1.83;1.83;0;0;0;0;1.14;1.22;2.4;2.05;2.3;5.0;1.83;2.75;5.0;0;0;0.0;0.0;2.25;0.0;0.0;0.0;0.0;1.98;0.0;0.0;0;0;0;1.4;11.0;3.25;0;0;1.36;2.63;6.5;19.0;3.0;1.44;1.11;1.02;1.2;1.83;3.75;10.0;4.33;1.83;1.25;1.06;0;0;0;0;3;2;0;0;1;1;2;2022-07-22;6773;1;0;0;0;0;1;-1;1;3;0;3;4;3;-1;-1;-1;-1;-1;-1;1;62;82;71;90;1.37;2.22;3.59;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Rot-Weiß Oberhausen;Alemannia Aachen;1.53;1.74;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;19;Y;Y;Y;N;N;N;Y
2671749;568;6346;2022/2023;complete;91518;1;-1;;26;0;1;1;5;3;8;-1;-1;-1;-1;-1;-1;5;4;4;2;9;6;-1;-1;62;38;-1;-1;1.5;3.9;5.5;1.03;1.19;1.6;2.5;4.33;12.0;4.0;2.2;1.44;1.17;1.8;1.91;0;0;0;0;1.14;1.2;2.5;1.95;2.4;5.5;1.73;2.85;5.5;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0;0;0;1.33;13.0;3.5;0;0;1.3;2.5;6.0;17.0;3.4;1.5;1.13;1.03;1.18;1.8;3.5;9.0;4.5;1.91;1.29;1.07;0;0;0;0;1;0;1;0;0;0;1;2022-07-23;6346;1;0;0;0;0;1;-1;1;2;4;1;3;5;-1;-1;-1;-1;-1;-1;1;66;35;104;73;1.4;0.92;2.32;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Fortuna Köln;Lippstadt 08;1.44;1.58;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;18;Y;N;N;N;N;N;N
2671750;556;6318;2022/2023;complete;91518;1;-1;16,45,80,81;13;4;1;5;15;1;16;-1;-1;-1;-1;-1;-1;13;3;13;1;26;4;-1;-1;50;50;-1;-1;1.28;4.5;9.0;1.03;1.21;1.71;2.65;4.75;11.0;3.75;2.07;1.4;1.15;2.38;1.53;0;0;0;0;1.08;1.17;3.1;1.67;2.5;9.0;1.5;2.87;9.0;0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0;0;0;1.18;12.0;5.5;0;0;1.33;2.5;6.0;17.0;3.25;1.5;1.13;1.03;1.2;1.83;3.75;10.0;4.33;1.83;1.25;1.06;0;0;0;0;5;2;1;2;0;2;3;2022-07-23;556;1;0;0;0;0;1;-1;7;1;8;0;8;8;-1;-1;-1;-1;-1;-1;1;71;5;92;18;3.05;0.5;3.55;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Preußen Münster;Wattenscheid 09;2.32;0.79;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;19;Y;Y;Y;Y;Y;N;Y
2671755;6785;6755;2022/2023;complete;91518;1;-1;30,52,56,77,78;;5;0;5;7;3;10;-1;-1;-1;-1;-1;-1;10;3;4;5;14;8;-1;-1;50;50;-1;-1;2.21;3.5;2.61;1.04;1.22;1.71;2.62;4.75;10.0;4.0;2.07;1.44;1.15;1.62;2.2;0;0;0;0;1.32;1.29;1.75;2.4;2.25;3.75;2.2;2.57;3.6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.57;11.0;2.5;0;0;1.33;2.5;6.5;19.0;3.25;1.5;1.11;1.02;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;5;1;0;4;0;4;1;2022-07-23;6785;1;0;0;0;0;1;-1;5;2;2;1;7;3;-1;-1;-1;-1;-1;-1;1;54;31;67;47;1.97;0.94;2.9;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Rödinghausen;Koln II;1.47;1.05;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;19;Y;Y;Y;Y;Y;N;N
2671752;10516;10216;2022/2023;complete;91518;1;-1;42,56,62;35;3;1;4;7;1;8;-1;-1;-1;-1;-1;-1;8;3;5;7;13;10;-1;-1;49;51;-1;-1;2.1;3.25;3.0;1.03;1.21;1.64;2.55;4.6;10.5;3.8;2.18;1.41;1.16;1.57;2.25;0;0;0;0;1.37;1.28;1.65;2.63;2.25;3.5;2.5;2.55;3.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.67;11.5;2.25;0;0;1.33;2.5;6.5;19.0;3.25;1.5;1.11;1.02;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;4;1;1;2;0;2;2;2022-07-23;10516;1;0;0;0;0;1;-1;5;0;2;1;5;3;-1;-1;-1;-1;-1;-1;1;56;68;101;126;1.79;1.34;3.13;-1;-1;-1;-1;-1;-1;-1;1;0;0;3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Düren Merzenich;FC Bocholt;1.21;1.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;18;Y;Y;Y;Y;N;N;Y
2671756;6783;6813;2022/2023;complete;91518;1;-1;19;51,60;1;2;3;4;5;9;-1;-1;-1;-1;-1;-1;6;5;2;10;8;15;-1;-1;47;53;-1;-1;1.22;5.5;9.0;1.02;1.16;1.53;2.33;3.9;14.0;4.4;2.35;1.54;1.21;2.2;1.62;0;0;0;0;1.03;1.12;4.1;1.62;2.63;8.5;1.5;3.34;8.0;0;0;0.0;0.0;1.91;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0;0;0;1.18;15.0;5.0;0;0;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;3;1;0;0;2;2;1;2022-07-23;6813;1;0;0;0;0;1;-1;2;0;2;5;2;7;-1;-1;-1;-1;-1;-1;1;64;62;113;92;1.4;1.74;3.14;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Wuppertaler SV;Rot Weiss Ahlen;1.89;1.06;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;18;Y;Y;Y;N;N;N;Y
2671751;6758;6347;2022/2023;complete;91518;1;-1;12;17,62;1;2;3;6;4;10;-1;-1;-1;-1;-1;-1;7;4;3;5;10;9;-1;-1;58;42;-1;-1;2.45;3.2;2.6;1.04;1.24;1.75;2.75;5.0;9.5;3.5;1.95;1.36;1.13;1.67;2.1;0;0;0;0;1.47;1.3;1.49;3.4;2.2;2.88;2.88;2.5;2.63;0;0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;1.88;0.0;0.0;0;0;0;2.2;10.0;1.73;0;0;1.36;2.63;7.0;19.0;3.0;1.44;1.1;1.02;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;3;1;1;0;1;1;2;2022-07-23;6347;1;0;0;0;0;1;-1;2;2;4;2;4;6;-1;-1;-1;-1;-1;-1;1;73;60;124;107;1.66;1.29;2.95;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Fortuna Düsseldorf II;Wiedenbrück;1.21;1.21;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;19;Y;Y;Y;N;N;N;Y
2671754;6816;10015;2022/2023;complete;91518;1;-1;41;;1;0;1;4;4;8;-1;-1;-1;-1;-1;-1;7;4;9;3;16;7;-1;-1;52;48;-1;-1;1.71;3.75;4.05;1.03;1.17;1.54;2.29;4.0;11.0;4.5;2.32;1.55;1.22;1.57;2.25;0;0;0;0;1.33;1.25;1.75;2.38;2.38;3.75;2.1;2.6;3.75;0;0;0.0;0.0;2.25;0.0;0.0;0.0;0.0;1.98;0.0;0.0;0;0;0;1.53;12.0;2.5;0;0;1.3;2.38;5.5;15.0;3.4;1.53;1.14;1.03;1.17;1.73;3.5;8.0;5.0;2.0;1.29;1.08;0;0;0;0;1;1;0;0;0;0;1;2022-07-24;6816;1;0;0;0;0;1;-1;4;2;0;2;6;2;-1;-1;-1;-1;-1;-1;1;32;40;102;95;1.74;1.02;2.76;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Schalke 04 II;Straelen;1.58;0.47;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;19;Y;N;N;N;N;N;N
2671753;10021;6784;2022/2023;complete;91518;1;-1;90,90;13;2;1;3;2;6;8;-1;-1;-1;-1;-1;-1;5;3;4;2;9;5;-1;-1;51;49;-1;-1;2.4;3.06;2.4;1.03;1.19;1.61;2.7;5.1;13.0;4.5;2.04;1.43;1.16;1.57;2.25;0;0;0;0;1.4;1.28;1.48;2.75;2.25;3.4;2.5;2.63;3.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.73;12.0;2.25;0;0;1.33;2.5;6.5;19.0;3.25;1.5;1.11;1.02;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;3;0;1;2;0;2;1;2022-07-24;10021;1;0;0;0;0;1;-1;0;4;2;2;4;4;-1;-1;-1;-1;-1;-1;1;55;57;85;91;1.32;0.95;2.26;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Kaan-Marienborn;Borussia M'gladbach II;1.63;1.74;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7634;19;Y;Y;Y;N;N;N;Y
2671761;10216;6758;2022/2023;complete;91518;2;-1;73;59,80;1;2;3;4;4;8;-1;-1;-1;-1;-1;-1;7;6;5;1;12;7;-1;-1;56;44;-1;-1;2.4;3.75;2.3;1.03;1.2;1.64;2.55;4.5;13.5;4.2;2.18;1.46;1.18;1.62;2.2;0;0;0;0;1.55;1.24;1.51;3.0;2.25;3.1;2.63;2.55;2.88;0;0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;1.9;0.0;0.0;0;0;0;1.8;13.5;2.05;0;0;1.29;2.45;6.0;18.0;3.3;1.49;1.12;1.02;1.18;1.83;3.75;10.0;4.5;1.83;1.25;1.06;0;0;0;0;3;0;0;1;2;3;0;2022-07-30;6758;1;100;0;0;0;1;-1;4;2;0;2;6;2;-1;-1;-1;-1;-1;-1;1;47;35;88;78;1.59;1.12;2.71;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;100;100;100;100;100;100;50;7.0;0;-2.0;3.5;FC Bocholt;Fortuna Düsseldorf II;1.11;1.21;0.0;0.0;0.0;0.0;100;50;0;0;0;50;50;0;0.0;0.0;0.0;7634;18;Y;Y;Y;N;N;N;Y
