ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2837166;3768;671473;2022/2023;complete;92034;1;-1;7,22,29,52;;4;0;4;7;4;11;-1;-1;-1;-1;-1;-1;9;5;14;6;23;11;-1;-1;57;43;-1;-1;1.65;3.8;5.5;1.04;1.27;1.9;3.08;5.55;11.0;3.42;1.9;1.32;1.11;1.88;1.82;0;0;0;0;1.19;1.23;1.9;2.25;2.2;4.75;1.9;2.6;4.6;0;0;0.0;1.46;2.38;2.35;3.2;0.0;2.55;1.91;1.53;1.3;0.0;0.0;0.0;1.44;9.75;3.1;0;0;1.35;2.8;6.2;0.0;2.9;1.37;1.09;0.0;1.21;2.04;4.2;12.0;3.9;1.69;1.19;1.02;0;0;0;0;4;3;0;1;0;1;3;2022-07-30;3768;0;0;0;0;0;1;-1;3;2;4;2;5;6;-1;-1;-1;-1;-1;-1;1;94;55;111;100;2.75;1.45;4.19;-1;-1;-1;-1;-1;-1;-1;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Gyirmót;Szentlőrinc SE;1.0;0.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;Y;Y;Y;N;N;N
2837168;3777;3774;2022/2023;complete;92034;1;-1;72;;1;0;1;6;6;12;-1;-1;-1;-1;-1;-1;5;5;11;7;16;12;-1;-1;50;50;-1;-1;1.8;3.75;4.33;1.05;1.29;1.95;3.23;5.95;9.65;3.27;1.85;1.3;1.1;1.82;1.88;0;0;0;0;1.24;1.25;1.72;2.4;2.2;4.33;2.15;2.5;3.9;0;0;0.0;1.35;1.62;2.06;2.75;0.0;3.0;2.17;1.7;1.41;0.0;0.0;0.0;1.53;10.25;2.88;0;0;1.4;2.9;6.8;0.0;2.83;1.39;1.07;0.0;1.24;2.15;4.5;14.0;3.6;1.63;1.16;1.02;0;0;0;0;1;0;0;1;0;1;0;2022-07-31;3777;0;0;0;0;0;1;-1;2;3;4;3;5;7;-1;-1;-1;-1;-1;-1;1;50;47;105;101;1.72;1.45;3.18;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Pécsi MFC;Békéscsaba;2.4;0.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;N;N;N;N;N;N
2837169;3800;3786;2022/2023;complete;92034;1;-1;16,35,43;;3;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.8;3.75;4.33;1.05;1.29;2.1;3.25;6.0;9.45;3.25;1.7;1.3;1.1;1.82;1.88;0;0;0;0;1.35;1.28;1.52;2.38;2.1;4.75;2.1;2.55;4.0;0;0;0.0;1.37;1.66;2.1;2.8;0.0;2.88;2.12;1.66;1.38;0.0;0.0;0.0;1.5;10.0;3.0;0;0;1.41;2.92;6.6;0.0;2.81;1.38;1.08;0.0;1.23;2.1;4.4;13.0;3.7;1.65;1.17;1.02;0;0;0;0;3;3;0;0;0;0;3;2022-07-31;3800;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Ajka;Budafoki MTE;1.7;0.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;Y;Y;N;N;N;N
2837174;993;3780;2022/2023;complete;92034;1;-1;20;;1;0;1;6;5;11;-1;-1;-1;-1;-1;-1;6;4;9;7;15;11;-1;-1;50;50;-1;-1;1.67;4.0;5.0;1.05;1.3;1.9;3.27;6.05;9.25;3.23;1.9;1.29;1.09;1.85;1.85;0;0;0;0;1.32;1.28;1.55;2.2;2.2;4.75;1.95;2.6;4.4;0;0;1.3;1.55;1.97;2.63;0.0;3.3;2.32;1.77;1.44;0.0;0.0;0.0;0.0;1.44;9.5;3.1;0;0;1.42;2.98;6.7;0.0;2.77;1.37;1.07;0.0;1.24;2.14;4.5;14.0;3.6;1.63;1.16;1.02;0;0;0;0;1;1;0;0;0;0;1;2022-07-31;993;0;0;0;0;0;1;-1;2;3;4;2;5;6;-1;-1;-1;-1;-1;-1;1;83;73;103;117;1.96;1.51;3.47;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Győri ETO;Nyíregyháza Spartacus;1.3;0.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;N;N;N;N;N;N
2837171;3795;3797;2022/2023;complete;92034;1;-1;45,56,75;51;3;1;4;5;8;13;-1;-1;-1;-1;-1;-1;5;3;6;3;11;6;-1;-1;40;60;-1;-1;2.1;3.6;3.3;1.05;1.31;2.0;3.4;6.5;10.0;3.15;1.8;1.27;1.09;1.72;2.0;0;0;0;0;1.2;1.24;1.85;2.63;2.1;3.75;2.3;2.55;3.4;0;0;0.0;1.46;2.25;2.35;3.2;0.0;2.55;1.91;1.53;1.3;0.0;0.0;0.0;1.67;11.0;2.5;0;0;1.34;2.94;6.7;0.0;2.95;1.35;1.07;0.0;1.22;2.1;5.0;13.0;3.74;1.57;1.12;1.02;0;0;0;0;4;1;0;2;1;3;1;2022-07-31;3795;0;0;0;0;0;1;-1;4;0;1;8;4;9;-1;-1;-1;-1;-1;-1;1;65;92;93;137;1.51;1.27;2.78;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Soroksár SC;Kozármisleny;1.8;0.4;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;Y;Y;Y;N;N;Y
2837172;3793;3771;2022/2023;complete;92034;1;-1;21;;1;0;1;3;8;11;-1;-1;-1;-1;-1;-1;4;6;6;10;10;16;-1;-1;48;52;-1;-1;3.4;3.5;2.1;1.04;1.33;2.25;3.5;6.5;9.0;3.1;1.62;1.26;1.08;1.93;1.83;0;0;0;0;1.68;1.27;1.27;4.0;2.0;2.75;3.6;2.45;2.3;0;0;0.0;1.32;1.57;1.97;2.6;0.0;3.15;2.28;1.76;1.45;0.0;0.0;0.0;2.6;10.25;1.67;0;0;1.42;2.98;6.7;0.0;2.76;1.37;1.07;0.0;1.25;2.13;4.5;13.0;3.6;1.64;1.17;1.02;0;0;0;0;1;1;0;0;0;0;1;2022-07-31;3793;0;0;0;0;0;1;-1;1;2;2;6;3;8;-1;-1;-1;-1;-1;-1;1;30;44;75;87;1.13;1.75;2.88;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Siófok;Diósgyőr;1.6;2.1;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;N;N;N;N;N;N
2837173;3769;3790;2022/2023;complete;92034;1;-1;90;3;1;1;2;8;3;11;-1;-1;-1;-1;-1;-1;6;3;4;3;10;6;-1;-1;63;37;-1;-1;2.1;3.4;3.5;1.06;1.33;2.3;3.55;6.55;8.75;3.02;1.6;1.25;1.08;1.88;1.82;0;0;0;0;1.19;1.23;1.9;2.75;2.0;4.0;2.25;2.45;3.7;0;0;0.0;1.49;2.25;2.45;3.35;0.0;2.48;1.86;1.5;1.29;0.0;0.0;0.0;1.67;9.5;2.63;0;0;1.41;2.85;7.1;0.0;2.7;1.37;1.06;0.0;1.26;2.2;4.8;15.0;3.5;1.59;1.15;1.02;0;0;0;0;2;0;1;1;0;1;1;2022-07-31;-1;0;0;0;0;0;1;-1;3;1;5;2;4;7;-1;-1;-1;-1;-1;-1;1;80;48;116;102;1.63;0.95;2.58;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Szombathelyi Haladás;Csákvári TK;1.9;1.3;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;Y;N;N;N;N;Y
2837167;3794;3791;2022/2023;complete;92034;1;-1;32,41;;2;0;2;3;5;8;-1;-1;-1;-1;-1;-1;5;5;0;9;5;14;-1;-1;27;73;-1;-1;2.2;3.6;3.1;1.03;1.29;1.9;3.2;6.0;10.0;3.24;1.9;1.3;1.1;1.72;2.0;0;0;0;0;1.48;1.28;1.38;2.75;2.2;3.5;2.57;2.6;3.24;0;0;0.0;1.38;1.7;2.18;2.95;0.0;2.8;2.06;1.62;1.36;0.0;0.0;0.0;1.73;10.75;2.3;0;0;1.35;2.8;6.2;0.0;2.9;1.37;1.09;0.0;1.22;2.0;4.5;12.0;3.74;1.62;1.12;1.02;0;0;0;0;2;2;0;0;0;0;2;2022-07-31;3794;0;0;0;0;0;1;-1;3;0;0;5;3;5;-1;-1;-1;-1;-1;-1;1;23;45;59;90;0.84;1.56;2.4;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Kazincbarcika;Dorogi;1.6;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;Y;N;N;N;N;N
2837170;10023;3782;2022/2023;complete;92034;1;-1;84;;1;0;1;4;3;7;-1;-1;-1;-1;-1;-1;3;3;8;4;11;7;-1;-1;55;45;-1;-1;2.0;3.6;3.6;1.05;1.31;2.05;3.5;7.0;10.0;3.1;1.75;1.25;1.09;1.85;1.85;0;0;0;0;1.28;1.31;1.75;2.63;2.1;4.0;2.42;2.5;3.56;0;0;0.0;1.37;1.66;2.12;2.85;0.0;2.88;2.1;1.66;1.38;0.0;0.0;0.0;1.62;9.75;2.6;0;0;1.43;3.03;6.9;0.0;2.65;1.36;1.07;0.0;1.25;2.26;4.6;15.0;3.6;1.58;1.16;1.02;0;0;0;0;1;0;0;1;0;1;0;2022-07-31;10023;0;0;0;0;0;1;-1;2;0;2;3;2;5;-1;-1;-1;-1;-1;-1;1;52;50;111;110;1.29;1.03;2.32;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Tiszakécske;MTE 1904;1.8;1.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;N;N;N;N;N;N
2837165;3767;3783;2022/2023;complete;92034;1;-1;61,67;34;2;1;3;14;6;20;-1;-1;-1;-1;-1;-1;4;2;4;0;8;2;-1;-1;58;42;-1;-1;1.53;4.5;5.5;1.03;1.22;1.5;2.75;4.85;13.5;3.8;2.5;1.4;1.14;1.65;2.1;0;0;0;0;1.1;1.16;2.45;1.95;2.5;4.75;1.68;3.0;5.25;0;0;0.0;1.41;2.2;2.23;3.0;0.0;2.7;2.0;1.58;1.34;0.0;0.0;0.0;1.33;16.0;3.25;0;0;1.31;2.44;5.6;0.0;3.1;1.49;1.11;0.0;1.18;1.92;3.8;11.0;4.3;1.79;1.23;1.02;0;0;0;0;3;0;1;2;0;2;1;2022-08-01;3767;0;0;0;0;0;1;-1;4;4;10;2;8;12;-1;-1;-1;-1;-1;-1;1;101;67;135;101;1.52;0.76;2.29;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;MTK;Szeged 2011;2.0;1.91;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7776;18;Y;Y;Y;N;N;N;Y
