ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1417066;688913;5422;2021/2022;complete;76989;1;-1;2,27,39,50;24,69;4;2;6;4;7;11;1;0;2;2;0;0;6;4;5;7;11;11;13;8;35;65;2;2;1.77;3.57;4.94;1.05;1.32;2;3.56;6.5;8.75;3.04;1.7;1.24;1.08;1.99;1.75;0;0;0;0;1.14;1.25;2.09;2.23;2.13;5.5;2.03;2.49;4.9;0;0;1.34;1.61;1.99;2.51;3.5;3;2.21;1.79;1.44;1.26;1.39;7.3;4.08;1.53;8.4;3.08;2.5;7;1.42;2.98;7.3;20;2.69;1.35;1.06;1.01;1.25;2.24;4.8;11;3.6;1.59;1.15;1.02;0;0;0;0;6;3;1;1;1;2;4;2021-11-19 14:00:00;688913;0;0;0;0;0;1;1;4;2;0;5;6;5;1;1;1;1;2;2;1;58;97;88;113;1.53;1.67;3.21;1;0;1;0;0;0;1;1;1;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;ATK Mohun Bagan;Kerala Blasters;1.91;1.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6659;22;Y;Y;Y;Y;Y;Y;Y
1417067;5425;5420;2021/2022;complete;76989;1;-1;14,22,42,82;17,25;4;2;6;2;1;3;3;5;1;1;0;0;5;5;3;6;8;11;9;9;69;31;1;1;2.26;3.2;2.88;1.06;1.36;2.12;3.75;6.5;8.75;3;1.74;1.25;1.1;1.83;1.91;0;0;0;0;1.38;1.35;1.53;3.25;2.05;3.4;2.88;2.3;2.88;0;0;1.3;1.56;1.97;2.63;3.65;3.3;2.33;1.78;1.45;1.26;1.9;6.8;2.28;1.91;7.5;2.1;3.9;4.8;1.44;3.25;9;26;2.63;1.33;1.07;1.01;1.25;2.2;5;13;3.75;1.62;1.17;1.04;0;0;0;0;6;3;2;1;0;1;5;2021-11-20 14:00:00;5425;0;0;0;0;0;1;1;1;0;1;1;1;2;1;0;0;1;1;1;1;62;48;99;69;1.31;1.39;2.7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Bengaluru;NorthEast United;1.6;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6659;20;Y;Y;Y;Y;Y;Y;Y
1417068;5430;5424;2021/2022;complete;76989;1;-1;19;45;1;1;2;5;5;10;1;3;1;1;0;0;4;4;7;10;11;14;11;16;37;63;1;1;2.29;3.35;2.74;1.06;1.27;1.97;3.14;4.1;8;3.34;1.91;1.3;1.19;1.71;2.04;0;0;0;0;1.34;1.28;1.6;2.8;2.14;3.64;2.54;2.48;3.32;0;0;1.31;1.57;1.94;2.43;3.3;3.1;2.26;1.84;1.48;1.28;1.87;6.8;2.39;1.85;9.4;2.22;3.8;5.5;1.38;2.73;6.4;15;2.85;1.41;1.08;1.02;1.21;2.08;4.2;9;3.9;1.68;1.19;1.05;0;0;0;0;2;1;1;0;0;0;2;2021-11-21 14:00:00;-1;0;0;0;0;0;1;1;4;3;1;2;7;3;0;0;1;1;0;2;1;49;86;76;94;1.33;1.78;3.11;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;East Bengal;Jamshedpur;0.5;1.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6659;20;Y;Y;N;N;N;N;Y
1417069;5416;5421;2021/2022;complete;76989;1;-1;33,36,76;;3;0;3;4;6;10;3;2;0;3;0;0;7;3;5;6;12;9;11;17;43;57;0;3;1.9;3.49;3.98;1.04;1.28;1.8;3.1;5.5;11;3.5;1.9;1.33;1.13;1.72;2.05;0;0;0;0;1.22;1.25;1.68;2.6;2.1;3.75;2.3;2.45;3.6;0;0;1.27;1.48;1.8;2.3;3;3.4;2.47;1.9;1.55;1.34;1.57;7;3.13;1.66;11;2.35;3.3;6.5;1.3;2.75;6.3;15;3.1;1.4;1.08;1.02;1.19;2.04;4.2;10;4.2;1.71;1.19;1.03;0;0;0;0;3;2;0;1;0;1;2;2021-11-22 14:00:00;5416;0;0;0;0;0;1;1;3;1;1;5;4;6;0;1;0;2;1;2;1;48;43;74;54;1.59;1.09;2.68;1;0;1;0;0;0;1;1;0;0;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Mumbai City;Goa;1.7;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6659;20;Y;Y;Y;N;N;N;N
1417070;674110;5417;2021/2022;complete;76989;1;-1;;66;0;1;1;11;7;18;2;2;0;2;0;0;4;3;7;4;11;7;13;13;63;37;0;2;2.21;3.3;3.12;1.02;1.28;2.02;3.25;5.75;8.75;3.5;1.74;1.3;1.1;1.7;2.1;0;0;0;0;1.33;1.25;1.5;2.95;2.05;3.4;2.65;2.4;3.1;0;0;1.33;1.63;2.02;2.56;3.4;3;2.25;1.79;1.44;1.27;1.79;6.8;2.53;1.83;10.75;2.1;3.7;5;1.4;2.73;6.6;15;2.75;1.41;1.08;1.02;1.23;2.08;4.28;10;3.7;1.68;1.17;1.04;0;0;0;0;1;0;0;0;1;1;0;2021-11-23 14:00:00;5417;0;0;0;0;0;1;1;3;2;8;5;5;13;0;0;0;2;0;2;1;120;57;108;71;1.83;1.06;2.9;0;1;0;1;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hyderabad;Chennaiyin;1.92;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6659;20;Y;N;N;N;N;N;N
1417071;5419;5425;2021/2022;complete;76989;2;-1;3,51,90;21;3;1;4;2;7;9;2;0;1;2;0;0;5;4;1;10;6;14;10;14;34;66;1;2;3.3;3.3;2.05;1.03;1.22;1.76;2.77;5.32;13;4.26;2;1.45;1.16;1.67;2.1;4.33;1.18;3;1.33;1.65;1.22;1.28;3.75;2.25;2.75;3.25;2.55;2.38;0;0;1.31;1.53;1.87;2.34;3.05;3.1;2.44;1.93;1.57;1.35;3.78;7.3;1.43;2.38;12;1.67;5.75;3.75;1.36;2.63;7;19;3;1.44;1.1;1.02;1.2;1.91;4;10;4.33;1.8;1.22;1.06;0;0;0;0;4;1;1;2;0;2;2;2021-11-24 14:00:00;5419;0;0;0;0;0;1;1;2;3;0;4;5;4;0;1;1;1;1;2;1;38;76;56;95;1;1.71;2.71;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Odisha FC;Bengaluru;1.5;1.3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;6659;20;Y;Y;Y;Y;N;N;Y
1417072;5420;5422;2021/2022;complete;76989;2;-1;;;0;0;0;3;4;7;0;3;2;1;0;0;-1;-1;-1;-1;-1;-1;16;11;47;53;2;1;2.05;3.25;3.4;1.04;1.26;1.92;3.08;5.5;11.75;3.4;1.83;1.31;1.11;1.78;1.95;0;0;0;0;1.2;1.25;1.92;2.36;2.18;4.65;2.15;2.55;4.15;0;0;1.31;1.57;1.99;2.6;3.3;3.15;2.25;1.73;1.44;1.28;1.61;7.5;3.09;1.61;9.6;2.68;3.3;6;1.37;2.73;6.4;15;2.89;1.41;1.08;1.02;1.21;2.07;4.2;10;3.9;1.69;1.18;1.03;0;0;0;0;0;0;0;0;0;0;0;2021-11-25 14:00:00;-1;0;50;50;50;0;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;0;2;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;50;50;50;50;7;0;2;3;NorthEast United;Kerala Blasters;1.1;1.42;0;0;0;0;0;0;0;0;0;50;50;50;0;1.67;1.67;6659;20;N;N;N;N;N;N;N
1417073;5421;5424;2021/2022;complete;76989;2;-1;86;51,61,80;1;3;4;5;6;11;5;1;1;2;0;0;4;7;6;6;10;13;15;16;75;25;1;2;1.95;3.25;3.4;1.01;1.24;1.8;2.98;5.6;10.5;3.56;1.91;1.33;1.11;1.67;2.1;0;0;0;0;1.3;1.3;1.78;2.6;2.2;3.8;2.38;2.5;3.6;0;0;1.27;1.45;1.85;2.45;3;3.4;2.64;1.94;1.52;1.34;1.75;7.1;2.58;1.7;11;2.38;3.5;6;1.36;2.66;6.2;15;2.94;1.43;1.09;1.02;1.2;2.03;4.1;9.5;4;1.72;1.2;1.04;0;0;0;0;4;0;0;1;3;4;0;2021-11-26 14:00:00;5424;0;50;50;0;0;1;1;3;4;2;2;7;4;0;1;1;1;1;2;1;53;54;72;64;1.29;1.69;2.99;0;0;0;0;0;0;1;1;0;0;3;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;50;50;0;0;5;3;1;1;Goa;Jamshedpur;1;1.91;0;1;0;1;50;50;50;0;0;50;50;0;0;1.78;1.78;6659;20;Y;Y;Y;Y;N;N;Y
1417074;5430;688913;2021/2022;complete;76989;2;-1;;12,14,23;0;3;3;4;2;6;3;1;3;0;0;0;0;6;3;6;3;12;0;1;55;45;3;0;4.33;3;1.95;1.04;1.35;1.95;3.76;7.8;8.3;2.99;1.75;1.24;1.05;1.9;1.83;0;0;0;0;1.68;1.28;1.2;4.33;1.95;2.65;3.75;2.35;2.35;0;0;1.28;1.52;1.97;2.65;3.1;3.3;2.45;1.83;1.45;1.32;2.83;7.3;1.64;2.4;7.5;1.64;6.5;2.9;1.48;3.1;7.8;17;2.5;1.33;1.05;1.01;1.25;2.29;5.2;11;3.5;1.56;1.13;1.02;0;0;0;0;3;0;3;0;0;0;3;2021-11-27 14:00:00;688913;0;50;50;0;0;1;1;3;0;1;2;3;3;2;0;1;0;2;1;1;77;64;127;101;0.76;1.64;2.41;0;0;0;0;0;0;1;1;0;0;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;50;50;0;0;5;1;1;1;East Bengal;ATK Mohun Bagan;0.5;1.73;1;0;1;3;50;50;50;0;0;50;50;0;1.33;0;1.33;6659;20;Y;Y;Y;N;N;N;N
1417075;5416;674110;2021/2022;complete;76989;2;-1;6;13,53,82;1;3;4;5;2;7;1;1;2;2;0;0;4;5;5;2;9;7;21;17;63;37;2;2;1.67;3.6;5;1.01;1.25;1.95;2.9;5.75;10.25;3.75;1.74;1.38;1.12;1.72;2.05;0;0;0;0;1.16;1.2;2;2.3;2.2;4.33;2.05;2.6;4;0;0;1.33;1.64;2.12;2.6;3.3;3.1;2.24;1.71;1.47;1.29;1.51;7.3;3.28;1.55;13;2.6;2.7;7.5;1.43;2.6;5.9;15;2.65;1.45;1.1;1.02;1.2;1.95;4.2;9;4;1.78;1.18;1.05;0;0;0;0;4;1;1;0;2;2;2;2021-11-27 16:00:00;674110;0;0;0;0;0;1;1;3;2;2;0;5;2;0;0;2;2;0;4;1;54;51;87;73;1.24;1.16;2.41;0;1;0;1;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;50;50;50;50;0;4;3;0;1.5;Mumbai City;Hyderabad;1.7;1.73;3;0;3;0;50;50;0;0;0;50;50;0;1.59;0;1.59;6659;20;Y;Y;Y;Y;N;N;Y
