ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2929754;7040;7883;2022/2023;complete;92293;1;-1;75;85;1;1;2;2;1;3;-1;-1;3;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1.7;3.1;5.0;0.0;0.0;2.3;0.0;0.0;0.0;0.0;1.6;0.0;0.0;2.1;1.66;0;0;0;0;0.0;0.0;0.0;2.5;2.0;4.75;2.05;2.3;4.3;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.57;0.0;3.1;2.63;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;0;0;1;1;2;0;2022-07-23;-1;0;0;0;0;0;1;1;2;1;0;0;3;0;1;1;2;2;2;4;-1;0;0;0;0;0.0;0.0;0.0;1;0;1;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;PSIS Semarang;Cilegon United;2.5;0.83;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;10;Y;Y;N;N;N;N;Y
2929755;7886;1528;2022/2023;complete;92293;1;-1;88;17,28;1;2;3;6;7;13;-1;-1;2;4;0;0;4;4;7;2;11;6;-1;-1;61;39;2;4;2.2;2.79;3.26;1.07;1.4;2.3;4.15;9.25;7.75;2.65;1.6;1.19;1.05;1.9;1.8;0;0;0;0;1.29;1.38;1.6;2.88;1.95;3.75;2.5;2.15;3.35;0;0;0.0;0.0;2.25;0.0;0.0;0.0;0.0;1.98;0.0;0.0;0;0;0;1.73;7.5;2.5;3.3;0.0;1.51;3.3;9.5;0;2.35;1.28;1.05;0.0;1.3;2.5;6.0;12.0;3.2;1.5;1.11;1.02;0;0;0;0;3;0;2;1;0;1;2;2022-07-23;1528;0;0;0;0;0;1;1;3;2;3;5;5;8;1;1;1;3;2;4;1;81;45;119;77;1.56;0.99;2.55;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;PSS Sleman;PSM;1.0;1.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;10;Y;Y;Y;N;N;N;Y
2929756;1541;1537;2022/2023;complete;92293;1;-1;21,22,31,45,48,51,88,90;;8;0;8;7;6;13;-1;-1;0;2;0;0;7;0;0;0;7;0;-1;-1;50;50;0;2;1.85;3.25;3.3;1.05;1.3;1.92;3.4;6.75;9.5;3.15;1.78;1.27;1.09;1.68;2.05;0;0;0;0;1.35;1.35;1.55;2.5;2.1;4.0;2.05;2.55;3.65;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.57;9.5;2.75;3.2;0.0;1.41;2.85;7.75;24;2.65;1.36;1.07;1.01;1.22;2.2;5.0;10.5;3.74;1.62;1.14;1.02;0;0;0;0;8;4;0;4;0;4;4;2022-07-23;1541;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;2;0;0;2;0;-1;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Madura United;Barito Putera;3.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;10;Y;Y;Y;Y;Y;Y;N
2929757;1539;1542;2022/2023;complete;92293;1;-1;39;;1;0;1;6;7;13;-1;-1;2;3;0;0;3;0;4;6;7;6;-1;-1;43;57;2;3;1.47;3.65;5.0;1.05;1.29;1.96;3.45;7.0;10.0;3.2;1.74;1.26;1.09;1.86;1.8;0;0;0;0;1.12;1.25;2.4;2.5;2.1;4.33;2.05;2.4;4.05;0;0;1.35;1.64;2.1;2.88;4.0;3.0;2.14;1.66;1.38;1.21;0;0;0;1.5;9.75;3.0;4.0;0.0;1.41;3.0;8.5;26;2.65;1.32;1.06;1.01;1.25;2.25;5.0;10.5;3.5;1.57;1.14;1.02;0;0;0;0;1;1;0;0;0;0;1;2022-07-23;1539;0;0;0;0;0;1;1;2;3;4;4;5;8;1;2;1;1;3;2;1;52;54;98;109;1.04;0.78;1.82;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Bali United;Persija;2.0;1.83;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;10;Y;N;N;N;N;N;N
2929758;1536;1538;2022/2023;complete;92293;1;-1;3,7,90;;3;0;3;4;6;10;-1;-1;0;1;1;1;7;2;5;7;12;9;-1;-1;50;50;2;3;2.57;2.81;2.36;1.05;1.4;2.2;3.74;6.8;8.0;2.75;1.6;1.23;1.07;1.84;1.92;0;0;0;0;1.45;1.32;1.4;2.5;2.05;4.33;2.35;2.41;4.0;0;0;1.3;1.58;2.0;2.7;3.75;3.2;2.25;1.73;1.42;1.24;0;0;0;1.73;8.5;2.4;2.9;0.0;1.48;3.19;7.5;17;2.25;1.14;1.06;1.01;1.29;2.38;5.5;12.0;3.24;1.53;1.12;1.02;0;0;0;0;3;2;0;1;0;1;2;2022-07-24;1536;0;0;0;0;0;1;1;2;4;2;2;6;4;0;0;1;2;0;3;1;48;59;117;138;1.61;1.15;2.76;0;0;0;0;0;0;1;1;2;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Borneo;Arema;2.71;1.4;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;11;Y;Y;Y;N;N;N;N
2929759;1535;1532;2022/2023;complete;92293;1;-1;38,85;42,48;2;2;4;3;2;5;-1;-1;2;1;0;0;4;4;10;1;14;5;-1;-1;52;48;2;1;2.69;3.15;2.32;1.05;1.34;2.1;3.75;7.75;9.0;2.9;1.62;1.23;1.07;1.83;1.86;0;0;0;0;1.36;1.34;1.55;3.75;2.05;2.88;3.15;2.3;2.45;0;0;1.25;1.46;2.25;2.35;3.25;3.7;2.55;2.0;1.53;1.3;0;0;0;2.25;8.75;1.83;0.0;3.6;1.46;3.1;8.75;27;2.28;1.16;1.06;1.01;1.23;2.25;4.7;11.0;3.74;1.58;1.15;1.02;0;0;0;0;4;1;1;1;1;2;2;2022-07-24;-1;0;0;0;0;0;1;1;1;1;2;1;2;3;0;0;2;1;0;3;1;71;45;84;73;1.67;0.93;2.6;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Bhayangkara;Persib;1.0;1.4;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;10;Y;Y;Y;Y;N;N;Y
2929760;7880;706876;2022/2023;complete;92293;1;-1;22,68;2,65,72;2;3;5;3;6;9;-1;-1;2;5;0;0;6;6;9;2;15;8;-1;-1;54;46;2;5;2.25;2.87;3.06;1.06;1.3;1.85;3.3;6.3;8.8;3.24;1.75;1.3;1.08;1.86;1.89;0;0;0;0;1.29;1.3;1.53;3.0;2.05;3.6;2.75;2.31;3.4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1.83;8.25;2.2;3.1;0.0;1.4;2.85;6.7;25;2.75;1.37;1.07;1.02;1.25;2.17;4.8;11.0;3.6;1.62;1.14;1.02;0;0;0;0;5;1;1;1;2;3;2;2022-07-25;706876;0;0;0;0;0;1;1;3;4;0;2;7;2;0;2;2;3;2;5;1;61;43;96;69;1.81;1.24;3.04;0;0;0;0;0;0;1;1;0;1;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Persis Solo;Dewa United;1.33;0.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;11;Y;Y;Y;Y;Y;N;Y
2929761;7887;7908;2022/2023;complete;92293;1;-1;1,56;;2;0;2;2;4;6;-1;-1;4;1;0;0;6;2;1;7;7;9;-1;-1;47;53;4;1;3.02;2.65;2.16;1.09;1.4;2.2;3.9;7.9;7.0;2.65;1.55;1.21;1.06;2.0;1.71;0;0;0;0;1.57;1.39;1.32;4.5;2.0;2.6;3.75;2.38;2.37;0;0;1.35;1.64;2.1;2.88;4.0;3.0;2.14;1.66;1.38;1.21;0;0;0;3.0;7.5;1.57;0.0;3.5;1.52;3.3;9.5;17;2.19;1.29;1.05;1.01;1.31;2.36;5.3;12.0;3.2;1.53;1.12;1.03;0;0;0;0;2;1;0;1;0;1;1;2022-07-25;7887;0;0;0;0;0;1;1;2;3;0;1;5;1;3;1;1;0;4;1;1;33;53;77;83;1.11;1.09;2.2;0;0;0;0;0;0;1;1;1;0;0;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Persita;Persik Kediri;2.4;0.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;11;Y;Y;N;N;N;N;N
2929762;1525;7039;2022/2023;complete;92293;1;-1;53;;1;0;1;4;5;9;-1;-1;1;3;0;0;3;5;4;7;7;12;-1;-1;50;50;1;3;4.2;3.4;1.73;1.05;1.27;1.85;2.95;5.85;10.25;3.3;1.95;1.33;1.11;1.8;1.9;0;0;0;0;1.9;1.3;1.23;4.5;2.2;2.3;4.12;2.61;2.06;0;0;1.35;1.64;2.1;2.88;4.0;3.0;2.14;1.66;1.38;1.21;0;0;0;2.88;11.0;1.5;0.0;2.9;1.4;2.78;7.5;22;2.38;1.24;1.08;1.01;1.22;2.11;4.2;10.0;3.8;1.67;1.18;1.04;0;0;0;0;1;0;0;1;0;1;0;2022-07-25;1525;0;0;0;0;0;1;1;3;3;1;2;6;3;1;0;0;3;1;3;1;49;59;93;86;1.01;1.53;2.55;1;0;1;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;PS TNI;Persebaya Surabaya;2.17;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;11;Y;N;N;N;N;N;N
2929763;1528;1539;2022/2023;complete;92293;2;-1;25,90;;2;0;2;4;2;6;-1;-1;3;3;0;0;4;4;4;3;8;7;-1;-1;50;50;3;3;5.33;3.49;1.46;1.03;1.3;1.9;3.34;6.5;8.8;3.14;1.76;1.27;1.07;1.86;1.86;0;0;0;0;1.9;1.26;1.2;3.75;2.05;2.88;3.1;2.34;2.88;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;2.2;8.6;1.91;0.0;3.4;1.4;2.89;6.9;25;2.77;1.37;1.07;1.01;1.2;2.18;4.4;10.0;3.9;1.62;1.17;1.04;0;0;0;0;2;1;0;1;0;1;1;2022-07-29;1528;0;0;0;0;0;1;1;2;0;2;2;2;4;2;2;1;1;4;2;1;45;28;70;60;1.11;0.93;2.04;1;0;1;0;0;0;1;1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;PSM;Bali United;2.6;1.8;0.0;0.0;3.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7840;10;Y;Y;N;N;N;N;N
