ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1223145;8440;8472;2019/2020;complete;66982;1;-1;-1,-1;-1,-1,-1;2;3;5;2;15;17;-1;-1;-1;-1;-1;-1;6;11;3;11;9;22;-1;-1;50;50;-1;-1;7.5;4;1.4;1.03;1.18;1.6;2.5;4.36;11;4.52;2.3;1.5;1.19;1.68;2.3;6.15;1.05;0;0;2.63;1.2;1.06;5.5;2.5;1.95;5.1;2.9;1.69;0;0;0;0;1.67;0;0;0;0;2.1;0;0;0;0;0;3.4;13;1.33;8.5;2.65;1.3;2.39;5.6;11;3.32;1.53;1.12;1.03;1.2;1.85;3.5;7.5;4.33;1.85;1.29;1.07;0;0;0;0;5;0;0;0;0;0;0;2019-09-13 12:00:00;8472;0;0;0;0;1;1;-1;2;7;0;8;9;8;-1;-1;-1;-1;-1;-1;1;29;90;91;133;1.21;2.8;4.01;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Pescara U19;Inter Milan U19;1;1.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5773;16;Y;Y;Y;Y;Y;N;Y
1223146;8436;8467;2019/2020;complete;66982;1;-1;-1;;1;0;1;5;6;11;-1;-1;-1;-1;-1;-1;8;4;8;8;16;12;-1;-1;49;51;-1;-1;4;3.75;1.67;0;1.11;1.47;2.13;3.7;12.5;5;2.5;1.65;1.24;1.44;2.97;5.6;1.07;0;0;2;1.22;1.2;3.75;2.5;2.2;3.85;2.85;1.91;0;0;0;0;0;2;0;0;0;0;1.73;0;0;0;0;2.45;13;1.51;6.95;3.45;1.25;2.06;4.55;9.75;3.6;1.66;1.12;0;1.12;0;0;0;5.3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2019-09-14 09:00:00;8436;0;0;0;0;1;1;-1;2;4;3;2;6;5;-1;-1;-1;-1;-1;-1;1;84;80;103;119;2.17;1.62;3.79;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Napoli U19;Torino U19;0.4;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5773;20;Y;N;N;N;N;N;N
1223147;8434;8435;2019/2020;complete;66982;1;-1;-1,-1,-1;;3;0;3;5;5;10;-1;-1;-1;-1;-1;-1;9;3;6;3;15;6;-1;-1;56;44;-1;-1;1.57;4;4.33;0;1.13;1.58;2.42;3.92;11.25;4.56;2.24;1.51;1.17;1.55;2.6;2.9;1.31;0;0;1.17;1.2;2.2;2.2;2.4;4.33;2.05;2.7;3.55;0;0;0;0;0;2;0;0;0;0;1.73;0;0;0;0;1.44;15;2.75;3.35;6.75;1.29;2.23;5.15;11;3.3;1.57;1.09;0;1.15;0;0;0;4.7;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2019-09-14 11:00:00;8434;0;0;0;0;1;1;-1;4;3;1;2;7;3;-1;-1;-1;-1;-1;-1;1;74;47;94;92;2.11;0.94;3.04;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Juventus U19;Empoli U19;2.09;1.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5773;20;Y;Y;Y;N;N;N;N
1223148;8439;8447;2019/2020;complete;66982;1;-1;-1;-1;1;1;2;0;5;5;-1;-1;-1;-1;-1;-1;7;7;5;8;12;15;-1;-1;42;58;-1;-1;1.91;3.4;3.4;0;1.15;1.72;2.5;4.3;9.75;4.26;2.03;1.47;1.15;1.57;2.55;3.2;1.25;0;0;1.29;1.29;1.73;2.5;2.3;3.6;2.6;2.5;2.8;0;0;0;0;0;1.93;0;0;0;0;1.88;0;0;0;0;1.83;10;2.05;4;5.15;1.3;2.5;5.75;12.25;3.2;1.41;1.07;0;1.15;1.87;0;0;4.7;1.74;0;0;0;0;0;0;2;0;0;0;0;0;0;2019-09-14 13:00:00;-1;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;33;53;61;68;1.48;1.81;3.29;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Cagliari U19;Genoa U19;1.91;1.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5773;20;Y;Y;N;N;N;N;Y
1223149;8448;8469;2019/2020;complete;66982;1;-1;-1,-1;-1,-1,-1;2;3;5;4;6;10;-1;-1;-1;-1;-1;-1;5;10;5;8;10;18;-1;-1;51;49;-1;-1;3.6;3.6;1.8;0;1.13;1.57;2.39;3.92;11.5;4.52;2.28;1.52;1.17;1.62;2.43;5.8;1.06;0;0;1.83;1.25;1.25;3.75;2.38;2.38;4.65;2.85;1.77;0;0;0;0;0;1.88;0;0;0;0;1.93;0;0;0;0;2.5;13;1.57;7.75;2.75;1.28;2.22;5;10.75;3.3;1.57;1.1;0;1.14;0;0;0;4.9;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2019-09-14 15:00:00;8469;0;0;0;0;1;1;-1;2;4;2;2;6;4;-1;-1;-1;-1;-1;-1;1;48;56;114;108;1.34;2.24;3.58;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sampdoria U19;Atalanta U19;2.08;2.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5773;18;Y;Y;Y;Y;Y;N;Y
1223150;8445;8437;2019/2020;complete;66982;1;-1;-1,-1;-1,-1,-1;2;3;5;7;4;11;-1;-1;-1;-1;-1;-1;6;6;8;5;14;11;-1;-1;52;48;-1;-1;2.5;3.75;2.25;1.03;1.17;1.58;2.24;3.74;12;4.5;2.26;1.59;1.25;1.5;2.41;4.25;1.14;0;0;1.53;1.23;1.41;3.13;2.38;2.7;2.65;2.7;2.6;0;0;0;0;0;1.99;0;0;0;0;1.73;0;0;0;0;2.05;17;1.8;5.15;4.6;1.26;2.14;4.65;10;3.5;1.62;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2019-09-15 09:00:00;8437;0;0;0;0;1;1;-1;3;1;4;3;4;7;-1;-1;-1;-1;-1;-1;1;31;24;89;80;1.53;1.29;2.83;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sassuolo U19;Lazio U19;1.33;1.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5773;19;Y;Y;Y;Y;Y;N;Y
1223151;8446;8470;2019/2020;complete;66982;1;-1;-1,-1,-1,-1,-1,-1;-1,-1,-1;6;3;9;2;10;12;-1;-1;-1;-1;-1;-1;8;7;3;12;11;19;-1;-1;44;56;-1;-1;1.85;3.6;3.4;1.04;1.2;1.58;2.55;4.24;10;4.32;2.25;1.45;1.21;1.6;2.47;3.05;1.27;0;0;1.23;1.22;1.83;2.37;2.35;4.14;2.35;2.55;3.15;0;0;0;0;1.73;0;0;0;0;2;0;0;0;0;0;1.62;13;2.4;3.7;6.2;1.3;2.23;4.75;10.25;3.22;1.57;1.11;1.03;1.2;1.87;3.75;7.5;4.33;1.74;1.25;1.07;0;0;0;0;9;0;0;0;0;0;0;2019-09-15 15:00:00;8446;0;0;0;0;1;1;-1;2;3;0;7;5;7;-1;-1;-1;-1;-1;-1;1;74;95;117;131;1.8;2.37;4.17;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Fiorentina U19;Bologna U19;1.64;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5773;19;Y;Y;Y;Y;Y;Y;Y
1223152;8443;8465;2019/2020;complete;66982;1;-1;-1,-1,-1,-1,-1,-1;-1,-1,-1;6;3;9;7;2;9;-1;-1;-1;-1;-1;-1;16;7;14;6;30;13;-1;-1;54;46;-1;-1;1.3;4.75;8;1.02;1.11;1.36;1.74;2.88;15;6;3.1;2.01;1.38;1.54;2.62;0;0;0;0;1.05;1.14;3.25;1.67;2.75;6.5;1.61;3.4;5.55;0;0;0;0;0;0;2;0;0;0;0;1.73;0;0;0;1.22;19;4;2.62;17;1.21;1.84;4.06;8;4.1;1.84;1.22;1.06;1.09;1.55;2.65;5;6.6;2.37;1.44;1.14;0;0;0;0;9;0;0;0;0;0;0;2019-09-16 13:00:00;8443;0;0;0;0;1;1;-1;4;0;3;2;4;5;-1;-1;-1;-1;-1;-1;1;53;28;78;58;3.37;1.51;4.88;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Roma U19;Chievo Verona U19;2;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5773;18;Y;Y;Y;Y;Y;Y;Y
1223153;8435;8439;2019/2020;complete;66982;2;-1;-1;-1,-1;1;2;3;5;9;14;-1;-1;-1;-1;-1;-1;4;7;13;4;17;11;-1;-1;60;40;-1;-1;2.55;3.4;2.38;1.05;1.25;1.8;2.97;5.7;9;3.74;2;1.37;1.12;1.62;2.42;3.65;1.19;0;0;1.5;1.29;1.44;3.1;2.25;3;3.1;2.38;2.62;0;0;0;0;1.72;0;0;0;0;2.01;0;0;0;0;0;2.1;11;1.83;4.7;4;1.37;2.69;6.8;13;2.92;1.43;1.08;1.02;1.22;2;4;8;4;1.73;1.22;1.06;0;0;0;0;3;0;0;0;0;0;0;2019-09-20 13:00:00;8439;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;94;70;91;76;2.02;1.68;3.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Empoli U19;Cagliari U19;1.8;2.67;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5773;20;Y;Y;Y;N;N;N;Y
1223154;8470;8436;2019/2020;complete;66982;2;-1;-1,-1,-1;-1,-1;3;2;5;5;2;7;-1;-1;-1;-1;-1;-1;7;4;3;8;10;12;-1;-1;48;52;-1;-1;2.38;3.6;2.38;1.04;1.22;1.73;2.77;4.72;10;3.82;2.08;1.39;1.16;1.54;2.63;3.55;1.2;0;0;1.5;1.25;1.5;3;2.3;3;2.65;2.5;2.75;0;0;0;0;1.66;0;0;0;0;2.11;0;0;0;0;0;1.91;10;1.91;4.45;4.35;1.34;2.49;6;13;3;1.5;1.11;1.02;1.18;1.91;3.74;8;4.3;1.8;1.25;1.06;0;0;0;0;5;0;0;0;0;0;0;2019-09-21 09:00:00;8470;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;58;62;83;97;1.54;1.49;3.03;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Bologna U19;Napoli U19;2.11;0.82;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5773;19;Y;Y;Y;Y;Y;N;Y
