;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;3395725;8445;8434;2022/2023;complete;93356;1;-1;72;72;1;1;2;6;0;6;-1;-1;3;4;1;1;7;4;14;7;21;11;-1;-1;60;40;5;6;3.15;3.5;1.93;1.02;1.18;1.6;2.55;4.5;15.25;4.3;2.14;1.46;1.16;1.53;2.43;0;0;0;0;1.6;1.23;1.38;3.26;2.4;2.72;3.05;2.8;2.49;0;0;0;0;1.98;0.0;0;0;0;1.83;0.0;0;0;0;0;2.2;17.0;1.66;0;0;1.28;2.47;5.3;16.0;3.3;1.48;1.12;1.02;1.16;1.81;3.5;7.0;4.6;1.9;1.26;1.08;0;0;0;0;2;0;1;1;0;1;1;2022-08-19;-1;0;0;0;0;0;1;1;1;0;5;0;1;5;0;3;4;2;3;6;1;96;37;172;111;2.52;1.25;3.77;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Sassuolo U19;Juventus U19;2.33;1.57;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;Y;N;N;N;N;Y
1;3395724;11275;8436;2022/2023;complete;93356;1;-1;41;41;1;1;2;8;1;9;-1;-1;3;1;0;0;7;2;9;6;16;8;-1;-1;48;52;3;1;2.15;3.2;2.93;1.02;1.19;1.7;2.6;4.7;15.0;4.1;2.1;1.43;1.15;1.57;2.34;0;0;0;0;1.34;1.23;1.65;2.62;2.4;3.46;2.42;2.75;3.16;0;0;0;0;1.88;0.0;0;0;0;1.93;0.0;0;0;0;0;1.76;15.0;2.05;0;0;1.29;2.36;5.5;19.0;3.3;1.52;1.11;1.01;1.16;1.85;3.6;7.5;4.6;1.85;1.24;1.07;0;0;0;0;2;2;0;0;0;0;2;2022-08-19;11275;0;0;0;0;0;1;1;5;0;3;1;5;4;2;0;1;1;2;2;1;37;26;64;66;1.76;0.84;2.6;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Lecce U19;Napoli U19;1.43;0.2;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;Y;N;N;N;N;N
2;3395727;8461;8433;2022/2023;complete;93356;1;-1;14,15,27;14,15,27;3;3;6;6;3;9;-1;-1;2;3;0;0;7;9;4;5;11;14;-1;-1;53;47;2;3;1.22;6.3;8.9;1.01;1.07;1.32;2.05;2.85;19.0;6.7;2.98;1.7;1.37;1.8;1.85;0;0;0;0;1.06;1.08;3.6;1.62;2.88;7.0;1.4;4.0;8.1;0;0;0;0;1.95;0.0;0;0;0;1.85;0.0;0;0;0;0;1.18;18.0;4.5;0;0;1.17;2.05;3.7;10.25;4.4;1.79;1.23;1.05;1.08;1.51;2.55;5.4;6.4;2.38;1.45;1.12;0;0;0;0;8;3;1;0;4;4;4;2022-08-20;8433;0;0;0;0;0;1;1;2;2;4;1;4;5;1;1;1;2;2;3;1;57;78;72;82;1.59;2.07;3.66;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Milan U19;Frosinone U19;1.5;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;Y;Y;Y;Y;Y;Y
3;3395726;8439;8467;2022/2023;complete;93356;1;-1;;;0;0;0;7;5;12;-1;-1;1;1;0;0;3;7;6;9;9;16;-1;-1;55;45;1;1;1.93;3.35;3.1;1.01;1.19;1.62;2.55;4.6;14.0;4.2;2.17;1.45;1.16;1.57;2.34;0;0;0;0;1.26;1.29;1.69;2.5;2.4;3.66;2.29;2.8;3.44;0;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;1.8;14.0;2.05;0;0;1.28;2.55;5.4;17.0;3.3;1.44;1.12;1.01;1.16;1.83;3.6;7.5;4.6;1.87;1.25;1.07;0;0;0;0;1;0;1;0;0;0;1;2022-08-20;8467;0;0;0;0;0;1;1;2;3;5;2;5;7;1;0;0;1;1;1;1;38;36;80;82;1.06;1.76;2.82;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Cagliari U19;Torino U19;1.6;1.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;N;N;N;N;N;N
4;3395728;8470;8472;2022/2023;complete;93356;1;-1;23,63;23,63;2;2;4;4;4;8;-1;-1;1;1;0;0;7;4;4;7;11;11;-1;-1;46;54;1;1;4.0;3.6;1.7;1.02;1.17;1.57;2.4;4.14;15.75;4.4;2.25;1.5;1.19;1.58;2.32;0;0;0;0;2.0;1.2;1.2;4.34;2.45;2.27;4.08;2.95;2.02;0;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;2.5;14.0;1.54;0;0;1.25;2.46;5.3;18.0;3.5;1.48;1.12;1.01;1.14;1.8;3.54;0.0;4.9;1.9;1.25;0.0;0;0;0;0;3;1;0;1;1;2;1;2022-08-20;8470;0;0;0;0;0;1;1;4;3;0;1;7;1;1;1;0;0;2;0;1;55;81;106;118;1.59;1.56;3.15;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Bologna U19;Inter Milan U19;1.5;0.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;Y;Y;N;N;N;Y
5;3395729;8464;8443;2022/2023;complete;93356;1;-1;;;0;0;0;2;13;15;-1;-1;1;3;0;0;2;12;2;9;4;21;-1;-1;50;50;1;3;8.0;6.5;1.2;1.01;1.09;1.37;1.95;3.0;26.0;6.2;2.64;1.81;1.33;1.85;1.91;0;0;0;0;3.74;1.07;1.05;8.0;2.88;1.57;8.5;3.9;1.39;0;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;4.75;19.0;1.17;0;0;1.19;2.08;3.9;10.75;4.2;1.72;1.21;1.04;1.09;1.56;2.7;5.5;6.1;2.28;1.41;1.11;0;0;0;0;3;0;0;0;3;3;0;2022-08-20;8443;0;0;0;0;0;1;1;0;9;2;4;9;6;1;2;0;1;3;1;1;66;87;90;103;0.88;2.78;3.66;0;0;0;0;0;0;1;1;0;0;0;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Cesena U19;Roma U19;0.67;2.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;Y;Y;N;N;N;N
6;3395730;8435;8469;2022/2023;complete;93356;1;-1;9,62;9,62;2;2;4;4;1;5;-1;-1;2;2;0;0;3;6;4;6;7;12;-1;-1;41;59;2;2;3.36;3.74;1.9;1.02;1.19;1.47;2.35;3.94;18.0;4.14;2.32;1.53;1.2;1.6;2.27;0;0;0;0;1.8;1.2;1.28;4.04;2.4;2.42;3.62;2.7;2.32;0;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;2.4;16.0;1.57;0;0;1.3;2.34;4.7;14.0;3.3;1.54;1.15;1.03;1.17;1.75;3.34;7.0;4.4;1.95;1.28;1.08;0;0;0;0;3;1;0;1;1;2;1;2022-08-21;8435;0;0;0;0;0;1;1;4;0;0;1;4;1;1;0;1;2;1;3;1;53;97;78;134;1.04;1.88;2.92;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Empoli U19;Atalanta U19;1.17;0.4;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;Y;Y;N;N;N;Y
7;3395731;8454;8446;2022/2023;complete;93356;1;-1;;;0;0;0;0;4;4;-1;-1;1;0;0;0;0;4;3;4;3;8;-1;-1;35;65;1;0;3.14;3.62;2.02;1.02;1.17;1.59;2.47;4.4;15.0;4.4;2.22;1.48;1.17;1.52;2.3;0;0;0;0;1.68;1.22;1.29;3.4;2.3;2.6;3.05;2.6;2.25;0;0;0;0;1.88;0.0;0;0;0;1.93;0.0;0;0;0;0;2.15;14.0;1.71;0;0;1.27;2.28;5.1;15.0;3.4;1.56;1.13;1.02;1.15;1.79;3.4;7.5;4.7;1.9;1.27;1.07;0;0;0;0;1;0;1;0;0;0;1;2022-08-21;8446;0;0;0;0;0;1;1;0;3;0;1;3;1;0;0;1;0;0;1;1;21;94;84;123;0.36;1.47;1.83;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Udinese U19;Fiorentina U19;0.17;1.14;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;N;N;N;N;N;N
8;3395732;8448;8453;2022/2023;complete;93356;1;-1;;;0;0;0;8;1;9;-1;-1;-1;-1;-1;-1;9;4;6;7;15;11;-1;-1;54;46;-1;-1;1.65;3.98;4.28;1.02;1.16;1.49;2.38;3.88;18.0;4.6;2.28;1.52;1.22;1.6;2.27;0;0;0;0;1.19;1.19;2.07;2.16;2.38;4.5;1.98;3.0;4.04;0;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;1.44;15.0;2.63;0;0;1.24;2.34;4.8;14.0;3.6;1.54;1.15;1.03;1.13;1.72;3.2;7.0;5.1;2.0;1.3;1.08;0;0;0;0;0;0;0;0;0;0;0;2022-08-21;-1;0;0;0;0;0;1;-1;4;0;4;1;4;5;-1;-1;-1;-1;-1;-1;1;75;40;122;102;2.12;1.27;3.39;0;0;0;0;0;0;1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Sampdoria U19;Verona U19;0.83;0.83;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;N;N;N;N;N;N;N
9;3395735;8446;8435;2022/2023;complete;93356;2;-1;-1;-1;1;1;2;11;5;16;-1;-1;-1;-1;-1;-1;8;3;8;4;16;7;-1;-1;60;40;-1;-1;1.96;3.5;3.05;1.02;1.16;1.62;2.4;4.2;15.75;4.5;2.15;1.5;1.19;1.55;2.38;0;0;0;0;1.3;1.2;1.75;2.6;2.38;3.4;2.32;2.9;3.32;0;0;0;0;1.83;0.0;0;0;0;1.98;0.0;0;0;0;0;1.67;13.0;2.25;0;0;1.27;2.25;5.1;11.0;3.4;1.58;1.13;1.03;1.15;1.82;3.54;7.5;4.8;1.88;1.25;1.07;0;0;0;0;1;0;0;0;0;0;0;2022-08-26;8446;0;0;0;0;1;1;-1;6;4;5;1;10;6;-1;-1;-1;-1;-1;-1;1;76;55;114;88;2.12;1.06;3.17;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Fiorentina U19;Empoli U19;2.4;1.67;0.0;0.0;3.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8105;12;Y;N;N;N;N;N;N
