;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;735199;673887;18579;2019/2020;complete;53042;1;-1;35,61,85;35,61,85;3;3;6;5;4;9;-1;-1;-1;-1;-1;-1;6;5;6;7;12;12;-1;-1;38;62;-1;-1;1.57;3.2;2.25;1.01;1.2;1.7;2.5;0.0;13.0;4.33;2.1;1.5;1.2;1.53;2.37;3.5;1.28;4.5;1.16;1.33;1.33;1.61;2.75;2.25;3.4;2.4;2.62;3.1;0;0;0.0;1.66;0.0;0.0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.33;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;6;1;0;2;3;5;1;2019-09-14;-1;0;0;0;0;0;1;-1;3;0;2;4;3;6;-1;-1;-1;-1;-1;-1;1;0;0;0;0;1.53;1.51;3.04;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Al Salmiyah;Al Arabi;1.78;1.44;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;Y;Y;Y;Y;Y;Y
1;735200;18569;673889;2019/2020;complete;53042;1;-1;17,67,90;17,67,90;3;3;6;6;4;10;6;1;0;0;0;0;7;4;6;13;13;17;11;13;53;47;0;0;1.25;5.5;7.5;0.0;0.0;1.57;0.0;0.0;0.0;4.33;2.35;1.5;1.22;2.0;1.73;1.83;1.83;8.0;1.06;1.06;1.11;3.5;1.67;2.62;7.0;1.5;3.2;8.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;3;1;0;2;0;2;1;2019-09-15;18569;0;0;0;0;0;1;-1;4;0;2;4;4;6;0;0;0;0;0;0;1;0;0;0;0;1.93;2.02;3.95;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Al Qadsia;Al Tadhamon;2.0;0.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;Y;Y;N;N;N;N
2;735202;673888;18570;2019/2020;complete;53042;1;-1;57;57;1;1;2;4;5;9;0;4;0;0;0;0;5;6;5;8;10;14;18;15;54;46;0;0;1.72;3.6;2.0;1.01;1.2;1.65;2.5;0.0;15.0;4.33;2.2;1.5;1.2;1.57;2.25;3.75;1.25;4.0;1.22;1.4;1.25;1.57;2.87;2.3;3.1;2.6;2.75;2.87;0;0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;1.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.75;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;3;0;1;1;1;2;1;2019-09-15;18570;0;0;0;0;0;1;-1;2;2;2;3;4;5;0;0;0;0;0;0;1;0;0;0;0;1.45;1.8;3.25;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Yarmouk;Al Shabab;0.33;1.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;Y;Y;N;N;N;Y
3;735198;673890;673891;2019/2020;complete;53042;1;-1;59;59;1;1;2;4;6;10;1;1;0;0;0;0;5;3;6;7;11;10;22;14;50;50;0;0;4.0;3.6;1.22;1.01;1.2;1.65;2.62;0.0;12.0;4.33;2.2;1.44;1.16;1.72;2.0;5.5;1.12;2.37;1.53;2.25;1.25;1.11;5.0;2.3;2.05;4.75;2.75;1.83;0;0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;1.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;2.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0;1;0;2019-09-16;673890;0;0;0;0;0;1;-1;3;2;1;4;5;5;0;0;0;0;0;0;1;0;0;0;0;1.5;1.37;2.87;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Al Sahel;Al Nasar;0.78;1.22;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;N;N;N;N;N;N
4;735201;11510;673892;2019/2020;complete;53042;1;-1;28,37,50;28,37,50;3;3;6;7;3;10;1;1;0;0;0;0;5;4;9;9;14;13;12;14;52;48;0;0;1.28;4.2;3.5;1.01;1.16;1.53;2.25;0.0;15.0;4.5;2.4;1.57;1.22;1.61;2.2;2.75;1.4;6.0;1.11;1.16;1.2;2.25;2.1;2.5;4.33;1.9;2.87;4.33;0;0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;1.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1;9.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;4;2;1;1;0;1;3;2019-09-16;11510;0;0;0;0;0;1;-1;5;2;2;1;7;3;0;0;0;0;0;0;1;0;0;0;0;1.7;1.47;3.17;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Al Kuwait;Kazma;2.22;1.44;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;Y;Y;Y;N;N;Y
5;735203;18569;18579;2019/2020;complete;53042;2;-1;34,67;34,67;2;2;4;4;6;10;1;0;0;0;0;0;9;4;8;10;17;14;10;14;47;53;0;0;2.38;3.25;2.88;0.0;0.0;2.05;0.0;0.0;8.5;3.0;1.75;1.25;1.08;1.91;1.8;2.38;1.53;3.75;1.25;1.25;1.33;1.8;2.62;2.05;4.0;2.3;2.4;3.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;1;0;1;0;1;1;2019-09-21;18569;0;50;0;50;0;1;-1;4;1;0;5;5;5;0;0;0;0;0;0;1;0;0;0;0;2.27;1.84;4.1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;100;100;100;0;100;100;100;10.0;5.0;0.0;4.5;Al Qadsia;Al Arabi;2.0;1.44;3.0;1.0;3.0;1.0;50;50;0;0;0;100;50;0;1.93;1.51;3.44;2943;18;Y;Y;N;N;N;N;N
6;735204;673889;673890;2019/2020;complete;53042;2;-1;22,51;22,51;2;2;4;6;8;14;2;0;0;0;0;0;6;3;7;1;13;4;10;14;53;47;0;0;1.33;4.0;3.25;1.01;1.22;1.7;2.62;0.0;15.0;4.0;2.1;1.44;1.16;1.72;2.0;2.62;1.44;5.0;1.14;1.2;1.2;2.1;2.25;2.3;4.33;2.0;2.75;4.0;0;0;0.0;1.83;0.0;0.0;0.0;0.0;1.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;1;0;1;0;1;1;2019-09-22;673889;0;0;0;0;0;1;-1;2;1;4;7;3;11;0;0;0;0;0;0;1;0;0;0;0;1.69;0.97;2.67;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Al Tadhamon;Al Sahel;0.89;1.22;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;Y;N;N;N;N;N
7;735205;673892;673888;2019/2020;complete;53042;2;-1;7,53;7,53;2;2;4;4;2;6;4;2;0;0;0;0;4;4;10;6;14;10;13;10;49;51;0;0;1.33;4.0;3.25;1.01;1.2;1.61;2.5;4.33;15.0;4.33;2.25;1.5;1.2;1.66;2.1;2.75;1.4;5.5;1.12;1.2;1.2;2.1;2.2;2.37;4.33;1.95;2.75;4.0;0;0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;1.66;0.0;0.0;1.56;8.07;3.51;1.44;15.0;2.75;3.1;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.17;1.8;3.5;9.0;5.0;1.91;1.29;1.07;0;0;0;0;2;1;0;1;0;1;1;2019-09-22;673892;0;0;0;0;0;1;-1;2;1;2;1;3;3;0;0;0;0;0;0;1;100;73;127;122;1.89;1.45;3.33;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Kazma;Yarmouk;1.67;0.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;Y;N;N;N;N;N
8;735206;18570;673887;2019/2020;complete;53042;2;-1;39,49,83;39,49,83;3;3;6;7;5;12;-1;-1;0;0;0;0;6;7;6;6;12;13;12;11;46;54;0;0;3.75;4.0;1.25;0.0;1.16;1.57;2.37;0.0;0.0;4.5;2.35;1.53;1.22;1.66;2.1;6.5;1.1;2.62;1.44;2.25;1.2;1.14;4.75;2.4;2.05;4.5;2.87;1.83;0;0;0.0;1.66;0.0;0.0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;2.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;8;1;2;2;3;5;3;2019-09-28;673887;0;0;0;0;0;1;-1;2;2;5;3;4;8;0;0;0;0;0;0;1;0;0;0;0;1.59;1.79;3.38;-1;-1;-1;-1;-1;-1;-1;1;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Al Shabab;Al Salmiyah;0.78;2.11;0.0;0.0;3.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;Y;Y;Y;Y;Y;Y
9;735207;673891;11510;2019/2020;complete;53042;2;-1;;;0;0;0;9;4;13;-1;-1;-1;-1;-1;-1;6;4;7;8;13;12;-1;-1;45;55;-1;-1;7.5;4.5;1.07;0.0;0.0;1.57;0.0;0.0;15.0;4.5;2.35;1.53;1.22;1.83;1.83;8.0;1.06;2.0;1.73;3.4;1.14;1.04;7.0;2.6;1.73;8.0;3.1;1.5;0;0;0.0;1.68;2.25;0.0;0.0;0.0;2.15;1.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;0;2;0;0;0;2;2019-09-29;11510;0;0;0;0;0;1;-1;3;0;6;4;3;10;-1;-1;-1;-1;-1;-1;1;0;0;0;0;1.84;1.68;3.52;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Al Nasar;Al Kuwait;1.11;2.56;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;2943;18;Y;Y;N;N;N;N;N
