ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
3415117;673891;18579;2022/2023;complete;93435;1;-1;32;57;1;1;2;7;3;10;-1;-1;-1;-1;-1;-1;5;4;5;11;10;15;-1;-1;51;49;-1;-1;3.4;3.6;1.91;0;0;1.85;0;0;0;0;1.95;0;0;1.73;2;0;0;0;0;0;0;0;4;2.2;2.5;3.5;0;2.3;0;0;0;0;2.38;0;0;0;0;0;0;0;0;0;0;2.4;0;1.62;0;0;1.36;2.75;7;21;3;1.4;1.1;1.02;1.22;2;4.33;11;4;1.73;1.2;1.05;0;0;0;0;2;1;0;0;1;1;1;2022-08-25 15:50:00;-1;0;0;0;0;0;1;-1;2;2;5;1;4;6;-1;-1;-1;-1;-1;-1;1;44;46;68;101;1.3;1.56;2.86;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Al Nasar;Al Arabi;0.6;1.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8142;10;Y;Y;N;N;N;N;Y
3415118;673887;673889;2022/2023;complete;93435;1;-1;44;;1;0;1;6;5;11;-1;-1;-1;-1;-1;-1;7;5;6;11;13;16;-1;-1;50;50;-1;-1;1.53;4.75;3.8;1.02;1.18;1.57;2.3;4.13;17;4.33;2.35;1.53;1.19;1.73;2;2.6;1.44;5.75;1.1;1.17;1.18;2;2.05;2.4;4.75;1.83;2.8;4.5;0;0;0;0;1.95;0;0;0;0;1.85;0;0;0;0;0;1.4;13;2.88;2.9;8;1.29;2.25;5.5;12;3.24;1.59;1.14;1.03;1.17;1.8;3.5;9;5;1.91;1.29;1.07;0;0;0;0;1;1;0;0;0;0;1;2022-08-25 18:10:00;673887;0;0;0;0;0;1;-1;2;3;4;2;5;6;-1;-1;-1;-1;-1;-1;1;82;68;127;109;1.91;1.85;3.76;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Al Salmiyah;Al Tadhamon;2;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8142;9;Y;N;N;N;N;N;N
3415119;11510;673893;2022/2023;complete;93435;1;-1;;20;0;1;1;6;3;9;-1;-1;-1;-1;-1;-1;6;4;15;10;21;14;-1;-1;43;57;-1;-1;1.2;7;9.5;1.02;1.18;1.67;2.5;4.4;14;4.3;2.15;1.48;1.17;2.63;1.44;1.73;2;7;1.07;1.08;1.13;2.75;1.62;2.5;10;1.44;3;9.5;0;0;0;1.85;0;0;0;0;1.95;0;0;0;0;0;0;1.14;12.5;6;1.91;19;1.29;2.5;6;12;3.24;1.5;1.11;1.02;1.18;1.91;3.75;10;4.5;1.8;1.25;1.06;0;0;0;0;1;0;1;0;0;0;1;2022-08-26 15:50:00;673893;0;0;0;0;0;1;-1;1;1;5;2;2;7;-1;-1;-1;-1;-1;-1;1;79;45;111;71;2.31;1.48;3.79;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Al Kuwait;Al Jahra;2;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8142;10;Y;N;N;N;N;N;N
3415120;673890;18569;2022/2023;complete;93435;1;-1;45,86;18,23,90;2;3;5;2;4;6;-1;-1;-1;-1;-1;-1;3;4;5;4;8;8;-1;-1;50;50;-1;-1;8.5;4.33;1.3;1.01;1.22;1.7;2.75;5;11;3.84;2.1;1.4;1.13;2.1;1.67;6;1.09;2.25;1.57;1.83;1.17;1.25;7.5;2.4;1.8;7.5;2.9;1.57;0;0;0;0;1.95;0;0;0;0;1.85;0;0;0;0;0;4.75;11.5;1.22;17;2.3;1.3;2.65;6.2;12;3.24;1.41;1.09;1.02;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;5;1;2;1;1;2;3;2022-08-26 18:10:00;18569;0;0;0;0;0;1;-1;1;0;1;4;1;5;-1;-1;-1;-1;-1;-1;1;38;63;90;90;1;1.24;2.24;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Al Sahel;Al Qadsia;0.67;1.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8142;10;Y;Y;Y;Y;Y;N;Y
3415121;673892;673895;2022/2023;complete;93435;1;-1;17,21,90;;3;0;3;5;3;8;-1;-1;-1;-1;-1;-1;4;2;4;2;8;4;-1;-1;53;47;-1;-1;1.45;4;5.5;1.04;1.27;1.95;3.1;5.6;11.25;3.4;1.85;1.32;1.11;2.1;1.67;2;1.73;5.25;1.13;1.11;1.17;2.05;2;2.25;6;1.8;2.7;5.5;0;0;0;1.83;0;0;0;0;1.98;0;0;0;0;0;0;1.33;9.5;3.75;2.2;11;1.33;2.75;6.5;13;3;1.4;1.08;1.01;1.22;2.1;4.5;13;4;1.67;1.18;1.04;0;0;0;0;3;2;0;1;0;1;2;2022-08-27 17:10:00;673892;0;0;0;0;0;1;-1;3;1;2;2;4;4;-1;-1;-1;-1;-1;-1;1;33;35;50;47;1.02;0.65;1.67;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Kazma;Al Fahaheel;1.75;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8142;10;Y;Y;Y;N;N;N;N
3435837;673890;673891;2022/2023;complete;93435;2;-1;15;18,44,90;1;3;4;2;5;7;-1;-1;-1;-1;-1;-1;4;7;7;13;11;20;-1;-1;40;60;-1;-1;3.2;3.5;2.05;1.03;1.29;1.85;3.24;6;10;3.5;1.95;1.33;1.11;1.73;2;3.8;1.22;2.9;1.36;1.62;1.33;1.36;3.6;2.2;2.75;3.25;2.5;2.4;0;0;0;0;2.38;0;0;0;0;1.9;0;0;0;0;0;2.38;9.5;1.67;6;3.5;1.4;2.75;8;21;2.75;1.4;1.08;1.02;1.22;2;4.33;11;4;1.73;1.2;1.05;0;0;0;0;4;1;2;0;1;1;3;2022-09-01 15:40:00;673891;0;50;50;50;0;1;-1;2;3;0;2;5;2;-1;-1;-1;-1;-1;-1;1;58;99;105;131;1.4;2.46;3.86;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;50;50;50;50;2;0;0;2.5;Al Sahel;Al Nasar;0.67;1.6;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8142;10;Y;Y;Y;Y;N;N;Y
3435838;18579;673887;2022/2023;complete;93435;2;-1;7,14;48,90;2;2;4;4;7;11;-1;-1;-1;-1;-1;-1;7;3;5;6;12;9;-1;-1;48;52;-1;-1;1.55;4;5;1.04;1.21;1.73;2.7;4.9;12;4;2.08;1.41;1.14;1.8;1.91;2.5;1.48;5.25;1.13;1.2;1.24;2.1;2.1;2.3;5;1.91;2.7;4.75;0;0;0;0;2.38;0;0;0;0;1.9;0;0;0;0;0;1.4;11.5;3.1;3.1;8;1.33;2.5;6.5;17;3.25;1.5;1.11;1.03;1.2;1.91;4;10;4.33;1.8;1.22;1.06;0;0;0;0;4;2;0;0;2;2;2;2022-08-30 17:00:00;-1;0;0;0;0;0;1;-1;2;2;2;5;4;7;-1;-1;-1;-1;-1;-1;1;65;73;92;106;1.72;1.31;3.03;-1;-1;-1;-1;-1;-1;-1;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Al Arabi;Al Salmiyah;2;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;8142;9;Y;Y;Y;Y;N;N;Y
3435839;673889;11510;2022/2023;complete;93435;2;-1;;2,31;0;2;2;2;6;8;-1;-1;-1;-1;-1;-1;3;12;6;10;9;22;-1;-1;50;50;-1;-1;7.5;4.5;1.33;1.02;1.14;1.53;2.38;3.8;18.25;4.9;2.4;1.52;1.22;1.83;1.83;7;1.07;2.2;1.62;2.3;1.17;1.11;6.5;2.5;1.8;6.5;3.1;1.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;1.25;13;2.25;1.25;2.25;4.7;13;3.6;1.57;1.15;1.04;1.17;1.73;3.4;8;5;2;1.3;1.08;0;0;0;0;2;0;2;0;0;0;2;2022-09-01 18:00:00;11510;0;0;0;0;0;1;-1;1;3;1;3;4;4;-1;-1;-1;-1;-1;-1;1;34;73;64;90;1.03;2.74;3.77;-1;-1;-1;-1;-1;-1;-1;1;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Al Tadhamon;Al Kuwait;1.25;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8142;9;Y;Y;N;N;N;N;N
3435840;673895;18569;2022/2023;complete;93435;2;-1;;30;0;1;1;1;3;4;-1;-1;-1;-1;-1;-1;2;4;4;3;6;7;-1;-1;48;52;-1;-1;8;4.75;1.3;1.03;1.22;1.7;2.9;5.5;13;3.8;2.1;1.35;1.13;2.1;1.67;6;1.09;1.95;1.75;2;1.2;1.15;7.5;2.4;1.8;6.9;3;1.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;13;1.22;13;1.95;1.38;2.6;6;13;2.65;1.45;1.09;1.01;1.2;1.91;4;10;4.33;1.8;1.22;1.06;0;0;0;0;1;0;1;0;0;0;1;2022-09-02 15:40:00;18569;0;50;50;50;0;1;-1;1;2;0;1;3;1;-1;-1;-1;-1;-1;-1;1;48;38;106;105;0.88;1.01;1.89;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;50;50;50;50;4;0;0;2.5;Al Fahaheel;Al Qadsia;1.5;1.33;0;3;0;3;0;0;0;0;0;0;0;0;0;1.24;1.24;8142;10;Y;N;N;N;N;N;N
3435841;673893;673892;2022/2023;complete;93435;2;-1;11;90;1;1;2;4;13;17;-1;-1;-1;-1;-1;-1;2;2;3;9;5;11;-1;-1;50;50;-1;-1;5.5;3.6;1.57;1.05;1.3;1.95;3.27;6;9.9;3.23;1.85;1.29;1.1;2;1.73;4.33;1.18;2.25;1.57;2;1.2;1.14;5.5;2.2;2.2;5;2.5;1.91;0;0;0;1.83;0;0;0;0;1.98;0;0;0;0;0;0;3.25;9.25;1.4;8;2.6;1.44;2.95;7.25;15;2.51;1.29;1.08;1.01;1.25;2.1;4.5;13;3.75;1.67;1.18;1.04;0;0;0;0;2;1;0;0;1;1;1;2022-09-02 18:00:00;-1;0;0;0;0;0;1;-1;1;5;3;8;6;11;-1;-1;-1;-1;-1;-1;1;38;85;72;97;0.74;1.45;2.18;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Al Jahra;Kazma;0.8;1.5;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;8142;10;Y;Y;N;N;N;N;Y
