;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;1916644;1241;992;2022;complete;89129;1;-1;45,60,69,90;45,60,69,90;4;4;8;2;5;7;-1;-1;-1;-1;-1;-1;8;8;7;10;15;18;-1;-1;32;68;-1;-1;1.62;4.33;2.05;1.01;1.09;1.36;1.95;2.94;26.0;6.05;3.1;1.8;1.35;1.35;3.0;0;0;0;0;1.35;1.24;1.55;1.91;2.88;4.33;2.35;2.9;2.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.53;0.0;2.38;0;0;1.17;1.94;3.7;0.0;4.4;1.8;1.22;0.0;1.08;1.5;2.52;0.0;6.4;2.33;1.42;0.0;0;0;0;0;5;1;0;3;1;4;1;2022-03-18;1241;0;0;0;0;0;1;-1;1;2;1;3;3;4;-1;-1;-1;-1;-1;-1;1;27;46;56;90;1.7;2.03;3.72;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Nevėžis;Ekranas;2.27;1.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;Y;Y;Y;Y;Y;N;Y
1;1916645;11563;20046;2022;complete;89129;1;-1;;;0;0;0;8;8;16;-1;-1;-1;-1;-1;-1;5;5;10;9;15;14;-1;-1;51;49;-1;-1;1.72;3.6;1.9;0.0;0.0;1.4;0.0;0.0;0.0;0.0;2.88;0.0;0.0;1.32;3.15;0;0;0;0;0.0;0.0;0.0;2.5;2.75;2.88;2.45;2.95;2.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.67;0.0;2.1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;1;2022-03-18;20046;0;0;0;0;0;1;-1;1;7;7;1;8;8;-1;-1;-1;-1;-1;-1;1;50;35;79;76;1.65;1.49;3.14;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Atmosfera;FK Babrungas;0.67;1.27;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;Y;N;N;N;N;N;N
2;1916648;11562;1252;2022;complete;89129;1;-1;70;70;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.75;4.6;1.35;1.01;1.11;1.4;2.04;3.15;21.0;5.3;2.73;1.72;1.29;1.45;2.55;0;0;0;0;1.86;1.26;1.23;4.04;2.55;2.29;3.6;3.0;1.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4;23.0;1.54;0;0;1.2;1.87;4.1;0.0;4.0;1.85;1.18;0.0;1.1;1.57;2.74;6.0;5.8;2.2;1.36;1.08;0;0;0;0;3;0;1;1;1;2;1;2022-03-19;1252;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;FK Vilnius;Šilas;1.6;1.4;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;Y;Y;Y;N;N;N;Y
3;1916647;1240;685209;2022;complete;89129;1;-1;;;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.05;3.4;1.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.35;2.9;0;0;0;0;1.48;1.27;1.47;2.9;2.65;2.8;2.85;2.85;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9;18.0;1.86;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0;0;0;0;0;0;2022-03-19;685209;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Žalgiris II;Neptūną Klaipėda;1.07;1.73;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;Y;N;N;N;N;N;N
4;1916646;700049;722631;2022;complete;89129;1;-1;;;0;0;0;8;6;14;-1;-1;2;3;0;0;3;5;9;3;12;8;-1;-1;46;54;2;3;1.85;3.75;3.25;0.0;0.0;1.4;0.0;0.0;0.0;0.0;2.88;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;2.5;2.5;3.2;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;0;1;0;1;1;1;2022-03-19;722631;0;0;0;0;0;1;1;2;0;6;0;2;6;1;2;1;1;3;2;1;49;40;78;71;1.32;1.15;2.47;0;0;0;0;0;0;1;1;0;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Garliava;FA Šiauliai II;1.2;1.27;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;Y;Y;N;N;N;N;N
5;1916649;700144;1237;2022;complete;89129;1;-1;90;90;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;0;1;1;0;1;1;2022-03-20;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Be1 NFA;Dainava;2.33;1.87;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;Y;Y;N;N;N;N;Y
6;1916650;685218;1256;2022;complete;89129;1;-1;;;0;0;0;1;7;8;-1;-1;-1;-1;-1;-1;2;6;4;5;6;11;-1;-1;57;43;-1;-1;1.38;4.0;2.65;0.0;0.0;1.33;0.0;0.0;0.0;0.0;3.4;0.0;0.0;1.38;2.95;0;0;0;0;0.0;0.0;0.0;2.2;2.75;3.6;2.05;2.85;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62;19.0;2.3;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-03-21;-1;0;0;0;0;0;1;-1;1;1;0;6;2;6;-1;-1;-1;-1;-1;-1;1;37;45;123;99;0.81;1.45;2.25;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Panevėžys II;Minija;1.2;0.73;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;N;N;N;N;N;N;N
7;1916651;698910;1244;2022;complete;89129;1;-1;;;0;0;0;1;11;12;-1;-1;-1;-1;-1;-1;2;5;3;4;5;9;-1;-1;45;55;-1;-1;1.42;4.0;2.5;0.0;0.0;1.53;0.0;0.0;0.0;0.0;2.4;0.0;0.0;1.45;2.66;0;0;0;0;0.0;0.0;0.0;2.3;2.5;3.75;2.36;2.75;3.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.53;0.0;2.5;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-03-21;-1;0;0;0;0;0;1;-1;0;4;1;7;4;8;-1;-1;-1;-1;-1;-1;1;25;59;72;86;0.65;1.35;1.99;0;0;0;0;0;0;1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Banga II;Trakai II;1.0;0.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;N;N;N;N;N;N;N
8;1916652;20046;722631;2022;complete;89129;2;-1;41,61;41,61;2;2;4;6;4;10;-1;-1;0;3;0;0;6;4;9;2;15;6;-1;-1;41;59;0;3;2.7;4.0;1.4;0.0;0.0;1.33;0.0;0.0;0.0;0.0;3.4;0.0;0.0;1.27;3.4;0;0;0;0;0.0;0.0;0.0;3.25;2.63;2.3;3.4;3.0;2.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0.0;1.73;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;5;1;1;1;2;3;2;2022-03-25;722631;0;0;0;0;0;1;1;1;0;5;0;1;5;0;0;0;3;0;3;1;30;36;69;84;1.58;0.93;2.51;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;6.0;0;3.0;1.0;FK Babrungas;FA Šiauliai II;1.8;1.27;0.0;3.0;3.0;3.0;50;50;50;0;0;50;50;50;0.0;1.15;1.15;7294;30;Y;Y;Y;Y;Y;N;Y
9;1916654;992;1252;2022;complete;89129;2;-1;;;0;0;0;2;7;9;-1;-1;-1;-1;-1;-1;0;11;5;8;5;19;-1;-1;57;43;-1;-1;2.38;3.6;2.4;0.0;0.0;1.36;1.87;0.0;0.0;0.0;3.1;1.83;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;2.75;2.6;2.75;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0.0;1.95;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;5;0;1;0;4;4;1;2022-03-26;1252;0;50;0;50;0;1;-1;2;2;0;5;4;5;-1;-1;-1;-1;-1;-1;1;35;41;79;69;0.58;2.26;2.83;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;50;0;50;50;50;0.0;0;0.0;1.5;Ekranas;Šilas;1.4;1.4;0.0;3.0;0.0;3.0;50;50;0;0;0;0;0;0;0.0;0.0;0.0;7294;30;Y;Y;Y;Y;Y;N;N
