ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
830317;138;132;2020;complete;55253;1;-1;45;;1;0;1;7;4;11;-1;-1;2;4;0;0;3;3;2;6;5;9;-1;-1;59;41;2;4;1.23;5.2;9.75;1;1.15;1.53;2.3;4;11.75;4.65;2.3;1.53;1.19;1.95;1.74;0;0;0;0;1.04;1.08;4.33;1.57;3;7.5;1.4;3.4;7;0;0;0;1.53;1.98;2.67;0;0;2.4;1.83;1.42;0;0;0;0;1.22;23;4.33;2.1;21;1.2;2.1;4.5;10;4;1.67;1.17;1.03;1.1;1.61;2.88;7;5.8;2.17;1.37;1.08;0;0;0;0;1;1;0;0;0;0;1;2020-02-28 13:00:00;138;0;0;0;0;0;1;1;2;1;5;3;3;8;2;2;0;2;4;2;1;33;32;78;61;0.77;1.01;1.78;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Johor Darul Ta'zim;Kedah;2.67;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;N;N;N;N;N;N
830318;9466;180;2020;complete;55253;1;-1;;28,90;0;2;2;4;6;10;-1;-1;2;2;0;0;6;10;6;6;12;16;-1;-1;45;55;2;2;3.35;3.35;1.95;1.01;1.18;1.61;2.55;4.45;10.75;4.2;2.15;1.44;1.16;1.54;2.25;0;0;0;0;1.67;1.29;1.3;3.4;2.3;2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1;1;2020-02-29 13:00:00;180;0;0;0;0;0;1;1;1;2;3;4;3;7;1;2;1;0;3;1;1;25;39;57;72;1.36;1.99;3.34;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;UiTM;Melaka United;1.67;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;Y;N;N;N;N;N
830319;129;140;2020;complete;55253;1;-1;20;27,89;1;2;3;8;2;10;-1;-1;1;2;0;0;5;5;13;3;18;8;-1;-1;58;42;1;2;1.83;3.4;3.75;1.01;1.2;1.69;2.75;4.9;10.25;3.9;2;1.38;1.13;1.62;2.1;0;0;0;0;1.22;1.29;1.83;2.38;2.3;4;3.12;2.46;2.62;0;0;0;0;1.95;0;0;0;0;1.85;0;0;0;0;0;1.57;12;2.5;3.4;8;1.31;2.46;5.3;12;3.14;1.48;1.12;1.03;1.18;1.95;3.5;7.5;4.3;1.76;1.25;1.07;0;0;0;0;3;1;1;0;1;1;2;2020-02-29 13:00:00;140;0;0;0;0;0;1;1;3;1;5;1;4;6;0;0;1;2;0;3;1;35;22;81;72;1.74;1.02;2.76;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Pahang;Selangor;1.67;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;Y;Y;N;N;N;Y
830320;139;130;2020;complete;55253;1;-1;18;41,52,80;1;3;4;7;11;18;-1;-1;3;5;0;0;5;8;7;13;12;21;-1;-1;54;46;3;5;1.95;3.25;3.4;1.01;1.21;1.69;2.75;5;10;3.85;2;1.38;1.13;1.61;2.15;0;0;0;0;1.3;1.3;1.67;2.6;2.3;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;2;2;2;2020-02-29 13:00:00;130;0;0;0;0;0;1;1;5;7;2;4;12;6;2;3;1;2;5;3;1;25;29;53;65;1.28;2.08;3.37;0;1;0;1;0;0;1;1;0;0;3;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Terengganu;Perak;1.67;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;Y;Y;Y;N;N;Y
830321;131;9463;2020;complete;55253;1;-1;;;0;0;0;3;9;12;-1;-1;2;1;0;0;3;8;3;4;6;12;-1;-1;41;59;2;1;3.9;3.7;1.71;1.01;1.21;1.69;2.75;5;10;3.85;2;1.38;1.13;1.67;2.05;0;0;0;0;1.91;1.3;1.2;4.33;2.25;2.3;3.75;2.63;2.1;0;0;0;0;1.98;0;0;0;0;1.83;0;0;0;0;0;2.5;11;1.57;7.5;3.4;1.3;2.63;6;13;3.2;1.44;1.1;1.01;1.19;1.96;3.6;10;4.2;1.75;1.24;1.03;0;0;0;0;0;0;0;0;0;0;0;2020-03-01 13:00:00;-1;0;0;0;0;0;1;1;1;5;2;4;6;6;1;0;1;1;1;2;1;12;40;65;72;0.69;1.61;2.29;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;PDRM;Sabah;0.33;0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3693;11;N;N;N;N;N;N;N
830322;136;9469;2020;complete;55253;1;-1;47;74;1;1;2;4;4;8;-1;-1;1;1;0;0;4;4;4;2;8;6;-1;-1;50;50;1;1;2.2;3.4;3;0;0;1.7;0;0;0;0;2.1;0;0;0;0;0;0;0;0;1.36;1.3;1.62;2.75;2.25;3.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;2;0;2020-03-01 13:00:00;-1;0;0;0;0;0;1;1;1;1;3;3;2;6;0;0;1;1;0;2;1;46;50;69;67;1.12;1.02;2.14;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;FELDA United;MISC;1.17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;Y;N;N;N;N;Y
830323;9469;129;2020;complete;55253;2;-1;12,59,90;15,51;3;2;5;2;2;4;-1;-1;2;1;0;0;9;8;3;6;12;14;-1;-1;43;57;2;1;2.9;3.35;2.15;1.01;1.17;1.6;2.46;3.8;13.5;4.32;2.3;1.47;1.22;1.53;2.43;0;0;0;0;1.67;1.25;1.33;3.25;2.38;2.62;3.14;2.65;2.46;0;0;0;0;2;0;0;0;0;1.8;0;0;0;0;0;2.12;15.75;1.76;6;4.4;1.28;2.29;4.7;12;3.34;1.55;1.15;1.03;1.14;1.84;3.1;7.5;4.9;1.86;1.32;1.07;0;0;0;0;5;1;1;2;1;3;2;2020-03-06 13:00:00;9469;0;0;0;0;0;1;1;1;2;1;0;3;1;1;0;1;1;1;2;1;27;46;74;95;1.59;1.78;3.36;0;1;0;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;MISC;Pahang;1.6;0.6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;Y;Y;Y;Y;N;Y
830324;180;131;2020;complete;55253;2;-1;17,71,90;81;3;1;4;5;2;7;-1;-1;1;1;0;0;9;2;4;2;13;4;-1;-1;61;39;1;1;1.34;4.85;6.55;1.01;1.11;1.4;2.22;3.56;16;5.6;2.88;1.66;1.24;1.7;2.1;0;0;0;0;1.04;1.14;3.4;1.67;2.75;7;1.64;3.13;5.8;0;0;1.22;1.44;1.93;2.3;3.2;3.7;2.5;1.88;1.53;1.29;0;0;0;1.3;20;3.5;2.5;15;1.23;2.11;4;10;3.7;1.65;1.2;1.04;1.11;1.71;2.7;6;5.5;2.02;1.41;1.11;0;0;0;0;4;1;0;2;1;3;1;2020-03-06 13:00:00;180;0;0;0;0;0;1;1;2;1;3;1;3;4;0;1;1;0;1;1;1;47;33;83;73;1.79;0.64;2.43;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Melaka United;PDRM;1.4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;Y;Y;Y;N;N;Y
830325;9463;136;2020;complete;55253;2;-1;12,38,77;73;3;1;4;8;1;9;-1;-1;3;2;0;0;5;3;2;3;7;6;-1;-1;50;50;3;2;2.25;3.25;2.8;1.01;1.21;1.69;2.75;5;10;3.85;2;1.38;1.13;1.57;2.2;0;0;0;0;1.44;1.25;1.57;2.88;2.3;3.1;2.57;2.55;3.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;13;2.1;4.5;5.5;1.31;2.44;5.2;13;3.14;1.49;1.12;1.02;1.18;1.94;3.5;8;4.3;1.77;1.26;1.06;0;0;0;0;4;2;0;1;1;2;2;2020-03-07 12:15:00;9463;0;0;0;0;0;1;1;6;0;2;1;6;3;2;0;1;2;2;3;1;51;50;96;116;1.17;0.97;2.14;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sabah;FELDA United;1.4;0.4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;Y;Y;Y;N;N;Y
830326;132;139;2020;complete;55253;2;-1;19,22,61;2,64,81,84;3;4;7;3;7;10;-1;-1;2;3;0;0;12;12;2;3;14;15;-1;-1;44;56;2;3;1.54;3.95;4.8;1.01;1.18;1.62;2.55;4.55;10.75;4.2;2.1;1.43;1.15;1.71;2;0;0;0;0;1.12;1.2;2.38;2.05;2.4;4.75;1.87;2.79;4.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.44;15.75;2.89;2.8;10;1.28;2.33;5.1;12;3.34;1.53;1.13;1.03;1.17;1.85;3.4;7.5;4.4;1.85;1.28;1.07;0;0;0;0;7;2;1;1;3;4;3;2020-03-07 13:00:00;139;0;0;0;0;0;1;1;1;3;2;4;4;6;0;2;2;1;2;3;1;35;34;65;77;1.97;2.03;4;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Kedah;Terengganu;2.4;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3693;11;Y;Y;Y;Y;Y;Y;Y
