ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
440177;1442;1448;2018/2019;complete;3469;1;-1;11,54,77;82;3;1;4;5;0;5;1;0;0;2;0;0;4;6;11;4;15;10;13;16;41;59;0;2;3;3.15;2.25;1.04;1.32;2;3.6;6;9.8;3.45;1.79;1.28;1.1;1.91;1.87;0;0;0;0;1.53;1.3;1.36;3.4;2;3;3.2;2.4;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.26;10;1.93;0;0;0;0;0;0;0;0;0;0;1.37;2.97;7.5;15;2.92;1.36;1.06;1.01;0;0;0;0;4;1;0;2;1;3;1;2018-07-21 00:00:00;1442;0;0;0;0;0;1;1;1;0;4;0;1;4;0;1;0;1;1;1;1;54;56;92;116;1.62;1.47;3.08;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Potros UAEM;Cafetaleros de Tapachula;1.29;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;28;Y;Y;Y;Y;N;N;Y
440178;1449;1450;2018/2019;complete;3469;1;-1;;;0;0;0;4;5;9;0;1;0;1;0;0;14;5;16;4;30;9;4;6;56;44;0;1;2.4;3.15;2.75;1.03;1.29;1.95;3.35;0;0;0;0;0;0;1.83;1.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-07-21 01:00:00;-1;0;0;0;0;0;1;1;3;1;1;4;4;5;0;0;0;1;0;1;1;57;38;111;98;3.27;1.2;4.48;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Atlético San Luis;Mineros de Zacatecas;2.15;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;34;N;N;N;N;N;N;N
440179;1447;1440;2018/2019;complete;3469;1;-1;38,68;42;2;1;3;2;5;7;-1;-1;3;2;1;0;6;5;6;7;12;12;-1;-1;50;50;5;2;2.7;3.1;2.45;1.04;1.32;2;3.55;5.8;8.4;3.15;1.75;1.23;1.08;1.87;1.91;0;0;0;0;1.44;1.33;1.44;3.32;2.06;3.26;3;2.4;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.03;9.8;2.01;0;0;0;0;0;0;0;0;0;0;1.41;2.98;7.5;15;2.78;1.36;1.07;1.01;0;0;0;0;3;1;1;1;0;1;2;2018-07-21 01:08:00;1447;0;0;0;0;0;1;1;1;3;1;2;4;3;1;1;3;1;2;4;1;0;0;0;0;1.44;1.35;2.79;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Correcaminos UAT;Atlético Zacatepec;1.29;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;28;Y;Y;Y;N;N;N;Y
440180;1446;1445;2018/2019;complete;3469;1;-1;86;;1;0;1;5;5;10;2;0;3;1;0;0;2;0;15;7;17;7;15;15;56;44;3;1;2.45;2.95;2.8;1.06;1.43;2.35;4.4;9.5;7.4;2.81;1.6;1.18;1.04;2.1;1.71;0;0;0;0;1.37;1.35;1.51;3.38;1.91;3.66;2.88;2.25;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.85;7;2.15;0;0;0;0;0;0;0;0;0;0;1.48;3.26;9.5;34;2.54;1.31;1.04;1;0;0;0;0;1;0;0;1;0;1;0;2018-07-21 02:00:00;1446;0;0;0;0;0;1;1;1;4;4;1;5;5;2;1;1;0;3;1;1;61;63;104;76;1.65;0.9;2.55;1;0;1;0;0;0;1;1;0;0;1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Venados;Tampico Madero;1.25;0.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;28;Y;N;N;N;N;N;N
440181;1443;1438;2018/2019;complete;3469;1;-1;7,65;60;2;1;3;4;7;11;-1;-1;2;2;0;0;5;6;5;5;10;11;-1;-1;50;50;2;2;2.3;3.1;2.95;1.05;1.36;2.1;3.9;7.75;7.7;2.99;1.67;1.21;1.06;1.95;1.83;0;0;0;0;1.33;1.33;1.58;2.98;1.96;4.05;2.63;2.3;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;8.5;2.1;0;0;0;0;0;0;0;0;0;0;1.44;3.1;8;21;2.67;1.34;1.06;1.01;0;0;0;0;3;1;0;1;1;2;1;2018-07-21 03:30:00;1443;0;0;0;0;0;1;1;3;1;1;6;4;7;1;1;1;1;2;2;1;37;63;97;123;1.26;1.58;2.84;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Cimarrones de Sonora;Atlante;1.81;1.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;32;Y;Y;Y;N;N;N;Y
440182;1452;1436;2018/2019;complete;3469;1;-1;23;71;1;1;2;2;7;9;2;1;0;2;1;0;4;3;2;4;6;7;16;14;39;61;2;2;2.05;3.2;3.4;1.05;1.36;2.15;3.95;7.75;8.1;3.15;1.76;1.24;1.06;2;1.77;0;0;0;0;1.26;1.31;1.73;2.58;2.08;4.45;2.5;2.37;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7;9.6;2.5;0;0;0;0;0;0;0;0;0;0;1.39;2.94;8.5;21;2.86;1.37;1.05;1.01;0;0;0;0;2;1;0;0;1;1;1;2018-07-22 00:00:00;-1;0;0;0;0;0;1;1;2;3;0;3;5;3;0;1;1;1;1;2;1;13;21;13;20;0.75;0.8;1.54;0;1;0;1;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Celaya;Dorados;0.8;1.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;30;Y;Y;N;N;N;N;Y
440183;1444;1451;2018/2019;complete;3469;1;-1;90;;1;0;1;7;2;9;-1;-1;3;2;0;0;4;0;7;4;11;4;-1;-1;50;50;3;2;2.1;3.35;3.05;1.02;1.23;1.77;2.9;6;10.6;3.34;1.85;1.28;1.11;0;0;0;0;0;0;1.36;1.3;1.6;2.52;2.11;4.5;2.88;2.25;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7;11.5;2.1;0;0;0;0;0;0;0;0;0;0;1.38;2.9;6.5;14;2.9;1.38;1.08;1.01;0;0;0;0;1;0;0;1;0;1;0;2018-07-22 02:00:00;1444;0;0;0;0;0;1;1;4;0;3;2;4;5;0;1;3;1;1;4;1;85;44;121;62;1.59;0.57;2.17;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Juárez;Alebrijes de Oaxaca;1.94;0.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;32;Y;N;N;N;N;N;N
440184;1450;1452;2018/2019;complete;3469;2;-1;18,75;65;2;1;3;10;5;15;2;0;2;2;0;0;7;6;8;4;15;10;16;14;46;54;2;2;2.25;3.1;3.05;1.06;1.4;2.25;4.2;0;0;0;0;0;0;2.05;1.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;2;1;2018-07-28 00:00:00;1450;0;0;0;0;0;1;1;7;2;3;3;9;6;1;0;1;2;1;3;1;65;66;115;114;1.91;1.54;3.45;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Mineros de Zacatecas;Celaya;2.12;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1583;30;Y;Y;Y;N;N;N;Y
440185;1438;1447;2018/2019;complete;3469;2;-1;66,72,79,90;85;4;1;5;4;5;9;2;0;1;2;0;0;5;7;2;5;7;12;21;16;48;52;1;2;2.3;3.1;2.95;1.07;1.47;2.45;4.75;8;8;2.99;1.67;1.21;1.06;2.2;1.65;0;0;0;0;1.35;1.25;1.55;2.96;1.98;4;2.78;2.3;3.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.85;8.6;2.29;0;0;0;0;0;0;0;0;0;0;1.43;3.1;8.5;34;2.7;1.34;1.05;1;0;0;0;0;5;0;0;4;1;5;0;2018-07-28 01:00:00;1438;0;0;0;0;0;1;1;2;2;2;3;4;5;1;1;0;1;2;1;1;21;18;29;28;0.94;1.37;2.31;1;0;1;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Atlante;Correcaminos UAT;1.94;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1583;28;Y;Y;Y;Y;Y;N;Y
440186;1445;1449;2018/2019;complete;3469;2;-1;90;31,90;1;2;3;5;1;6;1;1;2;2;0;0;3;6;9;5;12;11;15;12;50;50;2;2;2.45;3.05;2.75;1.07;1.43;2.35;4.5;7.75;7.9;3.04;1.64;1.22;1.06;2.1;1.69;0;0;0;0;1.25;1.25;1.65;2.98;2.04;3.74;2.5;2.3;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.89;9.1;2.2;0;0;0;0;0;0;0;0;0;0;1.44;3.28;8.5;21;2.66;1.31;1.05;1.01;0;0;0;0;3;0;1;1;1;2;1;2018-07-28 02:00:00;1449;0;0;0;0;0;1;1;0;1;5;0;1;5;0;0;2;2;0;4;1;77;48;110;114;1.53;1.47;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Tampico Madero;Atlético San Luis;1;1.5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1583;28;Y;Y;Y;N;N;N;Y
