ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1268910;966;1214;2021/2022;complete;69731;1;-1;28;35;1;1;2;4;4;8;-1;-1;2;4;0;0;4;4;5;18;9;22;-1;-1;42;58;2;4;4;3.75;1.18;1.07;1.32;1.92;3.15;6;7.25;2.85;1.75;1.27;1.1;1.96;1.76;0;0;0;0;2.19;1.22;1.12;5;2.2;2.25;5;2.6;1.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;7.25;1.44;0;0;1.38;2.75;7;0;2.8;1.39;1.07;0;1.23;2.13;4.6;10.5;3.7;1.64;1.16;1.02;0;0;0;0;2;1;1;0;0;0;2;2021-08-25 15:30:00;-1;0;50;0;0;0;1;1;1;1;3;3;2;6;0;1;2;3;1;5;1;41;68;85;100;1.15;2.15;3.3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;25;50;50;75;25;75;50;50;8;0;0;2;Rudar;Budućnost;1.28;1.61;0.5;0.5;0.25;1.25;100;75;50;50;25;50;50;50;0.55;1.58;2.13;5971;36;Y;Y;N;N;N;N;Y
1268911;6744;21475;2021/2022;complete;69731;1;-1;64,89;;2;0;2;5;1;6;-1;-1;-1;-1;-1;-1;5;3;8;5;13;8;-1;-1;56;44;-1;-1;1.75;3;4.75;1.8;1.47;2.4;4.15;8.25;1.91;2.5;1.5;1.17;1.05;2.5;1.5;0;0;0;0;1.25;1.3;1.73;2.5;1.91;5;2.24;2.26;4.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.53;5.75;3.4;0;0;1.51;3.4;9.4;0;2.4;1.27;1.03;0;1.34;2.55;6.2;13;3;1.45;1.09;1.01;0;0;0;0;2;0;0;2;0;2;0;2021-07-24 18:30:00;6744;0;0;0;0;0;1;-1;4;1;1;0;5;1;-1;-1;-1;-1;-1;-1;1;73;42;127;133;1.71;1.04;2.75;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Iskra;FK Jezero Plav;1.89;1.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5971;36;Y;Y;N;N;N;N;N
1268912;6743;5401;2021/2022;complete;69731;1;-1;19,25;;2;0;2;5;2;7;-1;-1;-1;-1;-1;-1;4;3;9;2;13;5;-1;-1;53;47;-1;-1;1.15;6;17;1.01;1.12;1.91;2.12;3.2;16;4.95;1.8;1.72;1.26;2.07;1.68;0;0;0;0;1.03;1.07;3.7;1.62;2.75;8;1.41;3.7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.17;13;5;0;0;1.21;2.03;4.2;0;3.9;1.7;1.18;0;1.11;1.62;2.85;6.5;5.5;2.16;1.37;1.1;0;0;0;0;2;2;0;0;0;0;2;2021-07-24 18:30:00;6743;0;0;0;0;0;1;-1;3;1;2;1;4;3;-1;-1;-1;-1;-1;-1;1;53;18;113;75;1.49;0.67;2.16;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dečić;Zeta;1.44;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5971;36;Y;Y;N;N;N;N;N
1268913;977;667988;2021/2022;complete;69731;1;-1;77;;1;0;1;9;3;12;-1;-1;3;2;0;0;2;0;1;2;3;2;-1;-1;65;35;3;2;1.83;3.25;3.75;0;0;2.3;0;0;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;2.6;2.05;4.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62;0;2.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;2021-07-25 17:00:00;977;0;0;0;0;0;1;1;3;1;6;2;4;8;0;0;3;2;0;5;1;74;47;105;78;0.88;0.48;1.35;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sutjeska;Mladost Lješkopolje;2.06;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5971;36;Y;N;N;N;N;N;N
1268914;6741;6749;2021/2022;complete;69731;1;-1;;66;0;1;1;2;5;7;-1;-1;-1;-1;-1;-1;3;3;9;1;12;4;-1;-1;45;55;-1;-1;1.97;3.18;3.86;1.75;1.5;2.4;3.95;7.5;1.95;2.4;1.5;1.18;1.06;2.19;1.65;0;0;0;0;1.22;1.33;1.73;3;1.91;4;2.67;2.3;3.56;0;0;0;2;0;0;0;0;1.8;0;0;0;0;0;0;1.83;5.75;2.5;0;0;1.51;3.4;9.4;0;2.4;1.27;1.03;0;1.34;2.55;6.2;13;3;1.45;1.09;1.01;0;0;0;0;1;0;0;0;1;1;0;2021-07-24 18:30:00;6749;0;0;0;0;0;1;-1;1;5;1;0;6;1;-1;-1;-1;-1;-1;-1;1;91;58;147;151;1.64;0.91;2.54;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Petrovac;Mornar;1.44;1.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5971;36;Y;N;N;N;N;N;N
1268915;1214;6749;2021/2022;complete;69731;2;-1;45;60;1;1;2;12;4;16;-1;-1;-1;-1;-1;-1;3;3;4;5;7;8;-1;-1;63;37;-1;-1;1.2;4.5;3.75;1.05;1.35;2;3.25;5.75;8.5;2.7;1.8;1.25;1.1;2.14;1.63;0;0;0;0;1.01;1.13;3.34;2;2.25;5.5;1.85;2.6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;8.75;4;0;0;1.35;2.6;5.9;0;2.9;1.45;1.1;0;1.2;2.11;4.5;10;4;1.67;1.17;1.03;0;0;0;0;2;1;0;0;1;1;1;2021-07-31 18:00:00;-1;0;0;0;0;0;1;-1;5;2;7;2;7;9;-1;-1;-1;-1;-1;-1;1;83;59;105;95;1.26;1.15;2.4;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;0;50;0;5;0;0;0.5;Budućnost;Mornar;2.11;1.61;0;3;0;3;50;50;50;50;0;0;0;0;0;0.91;0.91;5971;36;Y;Y;N;N;N;N;Y
1268916;667988;6741;2021/2022;complete;69731;2;-1;29;22,72,90;1;3;4;4;5;9;-1;-1;-1;-1;-1;-1;6;7;0;5;6;12;-1;-1;58;42;-1;-1;1.32;3.1;2.85;1.05;1.32;2.35;3.44;6.7;8;3.1;1.57;1.25;1.07;2.16;1.62;0;0;0;0;1.13;1.24;2.09;2.5;2;4.75;2.2;2.3;4.25;0;0;0;2;0;0;0;0;1.8;0;0;0;0;0;0;1.57;6;3;0;0;1.4;3;7.7;0;2.65;1.35;1.05;0;1.25;2.31;5.5;11;3.5;1.56;1.12;1.02;0;0;0;0;4;1;1;0;2;2;2;2021-07-31 18:30:00;6741;0;0;0;0;0;1;-1;2;2;2;3;4;5;-1;-1;-1;-1;-1;-1;1;86;65;121;104;1.43;1.72;3.15;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Mladost Lješkopolje;Petrovac;1;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5971;36;Y;Y;Y;Y;N;N;Y
1268917;5401;977;2021/2022;complete;69731;2;-1;;33,55,75,81;0;4;4;2;4;6;-1;-1;0;1;0;0;2;7;4;8;6;15;-1;-1;39;61;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;3;3;1;2021-08-02 19:00:00;977;0;0;0;0;0;1;1;1;3;1;1;4;2;0;1;0;0;1;0;1;17;48;58;87;0.65;1.78;2.43;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Zeta;Sutjeska;1.17;2.11;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5971;36;Y;Y;Y;Y;N;N;N
1268918;21475;6743;2021/2022;complete;69731;2;-1;;;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.6;3;1.4;1.8;1.58;2.7;4.7;11;1.91;2.2;1.44;1.15;1.01;2.48;1.48;0;0;0;0;1.6;1.33;1.27;4.5;1.91;2.75;4.2;2.05;2.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.88;4.7;1.67;0;0;1.5;3.64;8.5;0;2.45;1.25;1.04;0;1.33;2.75;6.5;15;3;1.4;1.08;1.01;0;0;0;0;0;0;0;0;0;0;0;2021-07-31 17:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;FK Jezero Plav;Dečić;1.33;1.67;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5971;36;N;N;N;N;N;N;N
1268919;966;6744;2021/2022;complete;69731;2;-1;;;0;0;0;5;2;7;-1;-1;-1;-1;-1;-1;0;0;5;7;5;7;-1;-1;48;52;-1;-1;1.68;3.2;2;1.1;1.43;2.25;3.65;7;6;2.45;1.62;1.21;1.07;1.94;1.77;0;0;0;0;1.34;1.31;1.53;3.2;2.05;3.25;2.65;2.35;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.91;6.5;2.2;0;0;1.4;3.05;7.8;0;2.7;1.33;1.05;0;1.29;2.37;5.5;12;3.24;1.53;1.12;1.02;0;0;0;0;0;0;0;0;0;0;0;2021-07-31 17:00:00;-1;0;0;0;0;0;1;-1;3;0;2;2;3;4;-1;-1;-1;-1;-1;-1;1;47;43;92;80;0.67;0.76;1.43;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rudar;Iskra;1.28;0.94;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5971;36;N;N;N;N;N;N;N
