;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2407418;6747;977;2022/2023;complete;90790;1;-1;43;43;1;1;2;1;7;8;-1;-1;-1;-1;-1;-1;4;6;3;9;7;15;-1;-1;50;50;-1;-1;5.0;3.6;1.57;1.01;1.26;1.9;2.97;5.25;11.0;3.4;1.9;1.31;1.11;1.85;1.8;0;0;0;0;2.15;1.22;1.11;5.0;2.2;2.1;5.05;2.65;1.95;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;3.4;9.5;1.4;0;0;1.36;2.68;6.15;0;2.95;1.41;1.09;0;1.22;2.04;4.24;0.0;3.9;1.68;1.17;0.0;0;0;0;0;2;1;1;0;0;0;2;2022-07-23;-1;0;0;0;0;0;1;-1;0;3;1;4;3;5;-1;-1;-1;-1;-1;-1;1;63;86;99;113;1.18;1.99;3.17;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Jedinstvo;Sutjeska;1.0;1.38;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7473;16;Y;Y;N;N;N;N;Y
1;2407419;21475;966;2022/2023;complete;90790;1;-1;10,35,61;10,35,61;3;3;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.95;3.4;3.2;1.01;1.2;1.4;2.88;5.5;11.0;4.0;2.88;1.36;1.11;1.68;2.05;0;0;0;0;1.17;1.22;1.91;2.4;2.5;3.4;2.15;2.6;3.7;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;1.62;0.0;2.3;0;0;0.0;2.59;5.85;0;0.0;1.44;1.1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;4;2;1;1;0;1;3;2022-07-23;21475;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;FK Jezero Plav;Rudar;1.88;0.75;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7473;16;Y;Y;Y;Y;N;N;Y
2;2407417;671531;6741;2022/2023;complete;90790;1;-1;;;0;0;0;4;3;7;-1;-1;-1;-1;-1;-1;3;7;11;6;14;13;-1;-1;50;50;-1;-1;1.8;5.0;2.8;1.05;1.29;1.6;3.24;6.15;9.75;3.15;2.3;1.28;1.09;1.65;2.1;0;0;0;0;1.45;1.29;1.45;2.38;2.38;3.75;1.82;2.85;4.5;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;1.57;0.0;2.38;0;0;1.26;2.81;6.5;0;3.5;1.36;1.08;0;1.14;2.09;4.4;0.0;4.9;1.63;1.16;0.0;0;0;0;0;2;0;1;0;1;1;1;2022-07-23;6741;0;0;0;0;0;1;-1;0;2;4;1;2;5;-1;-1;-1;-1;-1;-1;1;68;59;110;122;1.59;1.75;3.33;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Arsenal Tivat;Petrovac;1.25;1.88;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7473;16;Y;Y;N;N;N;N;N
3;2407420;6749;6743;2022/2023;complete;90790;1;-1;;;0;0;0;8;4;12;-1;-1;-1;-1;-1;-1;8;3;7;5;15;8;-1;-1;50;50;-1;-1;2.6;2.9;2.6;1.02;1.22;1.85;3.0;6.5;10.0;3.8;1.95;1.33;1.08;1.65;2.1;0;0;0;0;1.4;1.3;1.4;3.1;2.2;3.1;2.8;2.5;2.75;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;2.0;0.0;2.0;0;0;1.34;2.62;5.85;0;3.0;1.43;1.1;0;1.2;2.0;4.1;0.0;4.0;1.72;1.19;0.0;0;0;0;0;1;0;1;0;0;0;1;2022-07-24;6743;0;0;0;0;0;1;-1;2;1;6;3;3;9;-1;-1;-1;-1;-1;-1;1;70;49;110;112;2.01;1.08;3.1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Mornar;Dečić;1.5;1.88;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7473;16;Y;N;N;N;N;N;N
4;2407424;966;6749;2022/2023;complete;90790;2;-1;68;68;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.0;4.33;1.4;1.05;1.33;1.4;3.8;8.0;8.0;3.0;2.88;1.22;1.05;1.7;2.1;0;0;0;0;2.1;1.18;1.14;5.5;2.63;1.83;2.7;2.35;3.05;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;3.5;0.0;1.29;0;0;1.24;2.97;7.3;0;3.6;1.31;1.06;0;1.13;1.71;3.2;5.4;5.1;2.0;1.31;1.12;0;0;0;0;1;0;0;1;0;1;0;2022-07-30;966;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Rudar;Mornar;1.38;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7473;16;Y;N;N;N;N;N;N
5;2407423;6743;6744;2022/2023;complete;90790;2;-1;27,58,72;27,58,72;3;3;6;6;4;10;-1;-1;-1;-1;-1;-1;7;6;13;11;20;17;-1;-1;49;51;-1;-1;1.57;3.4;5.5;1.03;1.29;2.0;3.6;7.5;9.0;3.3;1.8;1.25;1.06;1.94;1.82;0;0;0;0;1.13;1.25;2.1;2.2;2.2;5.5;1.95;2.5;4.8;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;1.4;10.25;3.6;0;0;1.38;2.78;6.5;0;2.8;1.35;1.08;0;1.23;2.13;4.54;0.0;3.7;1.61;1.15;0.0;0;0;0;0;3;1;0;2;0;2;1;2022-07-30;6743;0;0;0;0;0;1;-1;1;2;5;2;3;7;-1;-1;-1;-1;-1;-1;1;41;31;83;76;2.04;1.71;3.76;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Dečić;Iskra;1.5;0.63;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7473;16;Y;Y;Y;N;N;N;N
6;2407425;977;21475;2022/2023;complete;90790;2;-1;12,27,54;12,27,54;3;3;6;7;4;11;-1;-1;-1;-1;-1;-1;6;3;10;6;16;9;-1;-1;50;50;-1;-1;1.4;3.75;7.5;1.01;1.22;1.9;3.2;6.5;11.0;3.8;1.9;1.3;1.08;2.14;1.68;0;0;0;0;1.05;1.22;2.6;1.91;2.25;7.0;1.68;2.7;6.5;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;1.29;0.0;4.5;0;0;1.35;2.62;5.85;0;2.9;1.43;1.1;0;1.21;2.04;4.24;0.0;3.9;1.68;1.17;0.0;0;0;0;0;3;2;0;1;0;1;2;2022-07-31;977;0;0;0;0;0;1;-1;4;2;3;2;6;5;-1;-1;-1;-1;-1;-1;1;82;51;110;91;2.02;1.15;3.17;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Sutjeska;FK Jezero Plav;2.38;0.63;0.0;0.0;1.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7473;16;Y;Y;Y;N;N;N;N
7;2407426;671531;6747;2022/2023;complete;90790;2;-1;68;68;1;1;2;1;3;4;-1;-1;-1;-1;-1;-1;5;4;5;4;10;8;-1;-1;44;56;-1;-1;2.6;2.88;2.6;1.06;1.4;2.3;4.5;9.0;7.5;2.75;1.6;1.17;1.03;2.17;1.66;0;0;0;0;1.4;1.33;1.4;3.25;2.0;3.25;3.0;2.2;3.05;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;2.05;7.0;2.05;0;0;1.46;3.24;7.8;0;2.5;1.28;1.05;0;1.3;2.4;5.6;0.0;3.2;1.51;1.11;0.0;0;0;0;0;1;0;0;1;0;1;0;2022-07-31;671531;0;0;0;0;0;1;-1;1;2;0;1;3;1;-1;-1;-1;-1;-1;-1;1;44;36;103;102;1.31;1.06;2.37;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;4.0;0;0;1.0;Arsenal Tivat;Jedinstvo;1.25;1.38;0.0;0.0;0.0;1.0;50;50;50;0;0;0;0;0;1.59;0.0;1.59;7473;16;Y;N;N;N;N;N;N
8;2407422;6741;1214;2022/2023;complete;90790;2;-1;35,65,66,76;35,65,66,76;4;4;8;4;4;8;-1;-1;-1;-1;-1;-1;7;5;11;5;18;10;-1;-1;51;49;-1;-1;3.6;3.0;2.0;1.05;1.36;2.25;4.0;8.0;7.5;2.88;1.62;1.2;1.05;2.0;1.77;0;0;0;0;1.73;1.3;1.22;4.33;2.0;2.75;3.8;2.3;2.35;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;2.75;7.5;1.67;0;0;1.44;3.15;7.3;0;2.6;1.29;1.06;0;1.28;2.34;5.4;0.0;3.3;1.53;1.12;0.0;0;0;0;0;6;1;1;3;1;4;2;2022-07-31;6741;0;0;0;0;0;1;-1;2;2;2;2;4;4;-1;-1;-1;-1;-1;-1;1;82;67;105;128;2.21;1.48;3.69;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Petrovac;Budućnost;1.13;1.88;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7473;16;Y;Y;Y;Y;Y;Y;Y
9;2407427;6747;6741;2022/2023;complete;90790;3;-1;;;0;0;0;4;3;7;-1;-1;-1;-1;-1;-1;4;4;4;3;8;7;-1;-1;44;56;-1;-1;3.17;3.6;1.9;1.01;1.2;1.72;2.65;4.8;12.0;4.0;2.07;1.42;1.14;1.6;2.27;0;0;0;0;1.77;1.22;1.29;3.5;2.3;2.6;3.52;2.56;2.32;0;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;2.38;10.5;1.67;0;0;1.3;2.4;5.6;0;3.2;1.51;1.11;0;1.17;1.87;3.7;0.0;4.4;1.83;1.24;0.0;0;0;0;0;1;0;1;0;0;0;1;2022-08-06;6741;0;50;50;0;0;1;-1;3;2;1;1;5;2;-1;-1;-1;-1;-1;-1;1;58;51;77;96;1.21;1.1;2.3;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;100;100;50;100;50;0;4.0;0;0;2.0;Jedinstvo;Petrovac;1.0;1.88;1.0;3.0;0.5;3.0;100;100;100;0;0;0;0;0;1.18;1.75;2.93;7473;16;Y;N;N;N;N;N;N
