ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
730029;2534;2533;2019/2020;complete;52882;1;-1;9;62;1;1;2;0;1;1;-1;-1;1;0;0;0;2;4;0;0;2;4;19;13;50;50;1;0;2.2;2.87;3.2;1.11;1.55;2.37;4.7;8.6;5.5;2.26;1.55;1.14;1.04;2.2;1.61;2.05;1.61;0;0;1.33;1.36;1.57;3.1;1.95;4;2.54;2.13;4.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;7;2.4;2.85;4.8;1.65;3.54;9.5;41;2.13;1.26;1.04;1;1.41;2.73;5.7;15;2.73;1.41;1.1;1.02;0;0;0;0;2;1;0;0;1;1;1;2019-09-14 15:00:00;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;0;1;59;70;62;76;0.7;1.04;1.74;1;0;1;0;0;0;1;1;1;0;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Olympic Safi;Khouribga;1.47;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2898;30;Y;Y;N;N;N;N;Y
730030;2539;2532;2019/2020;complete;52882;1;-1;16,52;;2;0;2;5;4;9;0;1;1;3;0;0;6;0;4;11;10;11;15;25;50;50;1;3;2;2.87;3.75;1.14;1.62;2.6;4.8;8.9;4.7;2.33;1.47;1.14;1.03;2.19;1.62;2.15;1.56;0;0;1.22;1.36;1.66;2.87;1.9;4.75;2.79;2.1;3.78;0;0;0;1.9;0;0;0;0;1.8;0;0;0;0;0;0;1.66;6.5;2.75;3.15;4.2;1.68;3.62;10;41;2.08;1.25;1.03;1;1.43;2.77;5.8;15;2.66;1.4;1.1;1.02;0;0;0;0;2;1;0;1;0;1;1;2019-09-14 17:00:00;2539;0;0;0;0;0;1;1;2;2;3;2;4;5;1;2;0;1;3;1;1;62;68;87;85;1.5;1.18;2.68;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Moghreb Tétouan;FAR Rabat;2;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2898;30;Y;Y;N;N;N;N;N
730031;2543;2529;2019/2020;complete;52882;1;-1;63;;1;0;1;3;3;6;2;1;2;0;0;0;3;6;4;9;7;15;18;22;55;45;2;0;2.5;2.62;3.2;1.14;1.62;2.87;4.8;9.5;4.75;2.34;1.4;1.14;1.02;2.32;1.67;2;1.65;0;0;1.36;1.44;1.5;3.5;1.83;3.75;2.67;2.11;2.1;0;0;1.66;0;0;0;0;2.1;0;0;0;0;0;0;0;1.95;6;2.3;2.8;4.7;1.67;3.62;10;41;2.1;1.25;1.03;1;1.42;2.73;6.2;15;2.69;1.41;1.09;1.02;0;0;0;0;1;0;0;1;0;1;0;2019-09-14 19:00:00;2543;0;0;0;0;0;1;1;2;2;1;1;4;2;2;0;0;0;2;0;1;46;65;115;95;1;1.83;2.83;0;0;0;0;0;0;1;1;0;0;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;FUS Rabat;Ittihad Tanger;2;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2898;30;Y;N;N;N;N;N;N
730032;2553;10556;2019/2020;complete;52882;1;-1;53;15,84;1;2;3;11;5;16;1;0;2;3;0;0;2;3;1;1;3;4;17;7;63;37;2;3;2;2.75;4;1.12;1.53;2.7;5.5;13;6;2.38;1.44;1.14;1.04;2.25;1.57;2;1.73;3.25;1.33;1.2;1.36;1.67;2.88;1.91;5;2.4;2.1;4.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62;4;13;0;2.2;1.22;1.04;0;1.36;2.75;7;21;3;1.4;1.1;1.02;0;0;0;0;3;0;1;1;1;2;1;2019-09-15 16:00:00;10556;0;0;0;0;0;1;1;5;4;6;1;9;7;1;2;1;1;3;2;1;79;46;69;49;0.9;0.79;1.69;0;2;0;2;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Youssoufia Berrechid;CR Khemis Zemamra;1.87;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2898;30;Y;Y;Y;N;N;N;Y
730033;2544;2548;2019/2020;complete;52882;1;-1;;;0;0;0;3;7;10;-1;-1;2;4;0;1;0;2;0;2;0;4;10;14;55;45;2;5;2.15;2.6;3.8;1.12;1.53;2.7;5.5;13;6;2.37;1.44;1.14;1.04;2.2;1.62;2.25;1.57;3;1.36;1.22;1.32;1.56;2.93;1.87;4.5;2.59;2.18;4;0;0;0;2;2;0;0;0;1.73;1.73;0;0;0;0;0;1.83;6;2.4;3.05;4.6;1.6;3.4;9.9;16;2.22;1.28;1.05;1;1.39;2.62;5.7;15;2.81;1.44;1.1;1.02;0;0;0;0;0;0;0;0;0;0;0;2019-09-15 19:00:00;-1;0;0;0;0;0;1;1;1;4;2;3;5;5;0;2;2;3;2;5;1;76;68;71;65;0.55;0.88;1.44;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rapide Oued Zem;Mouloudia Oujda;1.8;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2898;30;N;N;N;N;N;N;N
730034;2548;2543;2019/2020;complete;52882;2;-1;21,90;5;2;1;3;3;3;6;3;0;2;1;0;0;4;4;0;0;4;4;12;11;53;47;2;1;2.38;2.7;3.1;1.12;1.53;2.7;5.5;13;6;2.38;1.44;1.14;1.04;2.2;1.62;2.38;1.53;2.75;1.4;1.33;1.4;1.5;3.4;1.83;4;2.88;2.2;3.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2.2;4.33;4;1.62;3.4;13;41;2.19;1.28;1.04;1;1.36;2.62;7;19;3;1.44;1.1;1.02;0;0;0;0;3;1;1;1;0;1;2;2019-09-21 15:00:00;2548;0;0;0;0;0;1;1;3;1;0;2;4;2;0;0;2;1;0;3;1;69;69;65;74;1.03;1.03;2.06;0;0;0;0;0;0;1;1;0;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Mouloudia Oujda;FUS Rabat;2.07;1.27;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;2898;30;Y;Y;Y;N;N;N;Y
730035;2559;2539;2019/2020;complete;52882;2;-1;;16,65;0;2;2;5;1;6;1;2;0;0;0;0;4;4;15;1;19;5;21;21;56;44;0;0;2.25;2.9;3.1;1.11;1.5;2.5;5;11;7;2.5;1.5;1.16;1.05;2.1;1.66;2.5;1.5;3;1.36;1.33;1.36;1.53;3.2;1.95;4;2.75;2.2;3.4;0;0;0;1.98;0;0;0;0;1.83;0;0;0;0;0;0;1.8;7;2.4;3.5;4.75;1.57;3.75;11;41;2.25;1.25;1.05;1;1.38;2.66;5.8;15;2.85;1.43;1.1;1.02;0;0;0;0;2;0;1;0;1;1;1;2019-09-22 15:00:00;2539;0;0;0;0;0;1;-1;1;0;4;1;1;5;0;0;0;0;0;0;1;86;40;116;103;2.09;0.9;3;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Raja Beni Mellal;Moghreb Tétouan;0.73;0.67;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2898;30;Y;Y;N;N;N;N;N
730036;2533;2531;2019/2020;complete;52882;2;-1;;;0;0;0;7;4;11;2;3;2;1;0;0;3;3;4;2;7;5;14;16;48;52;2;1;2.3;2.8;3.1;1.11;1.44;2.42;4.5;11;7;2.62;1.52;1.18;1.05;2;1.72;2.5;1.5;3.25;1.33;1.33;1.36;1.53;3.25;1.95;4;2.75;2.25;3.25;0;0;0;2;0;0;0;0;1.8;0;0;0;0;0;0;1.83;7;2.37;3.6;5;1.53;3.75;11;41;2.37;1.25;1.05;1;1.41;2.81;5.8;15;2.73;1.39;1.1;1.02;0;0;0;0;0;0;0;0;0;0;0;2019-09-22 17:00:00;-1;0;0;0;0;0;1;1;2;3;5;1;5;6;1;0;1;1;1;2;1;69;70;87;109;1.15;1.04;2.2;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Khouribga;Hassania Agadir;1.13;0.93;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2898;30;N;N;N;N;N;N;N
730037;2529;2538;2019/2020;complete;52882;2;-1;;;0;0;0;10;1;11;1;7;1;1;0;0;3;4;3;5;6;9;23;7;46;54;1;1;2;2.9;3.75;1.12;1.53;2.67;5.5;13;6;2.37;1.45;1.14;1.04;2.25;1.57;2.1;1.66;3.25;1.33;1.22;1.36;1.66;2.87;1.9;4.75;2.5;2.2;4;0;0;0;1.93;0;0;0;0;1.88;0;0;0;0;0;0;1.66;6;2.75;2.87;5.5;1.61;4;13;41;2.2;1.22;1.04;1;1.36;2.75;7;21;3;1.4;1.1;1.02;0;0;0;0;0;0;0;0;0;0;0;2019-09-22 19:00:00;-1;0;0;0;0;0;1;1;5;0;5;1;5;6;1;0;0;1;1;1;1;89;60;100;97;1.24;1.29;2.52;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ittihad Tanger;Difaâ El Jadida;1.33;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2898;30;N;N;N;N;N;N;N
730038;2538;2548;2019/2020;complete;52882;3;-1;;;0;0;0;5;7;12;-1;-1;2;3;0;1;2;0;1;2;3;2;13;14;50;50;2;5;1.6;3.3;6;1.1;1.4;2.25;4.33;10;7.5;2.75;1.61;1.2;1.06;2.1;1.67;1.9;1.8;4.33;1.2;1.1;1.25;2.2;2.2;2;6;2;2.4;5;0;0;0;1.83;0;0;0;0;1.83;0;0;0;0;0;0;1.44;8;3.25;3.25;4.75;1.44;3.2;8.5;34;2.63;1.3;1.05;1;1.32;2.39;5.1;13;3.14;1.52;1.13;1.02;0;0;0;0;0;0;0;0;0;0;0;2019-09-27 17:00:00;-1;0;0;0;0;0;1;1;1;7;4;0;8;4;1;2;1;2;3;3;1;75;41;67;53;0.87;0.43;1.3;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;7;0;5;0;Difaâ El Jadida;Mouloudia Oujda;1.47;1.13;0;1;1;2;50;50;50;50;50;50;50;0;0;0.88;0.88;2898;30;N;N;N;N;N;N;N
