ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1267138;366;373;2021/2022;complete;69596;1;-1;;7;0;1;1;3;11;14;2;0;0;0;0;0;4;6;9;13;13;19;4;4;48;52;0;0;2.6;3.35;2.6;1.08;1.33;1.91;3.05;5.75;8.75;3.2;1.87;1.36;1.14;1.77;2.05;3.9;1.28;3.65;1.31;1.53;1.25;1.42;3.2;2.3;3.1;2.75;2.6;2.63;0;0;1.21;1.44;1.74;2.1;2.7;3.92;2.6;2.02;1.65;1.4;2.28;7;1.87;2.05;9;1.8;5.75;5;1.33;2.5;6;17;3.25;1.5;1.13;1.03;1.17;1.83;3.5;7.25;4.4;1.87;1.26;1.06;0;0;0;0;1;0;1;0;0;0;1;2021-08-13 18:00:00;373;0;0;0;0;0;1;-1;1;6;2;5;7;7;0;0;0;0;0;0;1;54;69;103;112;1.49;2.11;3.61;0;0;0;0;0;0;1;1;0;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Go Ahead Eagles;Heerenveen;1.29;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;N;N;N;N;N;N
1267139;386;378;2021/2022;complete;69596;1;-1;45;;1;0;1;4;6;10;2;4;0;2;0;0;4;5;5;15;9;20;12;6;28;72;0;2;5.75;4.4;1.51;1.03;1.17;1.53;2.2;3.65;15;5;2.45;1.65;1.27;1.67;2.15;7.75;1.11;2.45;1.59;2.7;1.13;1.11;6;2.63;1.91;5.5;2.95;1.67;0;0;1.24;1.44;1.93;2.1;2.7;3.64;2.6;1.88;1.65;1.4;3.75;8;1.38;3.25;11;1.33;13;2.8;1.25;2.1;4.5;13;3.75;1.67;1.18;1.04;1.14;1.72;3.2;6.5;5;2;1.3;1.08;0;0;0;0;1;1;0;0;0;0;1;2021-08-14 14:30:00;386;0;0;0;0;0;1;1;3;3;1;3;6;4;0;0;0;2;0;2;1;21;69;63;127;1;2.11;3.12;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;RKC Waalwijk;AZ;1.24;1.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;N;N;N;N;N;N
1267140;370;121;2021/2022;complete;69596;1;-1;;40,64;0;2;2;2;11;13;2;1;2;2;0;0;3;7;2;13;5;20;13;10;37;63;2;2;7.75;5;1.36;1.04;1.22;1.62;2.5;4.45;13;4.15;2.25;1.51;1.2;1.91;1.87;7.75;1.11;2.55;1.54;2.55;1.12;1.14;5.5;2.6;2;4.75;3;1.73;0;0;1.28;1.57;2;2.4;3.48;3.34;2.25;1.8;1.5;1.26;3.25;7.5;1.48;3.1;12.5;1.36;13;2.9;1.25;2.2;5;15;3.75;1.62;1.17;1.03;1.13;1.65;3;6;5.25;2.1;1.34;1.09;0;0;0;0;2;0;1;0;1;1;1;2021-08-14 16:45:00;121;0;0;0;0;0;1;1;1;7;1;4;8;5;1;1;1;1;2;2;1;26;65;118;123;0.74;2.22;2.96;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Heracles;PSV;1.53;2.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;Y;N;N;N;N;N
1267141;387;375;2021/2022;complete;69596;1;-1;61,81;36;2;1;3;8;5;13;1;0;2;2;0;0;4;2;4;12;8;14;10;8;49;51;2;2;2.9;3.5;2.3;1.06;1.29;1.8;2.85;4.95;10;3.5;2;1.41;1.17;1.71;2.1;3.45;1.33;3.75;1.3;1.42;1.25;1.53;3.1;2.2;3.25;2.75;2.55;2.88;0;0;1.32;1.62;2.02;2.5;3.82;3.1;2.2;1.74;1.48;1.22;2.07;7;2.07;1.83;8.75;2.05;4.9;5.5;1.36;2.63;7;19;3;1.44;1.1;1.02;1.2;1.95;3.9;8;4;1.75;1.22;1.05;0;0;0;0;3;0;1;2;0;2;1;2021-08-14 18:00:00;387;0;0;0;0;0;1;1;6;2;2;3;8;5;1;1;1;1;2;2;1;52;45;88;118;1.17;1.36;2.52;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Fortuna Sittard;Twente;1.18;1.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;Y;Y;N;N;N;Y
1267142;120;379;2021/2022;complete;69596;1;-1;6,10,14,20,39;;5;0;5;11;0;11;0;0;0;0;0;0;12;2;18;6;30;8;5;6;72;28;0;0;1.07;14;34;1.01;1.08;1.25;1.57;2.3;34;9;3.9;2.35;1.59;2.35;1.57;1.57;2.45;20;1.03;1.01;1.01;6.5;1.4;3.5;15;1.29;4.2;11;0;0;1.18;1.4;1.65;2.02;2.5;4.5;2.7;2.1;1.73;1.48;1.08;14;10.5;1.14;18.5;5.5;1.65;51;1.17;1.83;3.75;9;5;1.83;1.25;1.07;1.08;1.48;2.4;4.5;6.5;2.5;1.5;1.16;0;0;0;0;5;5;0;0;0;0;5;2021-08-14 19:00:00;120;0;0;0;0;0;1;-1;8;0;3;0;8;3;0;0;0;0;0;0;1;106;14;175;48;3.49;0.75;4.24;0;0;0;0;0;0;1;1;2;0;3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ajax;NEC;2.53;1.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;Y;Y;Y;Y;N;N
1267143;382;372;2021/2022;complete;69596;1;-1;68;33,90;1;2;3;2;8;10;2;3;0;0;0;0;4;8;3;4;7;12;11;10;54;46;0;0;2.76;3.35;2.24;1.07;1.28;1.7;2.8;5;10;3.6;2;1.42;1.17;1.69;2.15;3.7;1.3;3.75;1.3;1.45;1.25;1.5;3.2;2.25;3.2;2.75;2.55;2.75;0;0;1.26;1.5;1.9;2.44;3.34;3.48;2.52;1.9;1.53;1.28;2.08;7;2.08;1.91;9;1.91;5.25;5.25;1.33;2.63;6.5;19;3.25;1.44;1.11;1.02;1.19;1.87;3.6;7.75;4.2;1.83;1.25;1.05;0;0;0;0;3;0;1;1;1;2;1;2021-08-15 10:15:00;372;0;0;0;0;0;1;-1;1;3;1;5;4;6;0;0;0;0;0;0;1;36;63;105;82;1;1.77;2.77;0;0;0;0;0;0;1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Cambuur;Groningen;1.06;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;Y;Y;N;N;N;Y
1267144;380;369;2021/2022;complete;69596;1;-1;;20;0;1;1;6;2;8;2;1;0;2;0;0;6;7;9;8;15;15;9;17;55;45;0;2;3.3;3.45;2.1;1.06;1.25;1.74;2.7;4.65;10.25;3.65;2.05;1.44;1.19;1.67;2.15;4.6;1.22;2.8;1.48;1.8;1.22;1.28;4;2.25;2.5;3.6;2.55;2.2;0;0;1.26;1.5;1.9;2.44;3.34;3.48;2.52;1.9;1.53;1.28;2.3;7;1.9;2.5;9;1.57;7.75;3.6;1.33;2.63;7;19;3.25;1.44;1.1;1.02;1.2;1.95;4;8.25;4;1.75;1.2;1.04;0;0;0;0;1;0;1;0;0;0;1;2021-08-15 12:30:00;369;0;0;0;0;0;1;1;4;0;2;2;4;4;0;1;0;1;1;1;1;53;36;111;104;1.75;1.7;3.46;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;PEC Zwolle;Vitesse;0.82;1.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;N;N;N;N;N;N
1267145;376;371;2021/2022;complete;69596;1;-1;2,66,75,90;;4;0;4;4;2;6;1;2;1;3;0;0;10;2;14;7;24;9;9;6;47;53;1;3;1.61;3.8;5.75;1.07;1.29;1.83;2.95;5.5;9.25;3.45;1.95;1.38;1.15;1.91;1.87;2.6;1.53;6;1.15;1.16;1.19;2.2;2.2;2.4;4.75;1.91;2.75;4.33;0;0;1.23;1.45;1.81;2.3;3.1;3.72;2.67;2;1.59;1.32;1.38;8;3.8;1.44;9.75;2.88;3.15;10.5;1.3;2.38;6;17;3.4;1.53;1.13;1.03;1.16;1.8;3.4;7;4.5;1.91;1.28;1.07;0;0;0;0;4;1;0;3;0;3;1;2021-08-15 12:30:00;376;0;0;0;0;0;1;1;2;0;2;2;2;4;0;0;1;3;0;4;1;58;29;127;93;2.63;0.93;3.56;1;0;1;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Utrecht;Sparta Rotterdam;1.83;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;Y;Y;Y;N;N;N
1267146;381;367;2021/2022;complete;69596;1;-1;;17,25,48,90;0;4;4;5;4;9;2;1;1;0;1;0;4;9;3;12;7;21;5;11;31;69;3;0;3.46;3.59;1.88;1.05;1.22;1.52;2.29;4.25;13;4.15;2.35;1.55;1.22;1.77;2;5.5;1.17;3.25;1.37;1.87;1.2;1.26;4;2.4;2.4;3.6;2.75;2.1;0;0;1.32;1.62;2.09;2.74;3.82;3.1;2.25;1.74;1.43;1.22;3.1;7.5;1.56;2.4;10;1.57;8.5;4.05;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;1.15;1.72;3.2;6.5;4.75;2;1.3;1.08;0;0;0;0;4;0;2;0;2;2;2;2021-08-15 14:45:00;367;0;0;0;0;0;1;1;2;1;3;3;3;6;0;0;2;0;0;2;1;18;55;73;138;0.86;2.36;3.22;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Willem II;Feyenoord;1.41;2.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;Y;Y;Y;N;N;N
1267147;379;380;2021/2022;complete;69596;2;-1;4,42;;2;0;2;2;5;7;4;2;4;3;0;1;5;4;4;16;9;20;15;15;38;62;4;5;2.42;3.37;2.56;1.05;1.26;1.7;3;5.5;11;4;2;1.4;1.16;1.62;2.3;3.45;1.34;3.85;1.29;1.44;1.3;1.53;3.25;2.05;3.5;2.75;2.55;3;0;0;1.15;1.5;1.65;2.02;2.5;4.5;2.45;2.1;1.74;1.48;2.05;7;2.05;2.05;10;2.2;4.9;6;1.42;2.7;6.5;19;2.95;1.47;1.1;1.01;1.2;1.92;3.75;9;4.33;1.85;1.25;1.05;0;0;0;0;2;2;0;0;0;0;2;2021-08-20 18:00:00;379;0;0;0;0;0;1;1;2;2;0;3;4;3;2;0;2;4;2;6;1;28;62;61;162;1.12;2;3.12;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;NEC;PEC Zwolle;0.82;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5951;34;Y;Y;N;N;N;N;N
