ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
540420;7732;7724;2019;complete;4292;1;-1;25,73,88,90;11,24;4;2;6;6;7;13;-1;-1;-1;-1;-1;-1;8;9;4;3;12;12;-1;-1;45;55;-1;-1;3.95;4.1;1.62;1.01;1.18;1.62;2.55;0;10.75;4.2;2.1;1.43;1.15;1.61;2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;2;3;0;3;3;2019-04-13 09:30:00;7732;0;0;0;0;0;1;-1;2;6;4;1;8;5;-1;-1;-1;-1;-1;-1;1;42;35;42;35;1.61;1.63;3.24;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Byåsen;Brattvåg;0.69;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;Y;Y;Y;Y;Y
540421;1479;7716;2019;complete;4293;1;-1;38,90,90;;3;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.61;4;4.4;1.02;1.22;1.74;2.85;5;9.75;3.7;1.95;1.35;1.12;1.77;1.95;2.75;1.4;4.33;1.2;1.19;1.26;1.71;2.5;2.2;4;2.1;2.5;3.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.61;11;2.5;3.5;7;0;0;0;0;0;0;0;0;1.33;2.75;6.5;13;3;1.4;1.08;1.01;0;0;0;0;3;1;0;2;0;2;1;2019-04-13 12:00:00;1479;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Alta;Mjølner;2.23;0.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;Y;N;N;N;N
540422;7737;1465;2019;complete;4293;1;-1;10,90;32,37;2;2;4;4;2;6;-1;-1;3;2;0;0;7;5;7;2;14;7;-1;-1;50;50;3;2;2.35;3.75;2.45;1;1.14;1.49;2.25;0;12.25;4.8;2.4;1.56;1.21;1.45;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;1;0;1;3;2019-04-13 12:00:00;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;0;3;2;0;5;1;0;0;0;0;1.68;1.04;2.72;0;0;0;0;0;0;1;1;1;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Oppsal;Florø;1.54;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;Y;Y;N;N;Y
540423;1468;7727;2019;complete;4292;1;-1;;2,37;0;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.15;3.75;2.65;1;1.13;1.47;2.2;3.75;12.5;5;2.45;1.59;1.23;1.44;2.55;4.5;1.16;4.33;1.2;1.45;1.21;1.42;2.87;2.4;2.87;2.63;2.88;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.91;17;1.91;5.5;5.5;0;0;0;0;0;0;0;0;1.22;2.2;5;10;3.75;1.62;1.14;1.03;0;0;0;0;2;0;2;0;0;0;2;2019-04-13 13:00:00;7727;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Levanger;Moss;1.46;1.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;N;N;N;N;N
540424;7757;7749;2019;complete;4292;1;-1;30,56;59,74;2;2;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.55;3.7;2.3;1.02;1.23;1.77;2.9;0;9.5;3.65;1.95;1.34;1.11;1.67;2.05;0;0;0;0;1.57;1.25;1.53;0;0;0;2.88;2.6;2.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.33;2.62;6.5;19;3.25;1.44;1.11;1.02;0;0;0;0;4;1;0;1;2;3;1;2019-04-13 13:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sola;Kvik Halden;0.85;1.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;Y;Y;N;N;Y
540425;7715;1477;2019;complete;4292;1;-1;81;90;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.77;3.85;3.6;1.01;1.17;1.61;2.5;4.33;11;4.25;2.15;1.45;1.16;1.59;2.2;3;1.36;4.5;1.16;1.21;1.18;1.83;2.3;2.5;3.75;2.1;2.7;3.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.57;20;2.4;3.5;7;0;0;0;0;0;0;0;0;1.29;2.38;5.5;12;3.25;1.53;1.13;1.02;0;0;0;0;2;0;0;1;1;2;0;2019-04-13 14:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Egersund;Bryne;1.77;0.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;N;N;N;N;Y
540426;7719;7723;2019;complete;4292;1;-1;89;18;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.95;3.75;3.1;1.01;1.16;1.56;2.4;0;11.5;4.45;2.25;1.49;1.18;1.51;2.35;0;0;0;0;1.4;1.25;1.73;0;0;0;2.3;2.75;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.29;2.38;5.5;15;3.5;1.53;1.14;1.03;0;0;0;0;2;0;1;1;0;1;1;2019-04-13 14:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Nardo;Vidar;1.46;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;N;N;N;N;Y
540427;7721;1462;2019;complete;4293;1;-1;6,54,80;75;3;1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3.75;2;1;1.14;1.49;2.25;0;12.25;4.8;2.4;1.56;1.21;1.47;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;2;1;3;1;2019-04-13 14:00:00;7721;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Fram;Elverum;2.15;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;Y;Y;N;N;Y
540428;9149;7730;2019;complete;4293;1;-1;;25;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3.4;4;1.8;1.01;1.17;1.57;2.45;0;11.25;4.35;2.2;1.48;1.17;1.57;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2019-04-13 14:00:00;7730;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sotra;Grorud;1.31;1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;N;N;N;N;N;N
540429;1466;7714;2019;complete;4292;1;-1;;4,43,71,90;0;4;4;10;2;12;-1;-1;-1;-1;-1;-1;5;8;2;6;7;14;-1;-1;55;45;-1;-1;1.62;4.05;4.2;1;1.12;1.45;2.15;4.33;12.75;5.05;2.5;1.61;1.23;1.49;2.4;2.62;1.44;6;1.11;1.12;1.16;2.15;2.1;2.4;4.5;1.83;3;4.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;17;3;2.87;9.5;0;0;0;0;0;0;0;0;1.25;2.25;5.5;11;3.5;1.57;1.13;1.02;0;0;0;0;4;0;2;0;2;2;2;2019-04-13 15:45:00;7714;0;0;0;0;0;1;-1;3;0;7;2;3;9;-1;-1;-1;-1;-1;-1;1;29;38;71;66;1.01;1.71;2.72;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Arendal;Stjørdals-Blink;1.92;2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;26;Y;Y;Y;Y;N;N;N
