;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;1566857;1472;1477;2022;complete;85356;1;-1;6,16;6,16;2;2;4;2;6;8;0;0;2;1;0;0;6;4;8;5;14;9;10;13;44;56;2;1;1.92;3.8;3.65;1.03;1.22;1.62;2.72;4.99;12.0;4.28;2.16;1.46;1.17;1.57;2.25;0.0;0.0;0.0;0.0;1.28;1.27;1.83;2.5;2.38;4.0;2.1;2.65;3.6;0;0;0.0;1.3;1.55;2.0;2.5;0.0;3.3;2.38;1.8;1.49;1.45;8.0;3.82;1.57;12.0;2.5;3.5;7.0;1.3;2.5;6.0;17.0;3.4;1.5;1.13;1.03;1.17;1.8;3.5;7.75;4.5;1.88;1.26;1.07;0;0;0;0;3;2;1;0;0;0;3;2022-04-02;1472;0;0;0;0;0;1;1;0;3;2;3;3;5;1;1;1;0;2;1;1;75;100;105;120;1.84;1.57;3.42;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Sandnes Ulf;Bryne;1.19;1.07;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;Y;N;N;N;Y
1;1566858;1524;7730;2022;complete;85356;1;-1;23,90;23,90;2;2;4;10;6;16;2;1;3;2;0;0;6;4;4;2;10;6;9;12;59;41;3;2;1.65;4.0;4.5;1.02;1.17;1.57;2.23;4.2;19.0;5.0;2.33;1.59;1.22;1.57;2.25;0.0;0.0;0.0;0.0;1.19;1.22;2.2;2.2;2.5;4.5;1.95;2.8;4.0;0;0;0.0;1.29;1.5;1.93;2.43;0.0;3.4;2.45;1.88;1.52;1.28;7.25;4.4;1.44;14.0;2.75;3.2;9.5;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.15;1.75;3.25;7.25;4.8;1.95;1.29;1.08;0;0;0;0;4;1;2;1;0;1;3;2022-04-03;-1;0;0;0;0;0;1;1;4;5;6;1;9;7;0;1;3;1;1;4;1;106;47;143;93;1.82;1.01;2.83;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;KFUM;Grorud;1.63;0.47;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;Y;Y;N;N;Y
2;1566859;1467;336;2022;complete;85356;1;-1;;;0;0;0;2;6;8;0;4;2;1;0;0;2;6;4;1;6;7;10;14;43;57;2;1;3.3;3.5;1.92;1.02;1.18;1.58;2.45;4.33;19.0;4.75;2.3;1.53;1.2;1.57;2.25;0.0;0.0;0.0;0.0;1.71;1.27;1.34;3.75;2.38;2.6;3.4;2.65;2.25;0;0;0.0;1.2;1.36;1.62;2.02;0.0;4.3;3.0;2.2;1.73;3.1;6.75;1.46;2.4;12.5;1.62;6.5;3.9;1.3;2.5;6.0;17.0;3.4;1.5;1.13;1.03;1.17;1.78;3.4;7.5;4.6;1.9;1.27;1.07;0;0;0;0;4;0;2;0;2;2;2;2022-04-03;336;0;0;0;0;0;1;1;1;2;1;4;3;5;1;0;1;1;1;2;1;75;89;125;153;1.07;1.52;2.6;0;1;0;1;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Ranheim;Brann;1.67;2.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;Y;Y;N;N;N
3;1566861;1471;7714;2022;complete;85356;1;-1;7,41;7,41;2;2;4;14;12;26;3;9;2;2;0;0;8;8;7;7;15;15;9;10;51;49;2;2;1.49;4.2;5.0;1.02;1.14;1.45;2.3;3.75;13.0;5.5;2.55;1.57;1.25;1.62;2.2;0.0;0.0;0.0;0.0;1.15;1.18;2.55;2.05;2.5;5.5;1.73;3.0;5.0;0;0;0.0;1.3;1.55;2.0;2.5;0.0;3.3;2.38;1.8;1.49;1.34;8.0;4.9;1.36;16.5;3.2;2.9;10.0;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.14;1.68;3.1;6.75;5.25;2.05;1.32;1.09;0;0;0;0;4;2;1;0;1;1;3;2022-04-04;-1;0;0;0;0;0;1;1;5;5;9;7;10;16;1;1;1;1;2;2;1;105;95;115;117;2.26;2.19;4.45;0;0;0;0;0;0;1;1;1;1;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Fredrikstad;Stjørdals-Blink;1.27;0.53;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;Y;Y;N;N;Y
4;1566860;7729;338;2022;complete;85356;1;-1;5,78;5,78;2;2;4;4;5;9;1;0;1;1;0;0;7;6;4;7;11;13;11;12;45;55;1;1;3.5;3.45;1.88;1.02;1.2;1.57;2.29;4.75;17.0;4.5;2.25;1.55;1.18;1.53;2.38;0.0;0.0;0.0;0.0;1.75;1.28;1.3;3.75;2.4;2.5;3.4;2.65;2.25;0;0;1.36;1.66;2.12;2.9;4.1;3.0;2.15;1.66;1.38;1.22;2.77;6.5;1.77;2.38;12.0;1.57;7.0;3.9;1.29;2.38;5.5;15.0;3.5;1.53;1.14;1.03;1.16;1.77;3.3;7.25;4.6;1.93;1.28;1.08;0;0;0;0;5;1;1;1;2;3;2;2022-04-04;338;0;0;0;0;0;1;1;0;3;4;2;3;6;0;1;1;0;1;1;1;66;69;133;130;1.67;1.75;3.42;0;2;0;2;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Skeid;Stabæk;1.33;1.93;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;Y;Y;Y;N;Y
5;1566864;1463;341;2022;complete;85356;1;-1;48;48;1;1;2;6;2;8;2;0;1;0;0;0;4;7;8;10;12;17;6;6;50;50;1;0;2.5;3.2;2.5;1.02;1.2;1.6;2.65;4.75;15.0;4.5;2.2;1.47;1.18;1.53;2.38;0.0;0.0;0.0;0.0;1.5;1.27;1.5;3.1;2.3;3.1;2.75;2.65;2.75;0;0;0.0;1.29;1.5;1.9;2.43;0.0;3.45;2.45;1.9;1.52;2.07;7.5;2.17;1.83;13.0;2.0;4.8;5.0;1.33;2.5;6.0;17.0;3.25;1.5;1.13;1.03;1.17;1.8;3.4;7.75;4.6;1.88;1.27;1.07;0;0;0;0;6;0;2;1;3;4;2;2022-04-04;341;0;0;0;0;0;1;1;4;2;2;0;6;2;0;0;1;0;0;1;1;37;42;56;86;1.3;1.86;3.16;0;0;0;0;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Åsane;Start;1.33;1.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;Y;Y;Y;Y;Y
6;1566863;334;1523;2022;complete;85356;1;-1;29,47;29,47;2;2;4;4;10;14;6;2;2;2;0;0;6;8;12;20;18;28;10;11;45;55;2;2;1.7;3.7;3.95;1.02;1.18;1.57;2.27;4.33;17.0;4.75;2.3;1.57;1.2;1.57;2.25;0.0;0.0;0.0;0.0;1.21;1.24;2.1;2.25;2.4;4.33;2.0;2.8;4.0;0;0;0.0;1.21;1.38;1.67;2.1;0.0;4.1;2.88;2.12;1.68;1.21;11.75;5.9;1.5;13.5;2.63;3.3;9.0;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.15;1.73;3.25;7.0;4.8;1.98;1.3;1.08;0;0;0;0;2;1;0;1;0;1;1;2022-04-04;334;0;0;0;0;0;1;1;1;2;3;8;3;11;2;1;0;1;3;1;1;50;102;119;131;1.92;3.05;4.97;1;0;1;0;0;0;1;1;0;0;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Sogndal;Raufoss;1.67;1.07;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;N;N;N;N;N
7;1566862;343;1469;2022;complete;85356;1;-1;15;15;1;1;2;6;9;15;2;1;3;1;0;0;8;6;8;4;16;10;15;11;51;49;3;1;1.95;3.45;3.25;1.03;1.22;1.6;2.85;5.0;13.0;4.2;2.2;1.42;1.16;1.57;2.25;0.0;0.0;0.0;0.0;1.3;1.28;1.78;2.5;2.38;4.0;2.2;2.55;3.6;0;0;1.25;1.47;1.83;2.38;3.25;3.7;2.55;1.98;1.54;1.3;1.66;7.0;3.04;1.57;11.0;2.4;3.8;7.0;1.3;2.5;6.0;17.0;3.4;1.5;1.13;1.03;1.19;1.9;3.8;8.75;4.2;1.78;1.23;1.06;0;0;0;0;1;1;0;0;0;0;1;2022-04-04;343;0;0;0;0;0;1;1;3;3;3;6;6;9;0;0;3;1;0;4;1;69;55;120;96;2.07;1.45;3.52;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Mjøndalen;Kongsvinger;1.93;1.61;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;N;N;N;N;N;N
8;1566865;336;1463;2022;complete;85356;2;-1;53;53;1;1;2;13;5;18;2;0;1;2;0;0;7;4;13;2;20;6;5;11;58;42;1;2;1.3;4.75;8.5;1.02;1.15;1.55;2.25;3.75;12.0;4.75;2.38;1.57;1.25;1.73;2.0;0.0;0.0;0.0;0.0;1.06;1.18;3.0;1.75;2.5;6.5;1.62;2.88;6.5;0;0;0.0;1.24;1.43;1.74;2.2;0.0;3.85;2.7;2.02;1.62;1.09;12.0;9.5;1.3;15.0;3.8;2.3;15.0;1.29;2.1;4.33;9.0;3.5;1.67;1.2;1.05;1.17;1.8;3.4;7.0;4.5;1.91;1.3;1.08;0;0;0;0;2;0;0;1;1;2;0;2022-04-09;-1;0;0;0;0;0;1;1;5;3;8;2;8;10;1;0;0;2;1;2;1;131;45;139;79;2.69;0.99;3.68;0;0;0;0;0;0;1;1;0;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Brann;Åsane;2.6;0.8;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;N;N;N;N;Y
9;1566866;7730;1471;2022;complete;85356;2;-1;24,77;24,77;2;2;4;7;3;10;0;1;3;3;0;0;6;8;7;8;13;16;8;15;49;51;3;3;3.0;3.5;2.0;1.03;1.17;1.57;2.27;4.0;11.0;4.5;2.25;1.56;1.22;1.53;2.38;0.0;0.0;0.0;0.0;1.73;1.25;1.33;3.6;2.25;2.5;3.4;2.6;2.25;0;0;1.18;1.29;1.5;1.81;2.28;4.5;3.3;2.4;1.9;1.55;2.74;8.2;1.68;2.2;15.0;1.73;6.5;4.0;1.3;2.2;4.5;11.0;3.4;1.62;1.17;1.03;1.17;1.8;3.4;7.0;4.5;1.91;1.3;1.08;0;0;0;0;4;1;0;1;2;3;1;2022-04-10;-1;0;0;0;0;0;1;1;5;2;2;1;7;3;1;1;2;2;2;4;1;79;90;148;145;1.82;2.23;4.05;0;0;0;0;0;0;1;1;0;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Grorud;Fredrikstad;0.87;1.07;0.0;0.0;1.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7051;30;Y;Y;Y;Y;N;N;Y
