;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2407104;788;806;2022/2023;complete;90789;1;-1;16,80;16,80;2;2;4;6;3;9;-1;-1;-1;-1;-1;-1;3;3;4;5;7;8;-1;-1;56;44;-1;-1;1.22;3.8;4.0;1.06;1.3;1.85;3.25;6.0;8.0;3.4;1.95;1.33;1.11;1.91;1.8;0;0;0;0;1.11;1.25;2.3;2.1;2.3;5.5;1.83;2.38;5.0;0;0;1.23;1.42;2.1;2.14;2.75;3.8;2.65;2.03;1.63;1.39;1.33;9.5;4.45;1.4;9.0;3.25;2.45;8.5;1.4;2.75;7.0;15;2.75;1.4;1.08;1.02;1.22;2.0;4.33;11;4.0;1.73;1.2;1.05;0;0;0;0;3;1;1;1;0;1;2;2022-07-15;788;0;0;0;0;0;1;-1;1;1;5;2;2;7;-1;-1;-1;-1;-1;-1;1;49;35;86;65;1.01;0.97;1.98;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Nieciecza;Odra Opole;1.78;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;Y;Y;Y;N;N;N;Y
1;2407101;1064;8263;2022/2023;complete;90789;1;-1;;;0;0;0;10;1;11;-1;-1;-1;-1;-1;-1;8;2;16;2;24;4;-1;-1;66;34;-1;-1;1.44;3.3;2.62;1.08;1.36;2.15;3.75;7.0;7.0;3.0;1.67;1.25;1.08;2.0;1.73;0;0;0;0;1.22;1.3;1.8;2.63;2.05;4.5;2.3;2.2;4.0;0;0;1.2;1.39;2.1;2.06;2.65;4.1;2.75;2.1;1.68;1.42;1.5;8.8;3.32;1.62;8.5;2.75;3.0;6.0;1.4;3.0;7.5;15;2.75;1.36;1.07;1.02;1.29;2.38;5.5;15;3.5;1.53;1.14;1.03;0;0;0;0;0;0;0;0;0;0;0;2022-07-15;-1;0;0;0;0;0;1;-1;7;0;3;1;7;4;-1;-1;-1;-1;-1;-1;1;75;25;123;73;2.61;0.58;3.19;0;0;0;0;0;0;1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Ruch Chorzów;SKRA Częstochowa;2.0;0.78;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;N;N;N;N;N;N;N
2;2407108;1219;775;2022/2023;complete;90789;1;-1;;;0;0;0;4;3;7;-1;-1;-1;-1;-1;-1;2;4;1;4;3;8;-1;-1;55;45;-1;-1;1.29;3.6;3.5;1.06;1.33;2.0;3.4;6.5;8.0;3.25;1.8;1.3;1.1;1.83;1.83;0;0;0;0;1.15;1.29;2.1;2.3;2.2;5.5;2.0;2.38;4.75;0;0;1.19;1.36;2.1;2.1;2.8;4.2;2.88;2.1;1.65;1.38;1.29;10.25;4.9;1.44;9.0;3.1;2.7;7.5;1.4;3.0;8.0;23;2.75;1.36;1.08;1.01;1.25;2.1;4.5;13;3.75;1.67;1.18;1.04;0;0;0;0;0;0;0;0;0;0;0;2022-07-16;-1;0;0;0;0;0;1;-1;1;0;3;3;1;6;-1;-1;-1;-1;-1;-1;1;59;31;119;85;0.77;1.02;1.79;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Wisła Kraków;Sandecja Nowy Sącz;1.44;0.55;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;N;N;N;N;N;N;N
3;2407102;773;777;2022/2023;complete;90789;1;-1;10,26;10,26;2;2;4;7;4;11;-1;-1;-1;-1;-1;-1;3;6;7;13;10;19;-1;-1;41;59;-1;-1;2.63;3.3;2.29;1.05;1.25;1.82;2.75;5.0;9.0;3.75;2.0;1.4;1.14;1.57;2.25;0;0;0;0;1.53;1.29;1.44;3.4;2.3;2.88;3.0;2.38;2.6;0;0;0.0;0.0;1.64;2.0;0.0;0.0;0.0;2.17;1.8;0.0;0.0;0.0;0.0;2.2;11.0;1.73;5.5;4.33;1.33;2.5;6.5;19;3.25;1.5;1.11;1.02;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;4;2;1;0;1;1;3;2022-07-16;-1;0;0;0;0;0;1;-1;5;2;2;2;7;4;-1;-1;-1;-1;-1;-1;1;58;87;119;127;1.27;2.25;3.52;-1;-1;-1;-1;-1;-1;-1;1;1;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Chojniczanka Chojnice;Tychy 71;1.22;1.22;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;Y;Y;Y;Y;N;N;Y
4;2407103;1066;782;2022/2023;complete;90789;1;-1;;;0;0;0;8;4;12;-1;-1;-1;-1;-1;-1;0;3;6;2;6;5;-1;-1;57;43;-1;-1;1.44;3.4;2.62;1.06;1.33;2.0;3.4;6.5;8.0;3.25;1.8;1.3;1.1;1.8;1.91;0;0;0;0;1.25;1.3;1.73;2.63;2.2;4.33;2.25;2.25;3.75;0;0;1.23;1.41;2.2;2.14;2.75;3.8;2.77;2.05;1.66;1.39;1.58;8.5;3.02;1.62;9.0;2.6;3.1;6.0;1.4;3.0;8.0;23;2.75;1.36;1.08;1.01;1.25;2.1;4.5;13;3.75;1.67;1.18;1.04;0;0;0;0;2;0;2;0;0;0;2;2022-07-16;782;0;0;0;0;0;1;-1;3;2;5;2;5;7;-1;-1;-1;-1;-1;-1;1;138;159;150;194;1.38;1.69;3.07;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;ŁKS Łódź;GKS Katowice;2.22;1.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;Y;Y;N;N;N;N;N
5;2407105;779;795;2022/2023;complete;90789;1;-1;;;0;0;0;7;3;10;-1;-1;-1;-1;-1;-1;3;7;10;5;13;12;-1;-1;51;49;-1;-1;2.35;3.3;2.7;1.06;1.28;1.84;3.2;6.0;8.0;3.5;1.91;1.33;1.11;1.67;2.1;0;0;0;0;1.3;1.25;1.63;2.88;2.2;3.75;2.5;2.25;3.2;0;0;0.0;1.33;1.83;1.9;2.34;0.0;3.1;2.29;1.89;1.52;1.8;7.1;2.48;1.73;9.5;2.3;3.75;5.5;1.4;2.75;8.0;21;2.75;1.4;1.08;1.02;1.22;2.0;4.33;11;4.0;1.73;1.2;1.05;0;0;0;0;1;0;0;0;1;1;0;2022-07-17;795;0;0;0;0;0;1;-1;4;0;3;3;4;6;-1;-1;-1;-1;-1;-1;1;50;40;92;88;1.39;1.54;2.93;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Podbeskidzie;Arka Gdynia;1.22;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;Y;N;N;N;N;N;N
6;2407099;789;796;2022/2023;complete;90789;1;-1;1;1;1;1;2;4;4;8;-1;-1;-1;-1;-1;-1;4;2;3;5;7;7;-1;-1;37;63;-1;-1;2.55;3.1;2.6;1.07;1.33;2.08;3.6;7.0;7.5;3.1;1.7;1.25;1.08;1.83;1.83;0;0;0;0;1.38;1.28;1.47;3.25;2.1;3.4;2.88;2.2;2.88;0;0;1.19;1.36;2.1;2.1;2.8;4.2;2.88;2.1;1.65;1.38;0.0;0.0;0.0;1.91;7.9;2.1;4.33;4.0;1.44;3.25;9.0;26;2.63;1.33;1.07;1.01;1.25;2.2;5.0;13;3.75;1.62;1.17;1.04;0;0;0;0;1;1;0;0;0;0;1;2022-07-17;789;0;0;0;0;0;1;-1;3;0;1;4;3;5;-1;-1;-1;-1;-1;-1;1;41;54;59;88;1.02;0.98;2.0;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Puszcza Niepołomice;Górnik Łęczna;2.33;0.67;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;Y;N;N;N;N;N;N
7;2407100;8244;780;2022/2023;complete;90789;1;-1;25,45,61;25,45,61;3;3;6;9;9;18;-1;-1;-1;-1;-1;-1;8;5;5;2;13;7;-1;-1;53;47;-1;-1;1.75;3.3;2.0;1.07;1.33;2.08;3.75;6.5;7.5;3.1;1.73;1.25;1.1;1.83;1.83;0;0;0;0;1.36;1.28;1.52;3.1;2.1;3.6;2.63;2.25;3.2;0;0;1.19;1.36;2.1;2.1;2.8;4.2;2.88;2.1;1.65;1.38;0.0;0.0;0.0;1.8;8.1;2.25;3.8;5.0;1.44;3.0;9.0;23;2.63;1.36;1.07;1.01;1.25;2.2;5.0;13;3.75;1.62;1.17;1.04;0;0;0;0;6;2;2;1;1;2;4;2022-07-17;-1;0;0;0;0;0;1;-1;5;5;4;4;10;8;-1;-1;-1;-1;-1;-1;1;77;59;82;69;1.93;1.22;3.15;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Stal Rzeszów;Chrobry Głogów;1.78;2.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;Y;Y;Y;Y;Y;Y;Y
8;2407107;774;8239;2022/2023;complete;90789;1;-1;41,77;41,77;2;2;4;6;7;13;-1;-1;-1;-1;-1;-1;8;5;5;1;13;6;-1;-1;49;51;-1;-1;1.72;3.25;2.05;1.04;1.35;2.1;3.62;7.0;8.0;3.04;1.7;1.26;1.06;1.83;1.83;0;0;0;0;1.33;1.28;1.55;3.2;2.05;3.6;2.75;2.2;3.1;0;0;0.0;1.37;1.91;2.09;2.73;0.0;2.85;2.18;1.73;1.42;1.73;8.2;2.62;1.83;8.0;2.2;3.7;4.8;1.44;3.25;9.0;26;2.63;1.33;1.07;1.01;1.25;2.25;5.0;15;3.75;1.57;1.17;1.03;0;0;0;0;3;1;1;1;0;1;2;2022-07-18;774;0;0;0;0;0;1;-1;2;4;4;3;6;7;-1;-1;-1;-1;-1;-1;1;73;45;103;101;1.91;1.07;2.98;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Zagłębie Sosnowiec;Resovia Rzeszów;1.75;1.25;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;Y;Y;Y;N;N;N;Y
9;2407117;8263;773;2022/2023;complete;90789;2;-1;3,51;3,51;2;2;4;5;1;6;-1;-1;-1;-1;-1;-1;4;3;12;4;16;7;-1;-1;49;51;-1;-1;2.7;3.2;2.55;1.07;1.36;2.08;3.5;7.0;7.5;3.0;1.73;1.29;1.08;1.8;1.91;0;0;0;0;1.4;1.3;1.53;3.4;2.1;3.25;2.88;2.25;2.88;0;0;1.21;1.4;2.2;2.2;3.0;3.95;2.7;2.0;1.58;1.34;2.2;7.0;1.95;2.1;9.25;1.91;4.4;4.0;1.44;3.0;7.5;15;2.62;1.36;1.07;1.02;1.25;2.2;5.0;13;3.75;1.62;1.17;1.04;0;0;0;0;2;1;0;1;0;1;1;2022-07-22;8263;0;0;0;0;0;1;-1;3;0;2;1;3;3;-1;-1;-1;-1;-1;-1;1;79;71;125;156;1.86;1.19;3.05;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;SKRA Częstochowa;Chojniczanka Chojnice;0.89;0.44;0.0;0.0;1.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7472;18;Y;Y;N;N;N;N;N
