ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
635025;795;1224;2019/2020;complete;51109;1;-1;;6,18,80;0;3;3;9;6;15;1;2;1;1;0;0;5;5;10;4;15;9;15;10;48;52;1;1;2.55;3.15;2.8;1.06;1.39;2.2;4.15;8.25;8;2.9;1.62;1.22;1.06;1.91;1.83;2.8;1.38;3.25;1.33;1.3;1.3;1.44;3.3;1.91;3.7;2.8;2.3;3.2;0;0;1.29;1.49;1.83;2.28;2.9;3.6;2.53;1.83;1.58;1.37;1.93;7;2.18;1.95;7.5;2.2;3.8;4.6;1.5;3.25;7.4;17;2.5;1.33;1.07;1.01;1.33;2.25;5.35;13;3.14;1.56;1.13;1.02;0;0;0;0;3;0;2;0;1;1;2;2019-07-19 16:00:00;1224;0;0;0;0;0;1;1;1;3;8;3;4;11;0;0;1;1;0;2;1;84;55;97;99;1.9;1.32;3.22;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Arka Gdynia;Jagiellonia Białystok;1.39;1.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;Y;Y;N;N;N;N
635026;1066;1222;2019/2020;complete;51109;1;-1;;;0;0;0;6;4;10;1;1;2;0;0;1;8;5;18;2;26;7;15;17;67;33;2;2;2.6;3.25;2.7;1.05;1.35;2.1;3.8;7.25;8.5;3.1;1.71;1.25;1.08;1.83;1.91;2.85;1.36;3.4;1.3;1.4;1.3;1.53;3.1;1.95;3.7;2.75;2.37;3.1;0;0;1.22;1.4;1.66;2.1;2.78;4;2.9;2.11;1.66;1.43;1.99;7;2.02;1.83;9;2.2;3.75;4.4;1.44;3.25;9;26;2.62;1.33;1.07;1.01;1.25;2.2;5;15;3.75;1.61;1.16;1.03;0;0;0;0;0;0;0;0;0;0;0;2019-07-19 18:30:00;-1;0;0;0;0;0;1;1;2;3;4;1;5;5;0;1;2;0;1;2;1;119;60;139;88;3.05;1.23;4.28;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;ŁKS Łódź;Lechia Gdańsk;1;1.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2328;37;N;N;N;N;N;N;N
635027;802;1221;2019/2020;complete;51109;1;-1;;49;0;1;1;4;4;8;1;4;1;1;0;0;2;10;4;3;6;13;12;26;56;44;1;1;2.3;3.25;3.1;1.05;1.35;2.1;3.8;7.25;8.5;3.1;1.71;1.25;1.08;1.83;1.87;2.8;1.37;3.75;1.25;1.3;1.28;1.53;2.9;2;3.75;2.6;2.46;3.48;0;0;1.4;1.72;2.1;2.88;4;2.88;2;1.67;1.4;1.22;1.64;7;2.76;1.83;10;2.25;3.8;5.5;1.36;2.88;7.5;17;2.88;1.36;1.06;1;1.28;2.1;4.64;11;3.46;1.65;1.17;1.03;0;0;0;0;1;0;0;0;1;1;0;2019-07-20 13:00:00;1221;0;0;0;0;0;1;1;2;2;2;2;4;4;1;0;0;1;1;1;1;76;71;122;113;1.08;2.04;3.12;0;1;0;1;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Raków Częstochowa;Korona Kielce;1.89;0.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;N;N;N;N;N;N
635028;1219;1220;2019/2020;complete;51109;1;-1;;62;0;1;1;6;12;18;3;2;1;2;0;0;5;6;4;3;9;9;11;12;55;45;1;2;2.8;3.3;2.45;1.04;1.3;1.95;3.4;6.55;9.5;3.4;1.83;1.3;1.1;1.74;2;3.7;1.22;3;1.36;1.65;1.25;1.31;3.74;2.19;2.82;3.3;2.45;2.35;0;0;1.2;1.37;1.62;1.9;2.6;4.5;3;2.25;1.8;1.5;2;7.5;2.01;2.25;9.75;1.74;4.95;3.5;1.39;2.9;7.25;16;2.7;1.34;1.05;1.01;1.26;2.05;4.5;10;3.62;1.67;1.18;1.04;0;0;0;0;1;0;0;0;1;1;0;2019-07-20 15:30:00;1220;0;0;0;0;0;1;1;2;6;4;6;8;10;1;0;0;2;1;2;1;73;93;105;89;1.45;1.66;3.11;0;0;0;0;0;0;1;1;0;0;0;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wisła Kraków;Śląsk Wrocław;1.5;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;N;N;N;N;N;N
635029;1226;961;2019/2020;complete;51109;1;-1;7;82;1;1;2;3;9;12;3;0;2;1;1;0;4;8;3;8;7;16;21;10;40;60;4;1;2.5;3.15;2.85;1.06;1.37;2.15;3.95;7.75;8.25;3;1.67;1.23;1.07;1.87;1.87;2.75;1.4;3.4;1.3;1.36;1.33;1.53;3.1;1.91;3.9;2.75;2.37;3.1;0;0;1.25;1.45;1.72;2.2;2.88;4;2.75;2;1.67;1.4;1.99;7;2.02;1.83;8.5;2.2;3.6;5;1.44;3.25;10;26;2.62;1.33;1.06;1.01;1.32;2.25;5.25;13;3.2;1.57;1.14;1.02;0;0;0;0;2;1;0;0;1;1;1;2019-07-20 18:00:00;-1;0;0;0;0;0;1;1;2;4;1;5;6;6;0;0;3;1;0;4;1;51;99;64;107;1.09;2.28;3.37;0;0;0;0;0;0;1;1;1;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Piast Gliwice;Lech Poznań;2.11;1.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;Y;N;N;N;N;Y
635030;1149;1223;2019/2020;complete;51109;1;-1;5;23;1;1;2;2;5;7;2;1;0;2;0;0;3;4;4;6;7;10;16;22;45;55;0;2;2.2;3.35;3.2;1.04;1.31;1.95;3.45;6.7;9.25;3.35;1.8;1.29;1.09;1.77;1.95;2.85;1.36;3.75;1.25;1.3;1.28;1.53;3;2;3.7;2.55;2.45;3.2;0;0;1.25;1.45;1.72;2.2;2.88;4;2.75;2;1.67;1.4;1.85;7;2.24;1.87;10;2.2;3.7;4.9;1.36;2.88;7.5;17;2.88;1.36;1.05;1;1.27;2.1;4.54;11;3.54;1.65;1.18;1.03;0;0;0;0;2;1;1;0;0;0;2;2019-07-21 13:00:00;-1;0;0;0;0;0;1;1;2;4;0;1;6;1;0;0;0;2;0;2;1;85;83;116;110;1.27;1.51;2.79;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Zagłębie Lubin;Cracovia Kraków;1.74;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;Y;N;N;N;N;Y
635031;112;1225;2019/2020;complete;51109;1;-1;58;61,84;1;2;3;8;3;11;2;2;2;2;0;0;5;8;6;4;11;12;16;17;53;47;2;2;1.71;3.8;4.7;1.03;1.26;1.83;3.15;5.9;10.25;3.65;1.91;1.34;1.12;1.8;1.91;2.6;1.42;4;1.22;1.24;1.26;1.77;2.55;2.15;3.95;2.25;2.4;3.65;0;0;1.22;1.4;1.72;2.1;2.75;4;2.75;2;1.67;1.4;1.37;8.5;3.56;1.65;9.75;2.45;3.25;5.6;1.36;2.88;7.5;17;2.88;1.36;1.06;1;1.26;2.1;4.4;11;3.62;1.65;1.18;1.03;0;0;0;0;3;0;0;1;2;3;0;2019-07-21 15:30:00;1225;0;0;0;0;0;1;1;0;3;8;0;3;8;1;1;1;1;2;2;1;82;42;98;91;1.64;1.63;3.26;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Legia Warszawa;Pogoń Szczecin;2.16;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;Y;Y;N;N;N;Y
635032;787;785;2019/2020;complete;51109;1;-1;48;77;1;1;2;9;5;14;1;1;3;4;0;0;3;8;6;1;9;9;14;19;60;40;3;4;2.5;3.35;2.7;1.03;1.27;1.87;3.2;6;10.25;3.6;1.91;1.33;1.11;1.69;2.05;3.55;1.24;3.75;1.18;1.48;1.26;1.45;3.2;2.1;3.1;2.9;2.4;2.85;0;0;1.3;1.57;1.8;2.5;3.4;3.24;2.38;1.9;1.5;1.3;1.85;7;2.28;1.95;8;1.95;4.65;4.1;1.38;2.65;6;15;2.9;1.44;1.11;1.01;1.25;2;4.33;9;3.6;1.69;1.18;1.03;0;0;0;0;2;0;0;1;1;2;0;2019-07-22 16:00:00;-1;0;0;0;0;0;1;1;2;2;7;3;4;10;2;2;1;2;4;3;1;65;46;96;95;1.25;1.47;2.72;1;1;1;0;0;1;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wisła Płock;Górnik Zabrze;1.63;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;Y;N;N;N;N;Y
635033;785;1149;2019/2020;complete;51109;2;-1;73;;1;0;1;6;5;11;2;2;2;0;0;0;4;3;10;9;14;12;14;13;48;52;2;0;2.35;3.3;2.95;1.04;1.28;1.91;3.25;6.25;9.75;3.5;1.87;1.32;1.11;1.71;2.05;2.9;1.34;3.75;1.25;1.31;1.27;1.61;2.75;2.21;3.76;2.5;2.5;3.2;0;0;1.2;1.36;1.72;2.15;2.9;3.9;2.8;2.01;1.6;1.33;1.95;6.75;2.1;1.77;10;2.2;3.65;5.05;1.38;2.66;6.05;17;2.9;1.44;1.11;1;1.26;2.13;4.36;10;3.72;1.7;1.21;1.04;0;0;0;0;1;0;0;1;0;1;0;2019-07-26 16:00:00;785;0;0;0;0;0;1;1;1;1;5;4;2;9;1;0;1;0;1;1;1;95;78;114;93;1.85;1.53;3.38;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Górnik Zabrze;Zagłębie Lubin;2;1.11;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;N;N;N;N;N;N
635034;961;787;2019/2020;complete;51109;2;-1;13,72,90,90;;4;0;4;2;2;4;0;1;2;2;1;0;7;4;8;8;15;12;20;12;57;43;3;2;1.74;3.65;4.7;1.04;1.31;1.95;3.45;6.7;9.25;3.35;1.8;1.29;1.09;1.91;1.83;2.2;1.57;5;1.16;1.14;1.25;2;2.26;2.23;5.25;2;2.5;4.33;0;0;1.22;1.44;1.91;2.3;3.2;3.7;2.5;1.89;1.53;1.29;1.35;7.25;3.9;1.48;9;2.95;2.7;6.6;1.4;2.81;6.5;19;2.81;1.4;1.09;1;1.28;2.23;4.74;11;3.46;1.61;1.16;1.03;0;0;0;0;4;1;0;3;0;3;1;2019-07-26 18:30:00;961;0;0;0;0;0;1;1;1;0;1;2;1;3;2;2;1;0;4;1;1;52;63;81;93;1.81;1.49;3.3;1;0;1;0;0;0;1;1;0;0;0;0;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Lech Poznań;Wisła Płock;1.95;1.11;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2328;37;Y;Y;Y;Y;N;N;N
