ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1540831;2060;2064;2022;complete;83985;1;-1;80,87;16,18,36,54,82;2;5;7;2;8;10;-1;-1;-1;-1;-1;-1;4;8;5;4;9;12;-1;-1;50;50;-1;-1;4.33;3.5;1.67;1.01;1.25;1.75;3.0;5.5;12.0;3.75;1.95;1.36;1.1;1.83;1.83;0;0.0;0.0;0.0;2.1;1.27;1.17;5.0;2.25;2.2;4.5;2.6;1.95;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1;10.75;1.44;8.5;2.7;1.36;2.63;7.0;19.0;3.0;1.44;1.1;1.02;1.2;1.91;4.0;10.0;4.33;1.8;1.22;1.06;0;0;0;0;7;0;3;2;2;4;3;2022-02-18;2064;0;0;0;0;0;1;-1;2;4;0;4;6;4;-1;-1;-1;-1;-1;-1;1;52;71;66;86;1.22;1.83;3.05;1;0;1;0;0;0;1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Athlone Town;Waterford;0.94;2.17;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6968;32;Y;Y;Y;Y;Y;Y;Y
1540832;2048;2049;2022;complete;83985;1;-1;;34,57,59,60,63,76;0;6;6;6;7;13;-1;-1;2;0;0;0;5;10;9;4;14;14;-1;-1;47;53;2;0;2.0;3.3;3.3;1.05;1.4;2.08;4.1;8.0;7.5;2.81;1.68;1.21;1.04;1.83;1.83;0;0.0;0.0;0.0;1.4;1.32;1.55;2.6;2.1;4.0;2.3;2.25;3.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.62;7.25;2.6;3.5;4.8;1.44;3.0;9.0;23.0;2.63;1.36;1.07;1.01;1.25;2.2;5.0;13.0;3.75;1.62;1.17;1.04;0;0;0;0;6;0;1;0;5;5;1;2022-02-18;2049;0;0;0;0;0;1;1;3;2;3;5;5;8;1;0;1;0;1;1;1;61;65;95;90;1.67;2.05;3.72;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Bray Wanderers;Cork City;0.63;2.38;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6968;32;Y;Y;Y;Y;Y;Y;N
1540833;2058;698030;2022;complete;83985;1;-1;42;18,35,50,57,65;1;5;6;3;3;6;-1;-1;0;1;0;0;8;7;13;6;21;13;-1;-1;62;38;0;1;2.7;3.25;2.4;1.03;1.33;1.91;3.62;6.85;8.4;3.13;1.81;1.26;1.06;1.83;1.83;0;0.0;0.0;0.0;1.53;1.31;1.43;3.5;2.05;3.0;3.0;2.35;2.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.25;9.0;1.8;4.5;4.0;1.44;3.25;9.0;23.0;2.63;1.33;1.07;1.01;1.25;2.2;5.0;13.0;3.75;1.62;1.17;1.04;0;0;0;0;6;1;2;0;3;3;3;2022-02-18;698030;0;0;0;0;0;1;1;3;0;0;3;3;3;0;1;0;0;1;0;1;86;62;113;91;2.5;1.76;4.26;0;1;0;1;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Wexford;Treaty United;1.25;1.18;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6968;32;Y;Y;Y;Y;Y;Y;Y
1540835;2062;2058;2022;complete;83985;2;-1;30,72;71,81,89;2;3;5;7;3;10;-1;-1;1;4;1;0;6;8;4;2;10;10;-1;-1;47;53;3;4;2.29;3.35;2.9;1.03;1.31;1.96;3.42;6.4;8.9;3.26;1.82;1.29;1.08;1.8;1.96;0;0.0;0.0;0.0;1.36;1.3;1.57;2.9;1.95;3.7;2.6;2.25;3.4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.84;8.9;2.36;3.8;5.0;1.42;2.9;6.9;15.0;2.82;1.4;1.07;1.02;1.23;2.19;4.6;10.0;3.7;1.66;1.16;1.04;0;0;0;0;5;1;0;1;3;4;1;2022-02-25;2058;0;0;0;0;0;1;1;2;1;5;2;3;7;0;2;2;2;2;4;1;79;72;104;109;1.62;1.72;3.34;0;1;0;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Cobh Ramblers;Wexford;0.5;1.31;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6968;32;Y;Y;Y;Y;Y;N;Y
1540836;2049;2052;2022;complete;83985;2;-1;;38;0;1;1;9;1;10;-1;-1;2;4;0;1;6;3;13;1;19;4;-1;-1;61;39;2;5;2.55;3.4;2.55;1.07;1.36;2.17;3.6;7.0;7.0;2.87;1.62;1.25;1.07;1.91;1.85;0;0.0;0.0;0.0;1.4;1.26;1.4;3.25;1.91;3.4;3.0;2.15;3.1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;8.0;2.15;3.9;4.4;1.47;3.2;7.8;17.0;2.64;1.34;1.05;1.01;1.3;2.38;5.2;11.0;3.44;1.57;1.13;1.03;0;0;0;0;1;0;1;0;0;0;1;2022-02-25;2052;0;0;0;0;0;1;1;5;1;4;0;6;4;2;3;0;2;5;2;1;99;45;112;79;2.32;0.8;3.12;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Cork City;Galway United;1.88;1.88;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6968;32;Y;N;N;N;N;N;N
1540838;2064;2048;2022;complete;83985;2;-1;27;;1;0;1;4;3;7;1;0;1;1;0;0;5;3;6;4;11;7;14;19;61;39;1;1;1.57;4.0;5.2;1.04;1.25;1.82;2.9;5.25;13.0;3.6;1.96;1.36;1.13;2.0;1.77;0;0.0;0.0;0.0;1.14;1.19;2.0;2.02;2.35;6.45;1.81;2.79;6.05;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;11.0;3.4;2.25;11.0;1.37;2.71;6.2;13.0;3.04;1.45;1.09;1.02;1.2;2.05;4.1;9.0;4.0;1.75;1.2;1.05;0;0;0;0;1;1;0;0;0;0;1;2022-02-25;2064;0;0;0;0;0;1;1;3;0;1;3;3;4;1;1;0;0;2;0;1;79;55;85;75;1.61;1.05;2.66;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Waterford;Bray Wanderers;1.88;1.06;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;6968;32;Y;N;N;N;N;N;N
1540839;2062;698030;2022;complete;83985;3;-1;;;0;0;0;5;2;7;1;0;2;2;0;0;4;6;3;2;7;8;7;9;48;52;2;2;3.34;3.45;2.13;1.05;1.31;1.95;3.2;6.35;10.0;3.15;1.75;1.3;1.11;1.78;2.01;0;0.0;0.0;0.0;1.61;1.31;1.38;3.7;2.13;2.93;3.35;2.47;2.64;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.25;8.9;1.91;5.5;3.7;1.38;2.8;6.75;18.0;2.7;1.35;1.09;1.02;1.23;2.19;4.6;11.0;3.7;1.66;1.16;1.05;0;0;0;0;0;0;0;0;0;0;0;2022-03-04;-1;0;100;50;50;0;1;1;2;1;3;1;3;4;0;0;2;2;0;4;1;66;64;93;102;1.2;1.39;2.6;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;50;100;100;100;10.0;0.0;4.0;5.5;Cobh Ramblers;Treaty United;0.5;1.18;0.0;3.0;0.0;3.0;0;0;0;0;0;50;50;0;1.62;1.76;3.38;6968;32;N;N;N;N;N;N;N
1540840;2052;2064;2022;complete;83985;3;-1;48,75;16,37;2;2;4;1;2;3;-1;-1;3;5;0;1;5;3;2;2;7;5;-1;-1;43;57;3;7;3.1;3.36;2.28;1.03;1.28;1.91;3.15;6.35;8.9;3.24;1.8;1.29;1.08;1.8;1.91;0;0.0;0.0;0.0;1.4;1.26;1.4;3.2;2.1;3.2;2.88;2.47;2.88;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;8.9;1.95;4.4;4.33;1.4;3.0;8.0;21.0;2.75;1.36;1.08;1.02;1.22;2.1;4.5;11.0;4.0;1.67;1.18;1.05;0;0;0;0;4;0;2;2;0;2;2;2022-03-04;-1;0;50;0;50;0;1;1;0;2;1;0;2;1;2;2;1;4;4;5;1;61;81;125;144;1.25;1.13;2.38;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;50;50;50;50;8.0;0.0;0.0;3.5;Galway United;Waterford;1.78;2.17;0.0;3.0;3.0;3.0;0;0;0;0;0;50;50;0;0.0;1.83;1.83;6968;35;Y;Y;Y;Y;N;N;Y
1540841;2058;2060;2022;complete;83985;3;-1;33,55;89;2;1;3;5;8;13;-1;-1;0;1;0;1;9;6;3;5;12;11;-1;-1;52;48;0;2;2.02;3.68;3.42;1.02;1.16;1.57;2.25;3.8;19.0;4.85;2.25;1.57;1.23;1.47;2.64;0;0.0;0.0;0.0;1.42;1.26;1.64;2.72;2.42;3.34;2.53;2.81;3.04;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.83;19.25;2.08;4.4;5.8;1.25;2.2;4.7;12.0;3.6;1.55;1.15;1.03;1.14;1.71;3.3;8.0;4.9;1.95;1.28;1.08;0;0;0;0;3;1;0;1;1;2;1;2022-03-04;2058;0;50;50;0;0;1;1;3;1;2;7;4;9;0;2;0;0;2;0;1;96;84;116;101;2.08;1.72;3.8;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;50;50;50;50;3.0;0.0;0.0;3.0;Wexford;Athlone Town;1.25;0.56;0.0;0.0;1.5;0.0;0;0;0;0;0;0;0;0;2.5;0.0;2.5;6968;32;Y;Y;Y;N;N;N;Y
1540842;2057;2049;2022;complete;83985;3;-1;;;0;0;0;8;6;14;-1;-1;1;1;0;0;0;3;6;3;6;6;-1;-1;49;51;1;1;2.7;3.1;2.37;1.03;1.28;1.91;3.15;6.3;9.0;3.24;1.8;1.29;1.08;1.8;1.91;0;0.0;0.0;0.0;1.44;1.26;1.36;3.34;2.1;3.05;2.88;2.47;2.75;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1;9.0;1.83;4.75;4.0;1.4;3.0;8.0;21.0;2.75;1.36;1.08;1.02;1.22;2.1;4.5;11.0;4.0;1.67;1.18;1.05;0;0;0;0;0;0;0;0;0;0;0;2022-03-05;-1;0;0;0;0;0;1;1;4;2;4;4;6;8;1;1;0;0;2;0;1;42;32;88;83;0.69;0.83;1.52;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;50;0;50;50;50;7.0;0.0;0.0;3.0;Longford Town;Cork City;1.59;2.38;0.0;3.0;0.0;1.5;0;0;0;0;0;50;50;50;0.0;2.05;2.05;6968;32;N;N;N;N;N;N;N
