ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2545792;1500;1503;2022/2023;complete;91133;1;-1;;35;0;1;1;8;1;9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.72;3.85;4.63;1.02;1.31;1.93;3.36;6.46;13.7;3.49;1.91;1.32;1.12;1.87;1.89;0;0;0;0;1.18;1.26;2.12;2.51;2.27;4.72;2.14;2.69;4.78;0;0;1.27;1.5;1.82;2.27;3;3.4;2.55;1.99;1.63;1.33;1.49;7.8;3.44;1.59;9.4;2.9;0;0;1.37;2.9;7.95;0;2.69;1.31;1.08;0;1.22;2.13;4.9;14.1;4.31;1.72;1.18;1.02;0;0;0;0;1;0;1;0;0;0;1;2022-07-16 15:00:00;1503;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Neftekhimik;KAMAZ;1.2;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;Y;N;N;N;N;N;N
2545793;668170;919;2022/2023;complete;91133;1;-1;56,89;;2;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4.78;3.35;1.65;1.03;1.32;1.99;3.42;6.4;8.4;3.2;1.8;1.29;1.07;2.04;1.74;0;0;0;0;2.09;1.29;1.16;5.75;2.08;2.38;4.98;2.48;2.12;0;0;1.29;1.51;1.85;2.37;3.1;3.3;2.4;1.85;1.52;1.31;3.78;7.1;1.44;3.1;7.7;1.6;0;0;1.4;3.03;8.9;0;2.96;1.38;1.06;0;1.24;2.21;5.23;15.5;4.1;1.67;1.16;1.01;0;0;0;0;2;0;0;2;0;2;0;2022-07-17 16:00:00;668170;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Urozhay;Ufa;1.4;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;Y;Y;N;N;N;N;N
2545794;15896;1490;2022/2023;complete;91133;1;-1;47;59;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.86;3.64;2.33;1.02;1.28;1.93;3.48;7.39;13.3;3.66;1.87;1.31;1.09;1.75;2.05;0;0;0;0;1.57;1.31;1.41;3.58;2.15;2.98;3.24;2.49;2.7;0;0;1.23;1.43;1.72;2.17;2.8;3.72;2.6;2;1.61;1.38;3.06;7.9;1.57;2.19;9.2;1.94;0;0;1.4;2.86;7.3;0;2.9;1.41;1.09;0;1.25;2.16;4.75;15;3.86;1.68;1.18;1.01;0;0;0;0;2;0;0;1;1;2;0;2022-07-16 15:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Volga Ulyanovsk;Yenisey;0.64;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;Y;Y;N;N;N;N;Y
2545795;932;668272;2022/2023;complete;91133;1;-1;44,53;;2;0;2;2;6;8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.45;4;6.25;1;1.2;1.88;2.6;4.55;12;4.3;1.98;1.46;1.15;2.03;1.75;0;0;0;0;1.07;1.22;2.83;1.96;2.33;7.3;1.79;2.74;6.55;0;0;1.23;1.43;1.72;2.17;2.8;3.7;2.6;2;1.61;1.38;1.28;8.4;5;1.39;9.9;3.84;0;0;1.3;2.51;6.46;0;3.55;1.53;1.11;0;1.17;1.89;4.01;10.5;5.08;1.89;1.25;1.04;0;0;0;0;2;1;0;1;0;1;1;2022-07-17 15:00:00;932;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rubin Kazan;Rodina Moskva;1.82;1.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;Y;Y;N;N;N;N;N
2545796;668268;668267;2022/2023;complete;91133;1;-1;;;0;0;0;4;1;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.52;3.48;6.43;1.01;1.22;1.89;2.66;4.7;10;4;1.78;1.44;1.14;1.92;1.86;0;0;0;0;1.08;1.21;2.76;1.98;2.32;6.85;1.72;2.93;6.3;0;0;1.23;1.43;1.7;2.14;2.79;3.9;2.7;2.07;1.66;1.4;1.21;11.25;6.05;1.41;10.25;3.65;0;0;1.36;2.55;6.1;0;3.08;1.5;1.12;0;1.19;1.91;3.78;0;4.55;1.87;1.26;0;0;0;0;0;0;0;0;0;0;0;0;2022-07-18 17:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Spartak Vladikavkaz;Makhachkala;1.91;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;N;N;N;N;N;N;N
2545797;668160;1493;2022/2023;complete;91133;1;-1;19,83;68;2;1;3;8;0;8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3.7;3.35;1.88;1.03;1.32;1.84;3.46;6.5;8.8;3.2;1.68;1.28;1.07;1.91;1.85;0;0;0;0;1.89;1.29;1.23;4.68;2.21;2.61;4.38;2.56;2.33;0;0;1.28;1.5;1.83;2.33;3.1;3.4;2.42;1.87;1.53;1.32;2.93;7.1;1.62;2.7;8.4;1.7;0;0;1.39;2.97;8.6;0;3.01;1.4;1.07;0;1.24;2.24;5.32;16;4.04;1.65;1.16;1.01;0;0;0;0;3;1;0;1;1;2;1;2022-07-17 11:00:00;668160;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Veles;Baltika;1.45;1.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;Y;Y;Y;N;N;N;Y
2545798;1496;668270;2022/2023;complete;91133;1;-1;12;;1;0;1;3;5;8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.77;2.95;2.72;1.03;1.34;2.03;3.62;6.9;8.4;3.1;1.7;1.26;1.06;2.16;1.66;0;0;0;0;1.44;1.38;1.46;3.5;1.91;3.68;3.14;2.19;3.28;0;0;1.36;1.62;2.04;2.65;3.6;2.9;2.15;1.69;1.42;1.24;1.71;7;2.68;2.16;6.2;2.2;0;0;1.41;3.09;9.15;0;2.91;1.37;1.06;0;1.26;2.32;5.66;17.5;3.87;1.61;1.14;1;0;0;0;0;1;1;0;0;0;0;1;2022-07-17 15:00:00;1496;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Volgar Astrakhan;Akron;1.64;1.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;Y;N;N;N;N;N;N
2545799;1488;10302;2022/2023;complete;91133;1;-1;;14,84;0;2;2;6;6;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.66;3.04;2.75;1.01;1.25;2.03;2.94;5.35;10.25;3.7;1.81;1.37;1.11;1.92;1.84;0;0;0;0;1.47;1.34;1.47;3.34;2.03;3.44;3.02;2.34;3.1;0;0;1.3;1.53;1.88;2.4;3.2;3.2;2.35;1.82;1.5;1.3;1.89;6.7;2.37;2.11;7.6;2.12;0;0;1.33;2.68;7.25;0;3.31;1.47;1.09;0;1.2;2.05;4.56;12.7;4.55;1.77;1.2;1.03;0;0;0;0;2;0;1;0;1;1;1;2022-07-17 16:00:00;10302;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Shinnik;Krasnodar II;2.18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;Y;Y;N;N;N;N;N
2545800;927;1059;2022/2023;complete;91133;1;-1;27,38,78;8,43;3;2;5;3;6;9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.05;3.4;3.55;1.02;1.25;1.77;2.97;5.35;9.6;3.7;1.94;1.36;1.11;1.99;1.8;0;0;0;0;1.28;1.31;1.78;2.65;2.09;4.45;2.42;2.38;4.05;0;0;1.27;1.48;1.79;2.3;3;3.4;2.47;1.92;1.55;1.34;1.57;7;3.13;1.78;7.9;2.55;0;0;1.39;2.68;6.7;0;2.95;1.46;1.1;0;1.22;2.03;4.2;12.8;4.2;1.77;1.22;1.03;0;0;0;0;5;2;2;1;0;1;4;2022-07-17 15:00:00;927;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Arsenal Tula;SKA Khabarovsk;1.8;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7542;20;Y;Y;Y;Y;Y;N;Y
2545801;1500;668170;2022/2023;complete;91133;2;-1;;;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.71;3.56;4.96;1.03;1.32;2.02;3.46;6.45;8.9;3.2;1.8;1.28;1.07;2.04;1.76;0;0;0;0;1.16;1.28;2.13;2.3;2.14;5.6;2.09;2.49;4.95;0;0;1.27;1.46;1.8;2.3;3;3.4;2.51;1.9;1.55;1.34;1.47;7.1;3.58;1.58;8.3;3.06;0;0;1.42;2.95;7.6;0;2.82;1.39;1.08;0;1.26;2.21;4.95;0;3.78;1.65;1.17;0;0;0;0;0;0;0;0;0;0;0;0;2022-07-24 15:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;50;0;0;8;0;0;0.5;Neftekhimik;Urozhay;1.2;0.5;0;0;0;3;50;50;50;50;0;50;0;0;0;0;0;7542;20;N;N;N;N;N;N;N
