ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
443968;930;931;2018/2019;complete;3487;1;-1;;83;0;1;1;7;0;7;1;1;1;4;0;0;9;2;8;1;17;3;15;17;65;35;1;4;1.56;3.8;6.2;1.06;1.39;2.2;4.1;6.5;7.5;3;1.68;1.21;1.08;2.3;1.61;1.83;1.83;4.5;1.18;0;0;0;2.1;2.14;6.5;1.9;2.4;5.5;0;0;0;1.66;0;0;0;0;2.1;0;0;0;0;0;0;1.4;7.5;3.6;2.3;9.5;0;0;0;0;0;0;0;0;1.44;3.32;8.5;34;2.68;1.3;1.05;1.01;0;0;0;0;1;0;0;0;1;1;0;2018-07-28 13:30:00;931;0;0;0;0;0;1;1;5;0;2;0;5;2;0;2;1;2;2;3;1;113;31;142;78;2.52;0.57;3.08;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ural;Anzhi Makhachkala;1.33;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;30;Y;N;N;N;N;N;N
443969;924;922;2018/2019;complete;3487;1;-1;4;;1;0;1;3;1;4;1;2;0;3;0;0;6;2;10;1;16;3;7;11;65;35;0;3;1.38;4.45;8.25;1.04;1.29;1.91;3.3;6.35;10.5;3.54;1.91;1.31;1.08;2.2;1.67;1.9;1.8;6;1.12;1.01;1.1;3.15;1.81;2.34;10.5;1.62;2.8;7.5;0;0;0;1.66;0;0;0;0;2.1;0;0;0;0;0;0;1.25;10;4.2;2.25;11;0;0;0;0;0;0;0;0;1.38;2.88;7.7;15;3.05;1.42;1.08;1.01;0;0;0;0;1;1;0;0;0;0;1;2018-07-28 16:00:00;924;0;0;0;0;0;1;1;1;0;2;1;1;3;0;3;0;0;3;0;1;84;38;150;93;2.05;0.62;2.66;0;0;0;0;0;0;1;1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Spartak Moskva;Orenburg;1.6;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;30;Y;N;N;N;N;N;N
443970;71;923;2018/2019;complete;3487;1;-1;45;;1;0;1;2;4;6;2;1;0;0;0;1;3;0;12;0;15;0;8;8;59;41;0;2;2.25;2.95;3.55;1.12;1.61;2.9;5.95;12.25;6;2.41;1.38;1.09;1;2.45;1.56;2.2;1.61;3;1.36;1.4;1.2;1.5;3.22;1.8;4.8;2.88;2.1;3.4;0;0;0;0;2;0;0;0;0;1.72;0;0;0;0;0;1.8;6;2.6;3.1;5;0;0;0;0;0;0;0;0;1.67;4.2;11.75;51;2.21;1.23;1.03;1;0;0;0;0;1;1;0;0;0;0;1;2018-07-28 18:30:00;71;0;0;0;0;0;1;1;0;3;2;1;3;3;0;1;0;0;1;0;1;94;71;151;104;1.84;0.53;2.37;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rostov;Akhmat Grozny;1.6;1.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;30;Y;N;N;N;N;N;N
443971;1490;921;2018/2019;complete;3487;1;-1;;81,85;0;2;2;2;6;8;0;1;2;2;0;0;2;8;4;7;6;15;14;12;37;63;2;2;7.25;3.8;1.5;1.06;1.36;2.1;3.9;7.1;8.9;3.2;1.78;1.26;1.06;2.35;1.59;5;1.16;1.8;1.9;2.8;1.1;1.03;10;2.2;1.92;7;2.6;1.72;0;0;0;0;1.83;0;0;0;0;1.83;0;0;0;0;0;4.25;9;1.36;10;2.2;0;0;0;0;0;0;0;0;1.41;3.05;8.5;34;2.91;1.38;1.07;1.01;0;0;0;0;2;0;0;0;2;2;0;2018-07-29 11:00:00;921;0;0;0;0;0;1;1;1;3;1;3;4;4;1;2;1;0;3;1;1;36;86;90;118;0.79;2.13;2.92;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Yenisey;Zenit;1.07;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;30;Y;Y;N;N;N;N;N
443972;927;935;2018/2019;complete;3487;1;-1;;;0;0;0;4;1;5;1;2;3;1;0;1;6;5;8;5;14;10;20;19;63;37;3;3;2.7;3.05;2.75;1.09;1.49;2.5;4.9;9.7;7.6;2.68;1.57;1.16;1.02;2.15;1.69;2.75;1.4;2.75;1.4;1.4;1.2;1.5;3.5;1.91;3.76;2.88;2.2;3.2;0;0;0;1.72;0;0;0;0;2;0;0;0;0;0;0;2.1;7.5;2.15;4;4;0;0;0;0;0;0;0;0;1.56;3.64;9.8;34;2.43;1.29;1.05;1;0;0;0;0;0;0;0;0;0;0;0;2018-07-29 13:30:00;-1;0;0;0;0;0;1;1;1;0;3;1;1;4;1;1;2;1;2;3;1;59;36;109;71;1.73;1.24;2.98;0;0;0;0;0;0;1;1;0;0;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Arsenal Tula;Dinamo Moskva;1.93;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;30;N;N;N;N;N;N;N
443973;932;926;2018/2019;complete;3487;1;-1;9,38;31;2;1;3;3;3;6;1;3;1;1;0;0;5;3;6;9;11;12;11;9;34;66;1;1;2.75;2.95;2.75;1.1;1.56;2.7;5.5;9.9;7.3;2.68;1.55;1.16;1.02;2.3;1.62;2.5;1.5;2.5;1.5;1.4;1.2;1.5;3.6;1.87;3.8;2.88;2.2;3.1;0;0;0;1.83;0;0;0;0;1.83;0;0;0;0;0;0;2.1;7;2.15;4;4;0;0;0;0;0;0;0;0;1.56;3.64;9.9;34;2.43;1.29;1.05;1;0;0;0;0;3;2;1;0;0;0;3;2018-07-29 16:00:00;932;0;0;0;0;0;1;1;2;0;1;3;2;4;1;1;0;0;2;0;1;28;34;48;49;1.24;1.21;2.45;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rubin Kazan;Krasnodar;1.67;1.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;30;Y;Y;Y;N;N;N;Y
443974;919;920;2018/2019;complete;3487;1;-1;;;0;0;0;8;5;13;0;1;3;0;0;0;5;4;6;6;11;10;18;7;53;47;3;0;4;2.95;2.1;1.13;1.67;3.05;6.35;0;0;0;0;0;0;2.65;1.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-07-30 15:00:00;-1;0;0;0;0;0;1;1;2;3;6;2;5;8;0;0;3;0;0;3;1;0;0;0;0;1.5;1.23;2.73;1;0;0;0;1;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ufa;Lokomotiv Moskva;1.13;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;30;N;N;N;N;N;N;N
443975;928;101;2018/2019;complete;3487;1;-1;;;0;0;0;2;4;6;1;0;2;1;0;0;3;4;4;6;7;10;12;16;47;53;2;1;3.75;2.95;2.15;1.09;1.51;2.6;5.2;10.75;6.85;2.53;1.51;1.14;1.01;2.3;1.61;3.4;1.3;2.2;1.61;1.6;1.25;1.3;5.3;1.9;2.78;3.75;2.2;2.5;0;0;0;1.72;2;0;0;0;2;1.72;0;0;0;0;0;2.65;6.5;1.8;5.5;3;0;0;0;0;0;0;0;0;1.57;3.86;10.75;41;2.4;1.26;1.04;1;0;0;0;0;0;0;0;0;0;0;0;2018-07-31 16:00:00;-1;0;0;0;0;0;1;1;1;2;1;2;3;3;1;0;1;1;1;2;1;34;53;107;128;0.91;1.31;2.22;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Krylya Sovetov;CSKA Moskva;1.13;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;30;N;N;N;N;N;N;N
443976;935;932;2018/2019;complete;3487;2;-1;14;51;1;1;2;4;4;8;1;4;3;0;0;0;5;6;9;6;14;12;18;8;43;57;3;0;2.75;2.75;3;1.14;1.71;3.25;6.95;0;0;0;0;0;0;2.65;1.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;1;2018-08-03 16:30:00;-1;0;0;0;0;0;1;1;2;3;2;1;5;3;2;0;1;0;2;1;1;0;0;0;0;1.39;1.42;2.81;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dinamo Moskva;Rubin Kazan;1.4;0.73;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1597;30;Y;Y;N;N;N;N;Y
443977;930;926;2018/2019;complete;3487;2;-1;6;48,89;1;2;3;3;7;10;2;1;2;3;0;0;7;6;5;7;12;13;16;17;44;56;2;3;3.35;3.05;2.3;1.06;1.37;2.15;3.95;0;0;0;0;0;0;1.95;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;2;1;2018-08-04 11:00:00;926;0;50;50;0;0;1;1;2;4;1;3;6;4;1;1;1;2;2;3;1;0;0;0;0;1.5;1.64;3.14;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;100;50;50;50;0;10;4;2;2;Ural;Krasnodar;1.33;1.73;0;0;0;0;100;100;50;50;0;0;0;0;2.52;1.21;3.73;1597;30;Y;Y;Y;N;N;N;Y
