ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1026403;1157;1156;2020/2021;complete;58340;1;-1;13,18;56;2;1;3;6;6;12;-1;-1;3;2;1;1;4;6;2;5;6;11;-1;-1;50;50;4;3;1.74;3.85;4.15;1.02;1.23;1.74;2.85;5.25;11.25;4;2.05;1.4;1.14;1.69;2.1;2.5;1.42;0;0;1.19;1.22;1.72;2.4;2.2;4;2;2.45;3.75;0;0;1.22;1.48;1.75;2.3;2.63;4.1;2.5;2.07;1.61;1.43;1.45;8;3.18;1.5;10;2.55;2.9;5.75;1.32;2.6;5.95;11.5;2.85;1.37;1.06;1.02;1.19;1.95;4;9;4.2;1.67;1.2;1.05;0;0;0;0;3;2;0;0;1;1;2;2020-10-17 14:00:00;1157;0;0;0;0;0;1;1;4;4;2;2;8;4;1;1;3;2;2;5;1;39;52;86;82;0.95;1.49;2.44;0;1;0;1;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ayr United;Queen of the South;1.15;1.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;Y;Y;N;N;N;Y
1026404;1150;27;2020/2021;complete;58340;1;-1;23,78,84;2;3;1;4;6;6;12;-1;-1;3;1;0;0;6;2;5;2;11;4;-1;-1;52;48;3;1;2.35;3.35;2.9;1.04;1.29;1.91;3.35;6.45;9.5;3.45;1.83;1.3;1.1;1.74;2;3.05;1.27;0;0;1.32;1.27;1.45;3;2.1;3.2;2.5;2.35;2.85;0;0;0;1.3;1.52;1.93;2.55;0;3.35;2.5;1.88;1.5;1.64;7.5;2.66;1.8;9.5;2;3.8;4.2;1.34;2.7;6.2;12;2.75;1.34;1.05;1.02;1.21;2;4.3;9;3.9;1.65;1.18;1.05;0;0;0;0;4;1;1;2;0;2;2;2020-10-17 14:00:00;1150;0;0;0;0;0;1;1;3;1;3;5;4;8;1;0;2;1;1;3;1;45;44;78;72;1.44;0.72;2.16;0;0;0;0;0;0;1;1;0;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dunfermline Athletic;Inverness CT;2.14;1.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;Y;Y;Y;N;N;Y
1026405;32;28;2020/2021;complete;58340;1;-1;4,25,34,45,84,90;27,68;6;2;8;8;3;11;-1;-1;2;3;0;0;9;5;8;6;17;11;-1;-1;54;46;2;3;1.71;3.55;4.75;1.04;1.31;1.95;3.5;6.7;9.25;3.35;1.8;1.29;1.09;1.87;1.83;2.15;1.54;0;0;1.12;1.2;1.95;2.1;2.25;5;1.8;2.5;4.5;0;0;1.2;1.4;1.65;2;2.5;4.25;2.7;2.1;1.73;1.48;1.31;8.5;15;1.4;10;3.1;2.5;7;1.32;2.6;5.95;11.5;2.85;1.37;1.06;1.02;1.25;1.95;4.32;9;3.74;1.67;1.2;1.05;0;0;0;0;8;4;1;2;1;3;5;2020-10-16 18:45:00;32;0;0;0;0;0;1;1;5;2;3;1;7;4;0;3;2;0;3;2;1;61;42;66;53;2.13;1.34;3.47;1;0;1;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hearts;Dundee;2.43;1.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;Y;Y;Y;Y;Y;Y
1026406;1152;1159;2020/2021;complete;58340;1;-1;10;;1;0;1;5;5;10;-1;-1;1;4;1;1;3;0;6;3;9;3;-1;-1;37;63;2;5;1.91;3.65;3.65;1.03;1.27;1.87;3.2;6;10.25;3.6;1.91;1.33;1.11;1.74;2;2.6;1.38;0;0;1.22;1.22;1.65;2.5;2.2;4;2.1;2.4;3.5;0;0;0;1.21;1.43;1.68;2.17;0;4.1;2.63;2.16;1.68;1.37;8.5;3.56;1.56;9.75;2.4;3.05;5.2;1.34;2.7;6.15;12;2.75;1.35;1.05;1.02;1.2;1.95;4.1;9;4;1.67;1.19;1.05;0;0;0;0;1;1;0;0;0;0;1;2020-10-17 14:00:00;1152;0;0;0;0;0;1;1;0;2;5;3;2;8;1;2;1;3;3;4;1;50;30;48;43;1.13;0.41;1.54;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Greenock Morton;Alloa Athletic;1.21;0.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;N;N;N;N;N;N
1026407;1158;1165;2020/2021;complete;58340;1;-1;31,36,44;;3;0;3;6;4;10;-1;-1;2;2;0;1;6;0;6;8;12;8;-1;-1;54;46;2;3;2.75;3.55;2.3;1.03;1.26;1.83;3.1;5.8;10.5;3.7;1.95;1.35;1.12;1.67;2.1;3.35;1.23;0;0;1.38;1.25;1.4;3.1;2.2;3.1;2.65;2.4;2.65;0;0;1.22;1.48;1.75;2.29;2.63;4.1;2.5;2.06;1.57;1.43;1.85;7;2.28;1.87;10;1.87;4.05;4;1.33;2.65;6;11.75;2.85;1.36;1.06;1.02;1.2;1.95;4.1;9;4;1.69;1.19;1.05;0;0;0;0;3;3;0;0;0;0;3;2020-10-17 14:00:00;1158;0;0;0;0;0;1;1;3;2;3;2;5;5;0;0;2;3;0;5;1;64;59;75;64;1.63;0.93;2.56;2;0;1;0;1;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Raith Rovers;Arbroath;1.62;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;Y;Y;N;N;N;N
1026408;1159;1150;2020/2021;complete;58340;2;-1;45;7,67,77,90;1;4;5;8;3;11;-1;-1;-1;-1;-1;-1;6;6;4;6;10;12;-1;-1;59;41;-1;-1;4.55;3.95;1.67;1.03;1.23;1.74;2.9;5.35;11.25;3.95;2.05;1.39;1.14;1.74;2;4.65;1.15;0;0;1.7;1.22;1.2;4;2.25;2.4;3.86;2.6;2.24;0;0;0;1.24;1.48;1.73;2.1;0;3.8;2.5;2;1.65;2.66;7.5;1.64;2.5;11;1.57;6.05;3.2;1.36;2.75;5.8;13;3.3;1.48;1.1;1.02;1.18;2.01;3.9;9;4.3;1.75;1.22;1.05;0;0;0;0;5;1;1;0;3;3;2;2020-10-24 14:00:00;1150;0;0;0;0;0;1;-1;1;3;7;0;4;7;-1;-1;-1;-1;-1;-1;1;68;45;62;57;1.53;1.5;3.03;0;1;0;1;0;0;1;1;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Alloa Athletic;Dunfermline Athletic;1;0.69;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;Y;Y;Y;Y;N;Y
1026409;1165;32;2020/2021;complete;58340;2;-1;;70;0;1;1;6;8;14;1;3;1;1;0;0;3;5;5;11;8;16;6;6;43;57;1;1;9.5;5.25;1.28;1.03;1.24;1.77;2.95;5.45;11;3.9;2;1.38;1.14;2.35;1.54;5.7;1.07;0;0;2.15;1.16;1.09;6;2.3;1.95;5.6;2.78;1.81;0;0;0;1.3;1.57;2;2.38;0;3.3;2.25;1.8;1.53;3.48;8;1.41;3.35;10.75;1.3;7.75;2.25;1.37;2.76;5.9;13;2.96;1.43;1.1;1.02;1.19;2;3.9;9;4.2;1.76;1.21;1.05;0;0;0;0;1;0;0;0;1;1;0;2020-10-23 18:45:00;32;0;0;0;0;0;1;1;2;4;4;4;6;8;0;1;1;0;1;1;1;55;82;77;97;1.11;1.95;3.06;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Arbroath;Hearts;1.5;1.77;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;N;N;N;N;N;N
1026410;28;1152;2020/2021;complete;58340;2;-1;5;;1;0;1;11;3;14;-1;-1;2;3;0;1;3;5;4;4;7;9;-1;-1;66;34;2;4;1.57;4;5.2;1.04;1.3;1.95;3.4;6.6;9.5;3.4;1.8;1.29;1.1;1.95;1.8;2.25;1.56;0;0;1.17;1.23;1.75;2.38;2.1;4.75;2.19;2.45;4.42;0;0;1.18;1.34;1.61;2.02;2.65;4.6;3.1;2.23;1.74;1.44;1.41;8.5;3.38;1.49;8.75;2.85;2.7;6;1.45;3.23;7.5;17;2.86;1.37;1.06;1.01;1.25;2.27;4.9;10;3.6;1.59;1.14;1.04;0;0;0;0;1;1;0;0;0;0;1;2020-10-24 14:00:00;28;0;0;0;0;0;1;1;7;0;4;3;7;7;1;0;1;4;1;5;1;56;37;74;61;1.06;1.19;2.24;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dundee;Greenock Morton;2.08;0.92;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;N;N;N;N;N;N
1026411;27;1157;2020/2021;complete;58340;2;-1;86;57;1;1;2;8;7;15;-1;-1;3;1;0;0;4;4;4;2;8;6;-1;-1;50;50;3;1;2.45;3.35;2.75;1.04;1.29;1.91;3.3;6.35;9.75;3.45;1.83;1.31;1.1;1.71;2;2.7;1.39;0;0;1.24;1.25;1.6;2.6;2.2;4;2.39;2.49;3.7;0;0;1.18;1.34;1.61;2.02;2.65;4.6;3.1;2.23;1.74;1.44;1.55;7.5;2.94;1.65;9.75;2.35;3.3;5.4;1.41;3;6.6;15;3.04;1.42;1.08;1.02;1.22;2.14;4.3;9;3.8;1.66;1.17;1.05;0;0;0;0;2;0;0;1;1;2;0;2020-10-24 14:00:00;-1;0;0;0;0;0;1;1;5;4;3;3;9;6;0;0;3;1;0;4;1;48;51;65;55;1.13;1.03;2.16;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Inverness CT;Ayr United;1.31;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;Y;N;N;N;N;Y
1026412;1156;1158;2020/2021;complete;58340;2;-1;5,60;2,12,27,69,85;2;5;7;9;6;15;-1;-1;1;1;0;0;9;10;4;3;13;13;-1;-1;55;45;1;1;2.75;3.3;2.45;1.04;1.28;1.91;3.25;6.25;9.75;3.5;1.87;1.32;1.11;1.71;2.05;3.3;1.28;0;0;1.38;1.27;1.38;3.1;2.1;3.1;3.04;2.41;2.88;0;0;1.23;1.42;1.74;2.23;3.05;3.95;2.75;2.02;1.6;1.35;1.69;7.5;2.59;1.95;9.25;1.91;4.25;4.05;1.43;3.12;7.1;15;2.94;1.39;1.06;1.02;1.24;2.22;4.7;10;3.6;1.62;1.15;1.04;0;0;0;0;7;1;3;1;2;3;4;2020-10-24 14:00:00;1158;0;0;0;0;0;1;1;2;5;7;1;7;8;1;1;0;0;2;0;1;78;40;111;73;2.02;1.81;3.82;1;0;1;0;0;0;1;1;1;1;0;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Queen of the South;Raith Rovers;1.15;1.57;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4547;27;Y;Y;Y;Y;Y;Y;Y
